入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000506907600005,10.1353/tcc.2020.0006,n/a,REVOLUTIONARY ECHOES: RADIOS AND LOUDSPEAKERS IN THE MAO ERA,"Li, Jie",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,45,1,25-45,2020,29,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000506907600005,3.411765,1.7295081615447998,1.6,8.5,16.7678,18.125,Domestic - Single,99.1803,n/a
WOS:000595618800003,10.1080/1547402X.2020.1831176,n/a,HISTORY OF PAKISTAN-CHINA RELATIONS: THE COMPLEX INTERDEPENDENCE THEORY,"Hussain, Iqtidar; Hussain, Israr; Qambari, Iqrar Hussain",CHINESE HISTORICAL REVIEW,0603 World History; 0602 History of China,Article,27,2,146-164,2020,18,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000595618800003,3.375,1.7295081615447998,4.5,5.33,10.4076,4.0,International - Bilateral,98.3607,n/a
WOS:001167535100002,n/a,n/a,The Ethics of Thinking with Machines: Brain-Computer Interfaces in the Era of Artificial Intelligence,"Lyreskog, David M.; Zohny, Hazem; Singh, Ilina; Savulescu, Julian",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,21,2,11-34,2023,13,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001167535100002,0.961538,0.4434782564640045,13.0,13.52,29.3137,1.0,International - Trilateral,99.1304,0.1
WOS:001167535100012,n/a,n/a,Why Invasive Brain-Computer Interface Technology is Dangerous,Zhai Zhenming,INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0712 History of Science and Technology; 0602 History of China,Article,21,2,83-99,2023,11,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001167535100012,0.961538,0.4434782564640045,0.36190477,11.44,24.8039,30.3947,Domestic - Single,98.2609,0.1
WOS:000601126400010,n/a,n/a,Combating the Coronavirus Pandemic: An Appeal to Confucian Ethical Resources,"Fan, Ruiping",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,18,2,81-107,2020,10,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000601126400010,1.272727,1.7295081615447998,1.6,7.86,5.782,6.25,Domestic - Single,97.541,n/a
WOS:000747562500002,n/a,n/a,"Emerging Human Embryo Research Technologies, the 14-day Rule, and the Special Status of the Embryo","Matthews, Kirstin R. W.; Lowe, Sam; Iltis, Ana S.",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,19,2,11-45,2021,9,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000747562500002,0.72,0.9519230723381042,1.125,12.5,9.4545,8.0,Domestic - Multiple,99.0385,n/a
WOS:000913824500002,n/a,n/a,Bioethics : cross-cultural explorations,"Tham, Joseph",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,20,2,13-37,2022,9,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000913824500002,0.761905,0.6890756487846375,0.682243,11.81,13.061,13.1918,Domestic - Single,99.1597,0.1
WOS:000601126400002,n/a,n/a,The Coronavirus also Attacks Political and Corporate Bodies,"Sass, Hans-Martin",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,18,2,7-37,2020,8,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000601126400002,1.272727,1.7295081615447998,8.0,6.29,4.6256,1.0,International - Trilateral,95.9016,n/a
WOS:000635668700003,10.1080/17535654.2020.1845529,n/a,From respirator to Wu's mask: the transition of personal protective equipment in the Manchurian plague,Zhang Meng,JOURNAL OF MODERN CHINESE HISTORY,0602 History of China; 0603 World History,Article,14,2,221-239,2020,8,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000635668700003,2.076923,1.7295081615447998,1.6,3.85,4.6256,5.0,Domestic - Single,95.9016,n/a
WOS:000606840900009,10.1353/tcc.2021.0004,n/a,"FINDING ""ASIA"" AFTER IMPERIALISM: TRANSNATIONAL VISIONS OF THE ""ASIAN WOMAN"" IN CHINA AND INDIA, 1949-1955","Nasser, Yasser Ali",TWENTIETH-CENTURY CHINA,0602 History of China; 0603 World History,Article,46,1,62-82,2021,8,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000606840900009,2.714286,0.9519230723381042,0.93333334,2.95,8.404,8.5714,Domestic - Single,98.0769,n/a
WOS:000506907600004,10.1353/tcc.2020.0005,n/a,"RADIO, SOUND CINEMA, AND COMMUNITY SINGING: THE MAKING OF A NEW SONIC CULTURE IN MODERN CHINA","Tang, Xiaobing",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,45,1,3-24,2020,7,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000506907600004,3.411765,1.7295081615447998,1.6,2.05,4.0474,4.375,Domestic - Single,94.2623,n/a
WOS:000505124000006,10.1080/00094633.2019.1682405,n/a,"Memorials and memory: The curation and interpretation of trauma narratives-using the examples of exhibitions on the theme of ""comfort women"" in East Asian Society",Wang Siyi,CHINESE STUDIES IN HISTORY,0603 World History; 0602 History of China; 0303 Sociology,Article,53,1,56-71,2020,7,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505124000006,1.047619,1.7295081615447998,1.6,6.68,4.0474,4.375,Domestic - Single,94.2623,n/a
WOS:000597332000001,n/a,n/a,WHY DOES THE TANG - SONG INTERREGNUM MATTER? PART THREE: THE LEGACY OF DIVISION AND THE HOLISTIC EMPIRE,"Clark, Hugh",JOURNAL OF SONG-YUAN STUDIES,0602 History of China; 0603 World History; 0303 Sociology,Article,49,n/a,1-44,2020,6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000597332000001,1.666667,1.7295081615447998,1.6,3.6,3.4692,3.75,Domestic - Single,93.4426,n/a
WOS:000913824500012,n/a,n/a,The Protological Return of br br,"Tang, Wenming",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,20,2,93-131,2022,6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000913824500012,0.761905,0.6890756487846375,0.682243,7.88,8.7073,8.7945,Domestic - Single,97.479,0.1
WOS:000860347700005,10.1353/tcc.2022.0030,n/a,THE PATRIARCHY OF DIASPORA: RACE FANTASY AND GENDER BLINDNESS IN CHEN DA'S STUDIES OF THE NANYANG CHINESE,"Leow, Rachel",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,47,3,243-265,2022,6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000860347700005,1.333333,0.6890756487846375,0.682243,4.5,8.7073,8.7945,Domestic - Single,97.479,0.6
WOS:000747562500012,n/a,n/a,A Confucian Reflection on Transhumanism: How to Regulate our Posthuman Future?,"Jue, Wang",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,19,2,101-128,2021,6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000747562500012,0.72,0.9519230723381042,0.93333334,8.33,6.303,6.4286,Domestic - Single,96.1539,n/a
WOS:000606840900007,10.1353/tcc.2021.0002,n/a,"""FOR THE SAKE OF MORALITY AND CIVILIZATION"": THE BUDDHIST ANIMAL PROTECTION MOVEMENT IN REPUBLICAN CHINA","Schumann, Matthias",TWENTIETH-CENTURY CHINA,0602 History of China; 0603 World History,Article,46,1,22-40,2021,6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000606840900007,2.714286,0.9519230723381042,0.93333334,2.21,6.303,6.4286,Domestic - Single,96.1539,n/a
WOS:000925867400008,n/a,n/a,WHO ARE THE HUI? A NECESSARY FOOTNOTE OF INCONVENIENCE,"Hai, Peng",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,48,1,48-69,2023,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000925867400008,1.230769,0.4434782564640045,0.36190477,4.06,11.2745,13.8158,Domestic - Single,96.5217,0.5
WOS:000668232100001,10.1353/late.2021.0004,n/a,"The Inscription of Remnant Things: Zhang Dai's ""Twenty-Eight Friends""","Kelly, Thomas",LATE IMPERIAL CHINA,0603 World History; 0602 History of China,Article,42,1,1-43,2021,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000668232100001,2.0,0.9519230723381042,0.93333334,2.5,5.2525,5.3571,Domestic - Single,93.2692,n/a
WOS:000597332000005,n/a,n/a,"THE DOUBLE LIFE OF THE SCALLOP: ANTHROPOMORPHIC BIOGRAPHY, 'PULU,' AND THE NORTHERN SONG DISCOURSE ON THINGS","Mai, Huijun",JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,Article,49,n/a,149-205,2020,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000597332000005,1.666667,1.7295081615447998,1.6,3.0,2.891,3.125,Domestic - Single,90.9836,n/a
WOS:001410886300002,n/a,n/a,Public Health Ethics: The State of Arts,"MacKay, Kathryn L.",INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Article,22,2,9-43,2024,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001410886300002,0.428571,0.16483516991138458,0.175,11.67,30.3333,28.5714,Domestic - Single,98.9011,0.1
WOS:000506907600008,10.1353/tcc.2020.0009,n/a,"FEMINISM IN THE VERNACULAR: BAIHUA WRITING, GENDER, AND IDENTITY IN LATE QING CHINA","Yun, Zhang",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,45,1,85-104,2020,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000506907600008,3.411765,1.7295081615447998,1.6,1.47,2.891,3.125,Domestic - Single,90.9836,n/a
WOS:000742575200011,10.1353/tcc.2021.0022,n/a,"Capital, Empire, Letter: Romanization in Late Qing China","Kuzuoglu, Ulug",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,46,3,223-246,2021,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000742575200011,2.714286,0.9519230723381042,0.93333334,1.84,5.2525,5.3571,Domestic - Single,93.2692,n/a
WOS:000597332000002,n/a,n/a,"AGE OF EMPERORS: DIVISIBLE IMPERIAL AUTHORITY AND THE FORMATION OF A ""LIAO WORLD ORDER"" IN CONTINENTAL EAST ASIA, 900-1250","Chen, Xue",JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,Article,49,n/a,45-83,2020,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000597332000002,1.666667,1.7295081615447998,1.6,3.0,2.891,3.125,Domestic - Single,90.9836,n/a
WOS:000641388700011,10.1353/tcc.2021.0015,n/a,"A COMMUNITY CROP: COTTON, SCIENCE, AND EXTENSION IN INTERWAR SHANDONG, 1918-1937","Stewart, Spencer",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,46,2,199-219,2021,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000641388700011,2.714286,0.9519230723381042,0.93333334,1.84,5.2525,5.3571,Domestic - Single,93.2692,n/a
WOS:001080973400003,10.1353/tcc.2023.a905566,n/a,"""This Absolutely Is Not a Hui Rebellion!"": The Ethnopolitics of Great Nationality Chauvinism in Early Maoist China","Weiner, Benno",TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,Article,48,3,208-229,2023,5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001080973400003,1.230769,0.4434782564640045,0.36190477,4.06,11.2745,13.8158,Domestic - Single,96.5217,0.5
WOS:000505124000001,10.1080/00094633.2019.1691414,n/a,"The study of ""comfort women"": Revealing a hidden past-introduction","Wang, Q. Edward",CHINESE STUDIES IN HISTORY,0603 World History; 0602 History of China; 0303 Sociology,Editorial Material,53,1,1-5,2020,4,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505124000001,1.75,0.6666666865348816,0.0,2.29,6.0,0.0,n/a,93.3333,n/a
WOS:000505124000004,10.1080/00094633.2019.1682376,n/a,"The extreme secrecy of the Japanese army's ""comfort women"" system",Li Hongxi,CHINESE STUDIES IN HISTORY,0603 World History; 0602 History of China; 0303 Sociology,Article,53,1,28-40,2020,4,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505124000004,1.047619,1.7295081615447998,1.6,3.82,2.3128,2.5,Domestic - Single,86.8853,n/a
WOS:000707778500020,n/a,n/a,"THE SPREAD OF GOLD THREAD PRODUCTION IN THE MONGOL PERIOD: A STUDY OF GOLD TEXTILES IN THE CHINA NATIONAL SILK MUSEUM, HANGZHOU","Shea, Eiren",JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,Article,50,n/a,381-415,2021,4,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000707778500020,0.647059,0.9519230723381042,0.93333334,6.18,4.202,4.2857,Domestic - Single,90.3846,n/a
