入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000870759103073,10.1109/CVPR52688.2022.01042,n/a,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Robin; Blattmann, Andreas; Lorenz, Dominik; Esser, Patrick; Ommer, Bjoern",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10674-10685,2022,6786,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759103073,62.704008,5.537775039672852,8.762838,108.22,1225.4019,774.4066,International - Bilateral,99.9979,n/a
WOS:001058542607079,10.1109/CVPR52729.2023.00721,n/a,YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,"Wang, Chien-Yao; Bochkovskiy, Alexey; Liao, Hong-Yuan Mark","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR",0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0816 Surveying and Mapping; 0710 Biology,Proceedings Paper,n/a,n/a,7464-7475,2023,6202,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001058542607079,30.232173,3.123143434524536,2.1773336,205.15,1985.8198,2848.4381,Domestic - Single,99.997,n/a
WOS:001309199902060,10.1109/CVPR42600.2020.00975,n/a,Momentum Contrast for Unsupervised Visual Representation Learning,"He, Kaiming; Fan, Haoqi; Wu, Yuxin; Xie, Saining; Girshick, Ross",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,9726-9735,2020,5693,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199902060,134.471311,5.549154758453369,4.0020046,42.34,1025.922,1422.5371,Domestic - Single,99.9986,n/a
WOS:001309199904099,10.1109/CVPR42600.2020.01155,n/a,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,"Wang, Qilong; Wu, Banggu; Zhu, Pengfei; Li, Peihua; Zuo, Wangmeng; Hu, Qinghua",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11531-11539,2020,4605,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904099,134.471311,5.549154758453369,5.7608128,34.25,829.8561,799.3664,Domestic - Multiple,99.9972,n/a
WOS:000870783001076,10.1109/CVPR52688.2022.01553,n/a,Masked Autoencoders Are Scalable Vision Learners,"He, Kaiming; Chen, Xinlei; Xie, Saining; Li, Yanghao; Dollar, Piotr; Girshick, Ross",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,15979-15988,2022,4130,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870783001076,62.704008,5.537775039672852,3.3011901,65.87,745.7869,1251.064,Domestic - Single,99.9958,n/a
WOS:001309199903065,10.1109/CVPR42600.2020.01079,n/a,EfficientDet: Scalable and Efficient Object Detection,"Tan, Mingxing; Pang, Ruoming; Le, Quoc, V",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10778-10787,2020,4110,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199903065,134.471311,5.549154758453369,4.0020046,30.56,740.6533,1026.9853,Domestic - Single,99.9958,n/a
WOS:000870759105006,10.1109/CVPR52688.2022.01167,n/a,A ConvNet for the 2020s,"Liu, Zhuang; Mao, Hanzi; Wu, Chao-Yuan; Feichtenhofer, Christoph; Darrell, Trevor; Xie, Saining",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11966-11976,2022,3944,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759105006,62.704008,5.537775039672852,6.3200173,62.9,712.1994,624.0489,Domestic - Multiple,99.9937,n/a
WOS:000742075003090,10.1109/CVPR46437.2021.01350,n/a,Coordinate Attention for Efficient Mobile Network Design,"Hou, Qibin; Zhou, Daquan; Feng, Jiashi","2021 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR 2021",0702 Physics; 0835 Software Engineering; 0816 Surveying and Mapping; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,13708-13717,2021,3744,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000742075003090,89.320675,6.334666728973389,6.669695,41.92,591.0335,561.345,Domestic - Multiple,99.9974,n/a
WOS:001309199904047,10.1109/CVPR42600.2020.01164,n/a,nuScenes: A multimodal dataset for autonomous driving,"Caesar, Holger; Bankiti, Varun; Lang, Alex H.; Vora, Sourabh; Liong, Venice Erin; Xu, Qiang; Krishnan, Anush; Pan, Yu; Baldan, Giancarlo; Beijbom, Oscar",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11618-11628,2020,3646,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904047,134.471311,5.549154758453369,4.0020046,27.11,657.037,911.0434,Domestic - Single,99.9944,n/a
WOS:000710146900007,10.1016/j.jeconom.2021.03.014,n/a,Difference-in-differences with variation in treatment timing,"Goodman-Bacon, Andrew",JOURNAL OF ECONOMETRICS,0701 Mathematics; 0201 Theoretical Economics,Article,225,2,254-277,2021,3217,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000710146900007,61.176136,6.607059478759766,6.66289,52.59,486.9034,482.8235,Domestic - Multiple,99.9989,3.363
WOS:000620679501082,10.1109/CVPR42600.2020.00165,n/a,GhostNet: More Features from Cheap Operations,"Han, Kai; Wang, Yunhe; Tian, Qi; Guo, Jianyuan; Xu, Chunjing; Xu, Chang",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,1577-1586,2020,2975,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000620679501082,134.471311,5.549154758453369,9.688419,22.12,536.1177,307.0676,International - Bilateral,99.9929,n/a
WOS:000710146900005,10.1016/j.jeconom.2020.12.001,n/a,Difference-in-Differences with multiple time periods,"Callaway, Brantly; Sant'Anna, Pedro H. C.",JOURNAL OF ECONOMETRICS,0701 Mathematics; 0201 Theoretical Economics,Article,225,2,200-230,2021,2962,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000710146900005,61.176136,6.607059478759766,6.66289,48.42,448.3084,444.5518,Domestic - Multiple,99.9977,3.363
