入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000870759103073,10.1109/CVPR52688.2022.01042,n/a,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Robin; Blattmann, Andreas; Lorenz, Dominik; Esser, Patrick; Ommer, Bjoern",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10674-10685,2022,6786,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759103073,62.704008,5.281188011169434,8.509962,108.22,1284.9382,797.4184,International - Bilateral,99.9982,n/a
WOS:000720461800009,10.1016/j.cpc.2021.108171,n/a,"LAMMPS-a flexible simulation tool for particle-based materials modeling at the atomic, meso, and continuum scales","Thompson, Aidan P.; Aktulga, H. Metin; Berger, Richard; Bolintineanu, Dan S.; Brown, W. Michael; Crozier, Paul S.; Veld, Pieter J. in 't; Kohlmeyer, Axel; Moore, Stan G.; Nguyen, Trung Dac; Shan, Ray; Stevens, Mark J.; Tranchida, Julien; Trott, Christian; Plimpton, Steven J.",COMPUTER PHYSICS COMMUNICATIONS,0702 Physics; 0812 Computer Science and Technology,Article,271,n/a,n/a,2021,6616,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000720461800009,44.43309,14.329200744628906,17.328606,148.9,461.7145,381.7964,International - Bilateral,99.9995,4.717
WOS:001058542607079,10.1109/CVPR52729.2023.00721,n/a,YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,"Wang, Chien-Yao; Bochkovskiy, Alexey; Liao, Hong-Yuan Mark","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR",0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0816 Surveying and Mapping; 0710 Biology,Proceedings Paper,n/a,n/a,7464-7475,2023,6202,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001058542607079,30.232173,3.0442025661468506,2.216425,205.15,2037.3151,2798.1998,Domestic - Single,99.9975,n/a
WOS:001309199902060,10.1109/CVPR42600.2020.00975,n/a,Momentum Contrast for Unsupervised Visual Representation Learning,"He, Kaiming; Fan, Haoqi; Wu, Yuxin; Xie, Saining; Girshick, Ross",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,9726-9735,2020,5693,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199902060,134.471311,5.52193546295166,4.0805902,42.34,1030.9791,1395.1413,Domestic - Single,99.9988,n/a
WOS:001309199904099,10.1109/CVPR42600.2020.01155,n/a,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,"Wang, Qilong; Wu, Banggu; Zhu, Pengfei; Li, Peihua; Zuo, Wangmeng; Hu, Qinghua",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11531-11539,2020,4605,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904099,134.471311,5.52193546295166,5.7328167,34.25,833.9467,803.2701,Domestic - Multiple,99.9976,n/a
WOS:000678508900017,10.1016/j.cpc.2021.108033,n/a,VASPKIT: A user-friendly interface facilitating high-throughput computing and analysis using VASP code,"Wang, Vei; Xu, Nan; Liu, Jin-Cheng; Tang, Gang; Geng, Wen-Tong",COMPUTER PHYSICS COMMUNICATIONS,0702 Physics; 0812 Computer Science and Technology,Article,267,n/a,n/a,2021,4524,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000678508900017,44.43309,14.329200744628906,17.328606,101.82,315.7189,261.0712,International - Bilateral,99.999,4.717
WOS:000870783001076,10.1109/CVPR52688.2022.01553,n/a,Masked Autoencoders Are Scalable Vision Learners,"He, Kaiming; Chen, Xinlei; Xie, Saining; Li, Yanghao; Dollar, Piotr; Girshick, Ross",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,15979-15988,2022,4130,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870783001076,62.704008,5.281188011169434,3.203646,65.87,782.021,1289.1562,Domestic - Single,99.9964,n/a
WOS:001309199903065,10.1109/CVPR42600.2020.01079,n/a,EfficientDet: Scalable and Efficient Object Detection,"Tan, Mingxing; Pang, Ruoming; Le, Quoc, V",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10778-10787,2020,4110,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199903065,134.471311,5.52193546295166,4.0805902,30.56,744.3042,1007.2072,Domestic - Single,99.9963,n/a
WOS:000870759105006,10.1109/CVPR52688.2022.01167,n/a,A ConvNet for the 2020s,"Liu, Zhuang; Mao, Hanzi; Wu, Chao-Yuan; Feichtenhofer, Christoph; Darrell, Trevor; Xie, Saining",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11966-11976,2022,3944,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759105006,62.704008,5.281188011169434,5.9843717,62.9,746.8017,659.05,Domestic - Multiple,99.9946,n/a
WOS:000742075003090,10.1109/CVPR46437.2021.01350,n/a,Coordinate Attention for Efficient Mobile Network Design,"Hou, Qibin; Zhou, Daquan; Feng, Jiashi","2021 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR 2021",0702 Physics; 0835 Software Engineering; 0816 Surveying and Mapping; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,13708-13717,2021,3744,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000742075003090,89.320675,6.08561372756958,6.314475,41.92,615.2214,592.9234,Domestic - Multiple,99.998,n/a
WOS:000593152600001,10.1093/ptep/ptaa104,n/a,REVIEW OF PARTICLE PHYSICS,"Zyla, P. A.; Barnett, R. M.; Beringer, J.; Dahl, O.; Dwyer, D. A.; Groom, D. E.; Lin, C-J; Lugovsky, K. S.; Pianori, E.; Robinson, D. J.; Wohl, C. G.; Yao, W-M; Agashe, K.; Aielli, G.; Allanach, B. C.; Amsler, C.; Antonelli, M.; Aschenauer, E. C.; Asner, D. M.; Baer, H.; Banerjee, Sw; Baudis, L.; Bauer, C. W.; Beatty, J. J.; Belousov, V. I.; Bethke, S.; Bettini, A.; Biebel, O.; Black, K. M.; Blucher, E.; Buchmuller, O.; Burkert, V.; Bychkov, M. A.; Cahn, R. N.; Carena, M.; Ceccucci, A.; Cerri, A.; Chakraborty, D.; Chivukula, R. Sekhar; Cowan, G.; D'Ambrosio, G.; Damour, T.; de Florian, D.; de Gouvea, A.; DeGrand, T.; de Jong, P.; Dissertori, G.; Dobrescu, B. A.; D'Onofrio, M.; Doser, M.; Drees, M.; Dreiner, H. K.; Eerola, P.; Egede, U.; Eidelman, S.; Ellis, J.; Erler, J.; Ezhela, V. V.; Fetscher, W.; Fields, B. D.; Foster, B.; Freitas, A.; Gallagher, H.; Garren, L.; Gerber, H-J; Gerbier, G.; Gershon, T.; Gershtein, Y.; Gherghetta, T.; Godizov, A. A.; Gonzalez-Garcia, M. C.; Goodman, M.; Grab, C.; Gritsan, A. V.; Grojean, C.; Gruenewald, M.; Gurtu, A.; Gutsche, T.; Haber, H. E.; Hanhart, C.; Hashimoto, S.; Hayato, Y.; Hebecker, A.; Heinemeyer, S.; Heltsley, B.; Hernandez-Rey, J. J.; Hikasa, K.; Hisano, J.; Hocker, A.; Holder, J.; Holtkamp, A.; Huston, J.; Hyodo, T.; Johnson, K. F.; Kado, M.; Karliner, M.; Katz, U. F.; Kenzie, M.; Khoze, V. A.; Klein, S. R.; Klempt, E.; Kowalewski, R. V.; Krauss, F.; Kreps, M.; Krusche, B.; Kwon, Y.; Lahav, O.; Laiho, J.; Lellouch, L. P.; Lesgourgues, J.; Liddle, A. R.; Ligeti, Z.; Lippmann, C.; Liss, T. M.; Littenberg, L.; Lourenco, C.; Lugovsky, S. B.; Lusiani, A.; Makida, Y.; Maltoni, F.; Mannel, T.; Manohar, A. V.; Marciano, W. J.; Masoni, A.; Matthews, J.; Meissner, U-G; Mikhasenko, M.; Miller, D. J.; Milstead, D.; Mitchell, R. E.; Moenig, K.; Molaro, P.; Moortgat, F.; Moskovic, M.; Nakamura, K.; Narain, M.; Nason, P.; Navas, S.; Neubert, M.; Nevski, P.; Nir, Y.; Olive, K. A.; Patrignani, C.; Peacock, J. A.; Petcov, S. T.; Petrov, V. A.; Pich, A.; Piepke, A.; Pomarol, A.; Profumo, S.; Quadt, A.; Rabbertz, K.; Rademacker, J.; Raffelt, G.; Ramani, H.; Ramsey-Musolf, M.; Ratcliff, B. N.; Richardson, P.; Ringwald, A.; Roesler, S.; Rolli, S.; Romaniouk, A.; Rosenberg, L. J.; Rosner, J. L.; Rybka, G.; Ryskin, M.; Ryutin, R. A.; Sakai, Y.; Salam, G. P.; Sarkar, S.; Sauli, F.; Schneider, O.; Scholberg, K.; Schwartz, A. J.; Schwiening, J.; Scott, D.; Sharma, V.; Sharpe, S. R.; Shutt, T.; Silari, M.; Sjostrand, T.; Skands, P.; Skwarnicki, T.; Smoot, G. F.; Soffer, A.; Sozzi, M. S.; Spanier, S.; Spiering, C.; Stahl, A.; Stone, S. L.; Sumino, Y.; Sumiyoshi, T.; Syphers, M. J.; Takahashi, F.; Tanabashi, M.; Tanaka, J.; Tasevsky, M.; Terashi, K.; Terning, J.; Thoma, U.; et al.",PROGRESS OF THEORETICAL AND EXPERIMENTAL PHYSICS,0702 Physics,Article,2020,8,n/a,2020,3665,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000593152600001,30.127072,18.275903701782227,34.832058,121.65,200.5373,105.2192,International - Quadrilateral +,99.9995,2.572
