入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000512316900026,10.1107/S1600576719014092,MEDLINE:32047413,"Mercury 4.0: from visualization to analysis, design and prediction","Macrae, Clare F.; Sovago, Ioana; Cottrell, Simon J.; Galek, Peter T. A.; McCabe, Patrick; Pidcock, Elna; Platings, Michael; Shields, Greg P.; Stevens, Joanna S.; Towler, Matthew; Wood, Peter A.",JOURNAL OF APPLIED CRYSTALLOGRAPHY,0703 Chemistry,Article,53,n/a,226-235,2020,4811,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000512316900026,39.25731,23.873226165771484,20.679546,122.55,201.5228,232.6453,Domestic - Single,99.9996,3.304
WOS:000688241800015,10.1021/acs.jcim.1c00203,MEDLINE:34278794,"AutoDock Vina 1.2.0: New Docking Methods, Expanded Force Field, and Python Bindings","Eberhardt, Jerome; Santos-Martins, Diogo; Tillack, Andreas F.; Forli, Stefano",JOURNAL OF CHEMICAL INFORMATION AND MODELING,0703 Chemistry; 1007 Pharmaceutical Science; 0812 Computer Science and Technology,Article,61,8,3891-3898,2021,3451,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000688241800015,27.118959,19.01641845703125,16.585865,127.25,181.4748,208.0687,Domestic - Single,99.9997,6.162
WOS:000541908900004,="10.1063/5.0004608",MEDLINE:32534543,The ORCA quantum chemistry program package,"Neese, Frank; Wennmohs, Frank; Becker, Ute; Riplinger, Christoph",JOURNAL OF CHEMICAL PHYSICS,0703 Chemistry; 0702 Physics,Article,152,22,n/a,2020,3274,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000541908900004,27.738178,23.873226165771484,23.138315,118.03,137.1411,141.4969,Domestic - Multiple,99.9993,3.488
WOS:000765699900001,10.1002/wcms.1606,n/a,Software update: The ORCA program system-Version 5.0,"Neese, Frank",WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL MOLECULAR SCIENCE,0703 Chemistry; 0710 Biology,Article,12,5,n/a,2022,3141,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000765699900001,176.45,13.733267784118652,11.939021,17.8,228.7147,263.0869,Domestic - Single,99.9997,11.4
WOS:000659339200029,10.1107/S1600576721002910,MEDLINE:34188619,"CrystalExplorer: a program for Hirshfeld surface analysis, visualization and quantitative analysis o molecular crystals","Spackman, Peter R.; Turner, Michael J.; McKinnon, Joshua J.; Wolff, Stephen K.; Grimwood, Daniel J.; Jayatilaka, Dylan; Spackman, Mark A.",JOURNAL OF APPLIED CRYSTALLOGRAPHY,0703 Chemistry,Article,54,n/a,1006-1011,2021,3126,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000659339200029,29.389189,19.01641845703125,19.043438,106.37,164.3843,164.151,Domestic - Multiple,99.9993,4.868
WOS:000558678900011,10.1016/j.chempr.2020.06.010,n/a,S-Scheme Heterojunction Photocatalyst,"Xu, Quanlong; Zhang, Liuyang; Cheng, Bei; Fan, Jiajie; Yu, Jiaguo",CHEM,0703 Chemistry,Review,6,7,1543-1559,2020,2920,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000558678900011,221.372093,72.86302947998047,67.96145,13.19,40.0752,42.9655,Domestic - Multiple,99.9953,22.804
WOS:000510531500006,10.1021/acsnano.9b04224,MEDLINE:31478375,Present and Future of Surface-Enhanced Raman Scattering,"Langer, Judith; de Aberasturi, Dorleta Jimenez; Aizpurua, Javier; Alvarez-Puebla, Ramon A.; Auguie, Baptiste; Baumberg, Jeremy J.; Bazan, Guillermo C.; Bell, Steven E. J.; Boisen, Anja; Brolo, Alexandre G.; Choo, Jaebum; Cialla-May, Dana; Deckert, Volker; Fabris, Laura; Faulds, Karen; de Abajo, F. Javier Garcia; Goodacre, Royston; Graham, Duncan; Haes, Amanda J.; Haynes, Christy L.; Huck, Christian; Itoh, Tamitake; Ka, Mikael; Kneipp, Janina; Kotov, Nicholas A.; Kuang, Hua; Le Ru, Eric C.; Lee, Hiang Kwee; Li, Jian-Feng; Ling, Xing Yi; Maier, Stefan A.; Mayerhofer, Thomas; Moskovits, Martin; Murakoshi, Kei; Nam, Jwa-Min; Nie, Shuming; Ozaki, Yukihiro; Pastoriza-Santos, Isabel; Perez-Juste, Jorge; Popp, Juergen; Pucci, Annemarie; Reich, Stephanie; Ren, Bin; Schatz, George C.; Shegai, Timur; Schlucker, Sebastian; Tay, Li-Lin; Thomas, K. George; Tian, Zhong-Qun; Van Duyne, Richard P.; Vo-Dinh, Tuan; Wang, Yue; Willets, Katherine A.; Xu, Clauanlai; Xu, Hongxin; Xu, Yikai; Yamamoto, Yuko S.; Zhao, Bing; Liz-Marzan, Luis M.",ACS NANO,0703 Chemistry; 0805 Materials Science and Engineering,Review,14,1,28-117,2020,2875,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510531500006,213.419355,72.86302947998047,127.586494,13.47,39.4576,22.5337,International - Quadrilateral +,99.9907,15.881
WOS:000566663800016,10.1021/acs.chemrev.9b00550,MEDLINE:31967791,"Covalent Organic Frameworks: Design, Synthesis, and Functions","Geng, Keyu; He, Ting; Liu, Ruoyang; Dalapati, Sasanka; Tan, Ke Tian; Li, Zhongping; Tao, Shanshan; Gong, Yifan; Jiang, Qiuhong; Jiang, Donglin",CHEMICAL REVIEWS,0703 Chemistry,Review,120,16,8814-8933,2020,2716,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000566663800016,381.916318,72.86302947998047,105.36229,7.11,37.2754,25.7777,International - Trilateral,99.986,60.622
WOS:000517774500006,10.1016/j.scib.2020.01.001,MEDLINE:36659090,18% Efficiency organic solar cells,"Liu, Qishi; Jiang, Yufan; Jin, Ke; Qin, Jianqiang; Xu, Jingui; Li, Wenting; Xiong, Ji; Liu, Jinfeng; Xiao, Zuo; Sun, Kuan; Yang, Shangfeng; Zhang, Xiaotao; Ding, Liming",SCIENCE BULLETIN,0703 Chemistry,Article,65,4,272-275,2020,2646,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517774500006,82.47191,23.873226165771484,23.138315,32.08,110.8355,114.3558,Domestic - Multiple,99.9989,11.78
WOS:000536864800001,="10.1063/5.0007045",MEDLINE:33687235,CP2K: An electronic structure and molecular dynamics software package - Quickstep: Efficient and accurate electronic structure calculations,"Kuehne, Thomas D.; Iannuzzi, Marcella; Del Ben, Mauro; Rybkin, Vladimir V.; Seewald, Patrick; Stein, Frederick; Laino, Teodoro; Khaliullin, Rustam Z.; Schutt, Ole; Schiffmann, Florian; Golze, Dorothea; Wilhelm, Jan; Chulkov, Sergey; Bani-Hashemian, Mohammad Hossein; Weber, Valery; Borstnik, Urban; Taillefumier, Mathieu; Jakobovits, Alice Shoshana; Lazzaro, Alfio; Pabst, Hans; Mueller, Tiziano; Schade, Robert; Guidon, Manuel; Andermatt, Samuel; Holmberg, Nico; Schenter, Gregory K.; Hehn, Anna; Bussy, Augustin; Belleflamme, Fabian; Tabacchi, Gloria; Gloss, Andreas; Lass, Michael; Bethune, Iain; Mundy, Christopher J.; Plessl, Christian; Watkins, Matt; VandeVondele, Joost; Krack, Matthias; Hutter, Jurg",JOURNAL OF CHEMICAL PHYSICS,0703 Chemistry; 0702 Physics,Article,152,19,n/a,2020,2571,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000536864800001,27.738178,23.873226165771484,38.70885,92.69,107.6939,66.4189,International - Quadrilateral +,99.9985,3.488
WOS:000509426800008,10.1021/acs.chemrev.9b00248,MEDLINE:31657904,Recent Advances in Electrocatalytic Hydrogen Evolution Using Nanoparticles,"Zhu, Jing; Hu, Liangsheng; Zhao, Pengxiang; Lee, Lawrence Yoon Suk; Wong, Kwok-Yin",CHEMICAL REVIEWS,0703 Chemistry,Review,120,2,851-918,2020,2397,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509426800008,381.916318,72.86302947998047,67.96145,6.28,32.8973,35.27,Domestic - Multiple,99.9814,60.622
WOS:000554986200079,10.1021/acs.analchem.0c01887,MEDLINE:32538619,AGREE-Analytical GREEnness Metric Approach and Software,"Pena-Pereira, Francisco; Wojnowski, Wojciech; Tobiszewski, Marek",ANALYTICAL CHEMISTRY,0703 Chemistry,Article,92,14,10076-10082,2020,2207,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000554986200079,33.476406,23.873226165771484,28.373703,65.93,92.4467,77.7833,International - Bilateral,99.9982,6.986
WOS:000562192900014,10.1021/acs.chemrev.0c00107,MEDLINE:32786671,High-Efficiency Perovskite Solar Cells,"Kim, Jin Young; Lee, Jin-Wook; Jung, Hyun Suk; Shin, Hyunjung; Park, Nam-Gyu",CHEMICAL REVIEWS,0703 Chemistry,Review,120,15,7867-7918,2020,2099,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000562192900014,381.916318,72.86302947998047,67.96145,5.5,28.8075,30.8852,Domestic - Multiple,99.9767,60.622
WOS:000619635900004,10.1021/acs.chemrev.0c00385,MEDLINE:33315380,Deep Eutectic Solvents: A Review of Fundamentals and Applications,"Hansen, Benworth B.; Spittle, Stephanie; Chen, Brian; Poe, Derrick; Zhang, Yong; Klein, Jeffrey M.; Horton, Alexandre; Adhikari, Laxmi; Zelovich, Tamar; Doherty, Brian W.; Gurkan, Burcu; Maginn, Edward J.; Ragauskas, Arthur; Dadmun, Mark; Zawodzinski, Thomas A.; Baker, Gary A.; Tuckerman, Mark E.; Savinell, Robert F.; Sangoro, Joshua R.",CHEMICAL REVIEWS,0703 Chemistry,Review,121,3,1232-1285,2021,2095,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000619635900004,223.944637,52.008060455322266,47.759785,9.35,40.2822,43.8654,Domestic - Multiple,99.9964,72.087
WOS:000509426800009,10.1021/acs.chemrev.9b00201,MEDLINE:31393702,"Particulate Photocatalysts for Light-Driven Water Splitting: Mechanisms, Challenges, and Design Strategies","Wang, Qian; Domen, Kazunari",CHEMICAL REVIEWS,0703 Chemistry,Review,120,2,919-985,2020,2061,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509426800009,381.916318,72.86302947998047,89.68824,5.4,28.2859,22.9796,International - Bilateral,99.9721,60.622
WOS:000693105500012,10.1021/acsnano.1c04206,MEDLINE:34374515,Functional Hydrogels as Wound Dressing to Enhance Wound Healing,"Liang, Yongping; He, Jiahui; Guo, Baolin",ACS NANO,0703 Chemistry; 0805 Materials Science and Engineering,Review,15,8,12687-12722,2021,2060,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000693105500012,174.050847,52.008060455322266,46.07466,11.84,39.6092,44.71,Domestic - Single,99.9928,18.027
WOS:000524531600003,10.1039/c9cs00607a,MEDLINE:32133479,A review on fundamentals for designing oxygen evolution electrocatalysts,"Song, Jiajia; Wei, Chao; Huang, Zhen-Feng; Liu, Chuntai; Zeng, Lin; Wang, Xin; Xu, Zhichuan J.",CHEMICAL SOCIETY REVIEWS,0703 Chemistry,Review,49,7,2196-2214,2020,2059,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524531600003,268.251724,72.86302947998047,89.68824,7.68,28.2585,22.9573,International - Bilateral,99.9674,54.564
WOS:000519150200001,10.1021/acssuschemeng.9b06635,n/a,Degradation Rates of Plastics in the Environment,"Chamas, Ali; Moon, Hyunjin; Zheng, Jiajia; Qiu, Yang; Tabassum, Tarnuma; Jang, Jun Hee; Abu-Omar, Mandi; Scott, Susannah L.; Suh, Sangwon",ACS SUSTAINABLE CHEMISTRY & ENGINEERING,0817 Chemical Engineering and Technology; 0830 Environmental Science and Engineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering,Article,8,9,3494-3511,2020,1993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519150200001,42.053911,23.873226165771484,20.679546,47.39,83.4826,96.3754,Domestic - Single,99.9978,8.198
WOS:000791057300002,10.1038/s41563-022-01244-y,MEDLINE:35513501,Single-junction organic solar cells with over 19% efficiency enabled by a refined double-fibril network morphology,"Zhu, Lei; Zhang, Ming; Xu, Jinqiu; Li, Chao; Yan, Jun; Zhou, Guanqing; Zhong, Wenkai; Hao, Tianyu; Song, Jiali; Xue, Xiaonan; Zhou, Zichun; Zeng, Rui; Zhu, Haiming; Chen, Chun-Chao; MacKenzie, Roderick C., I; Zou, Yecheng; Nelson, Jenny; Zhang, Yongming; Sun, Yanming; Liu, Feng",NATURE MATERIALS,0805 Materials Science and Engineering; 0702 Physics; 0703 Chemistry,Article,21,6,656-+,2022,1980,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000791057300002,106.564626,13.733267784118652,15.881993,18.58,144.1754,124.6695,International - Bilateral,99.9993,41.2
WOS:000557419100001,="10.1063/5.0014475",MEDLINE:32752662,Scalable molecular dynamics on CPU and GPU architectures with NAMD,"Phillips, James C.; Hardy, David J.; Maia, Julio D. C.; Stone, John E.; Ribeiro, Joao, V; Bernardi, Rafael C.; Buch, Ronak; Fiorin, Giacomo; Henin, Jerome; Jiang, Wei; McGreevy, Ryan; Melo, Marcelo C. R.; Radak, Brian K.; Skeel, Robert D.; Singharoy, Abhishek; Wang, Yi; Roux, Benoit; Aksimentiev, Aleksei; Luthey-Schulten, Zaida; Kale, Laxmikant, V; Schulten, Klaus; Chipot, Christophe; Tajkhorshid, Emad",JOURNAL OF CHEMICAL PHYSICS,0702 Physics; 0703 Chemistry,Article,153,4,n/a,2020,1949,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000557419100001,27.738178,23.873226165771484,31.458395,70.26,81.6396,61.9548,International - Trilateral,99.9974,3.488
WOS:000749737600001,10.1002/jcc.26812,MEDLINE:35108407,Independent gradient model based on Hirshfeld partition: A new method for visual study of interactions in chemical systems,"Lu, Tian; Chen, Qinxue",JOURNAL OF COMPUTATIONAL CHEMISTRY,0703 Chemistry,Article,43,8,539-555,2022,1944,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000749737600001,16.348416,13.733267784118652,11.939021,118.91,141.5541,162.8274,Domestic - Single,99.999,3.0
WOS:000509426800018,10.1021/acs.chemrev.9b00223,MEDLINE:31246430,State of the Art and Prospects in Metal-Organic Framework (MOF)-Based and MOF-Derived Nanocatalysis,"Wang, Qi; Astruc, Didier",CHEMICAL REVIEWS,0703 Chemistry,Review,120,2,1438-1511,2020,1933,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509426800018,381.916318,72.86302947998047,62.777393,5.06,26.5292,30.7913,Domestic - Single,99.9628,60.622
WOS:000562192900006,10.1021/acs.chemrev.0c00026,MEDLINE:32614171,Advanced Thermoelectric Design: From Materials and Structures to Devices,"Shi, Xiao-Lei; Zou, Jin; Chen, Zhi-Gang",CHEMICAL REVIEWS,0703 Chemistry,Review,120,15,7399-7515,2020,1831,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000562192900006,381.916318,72.86302947998047,67.96145,4.79,25.1293,26.9417,Domestic - Multiple,99.9581,60.622
WOS:000514018600001,10.1016/j.ijhydene.2019.12.059,n/a,Hydrogen production for energy: An overview,"Dawood, Furat; Anda, Martin; Shafiullah, G. M.",INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,0820 Oil and Natural Gas Engineering; 0703 Chemistry,Review,45,7,3847-3869,2020,1788,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000514018600001,129.37037,72.86302947998047,62.777393,13.82,24.5392,28.4816,Domestic - Single,99.9535,5.816
WOS:000519820500008,="10.1063/1.5143061",MEDLINE:32087668,WIEN2k: An APW+lo program for calculating the properties of solids,"Blaha, Peter; Schwarz, Karlheinz; Tran, Fabien; Laskowski, Robert; Madsen, Georg K. H.; Marks, Laurence D.",JOURNAL OF CHEMICAL PHYSICS,0703 Chemistry; 0702 Physics,Article,152,7,n/a,2020,1758,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519820500008,27.738178,23.873226165771484,31.458395,63.38,73.639,55.8833,International - Trilateral,99.9971,3.488
WOS:000519913000006,10.1039/c7cs00863e,MEDLINE:32055806,Guidelines and trends for next-generation rechargeable lithium and lithium-ion batteries,"Wu, Feixiang; Maier, Joachim; Yu, Yan",CHEMICAL SOCIETY REVIEWS,0703 Chemistry,Review,49,5,1569-1614,2020,1726,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519913000006,268.251724,72.86302947998047,89.68824,6.43,23.6883,19.2444,International - Bilateral,99.9488,54.564
WOS:000514672300001,10.3389/fendo.2020.00025,MEDLINE:32082260,The Role of Short-Chain Fatty Acids From Gut Microbiota in Gut-Brain Communication,"Silva, Ygor Parladore; Bernardi, Andressa; Frozza, Rudimar Luiz",FRONTIERS IN ENDOCRINOLOGY,1002 Clinical Medicine; 1001 Basic Medicine; 0710 Biology; 0703 Chemistry,Review,11,n/a,n/a,2020,1724,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000514672300001,51.960422,72.86302947998047,67.96145,33.18,23.6608,25.3673,Domestic - Multiple,99.9442,5.555
WOS:000522060400001,10.1002/adma.201908205,MEDLINE:32227399,Single-Junction Organic Photovoltaic Cells with Approaching 18% Efficiency,"Cui, Yong; Yao, Huifeng; Zhang, Jianqi; Xian, Kaihu; Zhang, Tao; Hong, Ling; Wang, Yuming; Xu, Ye; Ma, Kangqiao; An, Cunbin; He, Chang; Wei, Zhixiang; Gao, Feng; Hou, Jianhui",ADVANCED MATERIALS,0805 Materials Science and Engineering; 0703 Chemistry; 0702 Physics,Article,32,19,n/a,2020,1688,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522060400001,129.869458,23.873226165771484,28.373703,13.0,70.7068,59.4917,International - Bilateral,99.9967,30.849
WOS:000569977700001,10.3390/ijms21176275,MEDLINE:32872570,Pathophysiology of Type 2 Diabetes Mellitus,"Galicia-Garcia, Unai; Benito-Vicente, Asier; Jebari, Shifa; Larrea-Sebal, Asier; Siddiqi, Haziq; Uribe, Kepa B.; Ostolaza, Helena; Martin, Cesar",INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0703 Chemistry; 0710 Biology,Review,21,17,n/a,2020,1647,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000569977700001,53.958957,72.86302947998047,89.68824,30.52,22.6041,18.3636,International - Bilateral,99.9395,5.924
WOS:000748794300001,10.1002/adma.202107668,MEDLINE:34962659,Emerging S-Scheme Photocatalyst,"Zhang, Liuyang; Zhang, Jianjun; Yu, Huogen; Yu, Jiaguo",ADVANCED MATERIALS,0703 Chemistry; 0805 Materials Science and Engineering; 0702 Physics,Review,34,11,n/a,2022,1646,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000748794300001,130.220264,35.3624267578125,31.01628,12.64,46.5466,53.0689,Domestic - Single,99.9959,29.4
WOS:000527264500011,10.1016/j.joule.2020.03.002,n/a,Scientific Challenges for the Implementation of Zn-Ion Batteries,"Blanc, Lauren E.; Kundu, Dipan; Nazar, Linda F.",JOULE,0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering; 0703 Chemistry,Review,4,4,771-799,2020,1563,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527264500011,350.103448,72.86302947998047,89.68824,4.46,21.4512,17.427,International - Bilateral,99.9349,41.248
WOS:000555396400002,10.1038/s41563-020-0747-z,MEDLINE:32747700,Perspectives for electrochemical capacitors and related devices,"Simon, Patrice; Gogotsi, Yury",NATURE MATERIALS,0702 Physics; 0805 Materials Science and Engineering; 0703 Chemistry,Review,19,11,1151-1163,2020,1562,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555396400002,469.571429,72.86302947998047,89.68824,3.33,21.4375,17.4159,International - Bilateral,99.9302,43.841
WOS:000708673100022,10.1021/acs.jctc.1c00645,MEDLINE:34586825,gmx_MMPBSA: A New Tool to Perform End-State Free Energy Calculations with GROMACS,"Valdes-Tresanco, Mario S.; Valdes-Tresanco, Mario E.; Valiente, Pedro A.; Moreno, Ernesto",JOURNAL OF CHEMICAL THEORY AND COMPUTATION,0703 Chemistry; 0702 Physics,Article,17,10,6281-6291,2021,1534,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000708673100022,25.970724,19.01641845703125,22.778845,59.07,80.6671,67.3432,International - Trilateral,99.999,6.578
