入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000540214600001,10.1002/qj.3803,n/a,The ERA5 global reanalysis,"Hersbach, Hans; Bell, Bill; Berrisford, Paul; Hirahara, Shoji; Horanyi, Andras; Munoz-Sabater, Joaquin; Nicolas, Julien; Peubey, Carole; Radu, Raluca; Schepers, Dinand; Simmons, Adrian; Soci, Cornel; Abdalla, Saleh; Abellan, Xavier; Balsamo, Gianpaolo; Bechtold, Peter; Biavati, Gionata; Bidlot, Jean; Bonavita, Massimo; De Chiara, Giovanna; Dahlgren, Per; Dee, Dick; Diamantakis, Michail; Dragani, Rossana; Flemming, Johannes; Forbes, Richard; Fuentes, Manuel; Geer, Alan; Haimberger, Leo; Healy, Sean; Hogan, Robin J.; Holm, Elias; Janiskova, Marta; Keeley, Sarah; Laloyaux, Patrick; Lopez, Philippe; Lupu, Cristina; Radnoti, Gabor; de Rosnay, Patricia; Rozum, Iryna; Vamborg, Freja; Villaume, Sebastien; Thepaut, Jean-Noel",QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,0706 Atmospheric Science,Article,146,730,1999-2049,2020,16959,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540214600001,86.254167,21.32870864868164,60.28691,196.62,795.1255,281.3048,International - Quadrilateral +,99.9943,3.739
WOS:000695408800002,10.5194/essd-13-4349-2021,n/a,ERA5-Land: a state-of-the-art global reanalysis dataset for land applications,"Munoz-Sabater, Joaquin; Dutra, Emanuel; Agusti-Panareda, Anna; Albergel, Clement; Arduini, Gabriele; Balsamo, Gianpaolo; Boussetta, Souhail; Choulga, Margarita; Harrigan, Shaun; Hersbach, Hans; Martens, Brecht; Miralles, Diego G.; Piles, Maria; Rodriguez-Fernandez, Nemesio J.; Zsoter, Ervin; Buontempo, Carlo; Thepaut, Jean-Noel",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Article,13,9,4349-4383,2021,2384,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000695408800002,66.434483,16.19180679321289,35.43855,35.88,147.235,67.2714,International - Quadrilateral +,99.9947,11.815
WOS:000685170800002,10.5194/essd-13-3907-2021,n/a,The 30 m annual land cover dataset and its dynamics in China from 1990 to 2019,"Yang, Jie; Huang, Xin",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Article,13,8,3907-3925,2021,1989,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000685170800002,66.434483,16.19180679321289,12.481806,29.94,122.8399,159.3519,Domestic - Single,99.9895,11.815
WOS:000599511400001,10.5194/essd-12-3269-2020,n/a,Global Carbon Budget 2020,"Friedlingstein, Pierre; O'Sullivan, Michael; Jones, Matthew W.; Andrew, Robbie M.; Hauck, Judith; Olsen, Are; Peters, Glen P.; Peters, Wouter; Pongratz, Julia; Sitch, Stephen; Le Quere, Corinne; Canadell, Josep G.; Ciais, Philippe; Jackson, Robert B.; Alin, Simone; Aragao, Luiz E. O. C.; Arneth, Almut; Arora, Vivek; Bates, Nicholas R.; Becker, Meike; Benoit-Cattin, Alice; Bittig, Henry C.; Bopp, Laurent; Bultan, Selma; Chandra, Naveen; Chevallier, Frederic; Chini, Louise P.; Evans, Wiley; Florentie, Liesbeth; Forster, Piers M.; Gasser, Thomas; Gehlen, Marion; Gilfillan, Dennis; Gkritzalis, Thanos; Gregor, Luke; Gruber, Nicolas; Harris, Ian; Hartung, Kerstin; Haverd, Vanessa; Houghton, Richard A.; Ilyina, Tatiana; Jain, Atul K.; Joetzjer, Emilie; Kadono, Koji; Kato, Etsushi; Kitidis, Vassilis; Korsbakken, Jan Ivar; Landschutzer, Peter; Lefevre, Nathalie; Lenton, Andrew; Lienert, Sebastian; Liu, Zhu; Lombardozzi, Danica; Marland, Gregg; Metzl, Nicolas; Munro, David R.; Nabel, Julia E. M. S.; Nakaoka, Shin-Ichiro; Niwa, Yosuke; O'Brien, Kevin; Ono, Tsuneo; Palmer, Paul I.; Pierrot, Denis; Poulter, Benjamin; Resplandy, Laure; Robertson, Eddy; Rodenbeck, Christian; Schwinger, Jorg; Seferian, Roland; Skjelvan, Ingunn; Smith, Adam J. P.; Sutton, Adrienne J.; Tanhua, Toste; Tans, Pieter P.; Tian, Hanqin; Tilbrook, Bronte; Van der Werf, Guido; Vuichard, Nicolas; Walker, Anthony P.; Wanninkhof, Rik; Watson, Andrew J.; Willis, David; Wiltshire, Andrew J.; Yuan, Wenping; Yue, Xu; Zaehle, Sonke",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Data Paper,12,4,3269-3340,2020,1663,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000599511400001,55.423529,50.55329895019531,94.36364,30.01,32.896,17.6233,International - Quadrilateral +,99.4924,11.333
WOS:000551377400001,10.5194/essd-12-1561-2020,n/a,The Global Methane Budget 2000-2017,"Saunois, Marielle; Stavert, Ann R.; Poulter, Ben; Bousquet, Philippe; Canadell, Josep G.; Jackson, Robert B.; Raymond, Peter A.; Dlugokencky, Edward J.; Houweling, Sander; Patra, Prabir K.; Ciais, Philippe; Arora, Vivek K.; Bastviken, David; Bergamaschi, Peter; Blake, Donald R.; Brailsford, Gordon; Bruhwiler, Lori; Carlson, Kimberly M.; Carrol, Mark; Castaldi, Simona; Chandra, Naveen; Crevoisier, Cyril; Crill, Patrick M.; Covey, Kristofer; Curry, Charles L.; Etiope, Giuseppe; Frankenberg, Christian; Gedney, Nicola; Hegglin, Michaela, I; Hoglund-Isaksson, Lena; Hugelius, Gustaf; Ishizawa, Misa; Ito, Akihiko; Janssens-Maenhout, Greet; Jensen, Katherine M.; Joos, Fortunat; Kleinen, Thomas; Krummel, Paul B.; Langenfelds, Ray L.; Laruelle, Goulven G.; Liu, Licheng; Machida, Toshinobu; Maksyutov, Shamil; McDonald, Kyle C.; McNorton, Joe; Miller, Paul A.; Melton, Joe R.; Morino, Isamu; Muller, Jurek; Murguia-Flores, Fabiola; Naik, Vaishali; Niwa, Yosuke; Noce, Sergio; Doherty, Simon O.; Parker, Robert J.; Peng, Changhui; Peng, Shushi; Peters, Glen P.; Prigent, Catherine; Prinn, Ronald; Ramonet, Michel; Regnier, Pierre; Riley, William J.; Rosentreter, Judith A.; Segers, Arjo; Simpson, Isobel J.; Shi, Hao; Smith, Steven J.; Steele, L. Paul; Thornton, Brett F.; Tian, Hanqin; Tohjima, Yasunori; Tubiello, Francesco N.; Tsuruta, Aki; Viovy, Nicolas; Voulgarakis, Apostolos; Weber, Thomas S.; van Weele, Michiel; van der Werf, Guido R.; Weiss, Ray F.; Worthy, Doug; Wunch, Debra; Yin, Yi; Yoshida, Yukio; Zhang, Wenxin; Zhang, Zhen; Zhao, Yuanhong; Zheng, Bo; Zhu, Qing; Zhu, Qiuan; Zhuang, Qianlai",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Review,12,3,1561-1623,2020,1617,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551377400001,394.6,58.17494201660156,151.09091,4.1,27.7955,10.7022,International - Quadrilateral +,99.7636,11.333
WOS:000519728500010,10.1029/2019MS001916,n/a,The Community Earth System Model Version 2 (CESM2),"Danabasoglu, G.; Lamarque, J. -F.; Bacmeister, J.; Bailey, D. A.; DuVivier, A. K.; Edwards, J.; Emmons, L. K.; Fasullo, J.; Garcia, R.; Gettelman, A.; Hannay, C.; Holland, M. M.; Large, W. G.; Lauritzen, P. H.; Lawrence, D. M.; Lenaerts, J. T. M.; Lindsay, K.; Lipscomb, W. H.; Mills, M. J.; Neale, R.; Oleson, K. W.; Otto-Bliesner, B.; Phillips, A. S.; Sacks, W.; Tilmes, S.; Van Kampenhout, L.; Vertenstein, M.; Bertini, A.; Dennis, J.; Deser, C.; Fischer, C.; Fox-Kemper, B.; Kay, J. E.; Kinnison, D.; Kushner, P. J.; Larson, V. E.; Long, M. C.; Mickelson, S.; Moore, J. K.; Nienhouse, E.; Polvani, L.; Rasch, P. J.; Strand, W. G.",JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,0706 Atmospheric Science,Article,12,2,n/a,2020,1604,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519728500010,50.188596,21.32870864868164,28.692366,31.96,75.2038,55.9034,International - Trilateral,99.9887,6.66
WOS:000534517700001,10.1038/s41558-020-0797-x,n/a,Temporary reduction in daily global CO2 emissions during the COVID-19 forced confinement,"Le Quere, Corinne; Jackson, Robert B.; Jones, Matthew W.; Smith, Adam J. P.; Abernethy, Sam; Andrew, Robbie M.; De-Gol, Anthony J.; Willis, David R.; Shan, Yuli; Canadell, Josep G.; Friedlingstein, Pierre; Creutzig, Felix; Peters, Glen P.",NATURE CLIMATE CHANGE,0830 Environmental Science and Engineering; 0706 Atmospheric Science,Article,10,7,647-+,2020,1431,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534517700001,127.253521,21.32870864868164,60.28691,11.25,67.0927,23.7365,International - Quadrilateral +,99.983,25.29
WOS:000620429200001,10.1038/s41558-021-00989-9,n/a,Climate warming enhances microbial network complexity and stability,"Yuan, Mengting Maggie; Guo, Xue; Wu, Linwei; Zhang, Ya; Xiao, Naijia; Ning, Daliang; Shi, Zhou; Zhou, Xishu; Wu, Liyou; Yang, Yunfeng; Tiedje, James M.; Zhou, Jizhong",NATURE CLIMATE CHANGE,0830 Environmental Science and Engineering; 0706 Atmospheric Science,Article,11,4,343-U100,2021,1318,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000620429200001,141.992126,16.19180679321289,17.058695,9.28,81.3992,77.2627,International - Bilateral,99.9842,28.862
WOS:000787247700001,10.5194/essd-14-1917-2022,n/a,Global Carbon Budget 2021,"Friedlingstein, Pierre; Jones, Matthew W.; O'Sullivan, Michael; Andrew, Robbie M.; Bakker, Dorothee C. E.; Hauck, Judith; Le Quere, Corinne; Peters, Glen P.; Peters, Wouter; Pongratz, Julia; Sitch, Stephen; Canadell, Josep G.; Ciais, Philippe; Jackson, Rob B.; Alin, Simone R.; Anthoni, Peter; Bates, Nicholas R.; Becker, Meike; Bellouin, Nicolas; Bopp, Laurent; Chau, Thi Tuyet Trang; Chevallier, Frederic; Chini, Louise P.; Cronin, Margot; Currie, Kim I.; Decharme, Bertrand; Djeutchouang, Laique M.; Dou, Xinyu; Evans, Wiley; Feely, Richard A.; Feng, Liang; Gasser, Thomas; Gilfillan, Dennis; Gkritzalis, Thanos; Grassi, Giacomo; Gregor, Luke; Gruber, Nicolas; Gurses, Ozgur; Harris, Ian; Houghton, Richard A.; Hurtt, George C.; Iida, Yosuke; Ilyina, Tatiana; Luijkx, Ingrid T.; Jain, Atul; Jones, Steve D.; Kato, Etsushi; Kennedy, Daniel; Klein Goldewijk, Kees; Knauer, Jurgen; Korsbakken, Jan Ivar; Kortzinger, Arne; Landschutzer, Peter; Lauvset, Siv K.; Lefevre, Nathalie; Lienert, Sebastian; Liu, Junjie; Marland, Gregg; McGuire, Patrick C.; Melton, Joe R.; Munro, David R.; Nabel, Julia E. M. S.; Nakaoka, Shin-Ichiro; Niwa, Yosuke; Ono, Tsuneo; Pierrot, Denis; Poulter, Benjamin; Rehder, Gregor; Resplandy, Laure; Robertson, Eddy; Rodenbeck, Christian; Rosan, Thais M.; Schwinger, Jorg; Schwingshackl, Clemens; Seferian, Roland; Sutton, Adrienne J.; Sweeney, Colm; Tanhua, Toste; Tans, Pieter P.; Tian, Hanqin; Tilbrook, Bronte; Tubiello, Francesco; van der Werf, Guido R.; Vuichard, Nicolas; Wada, Chisato; Wanninkhof, Rik; Watson, Andrew J.; Willis, David; Wiltshire, Andrew J.; Yuan, Wenping; Yue, Chao; Yue, Xu; Zaehle, Sonke; Zeng, Jiye",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Data Paper,14,4,1917-2005,2022,1092,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000787247700001,29.144578,27.236263275146484,72.064514,37.47,40.0936,15.1531,International - Quadrilateral +,99.4506,11.4
WOS:000928187000001,10.5194/essd-14-4811-2022,n/a,Global Carbon Budget 2022,"Friedlingstein, Pierre; O'Sullivan, Michael; Jones, Matthew W.; Andrew, Robbie M.; Gregor, Luke; Hauck, Judith; Le Quere, Corinne; Luijkx, Ingrid T.; Olsen, Are; Peters, Glen P.; Peters, Wouter; Pongratz, Julia; Schwingshackl, Clemens; Sitch, Stephen; Canadell, Josep G.; Ciais, Philippe; Jackson, Robert B.; Alin, Simone R.; Alkama, Ramdane; Arneth, Almut; Arora, Vivek K.; Bates, Nicholas R.; Becker, Meike; Bellouin, Nicolas; Bittig, Henry C.; Bopp, Laurent; Chevallier, Frederic; Chini, Louise P.; Cronin, Margot; Evans, Wiley; Falk, Stefanie; Feely, Richard A.; Gasser, Thomas; Gehlen, Marion; Gkritzalis, Thanos; Gloege, Lucas; Grassi, Giacomo; Gruber, Nicolas; Gurses, Ozgur; Harris, Ian; Hefner, Matthew; Houghton, Richard A.; Hurtt, George C.; Iida, Yosuke; Ilyina, Tatiana; Jain, Atul K.; Jersild, Annika; Kadono, Koji; Kato, Etsushi; Kennedy, Daniel; Goldewijk, Kees Klein; Knauer, Jurgen; Korsbakken, Jan Ivar; Landschutzer, Peter; Lefevre, Nathalie; Lindsay, Keith; Liu, Junjie; Liu, Zhu; Marland, Gregg; Mayot, Nicolas; McGrath, Matthew J.; Metzl, Nicolas; Monacci, Natalie M.; Munro, David R.; Nakaoka, Shin-Ichiro; Niwa, Yosuke; O'Brien, Kevin; Ono, Tsuneo; Palmer, Paul, I; Pan, Naiqing; Pierrot, Denis; Pocock, Katie; Poulter, Benjamin; Resplandy, Laure; Robertson, Eddy; Rodenbeck, Christian; Rodriguez, Carmen; Rosan, Thais M.; Schwinger, Jorg; Seferian, Roland; Shutler, Jamie D.; Skjelvan, Ingunn; Steinhoff, Tobias; Sun, Qing; Sutton, Adrienne J.; Sweeney, Colm; Takao, Shintaro; Tanhua, Toste; Tans, Pieter P.; Tian, Xiangjun; Tian, Hanqin; Tilbrook, Bronte; Tsujino, Hiroyuki; Tubiello, Francesco; van der Werf, Guido R.; Walker, Anthony P.; Wanninkhof, Rik; Whitehead, Chris; Wranne, Anna Willstrand; Wright, Rebecca; Yuan, Wenping; Yue, Chao; Yue, Xu; Zaehle, Sonke; Zeng, Jiye; Zheng, Bo",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Article,14,11,4811-4900,2022,1010,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000928187000001,35.240385,10.554130554199219,20.343811,28.66,95.6971,49.6465,International - Quadrilateral +,99.9945,11.4
