入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:001250139804219,10.1109/IGARSS47720.2021.9553499,n/a,Global land use / land cover with Sentinel 2 and deep learning,"Karra, Krishna; Kontgis, Caitlin; Statman-Weil, Zoe; Mazzariello, Joseph C.; Mathis, Mark; Brumby, Steven P.",2021 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS,0830 Environmental Science and Engineering; 0804 Instrumentation Science and Technology; 0709 Geology; 0706 Atmospheric Science; 0707 Marine Science; 0907 Forestry; 0705 Geography; 0901 Crop Science; 0708 Geophysics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,4704-4707,2021,832,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001250139804219,1.380864,1.1954166889190674,1.1377254,602.52,695.9916,731.2837,Domestic - Single,99.9937,n/a
WOS:000530025100001,10.1029/2018JC014719,n/a,A Global Perspective on Microplastics,"Hale, Robert C.; Seeley, Meredith E.; La Guardia, Mark J.; Mai, Lei; Zeng, Eddy Y.",JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,0707 Marine Science,Review,125,1,n/a,2020,773,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000530025100001,284.75,42.25193786621094,44.62295,2.71,18.295,17.3229,International - Bilateral,99.6124,3.405
WOS:000920916600052,10.1109/IGARSS46834.2022.9883686,n/a,A TRANSFORMER-BASED SIAMESE NETWORK FOR CHANGE DETECTION,"Bandara, Wele Gedara Chaminda; Patel, Vishal M.",2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),0706 Atmospheric Science; 0709 Geology; 0907 Forestry; 0707 Marine Science; 0901 Crop Science; 0830 Environmental Science and Engineering; 0804 Instrumentation Science and Technology; 0705 Geography; 0708 Geophysics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,207-210,2022,492,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000920916600052,2.009302,1.2240967750549316,1.0768938,244.86,401.929,456.8696,Domestic - Single,99.9918,n/a
WOS:000614649200014,10.1146/annurev-marine-032720-095144,MEDLINE:32976730,Marine Heatwaves,"Oliver, Eric C. J.; Benthuysen, Jessica A.; Darmaraki, Sofia; Donat, Markus G.; Hobday, Alistair J.; Holbrook, Neil J.; Schlegel, Robert W.; Sen Gupta, Alex","ANNUAL REVIEW OF MARINE SCIENCE, VOL 13, 2021",0707 Marine Science; 0710 Biology; 0708 Geophysics,Review,13,n/a,313-342,2021,433,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000614649200014,71.761905,23.35978889465332,42.939392,6.03,18.5361,10.084,International - Quadrilateral +,99.7355,n/a
WOS:000542188700049,10.1016/j.oceaneng.2020.107381,n/a,"Review of the current status, technology and future trends of offshore wind farms","Diaz, H.; Guedes Soares, C.",OCEAN ENGINEERING,0707 Marine Science; 0814 Civil Engineering; 0824 Naval Architecture and Ocean Engineering,Review,209,n/a,n/a,2020,414,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000542188700049,100.857143,42.25193786621094,45.93421,4.1,9.7984,9.0129,Domestic - Single,99.2248,3.795
WOS:000513656700053,10.3390/jmse8010026,n/a,Marine Application of Fiber Reinforced Composites: A Review,"Rubino, Felice; Nistico, Antonio; Tucci, Fausto; Carlone, Pierpaolo",JOURNAL OF MARINE SCIENCE AND ENGINEERING,0707 Marine Science,Review,8,1,n/a,2020,389,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000513656700053,45.388889,42.25193786621094,36.88158,8.57,9.2067,10.5473,Domestic - Multiple,98.8372,2.458
WOS:000598034700001,10.1071/ES19035,n/a,The Australian Earth System Model: ACCESS-ESM1.5,"Ziehn, Tilo; Chamberlain, Matthew A.; Law, Rachel M.; Lenton, Andrew; Bodman, Roger W.; Dix, Martin; Stevens, Lauren; Wang, Ying-Ping; Srbinovsky, Jhan",JOURNAL OF SOUTHERN HEMISPHERE EARTH SYSTEMS SCIENCE,0707 Marine Science; 0706 Atmospheric Science,Article,70,1,193-214,2020,375,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000598034700001,33.0,13.887731552124023,12.693696,11.36,27.0023,29.5422,Domestic - Multiple,99.9901,0.629
WOS:000507475600006,10.1146/annurev-marine-010419-010916,MEDLINE:31505130,Climate-Driven Shifts in Marine Species Ranges: Scaling from Organisms to Communities,"Pinsky, Malin L.; Selden, Rebecca L.; Kitchel, Zoe J.","ANNUAL REVIEW OF MARINE SCIENCE, VOL 12",0708 Geophysics; 0710 Biology; 0707 Marine Science,Review,12,n/a,153-179,2020,372,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507475600006,98.857143,42.25193786621094,45.93421,3.76,8.8043,8.0985,Domestic - Single,98.4496,n/a
WOS:000550677800014,10.1109/JOE.2019.2911447,n/a,Underwater Image Enhancement Using a Multiscale Dense Generative Adversarial Network,"Guo, Yecai; Li, Hanyu; Zhuang, Peixian",IEEE JOURNAL OF OCEANIC ENGINEERING,0707 Marine Science; 0824 Naval Architecture and Ocean Engineering; 0814 Civil Engineering; 0809 Electronic Science and Technology,Article,45,3,862-870,2020,368,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000550677800014,24.591667,13.887731552124023,12.291273,14.96,26.4982,29.9399,Domestic - Single,99.9802,3.554
WOS:000648484500001,10.5194/os-17-615-2021,n/a,FES2014 global ocean tide atlas: design and performance,"Lyard, Florent H.; Allain, Damien J.; Cancet, Mathilde; Carrere, Loren; Picot, Nicolas",OCEAN SCIENCE,0707 Marine Science; 0706 Atmospheric Science,Article,17,2,615-649,2021,334,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000648484500001,18.096774,11.484874725341797,10.740228,18.46,29.0817,31.098,Domestic - Multiple,99.9905,4.311
