入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000588638500001,10.1017/RDC.2020.41,n/a,THE INTCAL20 NORTHERN HEMISPHERE RADIOCARBON AGE CALIBRATION CURVE (0-55 CAL KBP),"Reimer, Paula J.; Austin, William E. N.; Bard, Edouard; Bayliss, Alex; Blackwell, Paul G.; Ramsey, Christopher Bronk; Butzin, Martin; Cheng, Hai; Edwards, R. Lawrence; Friedrich, Michael; Grootes, Pieter M.; Guilderson, Thomas P.; Hajdas, Irka; Heaton, Timothy J.; Hogg, Alan G.; Hughen, Konrad A.; Kromer, Bernd; Manning, Sturt W.; Muscheler, Raimund; Palmer, Jonathan G.; Pearson, Charlotte; van der Plicht, Johannes; Reimer, Ron W.; Richards, David A.; Scott, E. Marian; Southon, John R.; Turney, Christian S. M.; Wacker, Lukas; Adolphi, Florian; Buentgen, Ulf; Capano, Manuela; Fahrni, Simon M.; Fogtmann-Schulz, Alexandra; Friedrich, Ronny; Koehler, Peter; Kudsk, Sabrina; Miyake, Fusa; Olsen, Jesper; Reinig, Frederick; Sakamoto, Minoru; Sookdeo, Adam; Talamo, Sahra",RADIOCARBON,0708 Geophysics,Article,62,4,725-757,2020,4911,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000588638500001,74.353982,17.62852668762207,35.942333,66.05,278.5826,136.6355,International - Quadrilateral +,99.9979,1.504
WOS:000695408800002,10.5194/essd-13-4349-2021,n/a,ERA5-Land: a state-of-the-art global reanalysis dataset for land applications,"Munoz-Sabater, Joaquin; Dutra, Emanuel; Agusti-Panareda, Anna; Albergel, Clement; Arduini, Gabriele; Balsamo, Gianpaolo; Boussetta, Souhail; Choulga, Margarita; Harrigan, Shaun; Hersbach, Hans; Martens, Brecht; Miralles, Diego G.; Piles, Maria; Rodriguez-Fernandez, Nemesio J.; Zsoter, Ervin; Buontempo, Carlo; Thepaut, Jean-Noel",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Article,13,9,4349-4383,2021,2384,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000695408800002,66.434483,14.072654724121094,23.545937,35.88,169.4066,101.2489,International - Quadrilateral +,99.998,11.815
WOS:000685170800002,10.5194/essd-13-3907-2021,n/a,The 30 m annual land cover dataset and its dynamics in China from 1990 to 2019,"Yang, Jie; Huang, Xin",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Article,13,8,3907-3925,2021,1989,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000685170800002,66.434483,14.072654724121094,12.308879,29.94,141.3379,161.5907,Domestic - Single,99.9959,11.815
WOS:000599511400001,10.5194/essd-12-3269-2020,n/a,Global Carbon Budget 2020,"Friedlingstein, Pierre; O'Sullivan, Michael; Jones, Matthew W.; Andrew, Robbie M.; Hauck, Judith; Olsen, Are; Peters, Glen P.; Peters, Wouter; Pongratz, Julia; Sitch, Stephen; Le Quere, Corinne; Canadell, Josep G.; Ciais, Philippe; Jackson, Robert B.; Alin, Simone; Aragao, Luiz E. O. C.; Arneth, Almut; Arora, Vivek; Bates, Nicholas R.; Becker, Meike; Benoit-Cattin, Alice; Bittig, Henry C.; Bopp, Laurent; Bultan, Selma; Chandra, Naveen; Chevallier, Frederic; Chini, Louise P.; Evans, Wiley; Florentie, Liesbeth; Forster, Piers M.; Gasser, Thomas; Gehlen, Marion; Gilfillan, Dennis; Gkritzalis, Thanos; Gregor, Luke; Gruber, Nicolas; Harris, Ian; Hartung, Kerstin; Haverd, Vanessa; Houghton, Richard A.; Ilyina, Tatiana; Jain, Atul K.; Joetzjer, Emilie; Kadono, Koji; Kato, Etsushi; Kitidis, Vassilis; Korsbakken, Jan Ivar; Landschutzer, Peter; Lefevre, Nathalie; Lenton, Andrew; Lienert, Sebastian; Liu, Zhu; Lombardozzi, Danica; Marland, Gregg; Metzl, Nicolas; Munro, David R.; Nabel, Julia E. M. S.; Nakaoka, Shin-Ichiro; Niwa, Yosuke; O'Brien, Kevin; Ono, Tsuneo; Palmer, Paul I.; Pierrot, Denis; Poulter, Benjamin; Resplandy, Laure; Robertson, Eddy; Rodenbeck, Christian; Schwinger, Jorg; Seferian, Roland; Skjelvan, Ingunn; Smith, Adam J. P.; Sutton, Adrienne J.; Tanhua, Toste; Tans, Pieter P.; Tian, Hanqin; Tilbrook, Bronte; Van der Werf, Guido; Vuichard, Nicolas; Walker, Anthony P.; Wanninkhof, Rik; Watson, Andrew J.; Willis, David; Wiltshire, Andrew J.; Yuan, Wenping; Yue, Xu; Zaehle, Sonke",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Data Paper,12,4,3269-3340,2020,1663,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000599511400001,55.423529,47.89302444458008,87.95918,30.01,34.7232,18.9065,International - Quadrilateral +,99.5349,11.333
WOS:000551377400001,10.5194/essd-12-1561-2020,n/a,The Global Methane Budget 2000-2017,"Saunois, Marielle; Stavert, Ann R.; Poulter, Ben; Bousquet, Philippe; Canadell, Josep G.; Jackson, Robert B.; Raymond, Peter A.; Dlugokencky, Edward J.; Houweling, Sander; Patra, Prabir K.; Ciais, Philippe; Arora, Vivek K.; Bastviken, David; Bergamaschi, Peter; Blake, Donald R.; Brailsford, Gordon; Bruhwiler, Lori; Carlson, Kimberly M.; Carrol, Mark; Castaldi, Simona; Chandra, Naveen; Crevoisier, Cyril; Crill, Patrick M.; Covey, Kristofer; Curry, Charles L.; Etiope, Giuseppe; Frankenberg, Christian; Gedney, Nicola; Hegglin, Michaela, I; Hoglund-Isaksson, Lena; Hugelius, Gustaf; Ishizawa, Misa; Ito, Akihiko; Janssens-Maenhout, Greet; Jensen, Katherine M.; Joos, Fortunat; Kleinen, Thomas; Krummel, Paul B.; Langenfelds, Ray L.; Laruelle, Goulven G.; Liu, Licheng; Machida, Toshinobu; Maksyutov, Shamil; McDonald, Kyle C.; McNorton, Joe; Miller, Paul A.; Melton, Joe R.; Morino, Isamu; Muller, Jurek; Murguia-Flores, Fabiola; Naik, Vaishali; Niwa, Yosuke; Noce, Sergio; Doherty, Simon O.; Parker, Robert J.; Peng, Changhui; Peng, Shushi; Peters, Glen P.; Prigent, Catherine; Prinn, Ronald; Ramonet, Michel; Regnier, Pierre; Riley, William J.; Rosentreter, Judith A.; Segers, Arjo; Simpson, Isobel J.; Shi, Hao; Smith, Steven J.; Steele, L. Paul; Thornton, Brett F.; Tian, Hanqin; Tohjima, Yasunori; Tubiello, Francesco N.; Tsuruta, Aki; Viovy, Nicolas; Voulgarakis, Apostolos; Weber, Thomas S.; van Weele, Michiel; van der Werf, Guido R.; Weiss, Ray F.; Worthy, Doug; Wunch, Debra; Yin, Yi; Yoshida, Yukio; Zhang, Wenxin; Zhang, Zhen; Zhao, Yuanhong; Zheng, Bo; Zhu, Qing; Zhu, Qiuan; Zhuang, Qianlai",EARTH SYSTEM SCIENCE DATA,0708 Geophysics; 0706 Atmospheric Science,Review,12,3,1561-1623,2020,1617,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551377400001,394.6,49.9920768737793,109.30345,4.1,32.3451,14.7937,International - Quadrilateral +,99.9208,11.333
WOS:000665167500041,10.1109/TGRS.2020.3015157,n/a,Graph Convolutional Networks for Hyperspectral Image Classification,"Hong, Danfeng; Gao, Lianru; Yao, Jing; Zhang, Bing; Plaza, Antonio; Chanussot, Jocelyn",IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0708 Geophysics; 0809 Electronic Science and Technology; 0816 Surveying and Mapping,Article,59,7,5966-5978,2021,1331,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000665167500041,33.268994,14.072654724121094,16.996532,40.01,94.5806,78.3101,International - Trilateral,99.9939,8.125
WOS:000508739800022,10.1016/j.isprsjprs.2019.11.023,n/a,Object detection in optical remote sensing images: A survey and a new benchmark,"Li, Ke; Wan, Gang; Cheng, Gong; Meng, Liqiu; Han, Junwei",ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0705 Geography; 0708 Geophysics; 0816 Surveying and Mapping,Article,159,n/a,296-307,2020,1308,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508739800022,69.170543,17.62852668762207,20.137682,18.91,74.1979,64.9529,International - Bilateral,99.9958,8.979
WOS:000588638500003,10.1017/RDC.2020.68,n/a,"MARINE20-THE MARINE RADIOCARBON AGE CALIBRATION CURVE (0-55,000 CAL BP)","Heaton, Timothy J.; Koehler, Peter; Butzin, Martin; Bard, Edouard; Reimer, Ron W.; Austin, William E. N.; Ramsey, Christopher Bronk; Grootes, Pieter M.; Hughen, Konrad A.; Kromer, Bernd; Reimer, Paula J.; Adkins, Jess; Burke, Andrea; Cook, Mea S.; Olsen, Jesper; Skinner, Luke C.",RADIOCARBON,0708 Geophysics,Article,62,4,779-820,2020,1220,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000588638500003,74.353982,17.62852668762207,35.942333,16.41,69.206,33.9433,International - Quadrilateral +,99.9937,1.504
WOS:000510900300019,10.1109/LGRS.2019.2918719,n/a,HybridSN: Exploring 3-D-2-D CNN Feature Hierarchy for Hyperspectral Image Classification,"Roy, Swalpa Kumar; Krishna, Gopal; Dubey, Shiv Ram; Chaudhuri, Bidyut B.",IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,0826 Armament Science and Technology; 0708 Geophysics; 0809 Electronic Science and Technology; 0816 Surveying and Mapping,Article,17,2,277-281,2020,1214,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510900300019,25.214118,17.62852668762207,15.594896,48.15,68.8657,77.846,Domestic - Multiple,99.9916,3.966
WOS:000527709200008,10.1016/j.isprsjprs.2020.01.013,n/a,ResUNet-a: A deep learning framework for semantic segmentation of remotely sensed data,"Diakogiannis, Foivos, I; Waldner, Francois; Caccetta, Peter; Wu, Chen",ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0705 Geography; 0708 Geophysics; 0816 Surveying and Mapping,Article,162,n/a,94-114,2020,1140,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527709200008,69.170543,17.62852668762207,15.594896,16.48,64.6679,73.1008,Domestic - Multiple,99.9895,8.979
