入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:001250139804219,10.1109/IGARSS47720.2021.9553499,n/a,Global land use / land cover with Sentinel 2 and deep learning,"Karra, Krishna; Kontgis, Caitlin; Statman-Weil, Zoe; Mazzariello, Joseph C.; Mathis, Mark; Brumby, Steven P.",2021 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS,0830 Environmental Science and Engineering; 0804 Instrumentation Science and Technology; 0709 Geology; 0706 Atmospheric Science; 0707 Marine Science; 0907 Forestry; 0705 Geography; 0901 Crop Science; 0708 Geophysics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,4704-4707,2021,832,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001250139804219,1.380864,1.2128944396972656,1.1594591,602.52,685.9624,717.576,Domestic - Single,99.9946,n/a
WOS:000747270300002,10.1180/mgm.2021.43,n/a,IMA-CNMNC approved mineral symbols,"Warr, Laurence N.",MINERALOGICAL MAGAZINE,0709 Geology,Article,85,3,291-320,2021,711,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000747270300002,16.181818,8.979230880737305,8.007435,43.94,79.1827,88.7925,Domestic - Single,99.9919,2.131
WOS:000490725100010,10.1007/978-3-030-17795-9_10,n/a,Deep Learning vs. Traditional Computer Vision,"O'Mahony, Niall; Campbell, Sean; Carvalho, Anderson; Harapanahalli, Suman; Hernandez, Gustavo Velasco; Krpalkova, Lenka; Riordan, Daniel; Walsh, Joseph","ADVANCES IN COMPUTER VISION, CVC, VOL 1",0802 Mechanical Engineering; 0817 Chemical Engineering and Technology; 0824 Naval Architecture and Ocean Engineering; 0709 Geology; 0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering; 0830 Environmental Science and Engineering; 1201 Management Science and Engineering; 1004 Public Health and Preventive Medicine; 0401 Education; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 0813 Architecture; 0303 Sociology; 1204 Public Administration; 0403 Physical Education and Sport Science; 0503 Journalism and Communication; 1001 Basic Medicine; 0714 Statistics; 0402 Psychology; 0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology,Proceedings Paper,943,n/a,128-144,2020,659,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000490725100010,1.936,1.6284774541854858,1.5418988,340.39,404.6725,427.3951,Domestic - Single,99.9974,n/a
WOS:000998518600002,10.1007/978-3-030-46622-0_1,n/a,Milestones,"Brito, Richard; Cardoso, Vitor; Pani, Paolo","SUPERRADIANCE, 2 EDITION",0802 Mechanical Engineering; 0807 Power Engineering and Engineering Thermophysics; 0804 Instrumentation Science and Technology; 0815 Hydraulic Engineering; 0709 Geology; 0701 Mathematics; 0903 Agricultural Resource and Environment Sciences; 0801 Mechanics; 0708 Geophysics; 0702 Physics; 0811 Control Science and Engineering; 0805 Materials Science and Engineering; 0703 Chemistry; 0402 Psychology; 0820 Oil and Natural Gas Engineering; 0714 Statistics; 0704 Astronomy; 0810 Information and Communication Engineering; 0812 Computer Science and Technology; 1001 Basic Medicine; 0710 Biology,Article,971,n/a,1-12,2020,589,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000998518600002,8.438095,12.051178932189941,13.516119,69.8,48.8749,43.5776,International - Bilateral,99.9915,n/a
WOS:000587742200001,10.31035/cg2020043,n/a,The second natural gas hydrate production test in the South China Sea,"Ye, Jian-liang; Qin, Xu-wen; Xie, Wen-wei; Lu, Hai-long; Ma, Bao-jin; Qiu, Hai-Jun; Liang, Jin-qiang; Lu, Jing-an; Kuang, Zeng-gui; Lu, Cheng; Liang, Qian-yong; Wei, Shi-peng; Yu, Yan-jiang; Liu, Chun-sheng; Li, Bin; Shen, Kai-xiang; Shi, Hao-xian; Lu, Qiu-ping; Li, Jing; Kou, Bei-bei; Song, Gang; Li, Bo; Zhang, He-en; Lu, Hong-feng; Ma, Chao; Dong, Yi-fei; Bian, Hang",CHINA GEOLOGY,0709 Geology,Article,3,2,197-209,2020,506,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000587742200001,22.163265,12.051178932189941,11.210749,22.83,41.9876,45.1353,Domestic - Multiple,99.9829,n/a
WOS:000669790800015,10.1002/aisy.202000128,n/a,Soft Actuators for Soft Robotic Applications: A Review,"El-Atab, Nazek; Mishra, Rishabh B.; Al-Modaf, Fhad; Joharji, Lana; Alsharif, Aljohara A.; Alamoudi, Haneen; Diaz, Marlon; Qaiser, Nadeem; Hussain, Muhammad Mustafa",ADVANCED INTELLIGENT SYSTEMS,0303 Sociology; 0701 Mathematics; 1204 Public Administration; 0401 Education; 0709 Geology; 0833 Urban and Rural Planning; 0819 Mining Engineering; 0802 Mechanical Engineering; 1202 Business Administration; 0705 Geography; 1201 Management Science and Engineering; 0835 Software Engineering; 0830 Environmental Science and Engineering; 0812 Computer Science and Technology; 0820 Oil and Natural Gas Engineering; 0811 Control Science and Engineering; 0805 Materials Science and Engineering; 0816 Surveying and Mapping,Review,2,10,n/a,2020,493,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000669790800015,84.315789,33.177513122558594,47.85,5.85,14.8595,10.303,International - Trilateral,99.7041,n/a
WOS:000920916600052,10.1109/IGARSS46834.2022.9883686,n/a,A TRANSFORMER-BASED SIAMESE NETWORK FOR CHANGE DETECTION,"Bandara, Wele Gedara Chaminda; Patel, Vishal M.",2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),0706 Atmospheric Science; 0709 Geology; 0907 Forestry; 0707 Marine Science; 0901 Crop Science; 0830 Environmental Science and Engineering; 0804 Instrumentation Science and Technology; 0705 Geography; 0708 Geophysics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,207-210,2022,492,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000920916600052,2.009302,1.1756675243377686,1.0292387,244.86,418.4857,478.0232,Domestic - Single,99.9925,n/a
WOS:000669782900005,10.1002/aisy.202000039,n/a,"Wearable and Stretchable Strain Sensors: Materials, Sensing Mechanisms, and Applications","Souri, Hamid; Banerjee, Hritwick; Jusufi, Ardian; Radacsi, Norbert; Stokes, Adam A.; Park, Inkyu; Sitti, Metin; Amjadi, Morteza",ADVANCED INTELLIGENT SYSTEMS,0303 Sociology; 1204 Public Administration; 0701 Mathematics; 0401 Education; 0709 Geology; 0833 Urban and Rural Planning; 1202 Business Administration; 0802 Mechanical Engineering; 0819 Mining Engineering; 0705 Geography; 1201 Management Science and Engineering; 0830 Environmental Science and Engineering; 0820 Oil and Natural Gas Engineering; 0835 Software Engineering; 0812 Computer Science and Technology; 0805 Materials Science and Engineering; 0811 Control Science and Engineering; 0816 Surveying and Mapping,Review,2,8,n/a,2020,490,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000669782900005,84.315789,33.177513122558594,47.5,5.81,14.769,10.3158,International - Quadrilateral +,99.4083,n/a
WOS:000537805900053,10.1016/j.oregeorev.2020.103521,n/a,"The story of rare earth elements (REEs): Occurrences, global distribution, genesis, geology, mineralogy and global production","Dushyantha, Nimila; Batapola, Nadeera; Ilankoon, I. M. S. K.; Rohitha, Sudath; Premasiri, Ranjith; Abeysinghe, Bandara; Ratnayake, Nalin; Dissanayake, Kithsiri",ORE GEOLOGY REVIEWS,0709 Geology; 0819 Mining Engineering,Review,122,n/a,n/a,2020,423,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537805900053,41.433333,33.177513122558594,33.9625,10.21,12.7496,12.4549,International - Bilateral,99.1124,3.809
WOS:000763820900013,10.31035/cg2021083,n/a,"Carbon peak and carbon neutrality in China: Goals, implementation path and prospects","Wang, Yao; Guo, Chi-hui; Chen, Xi-jie; Jia, Li-qiong; Guo, Xiao-Na; Chen, Rui-shan; Zhang, Mao-sheng; Chen, Ze-yu; Wang, Hao-dong",CHINA GEOLOGY,0709 Geology,Review,4,4,720-746,2021,417,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000763820900013,221.5,27.853546142578125,24.19708,1.88,14.9712,17.2335,Domestic - Multiple,99.7712,n/a
