入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000510821500001,10.1038/s41592-019-0686-2,MEDLINE:32015543,SciPy 1.0: fundamental algorithms for scientific computing in Python,"Virtanen, Pauli; Gommers, Ralf; Oliphant, Travis E.; Haberland, Matt; Reddy, Tyler; Cournapeau, David; Burovski, Evgeni; Peterson, Pearu; Weckesser, Warren; Bright, Jonathan; van der Walt, Stefan J.; Brett, Matthew; Wilson, Joshua; Millman, K. Jarrod; Mayorov, Nikolay; Nelson, Andrew R. J.; Jones, Eric; Kern, Robert; Larson, Eric; Carey, C. J.; Polat, Ilhan; Feng, Yu; Moore, Eric W.; VanderPlas, Jake; Laxalde, Denis; Perktold, Josef; Cimrman, Robert; Henriksen, Ian; Quintero, E. A.; Harris, Charles R.; Archibald, Anne M.; Ribeiro, Antonio H.; Pedregosa, Fabian; van Mulbregt, Paul",NATURE METHODS,0710 Biology,Article,17,3,261-272,2020,23937,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510821500001,364.189781,20.143613815307617,43.3799,65.73,1188.3171,551.7993,International - Quadrilateral +,99.9996,28.547
WOS:000671060500025,10.1093/molbev/msab120,MEDLINE:33892491,MEGA11 Molecular Evolutionary Genetics Analysis Version 11,"Tamura, Koichiro; Stecher, Glen; Kumar, Sudhir",MOLECULAR BIOLOGY AND EVOLUTION,0710 Biology; 1001 Basic Medicine,Article,38,7,3022-3027,2021,12494,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000671060500025,53.176087,14.524970054626465,19.527771,234.96,860.1739,639.8068,International - Trilateral,99.9996,8.8
WOS:000526184900011,10.1016/j.cell.2020.02.052,MEDLINE:32142651,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor,"Hoffmann, Markus; Kleine-Weber, Hannah; Schroeder, Simon; Krueger, Nadine; Herrler, Tanja; Erichsen, Sandra; Schiergens, Tobias S.; Herrler, Georg; Wu, Nai-Huei; Nitsche, Andreas; Mueller, Marcel A.; Drosten, Christian; Poehlmann, Stefan",CELL,1001 Basic Medicine; 0710 Biology,Article,181,2,271-+,2020,10989,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526184900011,324.408719,20.143613815307617,26.451765,33.87,545.5327,415.4354,International - Trilateral,99.9992,41.584
WOS:000518098100001,10.1038/s41586-020-2012-7,MEDLINE:32015507,A pneumonia outbreak associated with a new coronavirus of probable bat origin,"Zhou, Peng; Yang, Xing-Lou; Wang, Xian-Guang; Hu, Ben; Zhang, Lei; Zhang, Wei; Si, Hao-Rui; Zhu, Yan; Li, Bei; Huang, Chao-Lin; Chen, Hui-Dong; Chen, Jing; Luo, Yun; Guo, Hua; Jiang, Ren-Di; Liu, Mei-Qin; Chen, Ying; Shen, Xu-Rui; Wang, Xi; Zheng, Xiao-Shuang; Zhao, Kai; Chen, Quan-Jiao; Deng, Fei; Liu, Lin-Lin; Yan, Bing; Zhan, Fa-Xian; Wang, Yan-Yi; Xiao, Geng-Fu; Shi, Zheng-Li",NATURE,0710 Biology,Article,579,7798,270-+,2020,9993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000518098100001,277.07567,20.143613815307617,18.871754,36.07,496.0877,529.5215,Domestic - Multiple,99.9988,49.962
WOS:000557422800016,10.1016/j.molp.2020.06.009,MEDLINE:32585190,TBtools: An Integrative Toolkit Developed for Interactive Analyses of Big Biological Data,"Chen, Chengjie; Chen, Hao; Zhang, Yi; Thomas, Hannah R.; Frank, Margaret H.; He, Yehua; Xia, Rui",MOLECULAR PLANT,0710 Biology,Article,13,8,1194-1202,2020,9603,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000557422800016,176.46875,20.143613815307617,22.359957,54.42,476.7268,429.4731,International - Bilateral,99.9984,13.164
WOS:000537426600023,10.1093/molbev/msaa015,MEDLINE:32011700,IQ-TREE 2: New Models and Efficient Methods for Phylogenetic Inference in the Genomic Era,"Minh, Bui Quang; Schmidt, Heiko A.; Chernomor, Olga; Schrempf, Dominik; Woodhams, Michael D.; von Haeseler, Arndt; Lanfear, Robert",MOLECULAR BIOLOGY AND EVOLUTION,1001 Basic Medicine; 0710 Biology,Article,37,5,1530-1534,2020,8518,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537426600023,72.152727,20.143613815307617,26.451765,118.06,422.8635,322.0201,International - Trilateral,99.998,16.24
WOS:000514849400027,10.1016/S0140-6736(20)30251-8,MEDLINE:32007145,Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding,"Lu, Roujian; Zhao, Xiang; Li, Juan; Niu, Peihua; Yang, Bo; Wu, Honglong; Wang, Wenling; Song, Hao; Huang, Baoying; Zhu, Na; Bi, Yuhai; Ma, Xuejun; Zhan, Faxian; Wang, Liang; Hu, Tao; Zhou, Hong; Hu, Zhenhong; Zhou, Weimin; Zhao, Li; Chen, Jing; Meng, Yao; Wang, Ji; Lin, Yang; Yuan, Jianying; Xie, Zhihao; Ma, Jinmin; Liu, William J.; Wang, Dayan; Xu, Wenbo; Holmes, Edward C.; Gao, George F.; Wu, Guizhen; Chen, Weijun; Shi, Weifeng; Tan, Wenjie",LANCET,0710 Biology,Article,395,10224,565-574,2020,7615,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000514849400027,932.88125,20.143613815307617,22.359957,8.16,378.0354,340.5642,International - Bilateral,99.9976,79.323
WOS:000665547300020,10.1016/j.cell.2021.04.048,MEDLINE:34062119,Integrated analysis of multimodal single-cell data,"Hao, Yuhan; Hao, Stephanie; Andersen-Nissen, Erica; Mauck, William M. I. I. I. I. I. I.; Zheng, Shiwei; Butler, Andrew; Lee, Maddie J.; Wilk, Aaron J.; Darby, Charlotte; Zager, Michael; Hoffman, Paul; Stoeckius, Marlon; Papalexi, Efthymia; Mimitou, Eleni P.; Jain, Jaison; Srivastava, Avi; Stuart, Tim; Fleming, Lamar M.; Yeung, Bertrand; Rogers, Angela J.; McElrath, Juliana M.; Blish, Catherine A.; Gottardo, Raphael; Smibert, Peter; Satija, Rahul",CELL,0710 Biology; 1001 Basic Medicine,Article,184,13,3573-+,2021,7504,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000665547300020,184.191617,14.524970054626465,15.690822,40.74,516.6276,478.2414,International - Bilateral,99.9992,66.85
WOS:000512382900022,10.1126/science.aau6977,MEDLINE:32029601,"The biology, function, and biomedical applications of exosomes","Kalluri, Raghu; LeBleu, Valerie S.",SCIENCE,0710 Biology,Review,367,6478,640-+,2020,7279,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000512382900022,471.063492,51.22910690307617,50.938503,15.45,142.0872,142.8978,Domestic - Multiple,99.997,47.728
WOS:000870759103073,10.1109/CVPR52688.2022.01042,n/a,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Robin; Blattmann, Andreas; Lorenz, Dominik; Esser, Patrick; Ommer, Bjoern",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10674-10685,2022,6786,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759103073,62.704008,6.203537464141846,9.520956,108.22,1093.892,712.7436,International - Bilateral,99.9976,n/a
WOS:000672775800039,10.1093/nar/gkab301,MEDLINE:33885785,Interactive Tree Of Life (iTOL) v5: an online tool for phylogenetic tree display and annotation,"Letunic, Ivica; Bork, Peer",NUCLEIC ACIDS RESEARCH,0710 Biology,Article,49,W1,W293-W296,2021,6708,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000672775800039,78.295157,14.524970054626465,15.690822,85.68,461.8254,427.5111,International - Bilateral,99.9988,19.16
