入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000505307700014,10.1111/gcb.14859,MEDLINE:31587451,Conceptualizing soil organic matter into particulate and mineral-associated forms to address global change in the 21st century,"Lavallee, Jocelyn M.; Soong, Jennifer L.; Cotrufo, M. Francesca",GLOBAL CHANGE BIOLOGY,0713 Ecology; 0830 Environmental Science and Engineering,Article,26,1,261-273,2020,1158,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505307700014,58.360169,16.518911361694336,15.041342,19.84,70.1015,76.9878,Domestic - Multiple,99.9971,10.863
WOS:000590687600001,10.1111/1755-0998.13281,MEDLINE:33058550,ASAP: assemble species by automatic partitioning,"Puillandre, Nicolas; Brouillet, Sophie; Achaz, Guillaume",MOLECULAR ECOLOGY RESOURCES,0713 Ecology; 0710 Biology,Article,21,2,609-620,2020,1101,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000590687600001,41.833333,16.518911361694336,15.041342,26.32,66.6509,73.1983,Domestic - Multiple,99.9941,7.09
WOS:000608003100008,10.1038/s41396-020-00882-x,MEDLINE:33452480,Environmental stress destabilizes microbial networks,"Hernandez, Damian J.; David, Aaron S.; Menges, Eric S.; Searcy, Christopher A.; Afkhami, Michelle E.",ISME JOURNAL,0713 Ecology; 0710 Biology,Article,15,6,1722-1734,2021,868,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000608003100008,47.003436,12.013870239257812,11.34377,18.47,72.2498,76.5178,Domestic - Multiple,99.9971,11.217
WOS:000567300200013,10.1111/2041-210X.13434,n/a,Robustness of linear mixed-effects models to violations of distributional assumptions,"Schielzeth, Holger; Dingemanse, Niels J.; Nakagawa, Shinichi; Westneat, David F.; Allegue, Hassen; Teplitsky, Celine; Reale, Denis; Dochtermann, Ned A.; Garamszegi, Laszlo Zsolt; Araya-Ajoy, Yimen G.",METHODS IN ECOLOGY AND EVOLUTION,0713 Ecology,Article,11,9,1141-1152,2020,839,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000567300200013,44.038674,16.518911361694336,37.72732,19.05,50.7903,22.2385,International - Quadrilateral +,99.9912,7.781
WOS:000510791900009,10.1038/s41559-019-1084-y,MEDLINE:32015427,Multiple elements of soil biodiversity drive ecosystem functions across biomes,"Delgado-Baquerizo, Manuel; Reich, Peter B.; Trivedi, Chanda; Eldridge, David J.; Abades, Sebastian; Alfaro, Fernando D.; Bastida, Felipe; Berhe, Asmeret A.; Cutler, Nick A.; Gallardo, Antonio; Garcia-Velazquez, Laura; Hart, Stephen C.; Hayes, Patrick E.; He, Ji-Zheng; Hseu, Zeng-Yei; Hu, Hang-Wei; Kirchmair, Martin; Neuhauser, Sigrid; Perez, Cecilia A.; Reed, Sasha C.; Santos, Fernanda; Sullivan, Benjamin W.; Trivedi, Pankaj; Wang, Jun-Tao; Weber-Grullon, Luis; Williams, Mark A.; Singh, Brajesh K.",NATURE ECOLOGY & EVOLUTION,0713 Ecology; 0710 Biology,Article,4,2,210-220,2020,838,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510791900009,79.771739,16.518911361694336,37.72732,10.5,50.7297,22.212,International - Quadrilateral +,99.9882,15.46
WOS:000538332600038,10.1126/science.aaz9463,MEDLINE:32467364,Pervasive shifts in forest dynamics in a changing world,"McDowell, Nate G.; Allen, Craig D.; Anderson-Teixeira, Kristina; Aukema, Brian H.; Bond-Lamberty, Ben; Chini, Louise; Clark, James S.; Dietze, Michael; Grossiord, Charlotte; Hanbury-Brown, Adam; Hurtt, George C.; Jackson, Robert B.; Johnson, Daniel J.; Kueppers, Lara; Lichstein, Jeremy W.; Ogle, Kiona; Poulter, Benjamin; Pugh, Thomas A. M.; Seidl, Rupert; Turner, Monica G.; Uriarte, Maria; Walker, Anthony P.; Xu, Chonggang",SCIENCE,0713 Ecology,Review,368,6494,964-+,2020,833,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000538332600038,471.063492,49.05941390991211,90.34306,1.77,16.9794,9.2204,International - Quadrilateral +,99.9228,47.728
WOS:000502553200017,10.1038/s41396-019-0522-9,MEDLINE:31611655,Balance between community assembly processes mediates species coexistence in agricultural soil microbiomes across eastern China,"Jiao, Shuo; Yang, Yunfeng; Xu, Yiqin; Zhang, Jie; Lu, Yahai",ISME JOURNAL,0713 Ecology; 0710 Biology,Article,14,1,202-216,2020,755,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000502553200017,58.75,16.518911361694336,15.041342,12.85,45.7052,50.195,Domestic - Multiple,99.9853,10.302
WOS:000585911300001,10.1111/2041-210X.13512,n/a,raxmlGUI 2.0: A graphical interface and toolkit for phylogenetic analyses using RAxML,"Edler, Daniel; Klein, Johannes; Antonelli, Alexandre; Silvestro, Daniele",METHODS IN ECOLOGY AND EVOLUTION,0713 Ecology,Article,12,2,373-377,2020,741,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000585911300001,44.038674,16.518911361694336,22.2609,16.83,44.8577,33.2871,International - Trilateral,99.9823,7.781
WOS:000777994600003,10.1111/2041-210X.13800,n/a,Generalizing hierarchical and variation partitioning in multiple regression and canonical analyses using the rdacca.hp R package,"Lai, Jiangshan; Zou, Yi; Zhang, Jinlong; Peres-Neto, Pedro R.",METHODS IN ECOLOGY AND EVOLUTION,0713 Ecology,Article,13,4,782-788,2022,705,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000777994600003,17.813953,8.727128982543945,9.312921,39.58,80.7826,75.7013,International - Bilateral,99.9964,6.6
WOS:000556782100036,10.1016/j.ecolecon.2020.106760,n/a,Digitalization and energy consumption. Does ICT reduce energy demand?,"Lange, Steffen; Pohl, Johanna; Santarius, Tilman",ECOLOGICAL ECONOMICS,0713 Ecology; 0830 Environmental Science and Engineering; 0201 Theoretical Economics,Article,176,n/a,n/a,2020,684,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000556782100036,33.988235,16.518911361694336,15.041342,20.12,41.4071,45.4747,Domestic - Multiple,99.9794,5.389
