入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000768182704084,n/a,n/a,Learning Transferable Visual Models From Natural Language Supervision,"Radford, Alec; Kim, Jong Wook; Hallacy, Chris; Ramesh, Aditya; Goh, Gabriel; Agarwal, Sandhini; Sastry, Girish; Askell, Amanda; Mishkin, Pamela; Clark, Jack; Krueger, Gretchen; Sutskever, Ilya","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,n/a,2021,13448,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182704084,20.515497,4.371383190155029,5.359592,655.5,3076.3718,2509.1462,Domestic - Multiple,99.9969,n/a
WOS:000683178501065,n/a,n/a,A Simple Framework for Contrastive Learning of Visual Representations,"Chen, Ting; Kornblith, Simon; Norouzi, Mohammad; Hinton, Geoffrey","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 119",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,119,n/a,n/a,2020,6509,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000683178501065,21.933997,3.348665475845337,2.9756703,296.75,1943.7594,2187.4063,Domestic - Single,99.9981,n/a
WOS:000768182700033,n/a,n/a,Training data-efficient image transformers & distillation through attention,"Touvron, Hugo; Cord, Matthieu; Douze, Matthijs; Massa, Francisco; Sablayrolles, Alexandre; Jegou, Herve","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,7358-7367,2021,4360,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182700033,20.515497,4.371383190155029,6.220391,212.52,997.396,700.9206,International - Bilateral,99.9939,n/a
WOS:000538696800040,10.1093/bioinformatics/btz848,MEDLINE:31730192,GTDB-Tk: a toolkit to classify genomes with the Genome Taxonomy Database,"Chaumeil, Pierre-Alain; Mussig, Aaron J.; Hugenholtz, Philip; Parks, Donovan H.",BIOINFORMATICS,0836 Biotechnology and Bioengineering; 0714 Statistics; 0812 Computer Science and Technology; 0710 Biology,Article,36,6,1925-1927,2020,3149,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000538696800040,32.180887,9.878474235534668,8.3462925,97.85,318.7739,377.2933,Domestic - Single,99.9937,6.937
WOS:000518528800035,10.1093/bioinformatics/btz682,MEDLINE:31501885,BioBERT: a pre-trained biomedical language representation model for biomedical text mining,"Lee, Jinhyuk; Yoon, Wonjin; Kim, Sungdong; Kim, Donghyeon; Kim, Sunkyu; So, Chan Ho; Kang, Jaewoo",BIOINFORMATICS,0836 Biotechnology and Bioengineering; 0710 Biology; 0812 Computer Science and Technology; 0714 Statistics,Article,36,4,1234-1240,2020,3054,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000518528800035,32.180887,9.878474235534668,10.513696,94.9,309.1571,290.4782,Domestic - Multiple,99.9874,6.937
WOS:000537473400053,10.1093/bioinformatics/btz931,MEDLINE:31882993,ShinyGO: a graphical gene-set enrichment tool for animals and plants,"Ge, Steven Xijin; Jung, Dongmin; Yao, Runan",BIOINFORMATICS,0710 Biology; 0812 Computer Science and Technology; 0836 Biotechnology and Bioengineering; 0714 Statistics,Data Paper,36,8,2628-2629,2020,2591,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537473400053,201.571429,188.13333129882812,524.6,12.85,13.7721,4.939,International - Bilateral,93.3333,6.937
WOS:000768182704090,n/a,n/a,Zero-Shot Text-to-Image Generation,"Ramesh, Aditya; Pavlov, Mikhail; Goh, Gabriel; Gray, Scott; Voss, Chelsea; Radford, Alec; Chen, Mark; Sutskever, Ilya","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,n/a,2021,2037,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182704090,20.515497,4.371383190155029,5.359592,99.29,465.9852,380.0662,Domestic - Multiple,99.9908,n/a
WOS:000768182700010,n/a,n/a,EfficientNetV2: Smaller Models and Faster Training,"Tan, Mingxing; Le, Quoc, V","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,7102-7110,2021,1896,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182700010,20.515497,4.371383190155029,2.9117177,92.42,433.73,651.162,Domestic - Single,99.9877,n/a
WOS:000683104604084,n/a,n/a,Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision,"Jia, Chao; Yang, Yinfei; Xia, Ye; Chen, Yi-Ting; Parekh, Zarana; Pham, Hieu; Le, Quoc, V; Sung, Yunhsuan; Li, Zhen; Duerig, Tom","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,n/a,2021,1844,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000683104604084,20.515497,4.371383190155029,2.9117177,89.88,421.8344,633.3032,Domestic - Single,99.9847,n/a
WOS:000900064903001,n/a,n/a,BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation,"Li, Junnan; Li, Dongxu; Xiong, Caiming; Hoi, Steven","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 162",0714 Statistics; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,n/a,2022,1651,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000900064903001,6.456802,3.459909677505493,2.520776,255.7,477.1801,654.957,Domestic - Single,99.9972,n/a
WOS:000683178505024,n/a,n/a,SCAFFOLD Stochastic Controlled Averaging for Federated Learning,"Karimireddy, Sai Praneeth; Kale, Satyen; Mohri, Mehryar; Reddi, Sashank J.; Stich, Sebastian U.; Suresh, Ananda Theertha","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 119",0714 Statistics; 0812 Computer Science and Technology,Proceedings Paper,119,n/a,n/a,2020,1581,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000683178505024,21.933997,3.348665475845337,4.8180313,72.08,472.1284,328.1423,International - Bilateral,99.9961,n/a
WOS:000768182704030,n/a,n/a,Improved Denoising Diffusion Probabilistic Models,"Nichol, Alex; Dhariwal, Prafulla","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,n/a,2021,1534,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182704030,20.515497,4.371383190155029,5.359592,74.77,350.9187,286.2158,Domestic - Multiple,99.9816,n/a
WOS:000768182702039,n/a,n/a,Barlow Twins: Self-Supervised Learning via Redundancy Reduction,"Zbontar, Jure; Jing, Li; Misra, Ishan; LeCun, Yann; Deny, Stephane","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,n/a,2021,1182,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182702039,20.515497,4.371383190155029,5.359592,57.61,270.395,220.5392,Domestic - Multiple,99.9785,n/a
WOS:000683104600075,n/a,n/a,Is Space-Time Attention All You Need for Video Understanding?,"Bertasius, Gedas; Wang, Heng; Torresani, Lorenzo","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,n/a,2021,1148,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000683104600075,20.515497,4.371383190155029,5.359592,55.96,262.6171,214.1954,Domestic - Multiple,99.9755,n/a
WOS:000536489400037,10.1093/bioinformatics/btz859,MEDLINE:31742321,KofamKOALA: KEGG Ortholog assignment based on profile HMM and adaptive score threshold,"Aramaki, Takuya; Blanc-Mathieu, Romain; Endo, Hisashi; Ohkubo, Koichi; Kanehisa, Minoru; Goto, Susumu; Ogata, Hiroyuki",BIOINFORMATICS,0836 Biotechnology and Bioengineering; 0714 Statistics; 0812 Computer Science and Technology; 0710 Biology,Article,36,7,2251-2252,2020,1140,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000536489400037,32.180887,9.878474235534668,10.513696,35.42,115.4024,108.43,Domestic - Multiple,99.9811,6.937
