入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000517855800037,10.1016/j.ymssp.2019.106587,n/a,Applications of machine learning to machine fault diagnosis: A review and roadmap,"Lei, Yaguo; Yang, Bin; Jiang, Xinwei; Jia, Feng; Li, Naipeng; Nandi, Asoke K.",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,0802 Mechanical Engineering; 0809 Electronic Science and Technology,Review,138,n/a,n/a,2020,1801,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517855800037,466.857143,54.174041748046875,80.09559,3.86,33.2447,22.4856,International - Bilateral,99.8525,6.823
WOS:000640530600029,10.1016/j.ymssp.2020.107398,n/a,1D convolutional neural networks and applications: A survey,"Kiranyaz, Serkan; Avci, Onur; Abdeljaber, Osama; Ince, Turker; Gabbouj, Moncef; Inman, Daniel J.",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,0802 Mechanical Engineering; 0809 Electronic Science and Technology,Article,151,n/a,n/a,2021,1606,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000640530600029,33.900607,14.722261428833008,33.35509,47.37,109.0865,48.1486,International - Quadrilateral +,99.9969,8.934
WOS:000765802100138,10.1016/j.procs.2022.01.135,n/a,A Review of Yolo Algorithm Developments,"Jiang, Peiyuan; Ergu, Daji; Liu, Fangyao; Cai, Ying; Ma, Bo",8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19,0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 0820 Oil and Natural Gas Engineering; 1204 Public Administration; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0802 Mechanical Engineering; 0503 Journalism and Communication; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,199,n/a,1066-1073,2022,1098,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000765802100138,11.117347,1.58762526512146,1.450167,98.76,691.599,757.1542,Domestic - Single,99.9962,n/a
WOS:000745567800001,10.1007/s10409-021-01148-1,n/a,Physics-informed neural networks (PINNs) for fluid mechanics: a review,"Cai, Shengze; Mao, Zhiping; Wang, Zhicheng; Yin, Minglang; Karniadakis, George Em",ACTA MECHANICA SINICA,0802 Mechanical Engineering; 0801 Mechanics,Review,37,12,1727-1738,2022,909,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000745567800001,117.5,29.9002628326416,42.635136,7.74,30.4011,21.3204,International - Bilateral,99.8688,3.5
WOS:001194767100001,10.1016/j.ymssp.2020.107077,n/a,A review of vibration-based damage detection in civil structures: From traditional methods to Machine Learning and Deep Learning applications,"Avci, Onur; Abdeljaber, Osama; Kiranyaz, Serkan; Hussein, Mohammed; Gabbouj, Moncef; Inman, Daniel J.",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,0802 Mechanical Engineering; 0809 Electronic Science and Technology,Review,147,n/a,n/a,2021,867,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001194767100001,142.777778,41.192745208740234,157.96153,6.07,21.0474,5.4887,International - Quadrilateral +,99.8866,8.934
WOS:000490725100010,10.1007/978-3-030-17795-9_10,n/a,Deep Learning vs. Traditional Computer Vision,"O'Mahony, Niall; Campbell, Sean; Carvalho, Anderson; Harapanahalli, Suman; Hernandez, Gustavo Velasco; Krpalkova, Lenka; Riordan, Daniel; Walsh, Joseph","ADVANCES IN COMPUTER VISION, CVC, VOL 1",0802 Mechanical Engineering; 0817 Chemical Engineering and Technology; 0824 Naval Architecture and Ocean Engineering; 0709 Geology; 0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering; 0830 Environmental Science and Engineering; 1201 Management Science and Engineering; 1004 Public Health and Preventive Medicine; 0401 Education; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 0813 Architecture; 0303 Sociology; 1204 Public Administration; 0403 Physical Education and Sport Science; 0503 Journalism and Communication; 1001 Basic Medicine; 0714 Statistics; 0402 Psychology; 0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology,Proceedings Paper,943,n/a,128-144,2020,659,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000490725100010,1.936,2.33709979057312,2.1777961,340.39,281.9734,302.5995,Domestic - Single,99.9985,n/a
WOS:000646861400001,="10.1115/1.4050542",n/a,Physics-Informed Neural Networks for Heat Transfer Problems,"Cai, Shengze; Wang, Zhicheng; Wang, Sifan; Perdikaris, Paris; Karniadakis, George E. M.",JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,0807 Power Engineering and Engineering Thermophysics; 0802 Mechanical Engineering,Article,143,6,n/a,2021,633,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000646861400001,11.57485,14.722261428833008,13.994182,54.69,42.9961,45.2331,Domestic - Multiple,99.9939,1.855
WOS:000998518600002,10.1007/978-3-030-46622-0_1,n/a,Milestones,"Brito, Richard; Cardoso, Vitor; Pani, Paolo","SUPERRADIANCE, 2 EDITION",0802 Mechanical Engineering; 0807 Power Engineering and Engineering Thermophysics; 0804 Instrumentation Science and Technology; 0815 Hydraulic Engineering; 0709 Geology; 0701 Mathematics; 0903 Agricultural Resource and Environment Sciences; 0801 Mechanics; 0708 Geophysics; 0702 Physics; 0811 Control Science and Engineering; 0805 Materials Science and Engineering; 0703 Chemistry; 0402 Psychology; 0820 Oil and Natural Gas Engineering; 0714 Statistics; 0704 Astronomy; 0810 Information and Communication Engineering; 0812 Computer Science and Technology; 1001 Basic Medicine; 0710 Biology,Article,971,n/a,1-12,2020,589,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000998518600002,8.438095,16.686676025390625,21.102268,69.8,35.2976,27.9117,International - Bilateral,99.9966,n/a
WOS:000593986700004,10.1016/j.pecs.2020.100887,n/a,"Progress in biomass torrefaction: Principles, applications and challenges","Chen, Wei-Hsin; Lin, Bo-Jhih; Lin, Yu-Ying; Chu, Yen-Shih; Ubando, Aristotle T.; Show, Pau Loke; Ong, Hwai Chyuan; Chang, Jo-Shu; Ho, Shih-Hsin; Culaba, Alvin B.; Petrissans, Anelie; Petrissans, Mathieu",PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0802 Mechanical Engineering; 0820 Oil and Natural Gas Engineering; 0817 Chemical Engineering and Technology; 0807 Power Engineering and Engineering Thermophysics,Review,82,n/a,n/a,2021,582,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000593986700004,144.789474,41.192745208740234,157.96153,4.02,14.1287,3.6844,International - Quadrilateral +,99.7732,35.339
WOS:000714717500007,10.1016/j.ymssp.2021.108487,n/a,"A perspective survey on deep transfer learning for fault diagnosis in industrial scenarios: Theories, applications and challenges","Li, Weihua; Huang, Ruyi; Li, Jipu; Liao, Yixiao; Chen, Zhuyun; He, Guolin; Yan, Ruqiang; Gryllias, Konstantinos",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,0802 Mechanical Engineering; 0809 Electronic Science and Technology,Article,167,n/a,n/a,2021,565,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000714717500007,33.900607,14.722261428833008,17.470448,16.67,38.3773,32.3403,International - Bilateral,99.9908,8.934
