入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000544923000007,10.1109/TMI.2019.2959609,MEDLINE:31841402,UNet plus plus : Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation,"Zhou, Zongwei; Siddiquee, Md Mahfuzur Rahman; Tajbakhsh, Nima; Liang, Jianming",IEEE TRANSACTIONS ON MEDICAL IMAGING,0803 Optical Engineering; 0809 Electronic Science and Technology; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0812 Computer Science and Technology,Article,39,6,1856-1867,2020,2501,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000544923000007,61.541237,18.22652816772461,16.462423,40.64,137.2176,151.9217,Domestic - Multiple,99.9977,10.048
WOS:000538727700052,10.1109/ACCESS.2020.2990567,n/a,Pymoo: Multi-Objective Optimization in Python,"Blank, Julian; Deb, Kalyanmoy",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,89497-89509,2020,1159,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000538727700052,18.039783,18.22652816772461,16.48363,64.25,63.5886,70.3122,Domestic - Single,99.9953,3.367
WOS:000613495900009,10.1038/s41566-020-00754-y,n/a,Photonics for artificial intelligence and neuromorphic computing,"Shastri, Bhavin J.; Tait, Alexander N.; de Lima, T. Ferreira; Pernice, Wolfram H. P.; Bhaskaran, Harish; Wright, C. D.; Prucnal, Paul R.",NATURE PHOTONICS,0702 Physics; 0803 Optical Engineering,Review,15,2,102-114,2021,1142,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000613495900009,292.454545,62.47151184082031,86.72222,3.9,18.2803,13.1685,International - Quadrilateral +,99.8576,39.728
WOS:000549846400006,10.1109/ACCESS.2020.2988796,n/a,Unsupervised K-Means Clustering Algorithm,"Sinaga, Kristina P.; Yang, Miin-Shen",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,80716-80727,2020,1038,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549846400006,18.039783,18.22652816772461,16.48363,57.54,56.95,62.9716,Domestic - Single,99.993,3.367
WOS:000549854400011,10.1109/ACCESS.2020.2998358,n/a,"Digital Twin: Enabling Technologies, Challenges and Open Research","Fuller, Aidan; Fan, Zhong; Day, Charles; Barlow, Chris",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,108952-108971,2020,1028,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549854400011,18.039783,18.22652816772461,16.462423,56.99,56.4013,62.4452,Domestic - Multiple,99.9906,3.367
WOS:000549798000002,10.1109/ACCESS.2020.2983149,n/a,A Survey of Autonomous Driving: Common Practices and Emerging Technologies,"Yurtsever, Ekim; Lambert, Jacob; Carballo, Alexander; Takeda, Kazuya",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,58443-58469,2020,1012,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549798000002,18.039783,18.22652816772461,16.462423,56.1,55.5235,61.4733,Domestic - Multiple,99.9883,3.367
WOS:000673957200001,10.1109/ACCESS.2021.3086020,n/a,U-Net and Its Variants for Medical Image Segmentation: A Review of Theory and Applications,"Siddique, Nahian; Paheding, Sidike; Elkin, Colin P.; Devabhaktuni, Vijay",IEEE ACCESS,0810 Information and Communication Engineering; 0808 Electrical Engineering; 0812 Computer Science and Technology; 0803 Optical Engineering,Review,9,n/a,82031-82057,2021,1001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000673957200001,49.441926,62.47151184082031,61.069893,20.25,16.0233,16.3911,Domestic - Multiple,99.7151,3.476
WOS:000541070800001,10.1038/s41377-020-0341-9,n/a,"Mini-LED, Micro-LED and OLED displays: present status and future perspectives","Huang, Yuge; Hsiang, En-Lin; Deng, Ming-Yang; Wu, Shin-Tson",LIGHT-SCIENCE & APPLICATIONS,0803 Optical Engineering; 0702 Physics,Review,9,1,n/a,2020,986,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000541070800001,272.5,77.20942687988281,69.59042,3.62,12.7705,14.1686,Domestic - Single,99.8255,17.782
WOS:000635169100004,10.1038/s41566-021-00780-4,n/a,Structured light,"Forbes, Andrew; de Oliveira, Michael; Dennis, Mark R.",NATURE PHOTONICS,0702 Physics; 0803 Optical Engineering,Review,15,4,253-262,2021,868,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000635169100004,292.454545,62.47151184082031,66.86034,2.97,13.8943,12.9823,International - Bilateral,99.5727,39.728
WOS:000508323200005,10.1038/s41566-019-0573-5,n/a,High-efficiency organic solar cells with low non-radiative recombination loss and low energetic disorder,"Liu, Sha; Yuan, Jun; Deng, Wanyuan; Luo, Mei; Xie, Yuan; Liang, Quanbin; Zou, Yingping; He, Zhicai; Wu, Hongbin; Cao, Yong",NATURE PHOTONICS,0803 Optical Engineering; 0702 Physics,Article,14,5,300-+,2020,863,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508323200005,166.883333,18.22652816772461,16.462423,5.17,47.3486,52.4224,Domestic - Multiple,99.986,38.771
