入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000510531500006,10.1021/acsnano.9b04224,MEDLINE:31478375,Present and Future of Surface-Enhanced Raman Scattering,"Langer, Judith; de Aberasturi, Dorleta Jimenez; Aizpurua, Javier; Alvarez-Puebla, Ramon A.; Auguie, Baptiste; Baumberg, Jeremy J.; Bazan, Guillermo C.; Bell, Steven E. J.; Boisen, Anja; Brolo, Alexandre G.; Choo, Jaebum; Cialla-May, Dana; Deckert, Volker; Fabris, Laura; Faulds, Karen; de Abajo, F. Javier Garcia; Goodacre, Royston; Graham, Duncan; Haes, Amanda J.; Haynes, Christy L.; Huck, Christian; Itoh, Tamitake; Ka, Mikael; Kneipp, Janina; Kotov, Nicholas A.; Kuang, Hua; Le Ru, Eric C.; Lee, Hiang Kwee; Li, Jian-Feng; Ling, Xing Yi; Maier, Stefan A.; Mayerhofer, Thomas; Moskovits, Martin; Murakoshi, Kei; Nam, Jwa-Min; Nie, Shuming; Ozaki, Yukihiro; Pastoriza-Santos, Isabel; Perez-Juste, Jorge; Popp, Juergen; Pucci, Annemarie; Reich, Stephanie; Ren, Bin; Schatz, George C.; Shegai, Timur; Schlucker, Sebastian; Tay, Li-Lin; Thomas, K. George; Tian, Zhong-Qun; Van Duyne, Richard P.; Vo-Dinh, Tuan; Wang, Yue; Willets, Katherine A.; Xu, Clauanlai; Xu, Hongxin; Xu, Yikai; Yamamoto, Yuko S.; Zhao, Bing; Liz-Marzan, Luis M.",ACS NANO,0703 Chemistry; 0805 Materials Science and Engineering,Review,14,1,28-117,2020,2875,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510531500006,213.419355,85.55777740478516,127.50376,13.47,33.603,22.5484,International - Quadrilateral +,99.989,15.881
WOS:000683650000001,10.1038/s41578-021-00358-0,MEDLINE:34394960,Lipid nanoparticles for mRNA delivery,"Hou, Xucheng; Zaks, Tal; Langer, Robert; Dong, Yizhou",NATURE REVIEWS MATERIALS,0805 Materials Science and Engineering,Review,6,12,1078-1094,2021,2117,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000683650000001,319.945455,60.96672058105469,58.15679,6.62,34.7239,36.4016,Domestic - Multiple,99.9918,76.679
WOS:000693105500012,10.1021/acsnano.1c04206,MEDLINE:34374515,Functional Hydrogels as Wound Dressing to Enhance Wound Healing,"Liang, Yongping; He, Jiahui; Guo, Baolin",ACS NANO,0703 Chemistry; 0805 Materials Science and Engineering,Review,15,8,12687-12722,2021,2060,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000693105500012,174.050847,60.96672058105469,53.755703,11.84,33.7889,38.3215,Domestic - Single,99.9837,18.027
WOS:000522449400003,10.1038/s41467-020-15355-0,MEDLINE:32214093,A reflection on lithium-ion battery cathode chemistry,"Manthiram, Arumugam",NATURE COMMUNICATIONS,0805 Materials Science and Engineering,Review,11,1,n/a,2020,1986,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522449400003,342.181818,85.55777740478516,74.8044,5.8,23.2124,26.5492,Domestic - Single,99.9779,14.919
WOS:000791057300002,10.1038/s41563-022-01244-y,MEDLINE:35513501,Single-junction organic solar cells with over 19% efficiency enabled by a refined double-fibril network morphology,"Zhu, Lei; Zhang, Ming; Xu, Jinqiu; Li, Chao; Yan, Jun; Zhou, Guanqing; Zhong, Wenkai; Hao, Tianyu; Song, Jiali; Xue, Xiaonan; Zhou, Zichun; Zeng, Rui; Zhu, Haiming; Chen, Chun-Chao; MacKenzie, Roderick C., I; Zou, Yecheng; Nelson, Jenny; Zhang, Yongming; Sun, Yanming; Liu, Feng",NATURE MATERIALS,0805 Materials Science and Engineering; 0702 Physics; 0703 Chemistry,Article,21,6,656-+,2022,1980,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000791057300002,106.564626,14.386457443237305,16.453234,18.58,137.6294,120.3411,International - Bilateral,99.9995,41.2
WOS:000493221700004,10.1016/j.pmatsci.2019.100591,n/a,X-ray photoelectron spectroscopy: Towards reliable binding energy referencing,"Greczynski, G.; Hultman, L.",PROGRESS IN MATERIALS SCIENCE,0805 Materials Science and Engineering,Review,107,n/a,n/a,2020,1888,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000493221700004,264.0,85.55777740478516,74.8044,7.15,22.067,25.2392,Domestic - Single,99.9669,39.58
WOS:000648836900002,10.1038/s41560-021-00820-x,n/a,Non-fullerene acceptors with branched side chains and improved molecular packing to exceed 18% efficiency in organic solar cells,"Li, Chao; Zhou, Jiadong; Song, Jiali; Xu, Jinqiu; Zhang, Huotian; Zhang, Xuning; Guo, Jing; Zhu, Lei; Wei, Donghui; Han, Guangchao; Min, Jie; Zhang, Yuan; Xie, Zengqi; Yi, Yuanping; Yan, He; Gao, Feng; Liu, Feng; Sun, Yanming",NATURE ENERGY,0805 Materials Science and Engineering; 0820 Oil and Natural Gas Engineering,Article,6,6,605-613,2021,1798,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000648836900002,190.635514,19.85870933532715,22.690548,9.43,90.5396,79.24,International - Bilateral,99.9995,67.439
WOS:000522060400001,10.1002/adma.201908205,MEDLINE:32227399,Single-Junction Organic Photovoltaic Cells with Approaching 18% Efficiency,"Cui, Yong; Yao, Huifeng; Zhang, Jianqi; Xian, Kaihu; Zhang, Tao; Hong, Ling; Wang, Yuming; Xu, Ye; Ma, Kangqiao; An, Cunbin; He, Chang; Wei, Zhixiang; Gao, Feng; Hou, Jianhui",ADVANCED MATERIALS,0805 Materials Science and Engineering; 0703 Chemistry; 0702 Physics,Article,32,19,n/a,2020,1688,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522060400001,129.869458,25.41654396057129,29.61882,13.0,66.4134,56.9908,International - Bilateral,99.9995,30.849
WOS:000511276400001,10.1038/s41578-019-0165-5,n/a,"Designing solid-state electrolytes for safe, energy-dense batteries","Zhao, Qing; Stalin, Sanjuna; Zhao, Chen-Zi; Archer, Lynden A.",NATURE REVIEWS MATERIALS,0805 Materials Science and Engineering,Review,5,3,229-252,2020,1668,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511276400001,487.359375,85.55777740478516,99.68654,3.42,19.4956,16.7324,International - Bilateral,99.9558,66.308
WOS:000748794300001,10.1002/adma.202107668,MEDLINE:34962659,Emerging S-Scheme Photocatalyst,"Zhang, Liuyang; Zhang, Jianjun; Yu, Huogen; Yu, Jiaguo",ADVANCED MATERIALS,0703 Chemistry; 0805 Materials Science and Engineering; 0702 Physics,Review,34,11,n/a,2022,1646,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000748794300001,130.220264,40.55222702026367,34.952198,12.64,40.5896,47.0929,Domestic - Single,99.9899,29.4
