入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000527826500039,10.1016/j.actamat.2019.12.015,n/a,High entropy alloys: A focused review of mechanical properties and deformation mechanisms,"George, E. P.; Curtin, W. A.; Tasan, C. C.",ACTA MATERIALIA,0805 Materials Science and Engineering; 0806 Metallurgical Engineering,Review,188,n/a,435-474,2020,1311,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527826500039,1311.0,67.69879150390625,93.314964,1.0,19.3652,14.0492,International - Bilateral,99.8279,8.203
WOS:000522768600001,10.1016/j.jma.2020.02.003,n/a,Latest research advances on magnesium and magnesium alloys worldwide,"Song, Jiangfeng; She, Jia; Chen, Daolun; Pan, Fusheng",JOURNAL OF MAGNESIUM AND ALLOYS,0806 Metallurgical Engineering,Review,8,1,1-41,2020,1085,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522768600001,184.875,67.69879150390625,93.314964,5.87,16.0269,11.6273,International - Bilateral,99.6558,10.088
WOS:000509621500130,10.1016/j.msea.2019.138633,n/a,Steels in additive manufacturing: A review of their microstructure and properties,"Bajaj, P.; Hariharan, A.; Kini, A.; Kuernsteiner, P.; Raabe, D.; Jaegle, E. A.",MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,0806 Metallurgical Engineering; 0805 Materials Science and Engineering,Review,772,n/a,n/a,2020,733,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509621500130,406.0,67.69879150390625,61.200893,1.81,10.8274,11.9769,Domestic - Single,99.4837,5.234
WOS:000669426600001,10.1016/j.jma.2021.04.001,n/a,Research advances in magnesium and magnesium alloys worldwide in 2020,"Yang, Yan; Xiong, Xiaoming; Chen, Jing; Peng, Xiaodong; Chen, Daolun; Pan, Fusheng",JOURNAL OF MAGNESIUM AND ALLOYS,0806 Metallurgical Engineering,Review,9,3,705-747,2021,687,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000669426600001,176.041667,50.05221939086914,66.133804,3.9,13.7257,10.388,International - Bilateral,99.8695,11.862
WOS:000520405900065,10.1016/j.jallcom.2019.153548,n/a,"Materials for hydrogen-based energy storage - past, recent progress and future outlook","Hirscher, Michael; Yartys, Volodymyr A.; Baricco, Marcello; von Colbe, Jose Bellosta; Blanchard, Didier; Bowman, Robert C., Jr.; Broom, Darren P.; Buckley, Craig E.; Chang, Fei; Chen, Ping; Cho, Young Whan; Crivello, Jean-Claude; Cuevas, Fermin; David, William I. F.; de Jongh, Petra E.; Denys, Roman, V; Dornheim, Martin; Felderhoff, Michael; Filinchuk, Yaroslav; Froudakis, George E.; Grant, David M.; Gray, Evan MacA; Hauback, Bjorn C.; He, Teng; Humphries, Terry D.; Jensen, Torben R.; Kim, Sangryun; Kojima, Yoshitsugu; Latroche, Michel; Li, Hai-Wen; Lototskyy, Mykhaylo, V; Makepeace, Joshua W.; Moller, Kasper T.; Naheed, Lubna; Ngene, Peter; Noreus, Dag; Nygard, Magnus Moe; Orimo, Shin-ichi; Paskevicius, Mark; Pasquini, Luca; Ravnsbaek, Dorthe B.; Sofianos, M. Veronica; Udovic, Terrence J.; Vegge, Tejs; Walker, Gavin S.; Webb, Colin J.; Weidenthaler, Claudia; Zlotea, Claudia",JOURNAL OF ALLOYS AND COMPOUNDS,0806 Metallurgical Engineering; 0703 Chemistry; 0805 Materials Science and Engineering,Article,827,n/a,n/a,2020,686,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000520405900065,28.426095,19.9716796875,35.531597,24.13,34.3486,19.3068,International - Quadrilateral +,99.9957,5.316
WOS:000522863000019,10.1016/j.jmst.2020.01.022,n/a,Thermodynamics and kinetics of phase transformation in rare earth-magnesium alloys: A critical review,"Luo, Qun; Guo, Yanlin; Liu, Bin; Feng, Yujun; Zhang, Jieyu; Li, Qian; Chou, Kuochih",JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,0806 Metallurgical Engineering; 0805 Materials Science and Engineering,Review,44,n/a,171-190,2020,653,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522863000019,179.964286,67.69879150390625,61.200893,3.63,9.6457,10.6698,Domestic - Single,99.3115,8.067
WOS:000577994500003,10.1016/j.actamat.2020.07.063,n/a,Origin of dislocation structures in an additively manufactured austenitic stainless steel 316L,"Bertsch, K. M.; de Bellefon, G. Meric; Kuehl, B.; Thoma, D. J.",ACTA MATERIALIA,0806 Metallurgical Engineering; 0805 Materials Science and Engineering,Article,199,n/a,19-33,2020,547,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000577994500003,49.23623,19.9716796875,19.461351,11.11,27.3888,28.107,Domestic - Multiple,99.9913,8.203
WOS:000567761800003,10.1016/j.jallcom.2020.156446,n/a,"A review on graphitic carbon nitride (g-C3N4) based nanocomposites: Synthesis, categories, and their application in photocatalysis","Ismael, Mohammed",JOURNAL OF ALLOYS AND COMPOUNDS,0806 Metallurgical Engineering; 0703 Chemistry; 0805 Materials Science and Engineering,Review,846,n/a,n/a,2020,539,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000567761800003,107.910714,67.69879150390625,61.200893,4.99,7.9617,8.8071,Domestic - Single,99.1394,5.316
WOS:000573287500001,10.1016/j.msea.2020.140023,n/a,Transformation-induced plasticity (TRIP) in advanced steels: A review,"Soleimani, Maryam; Kalhor, Alireza; Mirzadeh, Hamed",MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,0806 Metallurgical Engineering; 0805 Materials Science and Engineering,Review,795,n/a,n/a,2020,475,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000573287500001,406.0,67.69879150390625,61.200893,1.17,7.0164,7.7613,Domestic - Single,98.9673,5.234
WOS:000800528600001,10.1016/j.msea.2022.143260,n/a,High-strength titanium alloys for aerospace engineering applications: A review on melting-forging process,"Zhao, Qinyang; Sun, Qiaoyan; Xin, Shewei; Chen, Yongnan; Wu, Cong; Wang, Huan; Xu, Jianwei; Wan, Mingpan; Zeng, Weidong; Zhao, Yongqing",MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,0806 Metallurgical Engineering; 0805 Materials Science and Engineering,Review,845,n/a,n/a,2022,473,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000800528600001,191.333333,35.2911376953125,33.62914,2.47,13.4028,14.0652,Domestic - Multiple,99.8734,6.4
