入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000540733500026,10.1016/j.tca.2020.178597,n/a,ICTAC Kinetics Committee recommendations for analysis of multi-step kinetics,"Vyazovkin, Sergey; Burnham, Alan K.; Favergeon, Loic; Koga, Nobuyoshi; Moukhina, Elena; Perez-Maqueda, Luis A.; Sbirrazzuoli, Nicolas",THERMOCHIMICA ACTA,0807 Power Engineering and Engineering Thermophysics; 0703 Chemistry,Review,689,n/a,n/a,2020,685,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540733500026,122.5,75.96440124511719,198.94118,5.59,9.0174,3.4432,International - Quadrilateral +,99.6764,3.115
WOS:000701749200010,10.1016/j.energy.2021.121652,n/a,A review on thermal management of lithium-ion batteries for electric vehicles,"Zhang, Xinghui; Li, Zhao; Luo, Lingai; Fan, Yilin; Du, Zhengyu",ENERGY,0820 Oil and Natural Gas Engineering; 0807 Power Engineering and Engineering Thermophysics,Review,238,n/a,n/a,2021,638,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000701749200010,120.848485,62.882835388183594,72.64286,5.28,10.1459,8.7827,International - Bilateral,99.7275,8.857
WOS:000646861400001,="10.1115/1.4050542",n/a,Physics-Informed Neural Networks for Heat Transfer Problems,"Cai, Shengze; Wang, Zhicheng; Wang, Sifan; Perdikaris, Paris; Karniadakis, George E. M.",JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,0807 Power Engineering and Engineering Thermophysics; 0802 Mechanical Engineering,Article,143,6,n/a,2021,633,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000646861400001,11.57485,19.19186782836914,18.024925,54.69,32.9827,35.118,Domestic - Multiple,99.995,1.855
WOS:000998518600002,10.1007/978-3-030-46622-0_1,n/a,Milestones,"Brito, Richard; Cardoso, Vitor; Pani, Paolo","SUPERRADIANCE, 2 EDITION",0802 Mechanical Engineering; 0807 Power Engineering and Engineering Thermophysics; 0804 Instrumentation Science and Technology; 0815 Hydraulic Engineering; 0709 Geology; 0701 Mathematics; 0903 Agricultural Resource and Environment Sciences; 0801 Mechanics; 0708 Geophysics; 0702 Physics; 0811 Control Science and Engineering; 0805 Materials Science and Engineering; 0703 Chemistry; 0402 Psychology; 0820 Oil and Natural Gas Engineering; 0714 Statistics; 0704 Astronomy; 0810 Information and Communication Engineering; 0812 Computer Science and Technology; 1001 Basic Medicine; 0710 Biology,Article,971,n/a,1-12,2020,589,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000998518600002,8.438095,20.89299201965332,25.775595,69.8,28.1913,22.8511,International - Bilateral,99.9946,n/a
WOS:000593986700004,10.1016/j.pecs.2020.100887,n/a,"Progress in biomass torrefaction: Principles, applications and challenges","Chen, Wei-Hsin; Lin, Bo-Jhih; Lin, Yu-Ying; Chu, Yen-Shih; Ubando, Aristotle T.; Show, Pau Loke; Ong, Hwai Chyuan; Chang, Jo-Shu; Ho, Shih-Hsin; Culaba, Alvin B.; Petrissans, Anelie; Petrissans, Mathieu",PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0802 Mechanical Engineering; 0820 Oil and Natural Gas Engineering; 0817 Chemical Engineering and Technology; 0807 Power Engineering and Engineering Thermophysics,Review,82,n/a,n/a,2021,582,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000593986700004,144.789474,62.882835388183594,128.38461,4.02,9.2553,4.5333,International - Quadrilateral +,99.455,35.339
WOS:000596810200010,10.1016/j.energy.2020.118987,n/a,Critical review of energy storage systems,"Olabi, A. G.; Onumaegbu, C.; Wilberforce, Tabbi; Ramadan, Mohamad; Abdelkareem, Mohammad Ali; Al-Alami, Abdul Hai",ENERGY,0820 Oil and Natural Gas Engineering; 0807 Power Engineering and Engineering Thermophysics,Review,214,n/a,n/a,2021,548,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000596810200010,120.848485,62.882835388183594,128.38461,4.53,8.7146,4.2684,International - Quadrilateral +,99.1826,8.857
WOS:000652609800012,10.1016/j.energy.2021.120467,n/a,Low-cost renewable electricity as the key driver of the global energy transition towards sustainability,"Bogdanov, Dmitrii; Ram, Manish; Aghahosseini, Arman; Gulagi, Ashish; Oyewo, Ayobami Solomon; Child, Michael; Caldera, Upeksha; Sadovskaia, Kristina; Farfan, Javier; Noel Simas Barbosa, Larissa De Souza; Fasihi, Mahdi; Khalili, Siavash; Traber, Thure; Breyer, Christian",ENERGY,0807 Power Engineering and Engineering Thermophysics; 0820 Oil and Natural Gas Engineering,Article,227,n/a,n/a,2021,537,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000652609800012,34.680616,19.19186782836914,29.95139,15.48,27.9806,17.9291,International - Trilateral,99.99,8.857
WOS:000603316400006,10.1016/j.energy.2020.119223,n/a,Thermal management and temperature uniformity enhancement of electronic devices by micro heat sinks: A review,"He, Ziqiang; Yan, Yunfei; Zhang, Zhien",ENERGY,0807 Power Engineering and Engineering Thermophysics; 0820 Oil and Natural Gas Engineering,Article,216,n/a,n/a,2021,523,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000603316400006,34.680616,19.19186782836914,22.43255,15.08,27.2511,23.3143,International - Bilateral,99.9849,8.857
WOS:000580034200036,10.1016/j.enconman.2020.113295,n/a,Assessment of energy storage technologies: A review,"Rahman, Md Mustafizur; Oni, Abayomi Olufemi; Gemechu, Eskinder; Kumar, Amit",ENERGY CONVERSION AND MANAGEMENT,0801 Mechanics; 0807 Power Engineering and Engineering Thermophysics; 0820 Oil and Natural Gas Engineering,Review,223,n/a,n/a,2020,523,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000580034200036,178.03125,75.96440124511719,67.72566,2.94,6.8848,7.7223,Domestic - Single,99.3528,9.709
WOS:000719405900009,10.1016/j.enconman.2021.114898,n/a,Perspective of the role of hydrogen in the 21st century energy transition,"Capurso, T.; Stefanizzi, M.; Torresi, M.; Camporeale, S. M.",ENERGY CONVERSION AND MANAGEMENT,0801 Mechanics; 0820 Oil and Natural Gas Engineering; 0807 Power Engineering and Engineering Thermophysics,Review,251,n/a,n/a,2021,522,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000719405900009,114.806452,62.882835388183594,50.333332,4.55,8.3012,10.3709,Domestic - Single,98.9101,11.533
