入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000558791600001,n/a,n/a,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Raffel, Colin; Shazeer, Noam; Roberts, Adam; Lee, Katherine; Narang, Sharan; Matena, Michael; Zhou, Yanqi; Li, Wei; Liu, Peter J.",JOURNAL OF MACHINE LEARNING RESEARCH,0808 Electrical Engineering; 0812 Computer Science and Technology; 0811 Control Science and Engineering,Article,21,n/a,n/a,2020,7900,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000558791600001,59.65873,22.554853439331055,19.953772,132.42,350.2572,395.9151,Domestic - Single,99.9976,3.654
WOS:000564291100022,10.1109/TITS.2019.2935152,n/a,T-GCN: A Temporal Graph Convolutional Network for Traffic Prediction,"Zhao, Ling; Song, Yujiao; Zhang, Chao; Liu, Yu; Wang, Pu; Lin, Tao; Deng, Min; Li, Haifeng",IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,0814 Civil Engineering; 0808 Electrical Engineering; 0711 Systems Science; 0809 Electronic Science and Technology; 0823 Transportation Engineering,Article,21,9,3848-3858,2020,1971,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564291100022,51.887828,22.554853439331055,27.649372,37.99,87.387,71.2855,International - Bilateral,99.9952,6.492
WOS:000526289100027,10.1109/TR.2018.2882682,n/a,A Hybrid Prognostics Approach for Estimating Remaining Useful Life of Rolling Element Bearings,"Wang, Biao; Lei, Yaguo; Li, Naipeng; Li, Ningbo",IEEE TRANSACTIONS ON RELIABILITY,0808 Electrical Engineering; 0809 Electronic Science and Technology; 0835 Software Engineering; 0837 Safety Science and Engineering; 0812 Computer Science and Technology,Article,69,1,401-412,2020,1213,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526289100027,35.705263,22.554853439331055,19.953772,33.97,53.78,60.7905,Domestic - Single,99.9929,4.424
WOS:000732410600001,10.1109/TITS.2021.3054625,n/a,Deep Reinforcement Learning for Autonomous Driving: A Survey,"Kiran, B. Ravi; Sobh, Ibrahim; Talpaert, Victor; Mannion, Patrick; Al Sallab, Ahmad A.; Yogamani, Senthil; Perez, Patrick",IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,0814 Civil Engineering; 0808 Electrical Engineering; 0823 Transportation Engineering; 0809 Electronic Science and Technology; 0711 Systems Science,Article,23,6,4909-4926,2021,1205,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000732410600001,38.204923,19.365238189697266,27.582108,31.54,62.2249,43.6877,International - Trilateral,99.9977,9.551
WOS:000538727700052,10.1109/ACCESS.2020.2990567,n/a,Pymoo: Multi-Objective Optimization in Python,"Blank, Julian; Deb, Kalyanmoy",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,89497-89509,2020,1159,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000538727700052,18.039783,22.554853439331055,19.953772,64.25,51.3858,58.0843,Domestic - Single,99.9905,3.367
WOS:000726706300001,n/a,n/a,Stable-Baselines3: Reliable Reinforcement Learning Implementations,"Raffin, Antonin; Hi, Ashley; Gleave, Adam; Kanervisto, Anssi; Ernestus, Maximilian; Dormann, Noah",JOURNAL OF MACHINE LEARNING RESEARCH,0808 Electrical Engineering; 0811 Control Science and Engineering; 0812 Computer Science and Technology,Article,22,n/a,1-8,2021,1090,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000726706300001,26.742063,19.365238189697266,37.050262,40.76,56.2864,29.4195,International - Quadrilateral +,99.9953,5.177
WOS:000549846400006,10.1109/ACCESS.2020.2988796,n/a,Unsupervised K-Means Clustering Algorithm,"Sinaga, Kristina P.; Yang, Miin-Shen",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,80716-80727,2020,1038,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549846400006,18.039783,22.554853439331055,19.953772,57.54,46.0211,52.0202,Domestic - Single,99.9881,3.367
WOS:000549854400011,10.1109/ACCESS.2020.2998358,n/a,"Digital Twin: Enabling Technologies, Challenges and Open Research","Fuller, Aidan; Fan, Zhong; Day, Charles; Barlow, Chris",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,108952-108971,2020,1028,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549854400011,18.039783,22.554853439331055,19.294207,56.99,45.5778,53.2802,Domestic - Multiple,99.9857,3.367
WOS:000549798000002,10.1109/ACCESS.2020.2983149,n/a,A Survey of Autonomous Driving: Common Practices and Emerging Technologies,"Yurtsever, Ekim; Lambert, Jacob; Carballo, Alexander; Takeda, Kazuya",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,58443-58469,2020,1012,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549798000002,18.039783,22.554853439331055,19.294207,56.1,44.8684,52.451,Domestic - Multiple,99.9834,3.367
WOS:000673957200001,10.1109/ACCESS.2021.3086020,n/a,U-Net and Its Variants for Medical Image Segmentation: A Review of Theory and Applications,"Siddique, Nahian; Paheding, Sidike; Elkin, Colin P.; Devabhaktuni, Vijay",IEEE ACCESS,0810 Information and Communication Engineering; 0808 Electrical Engineering; 0812 Computer Science and Technology; 0803 Optical Engineering,Review,9,n/a,82031-82057,2021,1001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000673957200001,49.441926,50.412086486816406,48.525715,20.25,19.8563,20.6282,Domestic - Multiple,99.8626,3.476
