入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000600848500003,10.1109/JPROC.2020.3004555,n/a,A Comprehensive Survey on Transfer Learning,"Zhuang, Fuzhen; Qi, Zhiyuan; Duan, Keyu; Xi, Dongbo; Zhu, Yongchun; Zhu, Hengshu; Xiong, Hui; He, Qing",PROCEEDINGS OF THE IEEE,0809 Electronic Science and Technology,Article,109,1,43-76,2021,3792,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000600848500003,132.303797,16.233686447143555,20.824383,28.66,233.5883,182.0942,International - Bilateral,99.9983,14.91
WOS:000532218500008,10.1109/MSP.2020.2975749,n/a,"Federated Learning: Challenges, Methods, and Future Directions","Li, Tian; Sahu, Anit Kumar; Talwalkar, Ameet; Smith, Virginia",IEEE SIGNAL PROCESSING MAGAZINE,0809 Electronic Science and Technology,Article,37,3,50-60,2020,3281,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532218500008,115.359375,19.046926498413086,17.35707,28.44,172.2588,189.0296,Domestic - Multiple,99.9981,12.551
WOS:000583128600001,10.1007/s11042-020-10139-6,MEDLINE:33162782,"A review on genetic algorithm: past, present, and future","Katoch, Sourabh; Chauhan, Sumit Singh; Kumar, Vijay",MULTIMEDIA TOOLS AND APPLICATIONS,0812 Computer Science and Technology; 0809 Electronic Science and Technology; 0835 Software Engineering,Review,80,5,8091-8126,2020,2619,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000583128600001,158.130435,56.20580291748047,53.971428,16.56,46.5966,48.5257,Domestic - Single,99.8619,2.757
WOS:000544923000007,10.1109/TMI.2019.2959609,MEDLINE:31841402,UNet plus plus : Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation,"Zhou, Zongwei; Siddiquee, Md Mahfuzur Rahman; Tajbakhsh, Nima; Liang, Jianming",IEEE TRANSACTIONS ON MEDICAL IMAGING,0803 Optical Engineering; 0809 Electronic Science and Technology; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0812 Computer Science and Technology,Article,39,6,1856-1867,2020,2501,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000544923000007,61.541237,19.046926498413086,17.35707,40.64,131.3073,144.0911,Domestic - Multiple,99.9963,10.048
WOS:000564291100022,10.1109/TITS.2019.2935152,n/a,T-GCN: A Temporal Graph Convolutional Network for Traffic Prediction,"Zhao, Ling; Song, Yujiao; Zhang, Chao; Liu, Yu; Wang, Pu; Lin, Tao; Deng, Min; Li, Haifeng",IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,0814 Civil Engineering; 0808 Electrical Engineering; 0711 Systems Science; 0809 Electronic Science and Technology; 0823 Transportation Engineering,Article,21,9,3848-3858,2020,1971,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564291100022,51.887828,19.046926498413086,24.438095,37.99,103.4813,80.6528,International - Bilateral,99.9944,6.492
WOS:000517855800037,10.1016/j.ymssp.2019.106587,n/a,Applications of machine learning to machine fault diagnosis: A review and roadmap,"Lei, Yaguo; Yang, Bin; Jiang, Xinwei; Jia, Feng; Li, Naipeng; Nandi, Asoke K.",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,0802 Mechanical Engineering; 0809 Electronic Science and Technology,Review,138,n/a,n/a,2020,1801,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517855800037,466.857143,56.20580291748047,70.56962,3.86,32.043,25.5209,International - Bilateral,99.7238,6.823
WOS:000652065300040,10.1109/TCOMM.2021.3051897,n/a,Intelligent Reflecting Surface-Aided Wireless Communications: A Tutorial,"Wu, QingQing; Zhang, Shuowen; Zheng, Beixiong; You, Changsheng; Zhang, Rui",IEEE TRANSACTIONS ON COMMUNICATIONS,0810 Information and Communication Engineering; 0809 Electronic Science and Technology,Article,69,5,3313-3351,2021,1766,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000652065300040,32.110368,16.233686447143555,20.824383,55.0,108.7861,84.8044,International - Bilateral,99.9967,6.166
WOS:000640530600029,10.1016/j.ymssp.2020.107398,n/a,1D convolutional neural networks and applications: A survey,"Kiranyaz, Serkan; Avci, Onur; Abdeljaber, Osama; Ince, Turker; Gabbouj, Moncef; Inman, Daniel J.",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,0802 Mechanical Engineering; 0809 Electronic Science and Technology,Article,151,n/a,n/a,2021,1606,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000640530600029,33.900607,16.233686447143555,35.89777,47.37,98.9301,44.7382,International - Quadrilateral +,99.995,8.934
WOS:000665167500041,10.1109/TGRS.2020.3015157,n/a,Graph Convolutional Networks for Hyperspectral Image Classification,"Hong, Danfeng; Gao, Lianru; Yao, Jing; Zhang, Bing; Plaza, Antonio; Chanussot, Jocelyn",IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0708 Geophysics; 0809 Electronic Science and Technology; 0816 Surveying and Mapping,Article,59,7,5966-5978,2021,1331,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000665167500041,33.268994,16.233686447143555,25.282701,40.01,81.99,52.6447,International - Trilateral,99.9934,8.125
WOS:000613403600019,10.1109/TIP.2021.3051462,MEDLINE:33481709,EnlightenGAN: Deep Light Enhancement Without Paired Supervision,"Jiang, Yifan; Gong, Xinyu; Liu, Ding; Cheng, Yu; Fang, Chen; Shen, Xiaohui; Yang, Jianchao; Zhou, Pan; Wang, Zhangyang",IEEE TRANSACTIONS ON IMAGE PROCESSING,0809 Electronic Science and Technology; 0812 Computer Science and Technology,Article,30,n/a,2340-2349,2021,1311,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000613403600019,42.271693,16.233686447143555,20.824383,31.01,80.758,62.955,International - Bilateral,99.9917,11.041
