入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000526802600018,10.1109/MCOM.001.1900107,n/a,Towards Smart and Reconfigurable Environment: Intelligent Reflecting Surface Aided Wireless Network,"Wu, Qingqing; Zhang, Rui",IEEE COMMUNICATIONS MAGAZINE,0810 Information and Communication Engineering,Article,58,1,106-112,2020,2815,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526802600018,70.631579,20.072702407836914,16.08974,39.85,140.2402,174.9562,Domestic - Single,99.9976,9.619
WOS:000541150100019,10.1109/MNET.001.1900287,n/a,"A Vision of 6G Wireless Systems: Applications, Trends, Technologies, and Open Research Problems","Saad, Walid; Bennis, Mehdi; Chen, Mingzhe",IEEE NETWORK,0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,34,3,134-142,2020,2719,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000541150100019,52.440171,20.072702407836914,36.596035,51.85,135.4576,74.2977,International - Trilateral,99.9951,10.693
WOS:000615970401059,10.1109/icassp40776.2020.9053405,n/a,UNET 3+: A FULL-SCALE CONNECTED UNET FOR MEDICAL IMAGE SEGMENTATION,"Huang, Huimin; Lin, Lanfen; Tong, Ruofeng; Hu, Hongjie; Zhang, Qiaowei; Iwamoto, Yutaro; Han, Xianhua; Chen, Yen-Wei; Wu, Jian","2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,1055-1059,2020,1991,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615970401059,15.522837,3.471356153488159,5.1208363,128.26,573.5511,388.8037,International - Bilateral,99.9988,n/a
WOS:000579341000002,10.1109/JSAC.2020.3007211,n/a,"Smart Radio Environments Empowered by Reconfigurable Intelligent Surfaces: How It Works, State of Research, and The Road Ahead","Di Renzo, Marco; Zappone, Alessio; Debbah, Merouane; Alouini, Mohamed-Slim; Yuen, Chau; de Rosny, Julien; Tretyakov, Sergei",IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0810 Information and Communication Engineering,Article,38,11,2450-2525,2020,1888,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579341000002,69.644689,20.072702407836914,48.200893,27.11,94.0581,39.1694,International - Quadrilateral +,99.9927,9.144
WOS:000652065300040,10.1109/TCOMM.2021.3051897,n/a,Intelligent Reflecting Surface-Aided Wireless Communications: A Tutorial,"Wu, QingQing; Zhang, Shuowen; Zheng, Beixiong; You, Changsheng; Zhang, Rui",IEEE TRANSACTIONS ON COMMUNICATIONS,0810 Information and Communication Engineering; 0809 Electronic Science and Technology,Article,69,5,3313-3351,2021,1766,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000652065300040,32.110368,15.633252143859863,20.381977,55.0,112.9643,86.6452,International - Bilateral,99.9973,6.166
WOS:000577093700019,10.1109/COMST.2020.2986024,n/a,Federated Learning in Mobile Edge Networks: A Comprehensive Survey,"Lim, Wei Yang Bryan; Nguyen Cong Luong; Dinh Thai Hoang; Jiao, Yutao; Liang, Ying-Chang; Yang, Qiang; Niyato, Dusit; Miao, Chunyan",IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,22,3,2031-2063,2020,1450,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000577093700019,200.83908,20.072702407836914,48.200893,7.22,72.2374,30.0824,International - Quadrilateral +,99.9902,25.249
WOS:000797418900005,10.1109/JSAC.2022.3156632,n/a,Integrated Sensing and Communications: Toward Dual-Functional Wireless Networks for 6G and Beyond,"Liu, Fan; Cui, Yuanhao; Masouros, Christos; Xu, Jie; Han, Tony Xiao; Eldar, Yonina C.; Buzzi, Stefano",IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0810 Information and Communication Engineering,Article,40,6,1728-1767,2022,1405,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000797418900005,35.113014,11.06093692779541,26.512196,40.01,127.0236,52.9945,International - Quadrilateral +,99.997,16.4
WOS:000522186900011,10.1109/MCOM.001.1900411,n/a,Toward 6G Networks: Use Cases and Technologies,"Giordani, Marco; Polese, Michele; Mezzavilla, Marco; Rangan, Sundeep; Zorzi, Michele",IEEE COMMUNICATIONS MAGAZINE,0810 Information and Communication Engineering,Article,58,3,55-61,2020,1204,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522186900011,70.631579,20.072702407836914,25.204021,17.05,59.982,47.7702,International - Bilateral,99.9878,9.619
WOS:000538727700052,10.1109/ACCESS.2020.2990567,n/a,Pymoo: Multi-Objective Optimization in Python,"Blank, Julian; Deb, Kalyanmoy",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,89497-89509,2020,1159,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000538727700052,18.039783,20.072702407836914,16.08974,64.25,57.7401,72.0335,Domestic - Single,99.9853,3.367
WOS:000543389800042,10.1109/TCOMM.2020.2973976,n/a,"Joint Radar and Communication Design: Applications, State-of-the-Art, and the Road Ahead","Liu, Fan; Masouros, Christos; Petropulu, Athina P.; Griffiths, Hugh; Hanzo, Lajos",IEEE TRANSACTIONS ON COMMUNICATIONS,0809 Electronic Science and Technology; 0810 Information and Communication Engineering,Article,68,6,3834-3862,2020,1153,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000543389800042,40.460573,20.072702407836914,25.204021,28.5,57.4412,45.7467,International - Bilateral,99.9829,5.083
WOS:000724139600027,10.1007/978-3-030-65965-3_28,n/a,"Interpretable Machine Learning - A Brief History, State-of-the-Art and Challenges","Molnar, Christoph; Casalicchio, Giuseppe; Bischl, Bernd",ECML PKDD 2020 WORKSHOPS,1201 Management Science and Engineering; 0820 Oil and Natural Gas Engineering; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0401 Education; 0830 Environmental Science and Engineering; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0813 Architecture; 0705 Geography; 0303 Sociology; 1204 Public Administration; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1205 Library and Information Science & Archive Management; 0811 Control Science and Engineering; 0503 Journalism and Communication; 1302 Music and Dance; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping; 0809 Electronic Science and Technology,Proceedings Paper,1323,n/a,417-431,2020,1108,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000724139600027,3.026936,3.471356153488159,2.989615,366.05,319.1836,370.6163,Domestic - Single,99.9976,n/a
WOS:000765802100138,10.1016/j.procs.2022.01.135,n/a,A Review of Yolo Algorithm Developments,"Jiang, Peiyuan; Ergu, Daji; Liu, Fangyao; Cai, Ying; Ma, Bo",8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19,0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 0820 Oil and Natural Gas Engineering; 1204 Public Administration; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0802 Mechanical Engineering; 0503 Journalism and Communication; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,199,n/a,1066-1073,2022,1098,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000765802100138,11.117347,2.827936887741089,2.140642,98.76,388.2689,512.9302,Domestic - Single,99.9984,n/a
WOS:000508181000002,10.1109/JIOT.2019.2948888,n/a,A Comprehensive Survey on Internet of Things (IoT) Toward 5G Wireless Systems,"Chettri, Lalit; Bera, Rabindranath",IEEE INTERNET OF THINGS JOURNAL,0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,7,1,16-32,2020,1068,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508181000002,51.05876,20.072702407836914,16.624117,20.92,53.2066,64.244,Domestic - Multiple,99.9804,9.471
WOS:000549846400006,10.1109/ACCESS.2020.2988796,n/a,Unsupervised K-Means Clustering Algorithm,"Sinaga, Kristina P.; Yang, Miin-Shen",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,80716-80727,2020,1038,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549846400006,18.039783,20.072702407836914,16.08974,57.54,51.712,64.5132,Domestic - Single,99.978,3.367
WOS:000549854400011,10.1109/ACCESS.2020.2998358,n/a,"Digital Twin: Enabling Technologies, Challenges and Open Research","Fuller, Aidan; Fan, Zhong; Day, Charles; Barlow, Chris",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,108952-108971,2020,1028,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549854400011,18.039783,20.072702407836914,16.624117,56.99,51.2138,61.8379,Domestic - Multiple,99.9756,3.367
WOS:000549798000002,10.1109/ACCESS.2020.2983149,n/a,A Survey of Autonomous Driving: Common Practices and Emerging Technologies,"Yurtsever, Ekim; Lambert, Jacob; Carballo, Alexander; Takeda, Kazuya",IEEE ACCESS,0803 Optical Engineering; 0808 Electrical Engineering; 0810 Information and Communication Engineering; 0812 Computer Science and Technology,Article,8,n/a,58443-58469,2020,1012,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000549798000002,18.039783,20.072702407836914,16.624117,56.1,50.4167,60.8754,Domestic - Multiple,99.9731,3.367
WOS:000673957200001,10.1109/ACCESS.2021.3086020,n/a,U-Net and Its Variants for Medical Image Segmentation: A Review of Theory and Applications,"Siddique, Nahian; Paheding, Sidike; Elkin, Colin P.; Devabhaktuni, Vijay",IEEE ACCESS,0810 Information and Communication Engineering; 0808 Electrical Engineering; 0812 Computer Science and Technology; 0803 Optical Engineering,Review,9,n/a,82031-82057,2021,1001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000673957200001,49.441926,39.774627685546875,34.271793,20.25,25.1668,29.2077,Domestic - Multiple,99.865,3.476
WOS:000611566100037,10.1007/978-3-030-37734-2_37,n/a,Kvasir-SEG: A Segmented Polyp Dataset,"Jha, Debesh; Smedsrud, Pia H.; Riegler, Michael A.; Halvorsen, Pal; de Lange, Thomas; Johansen, Dag; Johansen, Havard D.","MULTIMEDIA MODELING (MMM 2020), PT II",0805 Materials Science and Engineering; 1004 Public Health and Preventive Medicine; 0703 Chemistry; 0708 Geophysics; 1201 Management Science and Engineering; 0401 Education; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 0810 Information and Communication Engineering; 1202 Business Administration; 0712 History of Science and Technology; 0301 Law; 0833 Urban and Rural Planning; 1010 Medical Technology; 0813 Architecture; 0705 Geography; 0831 Biomedical Engineering; 0303 Sociology; 0811 Control Science and Engineering; 1204 Public Administration; 0302 Political Science; 1009 Special Medicine; 1205 Library and Information Science & Archive Management; 0101 Philosophy; 0603 World History; 0714 Statistics; 0503 Journalism and Communication; 1302 Music and Dance; 1001 Basic Medicine; 0702 Physics; 0402 Psychology; 0835 Software Engineering; 0812 Computer Science and Technology; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,11962,n/a,451-462,2020,955,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000611566100037,5.166721,3.471356153488159,3.2215455,184.84,275.1086,296.4416,Domestic - Multiple,99.9964,n/a
