入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000558791600001,n/a,n/a,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Raffel, Colin; Shazeer, Noam; Roberts, Adam; Lee, Katherine; Narang, Sharan; Matena, Michael; Zhou, Yanqi; Li, Wei; Liu, Peter J.",JOURNAL OF MACHINE LEARNING RESEARCH,0808 Electrical Engineering; 0812 Computer Science and Technology; 0811 Control Science and Engineering,Article,21,n/a,n/a,2020,7900,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000558791600001,59.65873,21.711328506469727,18.041258,132.42,363.8653,437.8852,Domestic - Single,99.9955,3.654
WOS:001159644304024,10.1109/ICCV51070.2023.00371,n/a,Segment Anything,"Kirillov, Alexander; Mintun, Eric; Ravi, Nikhila; Mao, Hanzi; Rolland, Chloe; Gustafson, Laura; Xiao, Tete; Whitehead, Spencer; Berg, Alexander C.; Lo, Wan-Yen; Dolla'r, Piotr; Girshick, Ross","2023 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION, ICCV",0811 Control Science and Engineering; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,3992-4003,2023,2716,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001159644304024,13.960111,1.9475212097167969,1.6077477,194.55,1394.5933,1689.3198,Domestic - Single,99.9977,n/a
WOS:000505547700001,10.1080/21642583.2019.1708830,n/a,A novel swarm intelligence optimization approach: sparrow search algorithm,"Xue, Jiankai; Shen, Bo",SYSTEMS SCIENCE & CONTROL ENGINEERING,0811 Control Science and Engineering,Article,8,1,22-34,2020,2265,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505547700001,45.649123,21.711328506469727,20.074877,49.62,104.3234,112.8276,Domestic - Multiple,99.9909,n/a
WOS:000615970401059,10.1109/icassp40776.2020.9053405,n/a,UNET 3+: A FULL-SCALE CONNECTED UNET FOR MEDICAL IMAGE SEGMENTATION,"Huang, Huimin; Lin, Lanfen; Tong, Ruofeng; Hu, Hongjie; Zhang, Qiaowei; Iwamoto, Yutaro; Han, Xianhua; Chen, Yen-Wei; Wu, Jian","2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,1055-1059,2020,1991,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615970401059,15.522837,3.547532081604004,5.1089907,128.26,561.2352,389.7052,International - Bilateral,99.9988,n/a
WOS:000725804900006,10.1109/TRO.2021.3075644,n/a,"ORB-SLAM3: An Accurate Open-Source Library for Visual, Visual-Inertial, and Multimap SLAM","Campos, Carlos; Elvira, Richard; Gomez Rodriguez, Juan J.; Montiel, Jose M. M.; Tardos, Juan D.",IEEE TRANSACTIONS ON ROBOTICS,0811 Control Science and Engineering,Article,37,6,1874-1890,2021,1726,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000725804900006,41.449438,19.194812774658203,15.698057,41.64,89.9201,109.9499,Domestic - Single,99.9957,6.835
WOS:000714033802135,10.1109/IROS45743.2020.9341176,n/a,LIO-SAM: Tightly-coupled Lidar Inertial Odometry via Smoothing and Mapping,"Shan, Tixiao; Englot, Brendan; Meyers, Drew; Wang, Wei; Ratti, Carlo; Rus, Daniela",2020 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),0811 Control Science and Engineering; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,5135-5142,2020,1190,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000714033802135,14.675819,3.547532081604004,3.2908652,81.09,335.4445,361.607,Domestic - Multiple,99.9976,n/a
WOS:001159644304008,10.1109/ICCV51070.2023.00355,n/a,Adding Conditional Control to Text-to-Image Diffusion Models,"Zhang, Lvmin; Rao, Anyi; Agrawala, Maneesh","2023 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION, ICCV",0812 Computer Science and Technology; 0811 Control Science and Engineering,Proceedings Paper,n/a,n/a,3813-3824,2023,1163,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001159644304008,13.960111,1.9475212097167969,1.6077477,83.31,597.1694,723.3722,Domestic - Single,99.9953,n/a
WOS:000724139600027,10.1007/978-3-030-65965-3_28,n/a,"Interpretable Machine Learning - A Brief History, State-of-the-Art and Challenges","Molnar, Christoph; Casalicchio, Giuseppe; Bischl, Bernd",ECML PKDD 2020 WORKSHOPS,1201 Management Science and Engineering; 0820 Oil and Natural Gas Engineering; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0401 Education; 0830 Environmental Science and Engineering; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0813 Architecture; 0705 Geography; 0303 Sociology; 1204 Public Administration; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1205 Library and Information Science & Archive Management; 0811 Control Science and Engineering; 0503 Journalism and Communication; 1302 Music and Dance; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping; 0809 Electronic Science and Technology,Proceedings Paper,1323,n/a,417-431,2020,1108,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000724139600027,3.026936,3.547532081604004,3.1457536,366.05,312.3298,352.2208,Domestic - Single,99.9965,n/a
WOS:000765802100138,10.1016/j.procs.2022.01.135,n/a,A Review of Yolo Algorithm Developments,"Jiang, Peiyuan; Ergu, Daji; Liu, Fangyao; Cai, Ying; Ma, Bo",8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19,0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 0820 Oil and Natural Gas Engineering; 1204 Public Administration; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0802 Mechanical Engineering; 0503 Journalism and Communication; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,199,n/a,1066-1073,2022,1098,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000765802100138,11.117347,2.8271243572235107,2.1819623,98.76,388.3805,503.2168,Domestic - Single,99.9983,n/a
WOS:000726706300001,n/a,n/a,Stable-Baselines3: Reliable Reinforcement Learning Implementations,"Raffin, Antonin; Hi, Ashley; Gleave, Adam; Kanervisto, Anssi; Ernestus, Maximilian; Dormann, Noah",JOURNAL OF MACHINE LEARNING RESEARCH,0808 Electrical Engineering; 0811 Control Science and Engineering; 0812 Computer Science and Technology,Article,22,n/a,1-8,2021,1090,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000726706300001,26.742063,19.194812774658203,39.950768,40.76,56.7862,27.2836,International - Quadrilateral +,99.9914,5.177
