入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000671371100001,10.1038/s41545-021-00127-0,n/a,Removal of heavy metal ions from wastewater: a comprehensive and critical review,"Qasem, Naef A. A.; Mohammed, Ramy H.; Lawal, Dahiru U.",NPJ CLEAN WATER,0830 Environmental Science and Engineering; 0817 Chemical Engineering and Technology; 0815 Hydraulic Engineering,Review,4,1,n/a,2021,1369,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000671371100001,269.166667,46.141231536865234,52.57,5.09,29.6698,26.0415,International - Bilateral,99.8861,12.19
WOS:000747131200001,10.3390/w14020242,n/a,"Review on Methylene Blue: Its Properties, Uses, Toxicity and Photodegradation","Khan, Idrees; Saeed, Khalid; Zekker, Ivar; Zhang, Baoliang; Hendi, Abdulmajeed H.; Ahmad, Ashfaq; Ahmad, Shujaat; Zada, Noor; Ahmad, Hanif; Shah, Luqman Ali; Shah, Tariq; Khan, Ibrahim",WATER,0815 Hydraulic Engineering,Article,14,2,n/a,2022,919,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000747131200001,8.000262,11.31764030456543,18.27111,114.87,81.2007,50.298,International - Quadrilateral +,99.9958,3.4
WOS:000541434400029,10.1016/j.watres.2020.115942,n/a,SARS-CoV-2 RNA in wastewater anticipated COVID-19 occurrence in a low prevalence area,"Randazzo, Walter; Truchado, Pilar; Cuevas-Ferrando, Enric; Simon, Pedro; Allende, Ana; Sanchez, Gloria",WATER RESEARCH,0815 Hydraulic Engineering; 0830 Environmental Science and Engineering,Article,181,n/a,n/a,2020,820,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000541434400029,57.291747,18.13274383544922,17.57704,14.31,45.2221,46.6518,Domestic - Multiple,99.9959,11.236
WOS:000514748900002,10.1016/j.watres.2019.115381,MEDLINE:31923761,"Removal of poly- and perfluoroalkyl substances (PFAS) from water by adsorption: Role of PFAS chain length, effect of organic matter and challenges in adsorbent regeneration","Gagliano, Erica; Sgroi, Massimiliano; Falciglia, Pietro P.; Vagliasindi, Federico G. A.; Roccaro, Paolo",WATER RESEARCH,0815 Hydraulic Engineering; 0830 Environmental Science and Engineering,Review,171,n/a,n/a,2020,720,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000514748900002,134.171053,58.64225769042969,60.07895,5.37,12.2778,11.9842,Domestic - Single,99.88,11.236
WOS:000589970400002,10.1016/j.watres.2020.116455,MEDLINE:33032106,"Antibiotics and antibiotic resistant genes (ARGs) in groundwater: A global review on dissemination, sources, interactions, environmental and human health risks","Zainab, Syeda Maria; Junaid, Muhammad; Xu, Nan; Malik, Riffat Naseem",WATER RESEARCH,0815 Hydraulic Engineering; 0830 Environmental Science and Engineering,Review,187,n/a,n/a,2020,695,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000589970400002,134.171053,58.64225769042969,63.19457,5.18,11.8515,10.9978,International - Bilateral,99.7599,11.236
WOS:000998518600002,10.1007/978-3-030-46622-0_1,n/a,Milestones,"Brito, Richard; Cardoso, Vitor; Pani, Paolo","SUPERRADIANCE, 2 EDITION",0802 Mechanical Engineering; 0807 Power Engineering and Engineering Thermophysics; 0804 Instrumentation Science and Technology; 0815 Hydraulic Engineering; 0709 Geology; 0701 Mathematics; 0903 Agricultural Resource and Environment Sciences; 0801 Mechanics; 0708 Geophysics; 0702 Physics; 0811 Control Science and Engineering; 0805 Materials Science and Engineering; 0703 Chemistry; 0402 Psychology; 0820 Oil and Natural Gas Engineering; 0714 Statistics; 0704 Astronomy; 0810 Information and Communication Engineering; 0812 Computer Science and Technology; 1001 Basic Medicine; 0710 Biology,Article,971,n/a,1-12,2020,589,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000998518600002,8.438095,18.13274383544922,20.90855,69.8,32.4827,28.1703,International - Bilateral,99.9919,n/a
WOS:000707748300001,10.3390/w13192660,n/a,Various Natural and Anthropogenic Factors Responsible for Water Quality Degradation: A Review,"Akhtar, Naseem; Syakir Ishak, Muhammad Izzuddin; Bhawani, Showkat Ahmad; Umar, Khalid",WATER,0815 Hydraulic Engineering,Review,13,19,n/a,2021,556,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000707748300001,40.674208,46.141231536865234,41.76923,13.67,12.05,13.3112,Domestic - Multiple,99.7722,3.53
WOS:000599421400016,10.1016/j.watres.2020.116479,MEDLINE:33069949,Peracetic acid-based advanced oxidation processes for decontamination and disinfection of water: A review,"Ao, Xiu-wei; Eloranta, Jussi; Huang, Ching-Hua; Santoro, Domenico; Sun, Wen-jun; Lu, Ze-dong; Li, Chen",WATER RESEARCH,0815 Hydraulic Engineering; 0830 Environmental Science and Engineering,Review,188,n/a,n/a,2021,512,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000599421400016,103.511364,46.141231536865234,69.86441,4.95,11.0964,7.3285,International - Trilateral,99.6583,13.4
WOS:000602819200001,10.3390/w12123313,n/a,Antimicrobials and Antibiotic-Resistant Bacteria: A Risk to the Environment and to Public Health,"Serwecinska, Liliana",WATER,0815 Hydraulic Engineering,Review,12,12,n/a,2020,475,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000602819200001,47.959302,58.64225769042969,60.07895,9.9,8.1,7.9063,Domestic - Single,99.6399,3.103
WOS:000540278200006,10.1016/j.watres.2020.115912,MEDLINE:32422413,"Critical review on dewatering of sewage sludge: Influential mechanism, conditioning technologies and implications to sludge re-utilizations","Wu, Boran; Dai, Xiaohu; Chai, Xiaoli",WATER RESEARCH,0815 Hydraulic Engineering; 0830 Environmental Science and Engineering,Review,180,n/a,n/a,2020,469,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540278200006,134.171053,58.64225769042969,46.05907,3.5,7.9976,10.1826,Domestic - Multiple,99.5198,11.236
