入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000870759103073,10.1109/CVPR52688.2022.01042,n/a,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Robin; Blattmann, Andreas; Lorenz, Dominik; Esser, Patrick; Ommer, Bjoern",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10674-10685,2022,6786,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759103073,62.704008,6.293931007385254,9.773836,108.22,1078.1815,694.3026,International - Bilateral,99.9975,n/a
WOS:001058542607079,10.1109/CVPR52729.2023.00721,n/a,YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,"Wang, Chien-Yao; Bochkovskiy, Alexey; Liao, Hong-Yuan Mark","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR",0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0816 Surveying and Mapping; 0710 Biology,Proceedings Paper,n/a,n/a,7464-7475,2023,6202,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001058542607079,30.232173,3.574768304824829,2.5322464,205.15,1734.9376,2449.2087,Domestic - Single,99.9965,n/a
WOS:001309199902060,10.1109/CVPR42600.2020.00975,n/a,Momentum Contrast for Unsupervised Visual Representation Learning,"He, Kaiming; Fan, Haoqi; Wu, Yuxin; Xie, Saining; Girshick, Ross",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,9726-9735,2020,5693,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199902060,134.471311,5.565311908721924,3.9338632,42.34,1022.9436,1447.1779,Domestic - Single,99.9985,n/a
WOS:001309199904099,10.1109/CVPR42600.2020.01155,n/a,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,"Wang, Qilong; Wu, Banggu; Zhu, Pengfei; Li, Peihua; Zuo, Wangmeng; Hu, Qinghua",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11531-11539,2020,4605,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904099,134.471311,5.565311908721924,5.738894,34.25,827.4469,802.4194,Domestic - Multiple,99.9969,n/a
WOS:000870783001076,10.1109/CVPR52688.2022.01553,n/a,Masked Autoencoders Are Scalable Vision Learners,"He, Kaiming; Chen, Xinlei; Xie, Saining; Li, Yanghao; Dollar, Piotr; Girshick, Ross",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,15979-15988,2022,4130,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870783001076,62.704008,6.293931007385254,3.827024,65.87,656.1877,1079.1675,Domestic - Single,99.995,n/a
WOS:001309199903065,10.1109/CVPR42600.2020.01079,n/a,EfficientDet: Scalable and Efficient Object Detection,"Tan, Mingxing; Pang, Ruoming; Le, Quoc, V",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10778-10787,2020,4110,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199903065,134.471311,5.565311908721924,3.9338632,30.56,738.5031,1044.7745,Domestic - Single,99.9954,n/a
WOS:000870759105006,10.1109/CVPR52688.2022.01167,n/a,A ConvNet for the 2020s,"Liu, Zhuang; Mao, Hanzi; Wu, Chao-Yuan; Feichtenhofer, Christoph; Darrell, Trevor; Xie, Saining",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11966-11976,2022,3944,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759105006,62.704008,6.293931007385254,7.0634503,62.9,626.6354,558.3673,Domestic - Multiple,99.9925,n/a
WOS:000742075003090,10.1109/CVPR46437.2021.01350,n/a,Coordinate Attention for Efficient Mobile Network Design,"Hou, Qibin; Zhou, Daquan; Feng, Jiashi","2021 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR 2021",0702 Physics; 0835 Software Engineering; 0816 Surveying and Mapping; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,13708-13717,2021,3744,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000742075003090,89.320675,6.4378180503845215,6.5758643,41.92,581.5635,569.3548,Domestic - Multiple,99.9974,n/a
WOS:001309199904047,10.1109/CVPR42600.2020.01164,n/a,nuScenes: A multimodal dataset for autonomous driving,"Caesar, Holger; Bankiti, Varun; Lang, Alex H.; Vora, Sourabh; Liong, Venice Erin; Xu, Qiang; Krishnan, Anush; Pan, Yu; Baldan, Giancarlo; Beijbom, Oscar",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11618-11628,2020,3646,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904047,134.471311,5.565311908721924,3.9338632,27.11,655.1295,926.8243,Domestic - Single,99.9939,n/a
WOS:000620679501082,10.1109/CVPR42600.2020.00165,n/a,GhostNet: More Features from Cheap Operations,"Han, Kai; Wang, Yunhe; Tian, Qi; Guo, Jianyuan; Xu, Chunjing; Xu, Chang",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,1577-1586,2020,2975,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000620679501082,134.471311,5.565311908721924,10.648668,22.12,534.5612,279.3777,International - Bilateral,99.9924,n/a
