入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000532557100001,10.1080/09669582.2020.1758708,n/a,"Pandemics, tourism and global change: a rapid assessment of COVID-19","Gossling, Stefan; Scott, Daniel; Hall, C. Michael",JOURNAL OF SUSTAINABLE TOURISM,0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering; 1202 Business Administration,Article,29,1,1-20,2020,2069,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532557100001,48.632479,27.60728645324707,48.23644,42.54,74.944,42.8929,International - Quadrilateral +,99.9988,7.968
WOS:000519150200001,10.1021/acssuschemeng.9b06635,n/a,Degradation Rates of Plastics in the Environment,"Chamas, Ali; Moon, Hyunjin; Zheng, Jiajia; Qiu, Yang; Tabassum, Tarnuma; Jang, Jun Hee; Abu-Omar, Mandi; Scott, Susannah L.; Suh, Sangwon",ACS SUSTAINABLE CHEMISTRY & ENGINEERING,0817 Chemical Engineering and Technology; 0830 Environmental Science and Engineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering,Article,8,9,3494-3511,2020,1993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519150200001,42.053911,27.60728645324707,23.27612,47.39,72.1911,85.6242,Domestic - Single,99.9977,8.198
WOS:000648836900002,10.1038/s41560-021-00820-x,n/a,Non-fullerene acceptors with branched side chains and improved molecular packing to exceed 18% efficiency in organic solar cells,"Li, Chao; Zhou, Jiadong; Song, Jiali; Xu, Jinqiu; Zhang, Huotian; Zhang, Xuning; Guo, Jing; Zhu, Lei; Wei, Donghui; Han, Guangchao; Min, Jie; Zhang, Yuan; Xie, Zengqi; Yi, Yuanping; Yan, He; Gao, Feng; Liu, Feng; Sun, Yanming",NATURE ENERGY,0805 Materials Science and Engineering; 0820 Oil and Natural Gas Engineering,Article,6,6,605-613,2021,1798,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000648836900002,190.635514,22.142065048217773,24.659145,9.43,81.2029,72.9141,International - Bilateral,99.999,67.439
WOS:000514018600001,10.1016/j.ijhydene.2019.12.059,n/a,Hydrogen production for energy: An overview,"Dawood, Furat; Anda, Martin; Shafiullah, G. M.",INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,0820 Oil and Natural Gas Engineering; 0703 Chemistry,Review,45,7,3847-3869,2020,1788,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000514018600001,129.37037,89.93115997314453,80.41714,13.82,19.8819,22.2341,Domestic - Single,99.9791,5.816
WOS:000527264500011,10.1016/j.joule.2020.03.002,n/a,Scientific Challenges for the Implementation of Zn-Ion Batteries,"Blanc, Lauren E.; Kundu, Dipan; Nazar, Linda F.",JOULE,0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering; 0703 Chemistry,Review,4,4,771-799,2020,1563,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527264500011,350.103448,89.93115997314453,102.09598,4.46,17.38,15.3091,International - Bilateral,99.9582,41.248
WOS:000505281200001,10.1002/pip.3228,n/a,Solar cell efficiency tables (Version 55),"Green, Martin A.; Dunlop, Ewan D.; Levi, Dean H.; Hohl-Ebinger, Jochen; Yoshita, Masahiro; Ho-Baillie, Anita W. Y.",PROGRESS IN PHOTOVOLTAICS,0805 Materials Science and Engineering; 0820 Oil and Natural Gas Engineering; 0702 Physics,Article,28,1,3-15,2020,1474,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505281200001,48.991736,27.60728645324707,48.23644,30.09,53.3917,30.5578,International - Quadrilateral +,99.9965,7.953
WOS:000663583500003,10.1016/j.rser.2021.111180,n/a,"Hydrogen energy systems: A critical review of technologies, applications, trends and challenges","Yue, Meiling; Lambert, Hugo; Pahon, Elodie; Roche, Robin; Jemei, Samir; Hissel, Daniel",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering,Review,146,n/a,n/a,2021,1360,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000663583500003,96.174129,65.49697875976562,60.661182,14.14,20.7643,22.4196,Domestic - Multiple,99.9849,16.799
WOS:000516714200016,10.1016/j.est.2019.101047,n/a,"A review of energy storage types, applications and recent developments","Koohi-Fayegh, S.; Rosen, M. A.",JOURNAL OF ENERGY STORAGE,0820 Oil and Natural Gas Engineering,Review,27,n/a,n/a,2020,1319,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000516714200016,167.477273,89.93115997314453,80.41714,7.88,14.6668,16.402,Domestic - Single,99.9372,6.583
WOS:000642168300006,10.1016/j.jechem.2020.10.017,n/a,"A review of lithium-ion battery safety concerns: The issues, strategies, and testing standards","Chen, Yuqing; Kang, Yuqiong; Zhao, Yun; Wang, Li; Liu, Jilei; Li, Yanxi; Liang, Zheng; He, Xiangming; Li, Xing; Tavajohi, Naser; Li, Baohua",JOURNAL OF ENERGY CHEMISTRY,0703 Chemistry; 0820 Oil and Natural Gas Engineering; 0817 Chemical Engineering and Technology,Review,59,n/a,83-99,2021,1317,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000642168300006,111.719424,65.49697875976562,75.843216,11.79,20.1078,17.3648,International - Trilateral,99.9698,13.599
WOS:000509196700015,10.1038/s41560-019-0529-5,n/a,Consensus statement for stability assessment and reporting for perovskite photovoltaics based on ISOS procedures,"Khenkin, Mark V.; Katz, Eugene A.; Abate, Antonio; Bardizza, Giorgio; Berry, Joseph J.; Brabec, Christoph; Brunetti, Francesca; Bulovic, Vladimir; Burlingame, Quinn; Di Carlo, Aldo; Cheacharoen, Rongrong; Cheng, Yi-Bing; Colsmann, Alexander; Cros, Stephane; Domanski, Konrad; Dusza, Michal; Fell, Christopher J.; Forrest, Stephen R.; Galagan, Yulia; Di Girolamo, Diego; Graetzel, Michael; Hagfeldt, Anders; von Hauff, Elizabeth; Hoppe, Harald; Kettle, Jeff; Koebler, Hans; Leite, Marina S.; Liu, Shengzhong (Frank); Loo, Yueh-Lin; Luther, Joseph M.; Ma, Chang-Qi; Madsen, Morten; Manceau, Matthieu; Matheron, Muriel; McGehee, Michael; Meitzner, Rico; Nazeeruddin, Mohammad Khaja; Nogueira, Ana Flavia; Odabasi, Cagla; Osherov, Anna; Park, Nam-Gyu; Reese, Matthew O.; De Rossi, Francesca; Saliba, Michael; Schubert, Ulrich S.; Snaith, Henry J.; Stranks, Samuel D.; Tress, Wolfgang; Troshin, Pavel A.; Turkovic, Vida; Veenstra, Sjoerd; Visoly-Fisher, Iris; Walsh, Aron; Watson, Trystan; Xie, Haibing; Yildirim, Ramazan; Zakeeruddin, Shaik Mohammed; Zhu, Kai; Lira-Cantu, Monica",NATURE ENERGY,0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering,Article,5,1,35-49,2020,1205,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509196700015,290.714286,27.60728645324707,48.23644,4.14,43.6479,24.9811,International - Quadrilateral +,99.9953,60.858
