入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000612264200001,10.1007/s10570-020-03674-w,n/a,Cellulose and its derivatives: towards biomedical applications,"Seddiqi, Hadi; Oliaei, Erfan; Honarkar, Hengameh; Jin, Jianfeng; Geonzon, Lester C.; Bacabac, Rommel G.; Klein-Nulend, Jenneke",CELLULOSE,0703 Chemistry; 0805 Materials Science and Engineering; 0829 Forestry Engineering; 0821 Textile Science and Engineering; 0822 Light Industry Technology and Engineering,Review,28,4,1893-1931,2021,661,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000612264200001,71.657895,31.799999237060547,271.66666,9.22,20.7862,2.4331,International - Quadrilateral +,99.5349,6.123
WOS:000720243800001,10.1007/s10570-021-04325-4,n/a,Cellulose and the role of hydrogen bonds: not in charge of everything,"Wohlert, Malin; Benselfelt, Tobias; Wagberg, Lars; Furo, Istvan; Berglund, Lars A.; Wohlert, Jakob",CELLULOSE,0829 Forestry Engineering; 0821 Textile Science and Engineering; 0703 Chemistry; 0805 Materials Science and Engineering; 0822 Light Industry Technology and Engineering,Review,29,1,1-23,2021,345,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000720243800001,71.657895,31.799999237060547,30.089552,4.81,10.8491,11.4658,Domestic - Multiple,99.0698,6.123
WOS:000531770300002,10.1007/s10570-020-03172-z,n/a,Increment in evolution of cellulose crystallinity analysis,"French, Alfred D.",CELLULOSE,0703 Chemistry; 0805 Materials Science and Engineering; 0822 Light Industry Technology and Engineering; 0829 Forestry Engineering; 0821 Textile Science and Engineering,Editorial Material,27,10,5445-5448,2020,287,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531770300002,97.0,5.629629611968994,0.0,2.96,50.9803,0.0,n/a,98.1482,5.044
WOS:000530936200006,10.1080/15440478.2018.1534191,n/a,"Effect of Various Chemical Treatments of Prosopis juliflora Fibers as Composite Reinforcement: Physicochemical, Thermal, Mechanical, and Morphological Properties","Madhu, P.; Sanjay, M. R.; Senthamaraikannan, P.; Pradeep, S.; Siengchin, S.; Jawaid, M.; Kathiresanf, M.",JOURNAL OF NATURAL FIBERS,0821 Textile Science and Engineering; 0805 Materials Science and Engineering,Article,17,6,833-844,2020,206,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000530936200006,19.343373,13.597634315490723,17.484615,10.65,15.1497,11.7818,International - Trilateral,99.98,5.323
WOS:000509632600059,10.1016/j.dyepig.2019.108064,n/a,Multi-functional fluorescent responses of cobalt complexes derived from functionalized amide-bridged ligand,"Liu, Guo Cheng; Li, Yan; Chi, Jie; Xu, Na; Wang, Xiu Li; Lin, Hong Yan; Chen, Yong Qiang",DYES AND PIGMENTS,0821 Textile Science and Engineering; 0703 Chemistry; 0805 Materials Science and Engineering; 0817 Chemical Engineering and Technology,Article,174,n/a,n/a,2020,194,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509632600059,19.972586,13.597634315490723,14.837883,9.71,14.2672,13.0746,Domestic - Multiple,99.9599,4.889
WOS:000534827000001,="10.1177/1528083720924730",n/a,Life-cycle and environmental impact assessments on processing of plant fibres and its bio-composites: A critical review,"Ramesh, M.; Deepa, C.; Kumar, L. Rajesh; Sanjay, M. R.; Siengchin, Suchart",JOURNAL OF INDUSTRIAL TEXTILES,0821 Textile Science and Engineering; 0805 Materials Science and Engineering,Review,51,4_SUPPL,5518S-5542S,2020,194,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534827000001,38.0,36.58620834350586,53.24,5.11,5.3025,3.6439,International - Bilateral,99.1379,3.732
WOS:000702599500002,10.1007/s10570-021-04228-4,n/a,Environmental hazard in textile dyeing wastewater from local textile industry,"Uddin, Faheem",CELLULOSE,0821 Textile Science and Engineering; 0829 Forestry Engineering; 0822 Light Industry Technology and Engineering; 0703 Chemistry; 0805 Materials Science and Engineering,Review,28,17,10715-10739,2021,190,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000702599500002,71.657895,31.799999237060547,27.36937,2.65,5.9748,6.9421,Domestic - Single,98.6047,6.123
WOS:000600757300001,10.1080/15440478.2020.1854145,n/a,Effect of natural filler materials on fiber reinforced hybrid polymer composites: An Overview,"Jagadeesh, Praveenkumara; Girijappa, Yashas Gowda Thyavihalli; Puttegowda, Madhu; Rangappa, Sanjay Mavinkere; Siengchin, Suchart",JOURNAL OF NATURAL FIBERS,0821 Textile Science and Engineering; 0805 Materials Science and Engineering,Article,19,11,4132-4147,2020,188,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000600757300001,19.343373,13.597634315490723,15.556533,9.72,13.8259,12.085,International - Bilateral,99.9399,5.323
WOS:000682113800001,="10.1177/0040517521991244",n/a,Microfibers from synthetic textiles as a major source of microplastics in the environment: A review,"Acharya, Sanjit; Rumi, Shaida S.; Hu, Yang; Abidi, Noureddine",TEXTILE RESEARCH JOURNAL,0821 Textile Science and Engineering; 0805 Materials Science and Engineering,Review,91,17-18,2136-2156,2021,185,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000682113800001,16.714286,31.799999237060547,27.36937,11.07,5.8176,6.7594,Domestic - Single,98.1395,2.455
WOS:000535164400001,10.1007/s10570-020-03177-8,n/a,Improved cellulose X-ray diffraction analysis using Fourier series modeling,"Yao, Wenqing; Weng, Yuanyuan; Catchmark, Jeffery M.",CELLULOSE,0822 Light Industry Technology and Engineering; 0821 Textile Science and Engineering; 0829 Forestry Engineering; 0703 Chemistry; 0805 Materials Science and Engineering,Article,27,10,5563-5579,2020,184,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000535164400001,26.294461,13.597634315490723,15.556533,7.0,13.5318,11.8278,International - Bilateral,99.9198,5.044
