入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000612264200001,10.1007/s10570-020-03674-w,n/a,Cellulose and its derivatives: towards biomedical applications,"Seddiqi, Hadi; Oliaei, Erfan; Honarkar, Hengameh; Jin, Jianfeng; Geonzon, Lester C.; Bacabac, Rommel G.; Klein-Nulend, Jenneke",CELLULOSE,0703 Chemistry; 0805 Materials Science and Engineering; 0829 Forestry Engineering; 0821 Textile Science and Engineering; 0822 Light Industry Technology and Engineering,Review,28,4,1893-1931,2021,661,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000612264200001,71.657895,39.62886428833008,332.5,9.22,16.6798,1.988,International - Quadrilateral +,98.9691,6.123
WOS:000720243800001,10.1007/s10570-021-04325-4,n/a,Cellulose and the role of hydrogen bonds: not in charge of everything,"Wohlert, Malin; Benselfelt, Tobias; Wagberg, Lars; Furo, Istvan; Berglund, Lars A.; Wohlert, Jakob",CELLULOSE,0829 Forestry Engineering; 0821 Textile Science and Engineering; 0703 Chemistry; 0805 Materials Science and Engineering; 0822 Light Industry Technology and Engineering,Review,29,1,1-23,2021,345,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000720243800001,71.657895,39.62886428833008,39.945946,4.81,8.7058,8.6367,Domestic - Multiple,97.9381,6.123
WOS:000610495100002,10.1007/s00226-020-01258-2,n/a,"Chemical functional groups of extractives, cellulose and lignin extracted from native Leucaena leucocephala bark","Md Salim, Rafidah; Asik, Jahimin; Sarjadi, Mohd Sani",WOOD SCIENCE AND TECHNOLOGY,0907 Forestry; 0829 Forestry Engineering; 0822 Light Industry Technology and Engineering; 0805 Materials Science and Engineering,Article,55,2,295-313,2021,309,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000610495100002,14.585106,9.967986106872559,10.153762,21.19,30.9992,30.4321,Domestic - Multiple,99.9579,2.898
WOS:000531770300002,10.1007/s10570-020-03172-z,n/a,Increment in evolution of cellulose crystallinity analysis,"French, Alfred D.",CELLULOSE,0703 Chemistry; 0805 Materials Science and Engineering; 0822 Light Industry Technology and Engineering; 0829 Forestry Engineering; 0821 Textile Science and Engineering,Editorial Material,27,10,5445-5448,2020,287,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531770300002,97.0,1.1764706373214722,0.0,2.96,243.95,0.0,n/a,99.6904,5.044
WOS:000705896500010,="10.1117/12.2588672",n/a,Diagnosing COVID-19 Pneumonia from X-Ray and CT Images using Deep Learning and Transfer Learning Algorithms,"Maghdid, Halgurd S.; Asaad, Aras T.; Ghafoor, Kayhan Zrar; Sadiq, Ali Safaa; Mirjalili, Seyedali; Khan, Muhammad Khurram",MULTIMODAL IMAGE EXPLOITATION AND LEARNING 2021,0820 Oil and Natural Gas Engineering; 0817 Chemical Engineering and Technology; 0806 Metallurgical Engineering; 0801 Mechanics; 0832 Food Science and Engineering; 0828 Agricultural Engineering; 1007 Pharmaceutical Science; 0819 Mining Engineering; 0815 Hydraulic Engineering; 0824 Naval Architecture and Ocean Engineering; 0713 Ecology; 0807 Power Engineering and Engineering Thermophysics; 0827 Nuclear Science and Technology; 0903 Agricultural Resource and Environment Sciences; 0905 Animal Science; 1400 Cross-field; 0704 Astronomy; 1003 Stomatology; 0822 Light Industry Technology and Engineering; 0802 Mechanical Engineering; 0601 Archaeology; 0830 Environmental Science and Engineering; 0709 Geology; 0906 Veterinary Medicine; 0706 Atmospheric Science; 0707 Marine Science; 0907 Forestry; 0901 Crop Science; 1201 Management Science and Engineering; 0810 Information and Communication Engineering; 0401 Education; 0814 Civil Engineering; 0805 Materials Science and Engineering; 0811 Control Science and Engineering; 0836 Biotechnology and Bioengineering; 0823 Transportation Engineering; 0833 Urban and Rural Planning; 0825 Aerospace Science and Technology; 1002 Clinical Medicine; 0703 Chemistry; 0804 Instrumentation Science and Technology; 1202 Business Administration; 0831 Biomedical Engineering; 0705 Geography; 0813 Architecture; 1204 Public Administration; 1004 Public Health and Preventive Medicine; 1010 Medical Technology; 1205 Library and Information Science & Archive Management; 0708 Geophysics; 0301 Law; 1009 Special Medicine; 0714 Statistics; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,11734,n/a,n/a,2021,225,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000705896500010,1.112331,1.1192777156829834,6.5825243,202.28,201.0225,34.1814,International - Quadrilateral +,99.9902,n/a
WOS:000702599500002,10.1007/s10570-021-04228-4,n/a,Environmental hazard in textile dyeing wastewater from local textile industry,"Uddin, Faheem",CELLULOSE,0821 Textile Science and Engineering; 0829 Forestry Engineering; 0822 Light Industry Technology and Engineering; 0703 Chemistry; 0805 Materials Science and Engineering,Review,28,17,10715-10739,2021,190,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000702599500002,71.657895,39.62886428833008,33.857143,2.65,4.7945,5.6118,Domestic - Single,96.9072,6.123
WOS:000535164400001,10.1007/s10570-020-03177-8,n/a,Improved cellulose X-ray diffraction analysis using Fourier series modeling,"Yao, Wenqing; Weng, Yuanyuan; Catchmark, Jeffery M.",CELLULOSE,0822 Light Industry Technology and Engineering; 0821 Textile Science and Engineering; 0829 Forestry Engineering; 0703 Chemistry; 0805 Materials Science and Engineering,Article,27,10,5563-5579,2020,184,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000535164400001,26.294461,12.489147186279297,13.716364,7.0,14.7328,13.4146,International - Bilateral,99.9612,5.044
WOS:000532641900001,10.1007/s10570-020-03215-5,n/a,Textile sensors for wearable applications: a comprehensive review,"Islam, G. M. Nazmul; Ali, Azam; Collie, Stewart",CELLULOSE,0822 Light Industry Technology and Engineering; 0821 Textile Science and Engineering; 0829 Forestry Engineering; 0703 Chemistry; 0805 Materials Science and Engineering,Review,27,11,6103-6131,2020,152,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532641900001,60.875,37.1315803527832,37.409092,2.5,4.0936,4.0632,Domestic - Multiple,98.6842,5.044
WOS:000589893200001,="10.1117/12.2561610",n/a,Machine Learning for Structural Health Monitoring: Challenges and Opportunities,"Yuan, Fuh-Gwo; Zargar, Sakib Ashraf; Chen, Qiuyi; Wang, Shaohan","SENSORS AND SMART STRUCTURES TECHNOLOGIES FOR CIVIL, MECHANICAL, AND AEROSPACE SYSTEMS 2020",0806 Metallurgical Engineering; 0801 Mechanics; 0832 Food Science and Engineering; 0706 Atmospheric Science; 0827 Nuclear Science and Technology; 0819 Mining Engineering; 1007 Pharmaceutical Science; 0807 Power Engineering and Engineering Thermophysics; 1400 Cross-field; 0713 Ecology; 0707 Marine Science; 1003 Stomatology; 0901 Crop Science; 0907 Forestry; 0903 Agricultural Resource and Environment Sciences; 0905 Animal Science; 0828 Agricultural Engineering; 0815 Hydraulic Engineering; 0601 Archaeology; 0822 Light Industry Technology and Engineering; 0817 Chemical Engineering and Technology; 0704 Astronomy; 0824 Naval Architecture and Ocean Engineering; 0709 Geology; 0906 Veterinary Medicine; 0805 Materials Science and Engineering; 0703 Chemistry; 0830 Environmental Science and Engineering; 0708 Geophysics; 0820 Oil and Natural Gas Engineering; 0825 Aerospace Science and Technology; 0705 Geography; 0814 Civil Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1201 Management Science and Engineering; 0813 Architecture; 1004 Public Health and Preventive Medicine; 0401 Education; 0833 Urban and Rural Planning; 1202 Business Administration; 0823 Transportation Engineering; 0804 Instrumentation Science and Technology; 0802 Mechanical Engineering; 0301 Law; 1204 Public Administration; 1205 Library and Information Science & Archive Management; 0831 Biomedical Engineering; 0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 0714 Statistics; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0702 Physics; 0701 Mathematics; 0835 Software Engineering; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,11379,n/a,n/a,2020,152,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000589893200001,1.523506,1.6353720426559448,1.4546252,99.77,92.9452,104.4943,Domestic - Single,99.9937,n/a
WOS:000626956000007,10.1007/s10570-021-03782-1,n/a,"Highly viscoelastic, stretchable, conductive, and self-healing strain sensors based on cellulose nanofiber-reinforced polyacrylic acid hydrogel","Jiao, Yue; Lu, Kaiyue; Lu, Ya; Yue, Yiying; Xu, Xinwu; Xiao, Huining; Li, Jian; Han, Jingquan",CELLULOSE,0821 Textile Science and Engineering; 0829 Forestry Engineering; 0822 Light Industry Technology and Engineering; 0805 Materials Science and Engineering; 0703 Chemistry,Article,28,7,4295-4311,2021,148,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000626956000007,19.374462,9.967986106872559,10.748848,7.64,14.8475,13.7689,International - Bilateral,99.9158,6.123
