入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000490725100010,10.1007/978-3-030-17795-9_10,n/a,Deep Learning vs. Traditional Computer Vision,"O'Mahony, Niall; Campbell, Sean; Carvalho, Anderson; Harapanahalli, Suman; Hernandez, Gustavo Velasco; Krpalkova, Lenka; Riordan, Daniel; Walsh, Joseph","ADVANCES IN COMPUTER VISION, CVC, VOL 1",0802 Mechanical Engineering; 0817 Chemical Engineering and Technology; 0824 Naval Architecture and Ocean Engineering; 0709 Geology; 0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering; 0830 Environmental Science and Engineering; 1201 Management Science and Engineering; 1004 Public Health and Preventive Medicine; 0401 Education; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 0813 Architecture; 0303 Sociology; 1204 Public Administration; 0403 Physical Education and Sport Science; 0503 Journalism and Communication; 1001 Basic Medicine; 0714 Statistics; 0402 Psychology; 0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology,Proceedings Paper,943,n/a,128-144,2020,659,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000490725100010,1.936,1.7137441635131836,1.6309474,340.39,384.5381,404.0596,Domestic - Single,99.9975,n/a
WOS:000542188700049,10.1016/j.oceaneng.2020.107381,n/a,"Review of the current status, technology and future trends of offshore wind farms","Diaz, H.; Guedes Soares, C.",OCEAN ENGINEERING,0707 Marine Science; 0814 Civil Engineering; 0824 Naval Architecture and Ocean Engineering,Review,209,n/a,n/a,2020,414,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000542188700049,100.857143,41.0,41.97222,4.1,10.0976,9.8637,Domestic - Single,98.7342,3.795
WOS:000550677800014,10.1109/JOE.2019.2911447,n/a,Underwater Image Enhancement Using a Multiscale Dense Generative Adversarial Network,"Guo, Yecai; Li, Hanyu; Zhuang, Peixian",IEEE JOURNAL OF OCEANIC ENGINEERING,0707 Marine Science; 0824 Naval Architecture and Ocean Engineering; 0814 Civil Engineering; 0809 Electronic Science and Technology,Article,45,3,862-870,2020,368,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000550677800014,24.591667,13.585297584533691,11.812903,14.96,27.0881,31.1524,Domestic - Single,99.9786,3.554
WOS:000685091200001,10.1016/j.apor.2021.102734,n/a,Particle methods in ocean and coastal engineering,"Luo, Min; Khayyer, Abbas; Lin, Pengzhi",APPLIED OCEAN RESEARCH,0824 Naval Architecture and Ocean Engineering; 0707 Marine Science,Article,114,n/a,n/a,2021,258,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000685091200001,18.391198,12.241744995117188,15.234392,14.03,21.0754,16.9354,International - Bilateral,99.9792,3.761
WOS:000625304400048,10.1016/j.oceaneng.2021.108709,n/a,The hybrid path planning algorithm based on improved A* and artificial potential field for unmanned surface vehicle formations,"Sang, Hongqiang; You, Yusong; Sun, Xiujun; Zhou, Ying; Liu, Fen",OCEAN ENGINEERING,0707 Marine Science; 0824 Naval Architecture and Ocean Engineering; 0814 Civil Engineering,Article,223,n/a,n/a,2021,244,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000625304400048,19.169118,12.241744995117188,11.917661,12.73,19.9318,20.4738,Domestic - Multiple,99.9585,4.372
WOS:000510075500005,10.1016/j.oceaneng.2019.106712,n/a,A review on fluid dynamics of flapping foils,"Wu, Xia; Zhang, Xiantao; Tian, Xinliang; Li, Xin; Lu, Wenyue",OCEAN ENGINEERING,0824 Naval Architecture and Ocean Engineering; 0707 Marine Science; 0814 Civil Engineering,Review,195,n/a,n/a,2020,233,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510075500005,100.857143,41.0,29.636364,2.31,5.6829,7.862,Domestic - Multiple,97.4684,3.795
WOS:000705896500010,="10.1117/12.2588672",n/a,Diagnosing COVID-19 Pneumonia from X-Ray and CT Images using Deep Learning and Transfer Learning Algorithms,"Maghdid, Halgurd S.; Asaad, Aras T.; Ghafoor, Kayhan Zrar; Sadiq, Ali Safaa; Mirjalili, Seyedali; Khan, Muhammad Khurram",MULTIMODAL IMAGE EXPLOITATION AND LEARNING 2021,0820 Oil and Natural Gas Engineering; 0817 Chemical Engineering and Technology; 0806 Metallurgical Engineering; 0801 Mechanics; 0832 Food Science and Engineering; 0828 Agricultural Engineering; 1007 Pharmaceutical Science; 0819 Mining Engineering; 0815 Hydraulic Engineering; 0824 Naval Architecture and Ocean Engineering; 0713 Ecology; 0807 Power Engineering and Engineering Thermophysics; 0827 Nuclear Science and Technology; 0903 Agricultural Resource and Environment Sciences; 0905 Animal Science; 1400 Cross-field; 0704 Astronomy; 1003 Stomatology; 0822 Light Industry Technology and Engineering; 0802 Mechanical Engineering; 0601 Archaeology; 0830 Environmental Science and Engineering; 0709 Geology; 0906 Veterinary Medicine; 0706 Atmospheric Science; 0707 Marine Science; 0907 Forestry; 0901 Crop Science; 1201 Management Science and Engineering; 0810 Information and Communication Engineering; 0401 Education; 0814 Civil Engineering; 0805 Materials Science and Engineering; 0811 Control Science and Engineering; 0836 Biotechnology and Bioengineering; 0823 Transportation Engineering; 0833 Urban and Rural Planning; 0825 Aerospace Science and Technology; 1002 Clinical Medicine; 0703 Chemistry; 0804 Instrumentation Science and Technology; 1202 Business Administration; 0831 Biomedical Engineering; 0705 Geography; 0813 Architecture; 1204 Public Administration; 1004 Public Health and Preventive Medicine; 1010 Medical Technology; 1205 Library and Information Science & Archive Management; 0708 Geophysics; 0301 Law; 1009 Special Medicine; 0714 Statistics; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,11734,n/a,n/a,2021,225,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000705896500010,1.112331,1.2463970184326172,6.2123895,202.28,180.5203,36.2179,International - Quadrilateral +,99.9937,n/a
WOS:000702874300004,10.1016/j.coastaleng.2021.103977,n/a,Investigation on the effects of Bragg reflection on harbor oscillations,"Gao, Junliang; Ma, Xiaozhou; Dong, Guohai; Chen, Hongzhou; Liu, Qian; Zang, Jun",COASTAL ENGINEERING,0824 Naval Architecture and Ocean Engineering; 0814 Civil Engineering,Article,170,n/a,n/a,2021,224,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000702874300004,18.010582,12.241744995117188,15.234392,12.44,18.298,14.7036,International - Bilateral,99.9377,5.427
WOS:000530233700002,10.1016/j.oceaneng.2020.107248,n/a,Advancements of wave energy converters based on power take off (PTO) systems: A review,"Ahamed, Raju; McKee, Kristoffer; Howard, Ian",OCEAN ENGINEERING,0707 Marine Science; 0824 Naval Architecture and Ocean Engineering; 0814 Civil Engineering,Review,204,n/a,n/a,2020,223,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000530233700002,100.857143,41.0,41.97222,2.21,5.439,5.313,Domestic - Single,96.2025,3.795
WOS:000672806500001,10.1016/j.apor.2021.102759,n/a,A path planning strategy unified with a COLREGS collision avoidance function based on deep reinforcement learning and artificial potential field,"Li, Lingyu; Wu, Defeng; Huang, Youqiang; Yuan, Zhi-Ming",APPLIED OCEAN RESEARCH,0707 Marine Science; 0824 Naval Architecture and Ocean Engineering,Article,113,n/a,n/a,2021,206,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000672806500001,18.391198,12.241744995117188,15.234392,11.2,16.8277,13.522,International - Bilateral,99.9169,3.761
