入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000510900300019,10.1109/LGRS.2019.2918719,n/a,HybridSN: Exploring 3-D-2-D CNN Feature Hierarchy for Hyperspectral Image Classification,"Roy, Swalpa Kumar; Krishna, Gopal; Dubey, Shiv Ram; Chaudhuri, Bidyut B.",IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,0826 Armament Science and Technology; 0708 Geophysics; 0809 Electronic Science and Technology; 0816 Surveying and Mapping,Article,17,2,277-281,2020,1214,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510900300019,25.214118,31.942415237426758,32.635414,48.15,38.0059,37.1989,Domestic - Multiple,99.9933,3.966
WOS:000523958600007,10.1016/j.rse.2020.111716,n/a,Deep learning in environmental remote sensing: Achievements and challenges,"Yuan, Qiangqiang; Shen, Huanfeng; Li, Tongwen; Li, Zhiwei; Li, Shuwen; Jiang, Yun; Xu, Hongzhang; Tan, Weiwei; Yang, Qianqian; Wang, Jiwen; Gao, Jianhao; Zhang, Liangpei",REMOTE SENSING OF ENVIRONMENT,0830 Environmental Science and Engineering; 0826 Armament Science and Technology; 0816 Surveying and Mapping,Article,241,n/a,n/a,2020,1129,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000523958600007,70.548117,31.942415237426758,32.635414,16.0,35.3449,34.5943,Domestic - Multiple,99.9866,10.164
WOS:000502894400029,10.1016/j.rse.2019.111402,n/a,Remote sensing for agricultural applications: A meta-review,"Weiss, M.; Jacob, F.; Duveiller, G.",REMOTE SENSING OF ENVIRONMENT,0830 Environmental Science and Engineering; 0816 Surveying and Mapping; 0826 Armament Science and Technology,Review,236,n/a,n/a,2020,1113,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000502894400029,291.4,93.60431671142578,128.12903,3.82,11.8905,8.6866,International - Bilateral,99.2806,10.164
WOS:000502894400025,10.1016/j.rse.2019.111510,n/a,Annual maps of global artificial impervious area (GAIA) between 1985 and 2018,"Gong, Peng; Li, Xuecao; Wang, Jie; Bai, Yuqi; Cheng, Bin; Hu, Tengyun; Liu, Xiaoping; Xu, Bing; Yang, Jun; Zhang, Wei; Zhou, Yuyu",REMOTE SENSING OF ENVIRONMENT,0826 Armament Science and Technology; 0830 Environmental Science and Engineering; 0816 Surveying and Mapping,Article,236,n/a,n/a,2020,776,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000502894400025,70.548117,31.942415237426758,33.97732,11.0,24.2937,22.8388,International - Bilateral,99.9799,10.164
WOS:000595876800003,10.1016/j.rse.2020.112136,n/a,Reconstructing 1-km-resolution high-quality PM2.5 data records from 2000 to 2018 in China: spatiotemporal variations and policy implications,"Wei, Jing; Li, Zhanqing; Lyapustin, Alexei; Sun, Lin; Peng, Yiran; Xue, Wenhao; Su, Tianning; Cribb, Maureen",REMOTE SENSING OF ENVIRONMENT,0830 Environmental Science and Engineering; 0826 Armament Science and Technology; 0816 Surveying and Mapping,Article,252,n/a,n/a,2021,772,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000595876800003,49.253906,23.281795501708984,24.757584,15.67,33.159,31.1824,International - Bilateral,99.9943,13.85
WOS:000604325300005,10.1016/j.rse.2020.112165,n/a,Mapping global forest canopy height through integration of GEDI and Landsat data,"Potapov, Peter; Li, Xinyuan; Hernandez-Serna, Andres; Tyukavina, Alexandra; Hansen, Matthew C.; Kommareddy, Anil; Pickens, Amy; Turubanova, Svetlana; Tang, Hao; Silva, Carlos Edibaldo; Armston, John; Dubayah, Ralph; Blair, J. Bryan; Hofton, Michelle",REMOTE SENSING OF ENVIRONMENT,0830 Environmental Science and Engineering; 0826 Armament Science and Technology; 0816 Surveying and Mapping,Article,253,n/a,n/a,2021,771,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000604325300005,49.253906,23.281795501708984,23.206404,15.65,33.116,33.2236,Domestic - Multiple,99.9886,13.85
WOS:000509819300015,10.1016/j.rse.2019.111322,n/a,Land-cover classification with high-resolution remote sensing images using transferable deep models,"Tong, Xin-Yi; Xia, Gui-Song; Lu, Qikai; Shen, Huanfeng; Li, Shengyang; You, Shucheng; Zhang, Liangpei",REMOTE SENSING OF ENVIRONMENT,0826 Armament Science and Technology; 0830 Environmental Science and Engineering; 0816 Surveying and Mapping,Article,237,n/a,n/a,2020,684,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509819300015,70.548117,31.942415237426758,32.635414,9.7,21.4135,20.9588,Domestic - Multiple,99.9733,10.164
WOS:000621051200002,10.1021/acsami.1c01089,MEDLINE:33554591,Metal-Organic Frameworks for Drug Delivery: A Design Perspective,"Lawson, Harrison D.; Walton, S. Patrick; Chan, Christina",ACS APPLIED MATERIALS & INTERFACES,0805 Materials Science and Engineering; 0826 Armament Science and Technology,Review,13,6,7004-7020,2021,649,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000621051200002,92.815385,61.7421875,53.592594,6.99,10.5115,12.1099,Domestic - Multiple,99.6094,10.383
WOS:000592406300001,10.1016/j.rse.2020.112061,n/a,lidR: An R package for analysis of Airborne Laser Scanning (ALS) data,"Roussel, Jean-Romain; Auty, David; Coops, Nicholas C.; Tompalski, Piotr; Goodbody, Tristan R. H.; Meador, Andrew Sanchez; Bourdon, Jean-Francois; de Boissieu, Florian; Achim, Alexis",REMOTE SENSING OF ENVIRONMENT,0830 Environmental Science and Engineering; 0826 Armament Science and Technology; 0816 Surveying and Mapping,Review,251,n/a,n/a,2020,630,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000592406300001,291.4,93.60431671142578,152.25,2.16,6.7305,4.1379,International - Trilateral,98.5612,10.164
WOS:000509819300053,10.1016/j.rse.2019.111599,n/a,Soybean yield prediction from UAV using multimodal data fusion and deep learning,"Maimaitijiang, Maitiniyazi; Sagan, Vasit; Sidike, Paheding; Hartling, Sean; Esposito, Flavin; Fritschi, Felix B.",REMOTE SENSING OF ENVIRONMENT,0826 Armament Science and Technology; 0830 Environmental Science and Engineering; 0816 Surveying and Mapping,Article,237,n/a,n/a,2020,621,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509819300053,70.548117,31.942415237426758,32.635414,8.8,19.4412,19.0284,Domestic - Multiple,99.9666,10.164
WOS:000732126600001,10.1109/LGRS.2021.3056416,n/a,SNUNet-CD: A Densely Connected Siamese Network for Change Detection of VHR Images,"Fang, Sheng; Li, Kaiyu; Shao, Jinyuan; Li, Zhe",IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,0708 Geophysics; 0826 Armament Science and Technology; 0809 Electronic Science and Technology; 0816 Surveying and Mapping,Article,19,n/a,n/a,2021,617,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000732126600001,17.726384,23.281795501708984,23.206404,34.81,26.5014,26.5875,Domestic - Multiple,99.9829,5.343
WOS:000509819300066,10.1016/j.rse.2019.111443,n/a,Remote sensing of night lights: A review and an outlook for the future,"Levin, Noam; Kyba, Christopher C. M.; Zhang, Qingling; de Miguel, Alejandro Sanchez; Roman, Miguel O.; Li, Xi; Portnov, Boris A.; Molthan, Andrew L.; Jechow, Andreas; Miller, Steven D.; Wang, Zhuosen; Shrestha, Ranjay M.; Elvidge, Christopher D.",REMOTE SENSING OF ENVIRONMENT,0830 Environmental Science and Engineering; 0826 Armament Science and Technology; 0816 Surveying and Mapping,Review,237,n/a,n/a,2020,586,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509819300066,291.4,93.60431671142578,204.3,2.01,6.2604,2.8683,International - Quadrilateral +,97.8417,10.164
WOS:000509819300065,10.1016/j.rse.2019.111511,n/a,"A review of vegetation phenological metrics extraction using time-series, multispectral satellite data","Zeng, Linglin; Wardlow, Brian D.; Xiang, Daxiang; Hu, Shun; Li, Deren",REMOTE SENSING OF ENVIRONMENT,0830 Environmental Science and Engineering; 0826 Armament Science and Technology; 0816 Surveying and Mapping,Review,237,n/a,n/a,2020,559,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509819300065,291.4,93.60431671142578,128.12903,1.92,5.9719,4.3628,International - Bilateral,97.1223,10.164
WOS:000510532000076,10.1021/acsami.9b19768,MEDLINE:31898463,"Flexible, Robust, and Multifunctional Electromagnetic Interference Shielding Film with Alternating Cellulose Nanofiber and MXene Layers","Zhou, Bing; Zhang, Zhen; Li, Yanli; Han, Gaojie; Feng, Yuezhan; Wang, Bo; Zhang, Dianbo; Ma, Jianmin; Liu, Chuntai",ACS APPLIED MATERIALS & INTERFACES,0826 Armament Science and Technology; 0805 Materials Science and Engineering,Article,12,4,4895-4905,2020,468,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510532000076,44.668707,31.942415237426758,32.635414,10.48,14.6514,14.3403,Domestic - Multiple,99.9599,9.229
WOS:000523955300023,10.1016/j.rse.2020.111697,n/a,Have satellite precipitation products improved over last two decades? A comprehensive comparison of GPM IMERG with nine satellite and reanalysis datasets,"Tang, Guoqiang; Clark, Martyn P.; Papalexiou, Simon Michael; Ma, Ziqiang; Hong, Yang",REMOTE SENSING OF ENVIRONMENT,0826 Armament Science and Technology; 0830 Environmental Science and Engineering; 0816 Surveying and Mapping,Article,240,n/a,n/a,2020,450,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000523955300023,70.548117,31.942415237426758,42.72428,6.38,14.0879,10.5327,International - Quadrilateral +,99.9532,10.164
