入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000817903300026,n/a,n/a,"Climate change 2022: Impacts, adaptation and vulnerability","Suter, Glenn",INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,0830 Environmental Science and Engineering; 1001 Basic Medicine,Book Review,18,4,1117-1118,2022,6612,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000817903300026,183.666667,12.179487228393555,0.0,36.0,542.88,0.0,n/a,99.8169,3.1
WOS:000522389200269,10.3390/ijerph17051729,n/a,Immediate Psychological Responses and Associated Factors during the Initial Stage of the 2019 Coronavirus Disease (COVID-19) Epidemic among the General Population in China,"Wang, Cuiyan; Pan, Riyu; Wan, Xiaoyang; Tan, Yilin; Xu, Linkang; Ho, Cyrus S.; Ho, Roger C.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0837 Safety Science and Engineering,Article,17,5,n/a,2020,5192,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522389200269,19.980245,26.749801635742188,30.555023,259.86,194.0949,169.923,International - Bilateral,99.9993,3.39
WOS:000526416600002,10.1021/acs.est.9b07082,MEDLINE:32062964,Persulfate-Based Advanced Oxidation: Critical Assessment of Opportunities and Roadblocks,"Lee, Jaesang; von Gunten, Urs; Kim, Jae-Hong",ENVIRONMENTAL SCIENCE & TECHNOLOGY,0830 Environmental Science and Engineering,Review,54,6,3064-3081,2020,2460,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526416600002,228.674419,76.99932861328125,93.074196,10.76,31.9483,26.4305,International - Trilateral,99.9865,9.028
WOS:000532829200046,10.1016/j.jhazmat.2020.122383,MEDLINE:32369889,Guidelines for the use and interpretation of adsorption isotherm models: A review,"Al-Ghouti, Mohammad A.; Da'ana, Dana A.",JOURNAL OF HAZARDOUS MATERIALS,0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,393,n/a,n/a,2020,2262,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532829200046,207.104478,76.99932861328125,73.244225,10.92,29.3769,30.883,Domestic - Single,99.9731,10.588
WOS:000532557100001,10.1080/09669582.2020.1758708,n/a,"Pandemics, tourism and global change: a rapid assessment of COVID-19","Gossling, Stefan; Scott, Daniel; Hall, C. Michael",JOURNAL OF SUSTAINABLE TOURISM,0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering; 1202 Business Administration,Article,29,1,1-20,2020,2069,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532557100001,48.632479,26.749801635742188,46.39643,42.54,77.3464,44.5939,International - Quadrilateral +,99.9986,7.968
WOS:000524482400046,10.1016/j.jhazmat.2020.122156,MEDLINE:32006847,"Adsorption kinetic models: Physical meanings, applications, and solving methods","Wang, Jianlong; Guo, Xuan",JOURNAL OF HAZARDOUS MATERIALS,0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,390,n/a,n/a,2020,2033,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524482400046,207.104478,76.99932861328125,73.244225,9.82,26.4028,27.7565,Domestic - Single,99.9596,10.588
WOS:000800102400010,10.1016/j.envint.2022.107199,MEDLINE:35367073,Discovery and quantification of plastic particle pollution in human blood,"Leslie, Heather A.; van Velzen, Martin J. M.; Brandsma, Sicco H.; Vethaak, A. Dick; Garcia-Vallejo, Juan J.; Lamoree, Marja H.",ENVIRONMENT INTERNATIONAL,0830 Environmental Science and Engineering,Article,163,n/a,n/a,2022,1994,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000800102400010,27.468806,15.000877380371094,14.689667,72.59,132.9256,135.7417,Domestic - Multiple,99.9994,11.8
WOS:000519150200001,10.1021/acssuschemeng.9b06635,n/a,Degradation Rates of Plastics in the Environment,"Chamas, Ali; Moon, Hyunjin; Zheng, Jiajia; Qiu, Yang; Tabassum, Tarnuma; Jang, Jun Hee; Abu-Omar, Mandi; Scott, Susannah L.; Suh, Sangwon",ACS SUSTAINABLE CHEMISTRY & ENGINEERING,0817 Chemical Engineering and Technology; 0830 Environmental Science and Engineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering,Article,8,9,3494-3511,2020,1993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519150200001,42.053911,26.749801635742188,21.936964,47.39,74.5052,90.8512,Domestic - Single,99.9979,8.198
WOS:000604627000002,10.1016/j.envint.2020.106274,MEDLINE:33395930,Plasticenta: First evidence of microplastics in human placenta,"Ragusa, Antonio; Svelato, Alessandro; Santacroce, Criselda; Catalano, Piera; Notarstefano, Valentina; Carnevali, Oliana; Papa, Fabrizio; Rongioletti, Mauro Ciro Antonio; Baiocco, Federico; Draghi, Simonetta; D'Amore, Elisabetta; Rinaldo, Denise; Matta, Maria; Giorgini, Elisabetta",ENVIRONMENT INTERNATIONAL,0830 Environmental Science and Engineering,Article,146,n/a,n/a,2021,1802,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000604627000002,40.136856,22.097074508666992,21.983624,44.9,81.5493,81.9701,Domestic - Multiple,99.9994,13.352
WOS:000784301900001,10.1016/j.ecoenv.2021.113160,MEDLINE:35026583,A critical review on the treatment of dye-containing wastewater: Ecotoxicological and health concerns of textile dyes and possible remediation approaches for environmental safety,"Al-Tohamy, Rania; Ali, Sameh S.; Li, Fanghua; Okasha, Kamal M.; Mahmoud, Yehia A. -G.; Elsamahy, Tamer; Jiao, Haixin; Fu, Yinyi; Sun, Jianzhong",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,1001 Basic Medicine; 0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,231,n/a,n/a,2022,1765,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000784301900001,73.804348,33.449012756347656,39.21981,23.91,52.7669,45.0028,International - Trilateral,99.9901,6.8
