入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000564734500001,10.3390/antiox9080681,MEDLINE:32751256,Reactive Oxygen Species and Antioxidant Defense in Plants under Abiotic Stress: Revisiting the Crucial Role of a Universal Defense Regulator,"Hasanuzzaman, Mirza; Bhuyan, M. H. M. Borhannuddin; Zulfiqar, Faisal; Raza, Ali; Mohsin, Sayed Mohammad; Al Mahmud, Jubayer; Fujita, Masayuki; Fotopoulos, Vasileios",ANTIOXIDANTS,1007 Pharmaceutical Science; 0832 Food Science and Engineering; 0710 Biology,Review,9,8,n/a,2020,1675,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564734500001,74.838415,59.17633819580078,41.930233,22.38,28.3052,39.9473,International - Quadrilateral +,99.972,6.313
WOS:000627367900001,10.1038/s43016-021-00225-9,MEDLINE:37117443,Food systems are responsible for a third of global anthropogenic GHG emissions,"Crippa, M.; Solazzo, E.; Guizzardi, D.; Monforti-Ferrario, F.; Tubiello, F. N.; Leip, A.",NATURE FOOD,0832 Food Science and Engineering,Article,2,3,198-209,2021,1555,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000627367900001,105.153846,17.60066795349121,17.280725,14.79,88.3489,89.9847,Domestic - Multiple,99.9977,20.961
WOS:000777213900007,10.1016/j.foodchem.2022.132531,MEDLINE:35413752,"Plant flavonoids: Classification, distribution, biosynthesis, and antioxidant activity","Shen, Nan; Wang, Tongfei; Gan, Quan; Liu, Sian; Wang, Li; Jin, Biao",FOOD CHEMISTRY,0703 Chemistry; 0832 Food Science and Engineering; 1004 Public Health and Preventive Medicine,Review,383,n/a,n/a,2022,1178,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000777213900007,55.352113,26.616790771484375,26.066715,21.28,44.2578,45.1917,Domestic - Single,99.9774,8.8
WOS:000677545900016,10.1038/s43016-021-00322-9,MEDLINE:37117684,A meta-analysis of projected global food demand and population at risk of hunger for the period 2010-2050,"van Dijk, Michiel; Morley, Tom; Rau, Marie Luise; Saghai, Yashar",NATURE FOOD,0832 Food Science and Engineering,Article,2,7,494-+,2021,1060,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000677545900016,105.153846,17.60066795349121,20.812237,10.08,60.225,50.9316,International - Trilateral,99.9954,20.961
WOS:000622013400001,10.3390/antiox10020277,MEDLINE:33670123,"Abiotic Stress and Reactive Oxygen Species: Generation, Signaling, and Defense Mechanisms","Sachdev, Swati; Ansari, Shamim Akhtar; Ansari, Mohammad Israil; Fujita, Masayuki; Hasanuzzaman, Mirza",ANTIOXIDANTS,0832 Food Science and Engineering; 1007 Pharmaceutical Science; 0710 Biology,Review,10,2,n/a,2021,797,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000622013400001,49.579151,39.94426345825195,47.36101,16.08,19.9528,16.8282,International - Trilateral,99.9785,7.675
WOS:000564642200001,10.3390/antiox9080743,MEDLINE:32823544,ROS Generation in Microglia: Understanding Oxidative Stress and Inflammation in Neurodegenerative Disease,"Simpson, Dominic S. A.; Oliver, Peter L.",ANTIOXIDANTS,0832 Food Science and Engineering; 1007 Pharmaceutical Science; 0710 Biology,Review,9,8,n/a,2020,688,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564642200001,74.838415,59.17633819580078,58.19884,9.19,11.6263,11.8215,Domestic - Multiple,99.9439,6.313
WOS:000577064300002,10.2903/j.efsa.2020.6223,MEDLINE:32994824,Risk to human health related to the presence of perfluoroalkyl substances in food,"Schrenk, Dieter; Bignami, Margherita; Bodin, Laurent; Chipman, James Kevin; del Mazo, Jesus; Grasl-Kraupp, Bettina; Hogstrand, Christer; Hoogenboom, Laurentius (Ron); Leblanc, Jean-Charles; Nebbia, Carlo Stefano; Nielsen, Elsa; Ntzani, Evangelia; Petersen, Annette; Sand, Salomon; Vleminckx, Christiane; Wallace, Heather; Barregard, Lars; Ceccatelli, Sandra; Cravedi, Jean-Pierre; Halldorsson, Thorhallur Ingi; Haug, Line Smastuen; Johansson, Niklas; Knutsen, Helle Katrine; Rose, Martin; Roudot, Alain-Claude; van Loveren, Henk; Vollmer, Gunter; Mackay, Karen; Riolo, Francesca; Schwerdtle, Tanja",EFSA JOURNAL,0832 Food Science and Engineering,Article,18,9,n/a,2020,628,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000577064300002,12.741047,20.280372619628906,0.0,49.29,30.9659,0.0,n/a,99.9973,3.336
WOS:000796799700001,10.1007/s12571-022-01288-7,n/a,"Global maize production, consumption and trade: trends and R&D implications","Erenstein, Olaf; Jaleta, Moti; Sonder, Kai; Mottaleb, Khondoker; Prasanna, B. M.",FOOD SECURITY,0832 Food Science and Engineering,Review,14,5,1295-1319,2022,612,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000796799700001,78.9,26.616790771484375,32.15129,7.76,22.993,19.035,International - Trilateral,99.9549,6.7
WOS:000621106600010,10.1016/j.tifs.2021.01.006,n/a,Total volatile basic nitrogen (TVB-N) and its role in meat spoilage: A review,"Bekhit, Alaa El-Din A.; Holman, Benjamin W. B.; Giteru, Stephen G.; Hopkins, David L.",TRENDS IN FOOD SCIENCE & TECHNOLOGY,0832 Food Science and Engineering,Review,109,n/a,280-302,2021,602,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000621106600010,78.951087,39.94426345825195,46.298428,7.62,15.071,13.0026,International - Bilateral,99.957,16.002
WOS:000537220500124,10.3390/foods9040523,MEDLINE:32331259,The Food Systems in the Era of the Coronavirus (COVID-19) Pandemic Crisis,"Galanakis, Charis M.",FOODS,0832 Food Science and Engineering,Article,9,4,n/a,2020,592,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537220500124,23.643664,20.280372619628906,23.575392,25.04,29.1908,25.1109,International - Trilateral,99.9946,4.35
