入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000697053800001,10.1016/j.landurbplan.2021.104217,n/a,Street view imagery in urban analytics and GIS: A review,"Biljecki, Filip; Ito, Koichi",LANDSCAPE AND URBAN PLANNING,0713 Ecology; 0833 Urban and Rural Planning; 0705 Geography; 0830 Environmental Science and Engineering; 0834 Landscape Architecture; 1305 Design,Review,215,n/a,n/a,2021,442,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000697053800001,85.428571,43.295082092285156,53.7,5.17,10.209,8.2309,Domestic - Single,98.3607,8.119
WOS:000496895900002,10.1016/j.landurbplan.2019.103669,n/a,Analyzing spatial relationships between urban land use intensity and urban vitality at street block level: A case study of five Chinese megacities,"Xia, Chang; Yeh, Anthony Gar-On; Zhang, Anqi",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0713 Ecology; 0830 Environmental Science and Engineering,Article,193,n/a,n/a,2020,316,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000496895900002,49.366279,20.387414932250977,15.7025,6.4,15.4998,20.1242,Domestic - Single,99.9242,6.142
WOS:000516278600001,10.1007/s10980-020-00980-3,n/a,Grassland ecosystem services: a systematic review of research advances and future directions,"Zhao, Yuanyuan; Liu, Zhifeng; Wu, Jianguo",LANDSCAPE ECOLOGY,0834 Landscape Architecture; 0713 Ecology; 0705 Geography; 0708 Geophysics,Review,35,4,793-814,2020,260,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000516278600001,79.272727,56.25,86.15385,3.28,4.6222,3.0179,International - Bilateral,98.2143,3.851
WOS:000589911800002,10.1016/j.landurbplan.2020.103920,n/a,Analyzing the effects of Green View Index of neighborhood streets on walking time using Google Street View and deep learning,"Ki, Donghwan; Lee, Sugie",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0713 Ecology; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,205,n/a,n/a,2021,235,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000589911800002,35.931937,14.639491081237793,11.633152,6.54,16.0525,20.2009,Domestic - Single,99.9252,8.119
WOS:000579382500005,10.1016/j.landurbplan.2020.103919,n/a,Which communities have better accessibility to green space? An investigation into environmental inequality using big data,"Chen, Yang; Yue, Wenze; La Rosa, Daniele",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0713 Ecology; 0830 Environmental Science and Engineering,Article,204,n/a,n/a,2020,230,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579382500005,49.366279,20.387414932250977,26.477444,4.66,11.2815,8.6866,International - Bilateral,99.8484,6.142
WOS:000579383300008,10.1016/j.landurbplan.2020.103951,n/a,"Built environment, urban vitality and social cohesion: Do vibrant neighborhoods foster strong communities?","Mouratidis, Kostas; Poortinga, Wouter",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0834 Landscape Architecture; 0713 Ecology; 0830 Environmental Science and Engineering,Article,204,n/a,n/a,2020,208,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579383300008,49.366279,20.387414932250977,26.477444,4.21,10.2024,7.8557,International - Bilateral,99.7726,6.142
WOS:000531508700003,10.1007/s10980-020-01027-3,n/a,Construction and optimization of an ecological network based on morphological spatial pattern analysis and circuit theory,"An, Yi; Liu, Shiliang; Sun, Yongxiu; Shi, Fangning; Beazley, Robert",LANDSCAPE ECOLOGY,0705 Geography; 0708 Geophysics; 0834 Landscape Architecture; 0713 Ecology,Article,36,7,2059-2076,2020,196,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531508700003,25.60396,20.387414932250977,26.477444,7.66,9.6138,7.4025,International - Bilateral,99.6967,3.851
WOS:000635590700006,10.1016/j.landurbplan.2021.104055,n/a,Urban agriculture ? A necessary pathway towards urban resilience and global sustainability?,"Langemeyer, Johannes; Madrid-Lopez, Cristina; Beltran, Angelica Mendoza; Mendez, Gara Villalba",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0713 Ecology; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,210,n/a,n/a,2021,194,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000635590700006,35.931937,14.639491081237793,17.638988,5.4,13.2518,10.9984,International - Bilateral,99.8504,8.119
WOS:000681116600002,10.1016/j.landurbplan.2021.104175,n/a,Back to nature: Norwegians sustain increased recreational use of urban green space months after the COVID-19 outbreak,"Venter, Zander S.; Barton, David N.; Gundersen, Vegard; Figari, Helene; Nowell, Megan S.",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,214,n/a,n/a,2021,193,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000681116600002,35.931937,14.639491081237793,11.633152,5.37,13.1835,16.5905,Domestic - Single,99.7756,8.119
WOS:000674452700011,10.1016/j.ecoleng.2021.106318,n/a,Recent research challenges in constructed wetlands for wastewater treatment: A review,"Vymazal, Jan; Zhao, Yaqian; Mander, Ulo",ECOLOGICAL ENGINEERING,0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Review,169,n/a,n/a,2021,190,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000674452700011,42.625,43.295082092285156,63.375,4.46,4.3885,2.998,International - Trilateral,96.7213,4.379
