入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000522389200269,10.3390/ijerph17051729,n/a,Immediate Psychological Responses and Associated Factors during the Initial Stage of the 2019 Coronavirus Disease (COVID-19) Epidemic among the General Population in China,"Wang, Cuiyan; Pan, Riyu; Wan, Xiaoyang; Tan, Yilin; Xu, Linkang; Ho, Cyrus S.; Ho, Roger C.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0837 Safety Science and Engineering,Article,17,5,n/a,2020,5192,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000522389200269,19.980245,24.94459342956543,27.714714,259.86,208.1413,187.3373,International - Bilateral,99.9958,3.39
WOS:000532829200046,10.1016/j.jhazmat.2020.122383,MEDLINE:32369889,Guidelines for the use and interpretation of adsorption isotherm models: A review,"Al-Ghouti, Mohammad A.; Da'ana, Dana A.",JOURNAL OF HAZARDOUS MATERIALS,0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,393,n/a,n/a,2020,2262,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532829200046,207.104478,57.001407623291016,61.911766,10.92,39.6832,36.5359,Domestic - Single,99.9295,10.588
WOS:000524482400046,10.1016/j.jhazmat.2020.122156,MEDLINE:32006847,"Adsorption kinetic models: Physical meanings, applications, and solving methods","Wang, Jianlong; Guo, Xuan",JOURNAL OF HAZARDOUS MATERIALS,0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,390,n/a,n/a,2020,2033,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524482400046,207.104478,57.001407623291016,61.911766,9.82,35.6658,32.8371,Domestic - Single,99.8591,10.588
WOS:000784301900001,10.1016/j.ecoenv.2021.113160,MEDLINE:35026583,A critical review on the treatment of dye-containing wastewater: Ecotoxicological and health concerns of textile dyes and possible remediation approaches for environmental safety,"Al-Tohamy, Rania; Ali, Sameh S.; Li, Fanghua; Okasha, Kamal M.; Mahmoud, Yehia A. -G.; Elsamahy, Tamer; Jiao, Haixin; Fu, Yinyi; Sun, Jianzhong",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,1001 Basic Medicine; 0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,231,n/a,n/a,2022,1765,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000784301900001,73.804348,23.970487594604492,36.689655,23.91,73.6322,48.1062,International - Trilateral,99.9572,6.8
WOS:000542629600035,10.3390/ijerph17113782,MEDLINE:32466586,The Effects of Cadmium Toxicity,"Genchi, Giuseppe; Sinicropi, Maria Stefania; Lauria, Graziantonio; Carocci, Alessia; Catalano, Alessia",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,1004 Public Health and Preventive Medicine; 0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,17,11,n/a,2020,1536,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000542629600035,49.614431,57.001407623291016,53.44168,30.96,26.9467,28.7416,Domestic - Multiple,99.7886,3.39
WOS:000615222800001,10.3390/ijerph18031112,MEDLINE:33513796,"Agriculture Development, Pesticide Application and Its Impact on the Environment","Tudi, Muyesaier; Ruan, Huada Daniel; Wang, Li; Lyu, Jia; Sadler, Ross; Connell, Des; Chu, Cordia; Dung Tri Phung",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,1004 Public Health and Preventive Medicine; 0830 Environmental Science and Engineering; 0837 Safety Science and Engineering,Review,18,3,n/a,2021,1337,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615222800001,32.053957,47.0760383605957,65.19394,41.71,28.4009,20.508,International - Trilateral,99.9558,4.614
WOS:000545212900002,10.1109/TIFS.2020.2988575,n/a,Federated Learning With Differential Privacy: Algorithms and Performance Analysis,"Wei, Kang; Li, Jun; Ding, Ming; Ma, Chuan; Yang, Howard H.; Farokhi, Farhad; Jin, Shi; Quek, Tony Q. S.; Vincent Poor, H.",IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,0837 Safety Science and Engineering; 0812 Computer Science and Technology; 0839 Cyberspace Security,Article,15,n/a,3454-3469,2020,1312,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000545212900002,43.89547,24.94459342956543,35.92927,29.89,52.5966,36.5162,International - Quadrilateral +,99.9916,7.178
WOS:000535745400189,10.3390/ijerph17093165,MEDLINE:32370116,A Nationwide Survey of Psychological Distress among Italian People during the COVID-19 Pandemic: Immediate Psychological Responses and Associated Factors,"Mazza, Cristina; Ricci, Eleonora; Biondi, Silvia; Colasanti, Marco; Ferracuti, Stefano; Napoli, Christian; Roma, Paolo",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,0830 Environmental Science and Engineering; 0837 Safety Science and Engineering; 1004 Public Health and Preventive Medicine,Article,17,9,n/a,2020,1246,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000535745400189,19.980245,24.94459342956543,23.753242,62.36,49.9507,52.456,Domestic - Multiple,99.9875,3.39
WOS:000532426400001,10.1080/13669877.2020.1758193,n/a,Risk perceptions of COVID-19 around the world,"Dryhurst, Sarah; Schneider, Claudia R.; Kerr, John; Freeman, Alexandra L. J.; Recchia, Gabriel; van der Bles, Anne Marthe; Spiegelhalter, David; van der Linden, Sander",JOURNAL OF RISK RESEARCH,0303 Sociology; 0837 Safety Science and Engineering,Article,23,7-8,994-1006,2020,1219,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532426400001,31.033333,24.94459342956543,27.714714,39.28,48.8683,43.9839,International - Bilateral,99.9833,2.583
WOS:000526289100027,10.1109/TR.2018.2882682,n/a,A Hybrid Prognostics Approach for Estimating Remaining Useful Life of Rolling Element Bearings,"Wang, Biao; Lei, Yaguo; Li, Naipeng; Li, Ningbo",IEEE TRANSACTIONS ON RELIABILITY,0808 Electrical Engineering; 0809 Electronic Science and Technology; 0835 Software Engineering; 0837 Safety Science and Engineering; 0812 Computer Science and Technology,Article,69,1,401-412,2020,1213,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526289100027,35.705263,24.94459342956543,23.112133,33.97,48.6278,52.4833,Domestic - Single,99.9791,4.424
