入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000545212900002,10.1109/TIFS.2020.2988575,n/a,Federated Learning With Differential Privacy: Algorithms and Performance Analysis,"Wei, Kang; Li, Jun; Ding, Ming; Ma, Chuan; Yang, Howard H.; Farokhi, Farhad; Jin, Shi; Quek, Tony Q. S.; Vincent Poor, H.",IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,0837 Safety Science and Engineering; 0812 Computer Science and Technology; 0839 Cyberspace Security,Article,15,n/a,3454-3469,2020,1312,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000545212900002,43.89547,17.60890769958496,82.6,29.89,74.5077,15.8838,International - Quadrilateral +,99.9595,7.178
WOS:000505033600008,10.1016/j.jisa.2019.102419,n/a,"Deep learning for cyber security intrusion detection: Approaches, datasets, and comparative study","Ferrag, Mohamed Amine; Maglaras, Leandros; Moschoyiannis, Sotiris; Janicke, Helge",JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,0837 Safety Science and Engineering; 0839 Cyberspace Security; 0812 Computer Science and Technology,Article,50,n/a,n/a,2020,525,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505033600008,28.287293,17.60890769958496,22.872341,18.56,29.8145,22.9535,International - Bilateral,99.919,3.872
WOS:000493566500029,10.1109/TIFS.2019.2929409,n/a,VerifyNet: Secure and Verifiable Federated Learning,"Xu, Guowen; Li, Hongwei; Liu, Sen; Yang, Kan; Lin, Xiaodong",IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,0837 Safety Science and Engineering; 0839 Cyberspace Security; 0812 Computer Science and Technology,Article,15,n/a,911-926,2020,512,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000493566500029,43.89547,17.60890769958496,31.574627,11.66,29.0762,16.2156,International - Trilateral,99.8785,7.178
WOS:000511923200002,10.1007/s00145-019-09319-x,n/a,TFHE: Fast Fully Homomorphic Encryption Over the Torus,"Chillotti, Ilaria; Gama, Nicolas; Georgieva, Mariya; Izabachene, Malika",JOURNAL OF CRYPTOLOGY,0701 Mathematics; 0812 Computer Science and Technology; 0839 Cyberspace Security,Article,33,1,34-91,2020,491,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511923200002,21.372093,17.60890769958496,31.574627,22.97,27.8836,15.5505,International - Trilateral,99.8381,1.221
WOS:000505033600003,10.1016/j.jisa.2019.102407,n/a,Blockchain-based electronic healthcare record system for healthcare 4.0 applications,"Tanwar, Sudeep; Parekh, Karan; Evans, Richard",JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,0837 Safety Science and Engineering; 0812 Computer Science and Technology; 0839 Cyberspace Security,Article,50,n/a,n/a,2020,431,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505033600003,28.287293,17.60890769958496,22.872341,15.24,24.4762,18.8437,International - Bilateral,99.7976,3.872
WOS:000690440600028,10.1109/TDSC.2019.2952332,n/a,DeepChain: Auditable and Privacy-Preserving Deep Learning with Blockchain-Based Incentive,"Weng, Jiasi; Weng, Jian; Zhang, Jilian; Li, Ming; Zhang, Yue; Luo, Weiqi",IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,0839 Cyberspace Security; 0835 Software Engineering; 0812 Computer Science and Technology,Article,18,5,2438-2455,2021,374,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000690440600028,30.083333,12.123796463012695,10.652979,12.43,30.8484,35.1076,Domestic - Multiple,99.9717,6.791
WOS:000541677200002,10.1016/j.dcan.2019.01.005,n/a,A systematic literature review of blockchain cyber security,"Taylor, Paul J.; Dargahi, Tooska; Dehghantanha, Ali; Parizi, Reza M.; Choo, Kim-Kwang Raymond",DIGITAL COMMUNICATIONS AND NETWORKS,0839 Cyberspace Security; 0810 Information and Communication Engineering,Review,6,2,147-156,2020,311,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000541677200002,121.2,27.966102600097656,108.333336,2.57,11.1206,2.8708,International - Trilateral,98.3051,6.797
WOS:000822382000001,10.1109/TDSC.2021.3051525,n/a,SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities,"Li, Zhen; Zou, Deqing; Xu, Shouhuai; Jin, Hai; Zhu, Yawei; Chen, Zhaoxuan",IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,0839 Cyberspace Security; 0835 Software Engineering; 0812 Computer Science and Technology,Article,19,4,2244-2258,2022,297,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000822382000001,23.848276,7.801557540893555,12.555228,12.45,38.0693,23.6555,International - Bilateral,99.9731,7.3
WOS:000520505100012,10.1109/TDSC.2017.2764083,n/a,Secure Remote User Authenticated Key Establishment Protocol for Smart Home Environment,"Wazid, Mohammad; Das, Ashok Kumar; Odelu, Vanga; Kumar, Neeraj; Susilo, Willy",IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,0835 Software Engineering; 0839 Cyberspace Security; 0812 Computer Science and Technology,Article,17,2,391-406,2020,259,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000520505100012,31.896907,17.60890769958496,22.872341,8.12,14.7085,11.3237,International - Bilateral,99.7571,7.329
WOS:000643675900002,10.1016/j.cose.2021.102248,MEDLINE:36540648,Cyber security in the age of COVID-19: A timeline and analysis of cyber-crime and cyber-attacks during the pandemic,"Lallie, Harjinder Singh; Shepherd, Lynsay A.; Nurse, Jason R. C.; Erola, Arnau; Epiphaniou, Gregory; Maple, Carsten; Bellekens, Xavier",COMPUTERS & SECURITY,0839 Cyberspace Security; 0812 Computer Science and Technology,Article,105,n/a,n/a,2021,258,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000643675900002,22.360656,12.123796463012695,10.652979,11.54,21.2805,24.2186,Domestic - Multiple,99.9433,5.105
