入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000586783700001,10.3390/ani10101870,MEDLINE:33066335,The 2020 Five Domains Model: Including Human-Animal Interactions in Assessments of Animal Welfare,"Mellor, David J.; Beausoleil, Ngaio J.; Littlewood, Katherine E.; McLean, Andrew N.; McGreevy, Paul D.; Jones, Bidda; Wilkins, Cristina",ANIMALS,0906 Veterinary Medicine; 0905 Animal Science,Review,10,10,n/a,2020,513,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000586783700001,43.292683,27.13787841796875,32.088104,11.85,18.9035,15.9872,International - Bilateral,99.9225,2.752
WOS:000540031800001,10.1016/j.aninu.2020.01.001,MEDLINE:32542190,Antioxidant mechanism of tea polyphenols and its impact on health benefits,"Yan, Zhaoming; Zhong, Yinzhao; Duan, Yehui; Chen, Qinghua; Li, Fengna",ANIMAL NUTRITION,0906 Veterinary Medicine; 0905 Animal Science,Review,6,2,115-123,2020,491,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540031800001,89.75,27.13787841796875,27.649874,5.47,18.0928,17.7578,Domestic - Multiple,99.8451,6.383
WOS:000703697400002,10.1007/978-981-15-3449-2_1,MEDLINE:32445090,Epigenetics in Health and Disease,"Zhang, Lian; Lu, Qianjin; Chang, Christopher",EPIGENETICS IN ALLERGY AND AUTOIMMUNITY,1202 Business Administration; 0830 Environmental Science and Engineering; 0401 Education; 0402 Psychology; 1004 Public Health and Preventive Medicine; 0710 Biology; 1001 Basic Medicine; 1002 Clinical Medicine; 0812 Computer Science and Technology; 0701 Mathematics; 0703 Chemistry; 0702 Physics; 0713 Ecology; 0836 Biotechnology and Bioengineering; 0831 Biomedical Engineering; 1007 Pharmaceutical Science; 0805 Materials Science and Engineering; 1010 Medical Technology; 0804 Instrumentation Science and Technology; 0814 Civil Engineering; 1009 Special Medicine; 0832 Food Science and Engineering; 0901 Crop Science; 0905 Animal Science; 1003 Stomatology; 0906 Veterinary Medicine; 0403 Physical Education and Sport Science; 1400 Cross-field; 0908 Fisheries; 0904 Plant Protection,Book Chapter,1253,n/a,3-55,2020,445,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000703697400002,7.564103,3.2973978519439697,11.270833,58.83,134.9549,39.4824,International - Bilateral,99.6283,n/a
WOS:000555305400002,10.1007/978-3-030-33128-3_1,MEDLINE:32030660,Deep Learning in Medical Image Analysis,"Chan, Heang-Ping; Samala, Ravi K.; Hadjiiski, Lubomir M.; Zhou, Chuan",DEEP LEARNING IN MEDICAL IMAGE ANALYSIS: CHALLENGES AND APPLICATIONS,0906 Veterinary Medicine; 0901 Crop Science; 0905 Animal Science; 0904 Plant Protection; 0832 Food Science and Engineering; 0908 Fisheries; 0804 Instrumentation Science and Technology; 0701 Mathematics; 0401 Education; 1003 Stomatology; 0403 Physical Education and Sport Science; 1007 Pharmaceutical Science; 0814 Civil Engineering; 0831 Biomedical Engineering; 0702 Physics; 0402 Psychology; 0703 Chemistry; 0805 Materials Science and Engineering; 0713 Ecology; 0836 Biotechnology and Bioengineering; 0830 Environmental Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 1202 Business Administration; 1001 Basic Medicine; 0710 Biology; 0812 Computer Science and Technology; 1002 Clinical Medicine; 1004 Public Health and Preventive Medicine; 1400 Cross-field,Article,1213,n/a,3-21,2020,445,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555305400002,17.952763,9.717456817626953,8.749462,24.79,45.7939,50.8603,Domestic - Single,99.9958,n/a
WOS:000680164300004,10.1007/978-1-0716-0270-6_3,MEDLINE:32006276,Using Dali for Protein Structure Comparison,"Holm, Liisa",STRUCTURAL BIOINFORMATICS: METHODS AND PROTOCOLS,0906 Veterinary Medicine; 0901 Crop Science; 0905 Animal Science; 0832 Food Science and Engineering; 0902 Horticulture; 0804 Instrumentation Science and Technology; 1003 Stomatology; 1007 Pharmaceutical Science; 0817 Chemical Engineering and Technology; 0831 Biomedical Engineering; 0702 Physics; 0703 Chemistry; 0713 Ecology; 0820 Oil and Natural Gas Engineering; 0836 Biotechnology and Bioengineering; 0830 Environmental Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 0812 Computer Science and Technology; 0710 Biology; 1001 Basic Medicine; 1002 Clinical Medicine; 1004 Public Health and Preventive Medicine,Article,2112,n/a,29-42,2020,424,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000680164300004,6.719816,9.717456817626953,8.749462,63.1,43.6328,48.4601,Domestic - Single,99.9916,n/a
WOS:000893917100004,10.1007/978-1-0716-0826-5_3,MEDLINE:32804361,Siamese Neural Networks: An Overview,"Chicco, Davide","ARTIFICIAL NEURAL NETWORKS, 3 EDITION",0906 Veterinary Medicine; 0901 Crop Science; 1003 Stomatology; 0905 Animal Science; 0902 Horticulture; 0804 Instrumentation Science and Technology; 0832 Food Science and Engineering; 1007 Pharmaceutical Science; 1009 Special Medicine; 1010 Medical Technology; 0713 Ecology; 0831 Biomedical Engineering; 0817 Chemical Engineering and Technology; 0702 Physics; 1004 Public Health and Preventive Medicine; 0830 Environmental Science and Engineering; 0820 Oil and Natural Gas Engineering; 0703 Chemistry; 0836 Biotechnology and Bioengineering; 1001 Basic Medicine; 0710 Biology; 1002 Clinical Medicine; 0812 Computer Science and Technology,Article,2190,n/a,73-94,2021,405,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000893917100004,4.542464,6.972262859344482,6.265944,89.16,58.0873,64.6351,Domestic - Single,99.996,n/a
WOS:000571945600002,10.1186/s13567-020-00837-2,MEDLINE:32928271,Re-calculating the cost of coccidiosis in chickens,"Blake, Damer P.; Knox, Jolene; Dehaeck, Ben; Huntington, Ben; Rathinam, Thilak; Ravipati, Venu; Ayoade, Simeon; Gilbert, Will; Adebambo, Ayotunde O.; Jatau, Isa Danladi; Raman, Muthusamy; Parker, Daniel; Rushton, Jonathan; Tomley, Fiona M.",VETERINARY RESEARCH,0906 Veterinary Medicine,Article,51,1,n/a,2020,403,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000571945600002,20.470149,9.717456817626953,20.744047,19.69,41.4718,19.4273,International - Quadrilateral +,99.9874,3.699
WOS:000691775600004,10.1016/j.fsi.2021.07.007,MEDLINE:34274422,The functionality of probiotics in aquaculture: An overview,"El-Saadony, Mohamed T.; Alagawany, Mahmoud; Patra, Amlan K.; Kar, Indrajit; Tiwari, Ruchi; Dawood, Mahmoud A. O.; Dhama, Kuldeep; Abdel-Latif, Hany M. R.",FISH & SHELLFISH IMMUNOLOGY,0906 Veterinary Medicine; 0908 Fisheries; 1001 Basic Medicine; 0710 Biology,Article,117,n/a,36-52,2021,381,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000691775600004,18.487374,6.972262859344482,7.8882136,20.61,54.6451,48.2999,International - Bilateral,99.9921,4.622
WOS:000554918800003,10.1007/978-981-15-3266-5_3,MEDLINE:32185706,"Roles of PD-1/PD-L1 Pathway: Signaling, Cancer, and Beyond","Ai, Luoyan; Xu, Antao; Xu, Jie",REGULATION OF CANCER IMMUNE CHECKPOINTS: MOLECULAR AND CELLULAR MECHANISMS AND THERAPY,0906 Veterinary Medicine; 0905 Animal Science; 0901 Crop Science; 0904 Plant Protection; 0832 Food Science and Engineering; 0401 Education; 0701 Mathematics; 0804 Instrumentation Science and Technology; 0908 Fisheries; 1003 Stomatology; 0403 Physical Education and Sport Science; 0814 Civil Engineering; 1007 Pharmaceutical Science; 0402 Psychology; 0713 Ecology; 0831 Biomedical Engineering; 0702 Physics; 0836 Biotechnology and Bioengineering; 0703 Chemistry; 0805 Materials Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1202 Business Administration; 0710 Biology; 0812 Computer Science and Technology; 1002 Clinical Medicine; 1001 Basic Medicine; 1004 Public Health and Preventive Medicine; 1400 Cross-field,Article,1248,n/a,33-59,2020,370,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000554918800003,17.952763,9.717456817626953,9.3412695,20.61,38.0758,39.6092,Domestic - Multiple,99.9832,n/a
WOS:000555507400021,10.1007/978-1-4939-9877-7_20,MEDLINE:31584170,PlasmidFinder and In Silico pMLST: Identification and Typing of Plasmid Replicons in Whole-Genome Sequencing (WGS),"Carattoli, Alessandra; Hasman, Henrik",HORIZONTAL GENE TRANSFER: METHODS AND PROTOCOLS,0906 Veterinary Medicine; 0832 Food Science and Engineering; 0905 Animal Science; 0901 Crop Science; 0902 Horticulture; 0804 Instrumentation Science and Technology; 1003 Stomatology; 1007 Pharmaceutical Science; 0817 Chemical Engineering and Technology; 0713 Ecology; 0831 Biomedical Engineering; 0702 Physics; 0836 Biotechnology and Bioengineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering; 1009 Special Medicine; 1010 Medical Technology; 0830 Environmental Science and Engineering; 0710 Biology; 0812 Computer Science and Technology; 1002 Clinical Medicine; 1001 Basic Medicine; 1004 Public Health and Preventive Medicine,Article,2075,n/a,285-294,2020,368,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555507400021,6.719816,9.717456817626953,10.979969,54.76,37.87,33.5156,International - Bilateral,99.9789,n/a
