Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000524972100007,10.1016/j.ufug.2020.126630,n/a,Critical review on the cooling effect of urban blue-green space: A threshold-size perspective,"Yu, Zhaowu; Yang, Gaoyuan; Zuo, Shudi; Jorgensen, Gertrud; Koga, Motoya; Vejre, Henrik",URBAN FORESTRY & URBAN GREENING,0833 Urban and Rural Planning; 0907 Forestry; 0830 Environmental Science and Engineering; 0909 Grassland Science,Review,49,n/a,n/a,2020,455,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524972100007,90.785714,46.617645263671875,161.66667,5.01,9.7603,2.8144,International - Trilateral,97.0588,4.539
WOS:000599512600004,10.1016/j.ufug.2020.126888,MEDLINE:33100944,Effects of the COVID-19 pandemic on the use and perceptions of urban green space: An international exploratory study,"Ugolini, Francesca; Massetti, Luciano; Calaza-Martinez, Pedro; Carinanos, Paloma; Dobbs, Cynnamon; Ostoic, Silvija Krajter; Marin, Ana Marija; Pearlmutter, David; Saaroni, Hadas; Sauliene, Ingrida; Simoneti, Maja; Verlic, Andrej; Vuletic, Dijana; Sanesi, Giovanni",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0833 Urban and Rural Planning; 0909 Grassland Science; 0830 Environmental Science and Engineering,Article,56,n/a,n/a,2020,421,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000599512600004,31.347015,13.921538352966309,44.424244,13.43,30.2409,9.4768,International - Quadrilateral +,99.9231,4.539
WOS:000641972100007,10.1016/j.ufug.2021.127105,n/a,Linking public urban green spaces and human well-being: A systematic review,"Reyes-Riveros, Rosa; Altamirano, Adison; De la Barrera, Francisco; Rozas-Vasquez, Daniel; Vieli, Lorena; Meli, Paula",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering; 0909 Grassland Science,Review,61,n/a,n/a,2021,322,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000641972100007,67.0,40.17647171020508,51.57143,4.81,8.0146,6.2438,Domestic - Multiple,98.0392,5.766
WOS:000560187300001,10.1111/avsc.12519,n/a,"EUNIS Habitat Classification: Expert system, characteristic species combinations and distribution maps of European habitats","Chytry, Milan; Tichy, Lubomir; Hennekens, Stephan M.; Knollova, Ilona; Janssen, John A. M.; Rodwell, John S.; Peterka, Tomas; Marceno, Corrado; Landucci, Flavia; Danihelka, Jiri; Hajek, Michal; Dengler, Juergen; Novak, Pavel; Zukal, Dominik; Jimenez-Alfaro, Borja; Mucina, Ladislav; Abdulhak, Sylvain; Acic, Svetlana; Agrillo, Emiliano; Attorre, Fabio; Bergmeier, Erwin; Biurrun, Idoia; Boch, Steffen; Boloni, Janos; Bonari, Gianmaria; Braslavskaya, Tatiana; Bruelheide, Helge; Campos, Juan Antonio; Carni, Andraz; Casella, Laura; Cuk, Mirjana; Custerevska, Renata; De Bie, Els; Delbosc, Pauline; Demina, Olga; Didukh, Yakiv; Dite, Daniel; Dziuba, Tetiana; Ewald, Joerg; Gavilan, Rosario G.; Gegout, Jean-Claude; del Galdo, Gian Pietro Giusso; Golub, Valentin; Goncharova, Nadezhda; Goral, Friedemann; Graf, Ulrich; Indreica, Adrian; Isermann, Maike; Jandt, Ute; Jansen, Florian; Jansen, Jan; Jaskova, Anni; Jirousek, Martin; Kacki, Zygmunt; Kalnikova, Veronika; Kavgaci, Ali; Khanina, Larisa; Korolyuk, Andrey Yu; Kozhevnikova, Mariya; Kuzemko, Anna; Kuzmic, Filip; Kuznetsov, Oleg L.; Laivins, Maris; Lavrinenko, Igor; Lavrinenko, Olga; Lebedeva, Maria; Lososova, Zdenka; Lysenko, Tatiana; Maciejewski, Lise; Mardari, Constantin; Marinsek, Aleksander; Napreenko, Maxim G.; Onyshchenko, Viktor; Perez-Haase, Aaron; Pielech, Remigiusz; Prokhorov, Vadim; Rasomavicius, Valerijus; Rodriguez Rojo, Maria Pilar; Rusina, Solvita; Schrautzer, Joachim; Sibik, Jozef; Silc, Urban; Skvorc, Zeljko; Smagin, Viktor A.; Stancic, Zvjezdana; Stanisci, Angela; Tikhonova, Elena; Tonteri, Tiina; Uogintas, Domas; Valachovic, Milan; Vassilev, Kiril; Vynokurov, Denys; Willner, Wolfgang; Yamalov, Sergey; Evans, Douglas; Lund, Mette Palitzsch; Spyropoulou, Rania; Tryfon, Eleni; Schaminee, Joop H. J.",APPLIED VEGETATION SCIENCE,0907 Forestry; 0909 Grassland Science; 0713 Ecology,Article,23,4,648-675,2020,254,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000560187300001,18.363636,13.921538352966309,44.424244,13.83,18.2451,5.7176,International - Quadrilateral +,99.8462,3.27
WOS:000906242400001,10.1093/jpe/rtac096,n/a,glmm.hp: an R package for computing individual effect of predictors in generalized linear mixed models,"Lai, Jiangshan; Zou, Yi; Zhang, Shuang; Zhang, Xiaoguang; Mao, Lingfeng",JOURNAL OF PLANT ECOLOGY,0907 Forestry; 0713 Ecology; 0909 Grassland Science,Article,15,6,1302-1307,2022,242,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000906242400001,10.631579,8.192445755004883,8.150206,22.76,29.5394,29.6925,Domestic - Multiple,99.9101,2.7
WOS:000595667600001,10.1111/avsc.12491,n/a,International Code of Phytosociological Nomenclature. 4th edition,"Theurillat, Jean-Paul; Willner, Wolfgang; Fernandez-Gonzalez, Federico; Bultmann, Helga; Carni, Andraz; Gigante, Daniela; Mucina, Ladislav; Weber, Heinrich",APPLIED VEGETATION SCIENCE,0907 Forestry; 0909 Grassland Science; 0713 Ecology,Article,24,1,n/a,2020,204,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000595667600001,18.363636,13.921538352966309,44.424244,11.11,14.6536,4.5921,International - Quadrilateral +,99.7692,3.27
WOS:000558624700012,10.1016/j.ufug.2020.126704,n/a,"How the landscape features of urban green space impact seasonal land surface temperatures at a city-block-scale: An urban heat island study in Beijing, China","Yao, Lei; Li, Tong; Xu, Mingxue; Xu, Ying",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0833 Urban and Rural Planning; 0909 Grassland Science; 0830 Environmental Science and Engineering,Article,52,n/a,n/a,2020,193,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000558624700012,31.347015,13.921538352966309,11.896494,6.16,13.8634,16.2233,Domestic - Multiple,99.6923,4.539
WOS:000512752000001,10.1016/j.ufug.2019.126488,n/a,"Empirical study of landscape types, landscape elements and landscape components of the urban park promoting physiological and psychological restoration","Deng, Li; Li, Xi; Luo, Hao; Fu, Er-Kang; Ma, Jun; Sun, Ling-Xia; Huang, Zhuo; Cai, Shi-Zhen; Jia, Yin",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0833 Urban and Rural Planning; 0909 Grassland Science; 0830 Environmental Science and Engineering,Article,48,n/a,n/a,2020,185,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000512752000001,31.347015,13.921538352966309,11.502763,5.9,13.2888,16.0831,Domestic - Single,99.6154,4.539
WOS:000620651500004,10.1016/j.ufug.2020.126970,n/a,"Tree effects on urban microclimate: Diurnal, seasonal, and climatic temperature differences explained by separating radiation, evapotranspiration, and roughness effects","Meili, Naika; Manoli, Gabriele; Burlando, Paolo; Carmeliet, Jan; Chow, Winston T. L.; Coutts, Andrew M.; Roth, Matthias; Velasco, Erik; Vivoni, Enrique R.; Fatichi, Simone",URBAN FORESTRY & URBAN GREENING,0909 Grassland Science; 0907 Forestry; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,58,n/a,n/a,2021,179,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000620651500004,26.072319,12.19214916229248,25.981482,6.87,14.6816,6.8895,International - Quadrilateral +,99.9311,5.766
WOS:000619218000001,10.1016/j.ufug.2020.126932,n/a,The effect of exposure to the natural environment on stress reduction: A meta-analysis,"Yao, Wenfei; Zhang, Xiaofeng; Gong, Qi",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0833 Urban and Rural Planning; 0909 Grassland Science; 0830 Environmental Science and Engineering,Review,57,n/a,n/a,2021,147,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000619218000001,67.0,40.17647171020508,31.105263,2.19,3.6589,4.7259,Domestic - Single,96.0784,5.766
