入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000511499000001,10.1007/s11418-019-01364-x,MEDLINE:31588965,Carotenoids as natural functional pigments,"Maoka, Takashi",JOURNAL OF NATURAL MEDICINES,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1005 Chinese Medicine,Review,74,1,1-16,2020,632,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511499000001,113.0,32.75448989868164,37.421875,5.59,19.2951,16.8885,Domestic - Single,99.4012,2.343
WOS:000511750900012,10.1007/s11655-019-3064-0,MEDLINE:30941682,"Network Pharmacology in Research of Chinese Medicine Formula: Methodology, Application and Prospective","Luo, Ting-ting; Lu, Yuan; Yan, Shi-Kai; Xiao, Xue; Rong, Xiang-Lu; Guo, Jiao",CHINESE JOURNAL OF INTEGRATIVE MEDICINE,1002 Clinical Medicine; 1005 Chinese Medicine,Review,26,1,72-80,2020,516,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511750900012,46.655172,32.75448989868164,26.082354,11.06,15.7536,19.7835,Domestic - Multiple,98.8024,1.978
WOS:000613940000001,10.1016/S1875-5364(21)60001-8,MEDLINE:33516447,"TCM network pharmacology: A new trend towards combining computational, experimental and clinical approaches",Wang Xin; Wang Zi-Yi; Zheng Jia-Hui; Li Shao,CHINESE JOURNAL OF NATURAL MEDICINES,1008 Chinese Materia Medica; 1002 Clinical Medicine; 1007 Pharmaceutical Science; 1005 Chinese Medicine,Review,19,1,1-11,2021,451,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000613940000001,51.142857,21.70807456970215,24.60606,8.82,20.7757,18.3288,Domestic - Single,99.3789,3.887
WOS:000516262000001,10.1007/s11655-020-3192-6,MEDLINE:32065348,"Can Chinese Medicine Be Used for Prevention of Corona Virus Disease 2019 (COVID-19)? A Review of Historical Classics, Research Evidence and Current Prevention Programs","Luo Hui; Tang Qiao-ling; Shang Ya-xi; Liang Shi-bing; Yang Ming; Robinson, Nicola; Liu Jian-ping",CHINESE JOURNAL OF INTEGRATIVE MEDICINE,1002 Clinical Medicine; 1005 Chinese Medicine,Review,26,4,243-250,2020,380,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000516262000001,46.655172,32.75448989868164,49.375,8.14,11.6015,7.6962,International - Bilateral,98.2036,1.978
WOS:000519993900006,10.1016/j.joim.2020.02.005,MEDLINE:32113846,In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus,"Zhang, Deng-hai; Wu, Kun-Lun; Zhang, Xue; Deng, Sheng-Qiong; Peng, Bin",JOURNAL OF INTEGRATIVE MEDICINE-JIM,1005 Chinese Medicine; 1002 Clinical Medicine,Article,18,2,152-158,2020,332,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519993900006,21.777778,12.908387184143066,14.46383,15.24,25.7197,22.9538,Domestic - Single,99.871,3.034
WOS:000531883000013,10.1142/S0192415X20500378,MEDLINE:32164424,"COVID-19: An Update on the Epidemiological, Clinical, Preventive and Therapeutic Evidence and Guidelines of Integrative Chinese-Western Medicine for the Management of 2019 Novel Coronavirus Disease","Chan, Kam Wa; Wong, Vivian Taam; Tang, Sydney Chi Wai",AMERICAN JOURNAL OF CHINESE MEDICINE,1005 Chinese Medicine; 1002 Clinical Medicine,Article,48,3,737-762,2020,241,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531883000013,29.97561,12.908387184143066,14.46383,8.04,18.67,16.6623,Domestic - Single,99.7419,4.667
WOS:001019459500001,10.1016/S1875-5364(23)60429-7,MEDLINE:37245871,Network pharmacology approaches for research of Traditional Chinese Medicines,"Li, Xiang; Liu, Ziqi; Liao, Jie; Chen, Qian; Lu, Xiaoyan; Fan, Xiaohui",CHINESE JOURNAL OF NATURAL MEDICINES,1008 Chinese Materia Medica; 1007 Pharmaceutical Science; 1002 Clinical Medicine; 1005 Chinese Medicine,Review,21,5,323-332,2023,220,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001019459500001,32.9,10.778443336486816,10.968421,6.69,20.4111,20.0576,Domestic - Multiple,99.4012,4.0
WOS:000599931200005,10.1142/S0192415X20500780,MEDLINE:33202152,Positive Role of Chinese Herbal Medicine in Cancer Immune Regulation,"Wang, Sumei; Long, Shunqin; Deng, Zhiyin; Wu, WanYin",AMERICAN JOURNAL OF CHINESE MEDICINE,1005 Chinese Medicine; 1002 Clinical Medicine,Article,48,7,1577-1592,2020,192,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000599931200005,29.97561,12.908387184143066,14.46383,6.41,14.8741,13.2745,Domestic - Single,99.6129,4.667
WOS:000803040500001,10.19852/j.cnki.jtcm.20220408.003,MEDLINE:35610020,Integration strategy of network pharmacology in Traditional Chinese Medicine: a narrative review,"Jiashuo, Wu; Fangqing, Zhang; Zhuangzhuang, Li; Weiyi, Jin; Yue, Shi",JOURNAL OF TRADITIONAL CHINESE MEDICINE,1005 Chinese Medicine; 1002 Clinical Medicine,Review,42,3,479-486,2022,182,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000803040500001,16.722222,14.576271057128906,14.857142,10.88,12.486,12.25,Domestic - Multiple,99.435,2.6
WOS:000759593400002,10.1186/s13020-022-00571-1,MEDLINE:35193642,Tea and tea drinking: China's outstanding contributions to the mankind,"Pan, Si-Yuan; Nie, Qu; Tai, Hai-Chuan; Song, Xue-Lan; Tong, Yu-Fan; Zhang, Long-Jian-Feng; Wu, Xue-Wei; Lin, Zhao-Heng; Zhang, Yong-Yu; Ye, Du-Yun; Zhang, Yi; Wang, Xiao-Yan; Zhu, Pei-Li; Chu, Zhu-Sheng; Yu, Zhi-Ling; Liang, Chun",CHINESE MEDICINE,1002 Clinical Medicine; 1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1005 Chinese Medicine,Review,17,1,n/a,2022,178,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000759593400002,29.848485,14.576271057128906,14.857142,5.96,12.2116,11.9808,Domestic - Multiple,98.8701,4.9
WOS:001221411300001,10.1016/S1875-5364(24)60582-0,MEDLINE:38553188,Progress in approved drugs from natural product resources,"Luo, Zhongwen; Yin, Fucheng; Wang, Xiaobing; Kong, Lingyi",CHINESE JOURNAL OF NATURAL MEDICINES,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1002 Clinical Medicine; 1005 Chinese Medicine,Article,22,3,195-211,2024,150,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001221411300001,5.378049,3.0493507385253906,3.4422112,27.89,49.1908,43.5766,Domestic - Single,99.8701,4.9
WOS:000613936400002,10.1016/S1875-5364(20)60032-2,MEDLINE:33357719,"Research progress on the source, production, and anti-cancer mechanisms of paclitaxel",Yang Yan-Hua; Mao Jia-Wang; Tan Xiao-Li,CHINESE JOURNAL OF NATURAL MEDICINES,1005 Chinese Medicine; 1002 Clinical Medicine; 1008 Chinese Materia Medica; 1007 Pharmaceutical Science,Review,18,12,890-897,2020,148,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000613936400002,62.307692,32.75448989868164,37.421875,2.38,4.5185,3.9549,Domestic - Single,97.6048,3.0
