Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000526306000025,10.1021/acs.jnatprod.9b01285,MEDLINE:32162523,Natural Products as Sources of New Drugs over the Nearly Four Decades from 01/1981 to 09/2019,"Newman, David J.; Cragg, Gordon M.",JOURNAL OF NATURAL PRODUCTS,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Review,83,3,770-803,2020,4242,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526306000025,499.333333,41.04826736450195,39.37364,8.5,103.3418,107.7371,Domestic - Single,99.9691,4.05
WOS:000532679600005,10.1016/j.ejphar.2020.173090,MEDLINE:32234529,Macrophage M1/M2 polarization,Chen Yunna; Hu Mengru; Wang Lei; Chen Weidong,EUROPEAN JOURNAL OF PHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Review,877,n/a,n/a,2020,1534,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532679600005,63.823529,41.04826736450195,39.439865,24.04,37.3706,38.8947,Domestic - Multiple,99.9381,4.432
WOS:000555417900001,10.1038/s41401-020-0485-4,MEDLINE:32747721,Structural and functional properties of SARS-CoV-2 spike protein: potential antivirus drug development for COVID-19,"Huang, Yuan; Yang, Chan; Xu, Xin-feng; Xu, Wei; Liu, Shu-wen",ACTA PHARMACOLOGICA SINICA,1007 Pharmaceutical Science; 0703 Chemistry; 1008 Chinese Materia Medica,Review,41,9,1141-1149,2020,1517,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555417900001,84.075472,41.04826736450195,39.37364,18.04,36.9565,38.5283,Domestic - Single,99.9072,6.15
WOS:000538982700004,10.1016/j.apsb.2020.02.008,MEDLINE:32292689,Analysis of therapeutic targets for SARS-CoV-2 and discovery of potential drugs by computational methods,"Wu, CanRong; Liu, Yang; Yang, Yueying; Zhang, Peng; Zhong, Wu; Wang, Yali; Wang, Qiqi; Xu, Yang; Li, Mingxue; Li, Xingzhou; Zheng, Mengzhu; Chen, Lixia; Li, Hua",ACTA PHARMACEUTICA SINICA B,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Article,10,5,766-788,2020,1466,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000538982700004,61.247934,18.375646591186523,18.649876,23.94,79.7795,78.6064,Domestic - Multiple,99.9922,11.614
WOS:000644392400001,10.3389/fphar.2021.643972,MEDLINE:33927623,"Toxic Mechanisms of Five Heavy Metals: Mercury, Lead, Chromium, Cadmium, and Arsenic","Balali-Mood, Mahdi; Naseri, Kobra; Tahergorabi, Zoya; Khazdair, Mohammad Reza; Sadeghi, Mahmood",FRONTIERS IN PHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Review,12,n/a,n/a,2021,1457,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000644392400001,32.303607,31.640628814697266,32.22981,45.1,46.0484,45.2066,Domestic - Single,99.9724,5.988
WOS:000548543600001,10.1111/bph.15193,n/a,The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,"Du Sert, Nathalie Percie; Hurst, Viki; Ahluwalia, Amrita; Alam, Sabina; Avey, Marc T.; Baker, Monya; Browne, William J.; Clark, Alejandra; Cuthill, Innes C.; Dirnagl, Ulrich; Emerson, Michael; Garner, Paul; Holgate, Stephen T.; Howells, David W.; Karp, Natasha A.; Lazic, Stanley E.; Lidster, Katie; MacCallum, Catriona J.; Macleod, Malcolm; Pearl, Esther J.; Petersen, Ole H.; Rawle, Frances; Reynolds, Penny; Rooney, Kieron; Sena, Emily S.; Silberberg, Shai D.; Steckler, Thomas; Wurbel, Hanno",BRITISH JOURNAL OF PHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Article,177,16,3617-3624,2020,1174,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000548543600001,28.814394,18.375646591186523,30.841026,40.74,63.8889,38.0662,International - Quadrilateral +,99.9843,8.74
WOS:000579310000038,10.1016/j.bcp.2020.114147,MEDLINE:32653589,Non-steroidal anti-inflammatory drugs (NSAIDs) and organ damage: A current perspective,"Bindu, Samik; Mazumder, Somnath; Bandyopadhyay, Uday",BIOCHEMICAL PHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Review,180,n/a,n/a,2020,1086,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579310000038,44.308511,41.04826736450195,39.439865,24.51,26.4567,27.5356,Domestic - Multiple,99.8762,5.858
WOS:000548181000001,10.1111/bph.15178,MEDLINE:32662875,ARRIVE 2.0 and the British Journal of Pharmacology: Updated guidance for 2020,"Lilley, Elliott; Stanford, S. Clare; Kendall, David E.; Alexander, Stephen P. H.; Cirino, Giuseppe; Docherty, James R.; George, Christopher H.; Insel, Paul A.; Izzo, Angelo A.; Ji, Yong; Panettieri, Reynold A.; Sobey, Christopher G.; Stefanska, Barbara; Stephens, Gary; Teixeira, Mauro; Ahluwalia, Amrita",BRITISH JOURNAL OF PHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Editorial Material,177,16,3611-3616,2020,878,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000548181000001,91.833333,9.841328620910645,70.611115,9.56,89.2156,12.4343,International - Quadrilateral +,99.631,8.74
WOS:000827613600005,10.1016/j.apsb.2022.02.002,MEDLINE:35865092,Why 90 % of clinical drug development fails and how to improve it?,"Sun, Duxin; Gao, Wei; Hu, Hongxiang; Zhou, Simon",ACTA PHARMACEUTICA SINICA B,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Article,12,7,3049-3062,2022,779,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000827613600005,36.7277,10.845026016235352,10.947447,21.21,71.8302,71.1581,Domestic - Multiple,99.9929,14.5
WOS:000526584000001,10.3389/fphar.2019.01614,MEDLINE:32116665,Phytochemicals in Cancer Treatment: From Preclinical Studies to Clinical Practice,"Choudhari, Amit S.; Mandave, Pallavi C.; Deshpande, Manasi; Ranjekar, Prabhakar; Prakash, Om",FRONTIERS IN PHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Review,10,n/a,n/a,2020,701,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526584000001,47.269868,41.04826736450195,42.99528,14.83,17.0775,16.3041,International - Bilateral,99.8453,5.811
WOS:000518708400043,10.1016/j.intimp.2020.106210,MEDLINE:31972425,The role of JAK/STAT signaling pathway and its inhibitors in diseases,"Xin, Ping; Xu, Xiaoyun; Deng, Chengjie; Liu, Shuang; Wang, Youzhi; Zhou, Xuegang; Ma, Hongxing; Wei, Donghua; Sun, Shiqin",INTERNATIONAL IMMUNOPHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1001 Basic Medicine,Article,80,n/a,n/a,2020,688,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000518708400043,25.803352,18.375646591186523,18.649876,26.66,37.4409,36.8903,Domestic - Multiple,99.9765,4.932
WOS:000540446500059,10.1016/j.intimp.2020.106504,MEDLINE:32304994,"The diagnostic and predictive role of NLR, d-NLR and PLR in COVID-19 patients","Yang, Ai-Ping; Liu, Jian-ping; Tao, Wen-qiang; Li, Hui-Ming",INTERNATIONAL IMMUNOPHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1001 Basic Medicine,Article,84,n/a,n/a,2020,683,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540446500059,25.803352,18.375646591186523,18.649876,26.47,37.1688,36.6222,Domestic - Multiple,99.9686,4.932
WOS:000550277500009,10.1016/j.lfs.2020.117592,MEDLINE:32222463,"Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir against SARS-CoV-2 RNA dependent RNA polymerase (RdRp): A molecular docking study","Elfiky, Abdo A.",LIFE SCIENCES,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1001 Basic Medicine,Article,253,n/a,n/a,2020,653,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000550277500009,25.33624,18.375646591186523,16.873255,25.77,35.5362,38.7003,Domestic - Single,99.9608,5.037
WOS:000511499000001,10.1007/s11418-019-01364-x,MEDLINE:31588965,Carotenoids as natural functional pigments,"Maoka, Takashi",JOURNAL OF NATURAL MEDICINES,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1005 Chinese Medicine,Review,74,1,1-16,2020,607,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511499000001,108.714286,41.04826736450195,39.37364,5.58,14.7875,15.4164,Domestic - Single,99.8144,2.343
WOS:000540446500057,10.1016/j.intimp.2020.106535,MEDLINE:32361569,"Breast cancer: Biology, biomarkers, and treatments","Barzaman, Khadijeh; Karami, Jafar; Zarei, Zeinab; Hosseinzadeh, Aysooda; Kazemi, Mohammad Hossein; Moradi-Kalbolandi, Shima; Safari, Elahe; Farahmand, Leila",INTERNATIONAL IMMUNOPHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1001 Basic Medicine,Review,84,n/a,n/a,2020,594,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540446500057,40.246154,41.04826736450195,39.439865,14.76,14.4708,15.0609,Domestic - Multiple,99.7834,4.932
WOS:000774025900001,10.1016/j.intimp.2021.107598,MEDLINE:34233864,"MCP-1: Function, regulation, and involvement in disease","Singh, Sanjiv; Anshita, D.; Ravichandiran, V",INTERNATIONAL IMMUNOPHARMACOLOGY,1008 Chinese Materia Medica; 1007 Pharmaceutical Science; 1001 Basic Medicine,Review,101,n/a,n/a,2021,563,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000774025900001,35.284553,31.640628814697266,32.22981,15.96,17.7936,17.4683,Domestic - Single,99.9448,5.714
WOS:000505540800015,10.1038/s41401-019-0228-6,MEDLINE:31263275,CB-Dock: a web server for cavity detection-guided protein-ligand blind docking,"Liu, Yang; Grimm, Maximilian; Dai, Wen-Tao; Hou, Mu-chun; Xiao, Zhi-Xiong; Cao, Yang",ACTA PHARMACOLOGICA SINICA,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 0703 Chemistry,Article,41,1,138-144,2020,557,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505540800015,34.606695,18.375646591186523,18.649876,16.1,30.3119,29.8662,Domestic - Multiple,99.953,6.15
WOS:000576200000001,10.3389/fphar.2020.01021,MEDLINE:33041781,"Turmeric and Its Major Compound Curcumin on Health: Bioactive Effects and Safety Profiles for Food, Pharmaceutical, Biotechnological and Medicinal Applications","Sharifi-Rad, Javad; Rayess, Youssef El; Rizk, Alain Abi; Sadaka, Carmen; Zgheib, Raviella; Zam, Wissam; Sestito, Simona; Rapposelli, Simona; Neffe-Skocinska, Katarzyna; Zielinska, Dorota; Salehi, Bahare; Setzer, William N.; Dosoky, Noura S.; Taheri, Yasaman; El Beyrouthy, Marc; Martorell, Miquel; Ostrander, Elise Adrian; Suleria, Hafiz Ansar Rasul; Cho, William C.; Maroyi, Alfred; Martins, Natalia",FRONTIERS IN PHARMACOLOGY,1008 Chinese Materia Medica; 1007 Pharmaceutical Science,Review,11,n/a,n/a,2020,535,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000576200000001,47.269868,41.04826736450195,57.686275,11.32,13.0334,9.2743,International - Quadrilateral +,99.7525,5.811
WOS:000761698200001,10.3389/fphar.2022.806470,MEDLINE:35237163,"Dietary Polyphenols and Their Role in Oxidative Stress-Induced Human Diseases: Insights Into Protective Effects, Antioxidant Potentials and Mechanism(s) of Action","Rudrapal, Mithun; Khairnar, Shubham J.; Khan, Johra; Bin Dukhyil, Abdulaziz; Ansari, Mohammad Azam; Alomary, Mohammad N.; Alshabrmi, Fahad M.; Palai, Santwana; Deb, Prashanta Kumar; Devi, Rajlakshmi",FRONTIERS IN PHARMACOLOGY,1008 Chinese Materia Medica; 1007 Pharmaceutical Science,Review,13,n/a,n/a,2022,514,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000761698200001,19.785344,20.648252487182617,22.48491,25.98,24.8931,22.8598,International - Bilateral,99.9701,5.6
WOS:000534244400020,10.1016/j.phrs.2020.104761,MEDLINE:32205232,Lianhuaqingwen exerts anti-viral and anti-inflammatory activity against novel coronavirus (SARS-CoV-2),Li Runfeng; Hou Yunlong; Huang Jicheng; Pan Weiqi; Ma Qinhai; Shi Yongxia; Li Chufang; Zhao Jin; Jia Zhenhua; Jiang Haiming; Zheng Kui; Huang Shuxiang; Dai Jun; Li Xiaobo; Hou Xiaotao; Wang Lin; Zhong Nanshan; Yang Zifeng,PHARMACOLOGICAL RESEARCH,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Article,156,n/a,n/a,2020,510,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534244400020,38.693487,18.375646591186523,18.649876,13.18,27.7541,27.346,Domestic - Multiple,99.9451,7.658
WOS:000625851100001,10.3389/fphar.2021.618411,MEDLINE:33679401,Advances in Oral Drug Delivery,"Alqahtani, Mohammed S.; Kazi, Mohsin; Alsenaidy, Mohammad A.; Ahmad, Muhammad Z.",FRONTIERS IN PHARMACOLOGY,1008 Chinese Materia Medica; 1007 Pharmaceutical Science,Review,12,n/a,n/a,2021,508,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000625851100001,32.303607,31.640628814697266,32.22981,15.73,16.0553,15.7618,Domestic - Single,99.9172,5.988
