Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000551892700003,10.1148/radiol.2020200642,MEDLINE:32101510,Correlation of Chest CT and RT-PCR Testing for Coronavirus Disease 2019 (COVID-19) in China: A Report of 1014 Cases,"Ai, Tao; Yang, Zhenlu; Hou, Hongyan; Zhan, Chenao; Chen, Chong; Lv, Wenzhi; Tao, Qian; Sun, Ziyong; Xia, Liming",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,296,2,E32-E40,2020,2808,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551892700003,122.746212,16.012102127075195,19.832926,22.88,175.3674,141.5827,International - Bilateral,99.9969,11.105
WOS:000544923000007,10.1109/TMI.2019.2959609,MEDLINE:31841402,UNet plus plus : Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation,"Zhou, Zongwei; Siddiquee, Md Mahfuzur Rahman; Tajbakhsh, Nima; Liang, Jianming",IEEE TRANSACTIONS ON MEDICAL IMAGING,0803 Optical Engineering; 0809 Electronic Science and Technology; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0812 Computer Science and Technology,Article,39,6,1856-1867,2020,2501,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000544923000007,61.541237,16.012102127075195,15.52622,40.64,156.1944,161.0823,Domestic - Multiple,99.9938,10.048
WOS:000528209000019,10.1148/radiol.2020191145,MEDLINE:32154773,The Image Biomarker Standardization Initiative: Standardized Quantitative Radiomics for High-Throughput Image-based Phenotyping,"Zwanenburg, Alex; Vallieres, Martin; Abdalah, Mahmoud A.; Aerts, Hugo J. W. L.; Andrearczyk, Vincent; Apte, Aditya; Ashrafinia, Saeed; Bakas, Spyridon; Beukinga, Roeloff; Boellaard, Ronald; Bogowicz, Marta; Boldrini, Luca; Buvat, Irene; Cook, Gary J. R.; Davatzikos, Christos; Depeursinge, Adrien; Desseroit, Marie-Charlotte; Dinapoli, Nicola; Cuong Viet Dinh; Echegaray, Sebastian; El Naqa, Issam; Fedorov, Andriy Y.; Gatta, Roberto; Gillies, Robert J.; Goh, Vicky; Goetz, Michael; Guckenberger, Matthias; Ha, Sung Min; Hatt, Mathieu; Isensee, Fabian; Lambin, Philippe; Leger, Stefan; Leijenaar, Ralph T. H.; Lenkowicz, Jacopo; Lippert, Fiona; Losnegard, Are; Maier-Hein, Klaus H.; Morin, Olivier; Mueller, Henning; Napel, Sandy; Nioche, Christophe; Orlhac, Fanny; Pati, Sarthak; Pfaehler, Elisabeth A. G.; Rahmim, Arman; Rao, Arvind U. K.; Scherer, Jonas; Siddique, Muhammad Musib; Sijtsema, Nanna M.; Fernandez, Jairo Socarras; Spezi, Emiliano; Steenbakkers, Roel J. H. M.; Tanadini-Lang, Stephanie; Thorwarth, Daniela; Troost, Esther G. C.; Upadhaya, Taman; Valentini, Vincenzo; van Dijk, Lisanne V.; van Griethuysen, Joost; van Velden, Floris H. P.; Whybra, Philip; Richter, Christian; Loeck, Steffen",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,295,2,328-338,2020,2363,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000528209000019,122.746212,16.012102127075195,41.475212,19.25,147.5759,56.9738,International - Quadrilateral +,99.9907,11.105
WOS:000615970401059,10.1109/icassp40776.2020.9053405,n/a,UNET 3+: A FULL-SCALE CONNECTED UNET FOR MEDICAL IMAGE SEGMENTATION,"Huang, Huimin; Lin, Lanfen; Tong, Ruofeng; Hu, Hongjie; Zhang, Qiaowei; Iwamoto, Yutaro; Han, Xianhua; Chen, Yen-Wei; Wu, Jian","2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,1055-1059,2020,1991,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615970401059,15.522837,3.449674606323242,5.22557,128.26,577.1559,381.0111,International - Bilateral,99.9975,n/a
WOS:000551892700015,10.1148/radiol.2020200432,MEDLINE:32073353,Sensitivity of Chest CT for COVID-19: Comparison to RT-PCR,"Fang, Yicheng; Zhang, Huangqi; Xie, Jicheng; Lin, Minjie; Ying, Lingjun; Pang, Peipei; Ji, Wenbin",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,296,2,E115-E117,2020,1979,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551892700015,122.746212,16.012102127075195,15.52622,16.12,123.594,127.4618,Domestic - Multiple,99.9876,11.105
WOS:000534606800040,10.1148/radiol.2020200370,MEDLINE:32053470,Time Course of Lung Changes a Chest CT during Recovery from Coronavirus Disease 2019 (COVID-19 ),"Pan, Feng; Ye, Tianhe; Sun, Peng; Gui, Shan; Liang, Bo; Li, Lingli; Zheng, Dandan; Wang, Jiazheng; Hesketh, Richard L.; Yang, Lian; Zheng, Chuansheng",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,295,3,715-721,2020,1592,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534606800040,122.746212,16.012102127075195,19.832926,12.97,99.4248,80.2706,International - Bilateral,99.9845,11.105
WOS:000505617400032,10.1038/s41586-019-1799-6,MEDLINE:31894144,International evaluation of an AI system for breast cancer screening,"McKinney, Scott Mayer; Sieniek, Marcin; Godbole, Varun; Godwin, Jonathan; Antropova, Natasha; Ashrafian, Hutan; Back, Trevor; Chesus, Mary; Corrado, Greg C.; Darzi, Ara; Etemadi, Mozziyar; Garcia-Vicente, Florencia; Gilbert, Fiona J.; Halling-Brown, Mark; Hassabis, Demis; Jansen, Sunny; Karthikesalingam, Alan; Kelly, Christopher J.; King, Dominic; Ledsam, Joseph R.; Melnick, David; Mostofi, Hormuz; Peng, Lily; Reicher, Joshua Jay; Romera-Paredes, Bernardino; Sidebottom, Richard; Suleyman, Mustafa; Tse, Daniel; Young, Kenneth C.; De Fauw, Jeffrey; Shetty, Shravya",NATURE,1009 Special Medicine,Article,577,7788,89-+,2020,1525,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505617400032,277.07567,16.012102127075195,19.832926,5.5,95.2405,76.8923,International - Bilateral,99.9814,49.962
WOS:000551892700004,10.1148/radiol.2020200343,MEDLINE:32049601,Chest CT for Typical Coronavirus Disease 2019 (COVID-19) Pneumonia: Relationship to Negative RT-PCR Testing,"Xie, Xingzhi; Zhong, Zheng; Zhao, Wei; Zheng, Chao; Wang, Fei; Liu, Jun",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,296,2,E41-E45,2020,1348,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551892700004,122.746212,16.012102127075195,15.52622,10.98,84.1863,86.8209,Domestic - Multiple,99.9783,11.105
WOS:000507798400006,10.1007/s00330-019-06574-1,n/a,Wave-CAIPI susceptibility-weighted imaging achieves diagnostic performance comparable to conventional susceptibility-weighted imaging in half the scan time,"Chung, Mi Sun; Lee, Eun Jung; Kim, Sujin; Kim, Seon-Ok; Byun, Jun Soo",EUROPEAN RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,30,4,2182-2190,2020,1281,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507798400006,30.636544,16.012102127075195,15.52622,41.81,80.002,82.5056,Domestic - Multiple,99.9752,5.315
WOS:000534341800002,10.1097/HP.0000000000001210,MEDLINE:32167495,Guidelines for Limiting Exposure to Electromagnetic Fields (100 kHz to 300 GHz),n/a,HEALTH PHYSICS,0830 Environmental Science and Engineering; 0827 Nuclear Science and Technology; 0837 Safety Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 1004 Public Health and Preventive Medicine,Article,118,5,483-524,2020,1134,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534341800002,17.720721,16.012102127075195,0.0,63.99,70.8214,0.0,n/a,99.9721,1.316
WOS:000507987000009,10.1016/j.neuroimage.2019.116189,MEDLINE:31521825,Automated anatomical labelling atlas 3,"Rolls, Edmund T.; Huang, Chu-Chung; Lin, Ching-Po; Feng, Jianfeng; Joliot, Marc",NEUROIMAGE,1001 Basic Medicine; 1010 Medical Technology; 1009 Special Medicine,Article,206,n/a,n/a,2020,1129,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507987000009,32.579498,16.012102127075195,41.475212,34.65,70.5092,27.2211,International - Quadrilateral +,99.9691,6.556
WOS:000765802100138,10.1016/j.procs.2022.01.135,n/a,A Review of Yolo Algorithm Developments,"Jiang, Peiyuan; Ergu, Daji; Liu, Fangyao; Cai, Ying; Ma, Bo",8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19,0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 0820 Oil and Natural Gas Engineering; 1204 Public Administration; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0802 Mechanical Engineering; 0503 Journalism and Communication; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,199,n/a,1066-1073,2022,1098,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000765802100138,11.117347,3.9287266731262207,2.9673312,98.76,279.4799,370.0295,Domestic - Single,99.9967,n/a
WOS:000530831100027,10.2967/jnumed.118.222893,MEDLINE:32060219,Introduction to Radiomics,"Mayerhoefer, Marius E.; Materka, Andrzej; Langs, Georg; Haggstrom, Ida; Szczypinski, Piotr; Gibbs, Peter; Cook, Gary",JOURNAL OF NUCLEAR MEDICINE,1009 Special Medicine; 1010 Medical Technology,Article,61,4,488-495,2020,1094,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000530831100027,41.551724,16.012102127075195,41.475212,26.33,68.3233,26.3772,International - Quadrilateral +,99.966,10.057
