Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000529781700001,10.1111/cjag.12237,n/a,Food supply chains during the COVID-19 pandemic,"Hobbs, Jill E.",CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,1203 Economics and Management of Agriculture and Forestry; 0202 Applied Economics,Article,68,2,171-176,2020,791,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000529781700001,59.25,7.012092590332031,5.277984,13.35,112.8051,149.8678,Domestic - Single,99.9753,1.396
WOS:000674920300008,10.19103/AS.2019.0061.10,n/a,The DSSAT crop modeling ecosystem,"Hoogenboom, Gerrit; Porter, Cheryl H.; Boote, Kenneth J.; Shelia, Vakhtang; Wilkens, Paul W.; Singh, Upendra; White, Jeffrey W.; Asseng, Senthold; Lizaso, Jon I.; Moreno, L. Patricia; Pavan, Willingthon; Ogoshi, Richard; Hunt, L. Anthony; Tsuji, Gordon Y.; Jones, James W.",ADVANCES IN CROP MODELLING FOR A SUSTAINABLE AGRICULTURE,0901 Crop Science; 0905 Animal Science; 0828 Agricultural Engineering; 1203 Economics and Management of Agriculture and Forestry; 0902 Horticulture; 0903 Agricultural Resource and Environment Sciences; 0815 Hydraulic Engineering; 0811 Control Science and Engineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering; 1202 Business Administration; 0710 Biology,Article,75,n/a,173-216,2020,351,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000674920300008,3.467456,7.012092590332031,14.4,101.23,50.0564,24.375,International - Quadrilateral +,99.9506,n/a
WOS:000568776900005,10.1016/j.foodpol.2020.101931,n/a,"Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter?","Van Loo, Ellen J.; Caputo, Vincenzina; Lusk, Jayson L.",FOOD POLICY,0832 Food Science and Engineering; 1203 Economics and Management of Agriculture and Forestry; 1004 Public Health and Preventive Medicine,Article,95,n/a,n/a,2020,293,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000568776900005,29.04902,7.012092590332031,10.327248,10.09,41.785,28.3715,International - Bilateral,99.926,4.552
WOS:000617042100001,10.1002/aepp.13044,n/a,Role of New Plant Breeding Technologies for Food Security and Sustainable Agricultural Development,"Qaim, Matin",APPLIED ECONOMIC PERSPECTIVES AND POLICY,1203 Economics and Management of Agriculture and Forestry; 0201 Theoretical Economics; 0202 Applied Economics,Article,42,2,129-150,2020,271,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000617042100001,30.558559,7.012092590332031,5.277984,8.87,38.6475,51.3454,Domestic - Single,99.9013,4.083
WOS:000505799700003,10.1111/agec.12539,n/a,"Technology adoption, impact, and extension in developing countries' agriculture: A review of the recent literature","Takahashi, Kazushi; Muraoka, Rie; Otsuka, Keijiro",AGRICULTURAL ECONOMICS,0202 Applied Economics; 1203 Economics and Management of Agriculture and Forestry,Review,51,1,31-45,2020,239,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505799700003,239.0,19.933332443237305,26.09091,1.0,11.99,9.1603,Domestic - Multiple,97.7778,2.585
WOS:000623837600001,10.1002/aepp.13104,MEDLINE:33230409,Revisiting the Digital Divide in the COVID-19 EraJEL codes,"Lai, John; Widmar, Nicole O.",APPLIED ECONOMIC PERSPECTIVES AND POLICY,1203 Economics and Management of Agriculture and Forestry; 0201 Theoretical Economics; 0202 Applied Economics,Article,43,1,458-464,2020,233,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000623837600001,30.558559,7.012092590332031,8.053149,7.62,33.2283,28.9328,Domestic - Multiple,99.8766,4.083
WOS:000747978200001,10.1016/j.foodpol.2021.102164,n/a,Viewpoint: The case for a six-dimensional food security framework,"Clapp, Jennifer; Moseley, William G.; Burlingame, Barbara; Termine, Paola",FOOD POLICY,0832 Food Science and Engineering; 1203 Economics and Management of Agriculture and Forestry; 1004 Public Health and Preventive Medicine,Article,106,n/a,n/a,2022,227,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000747978200001,16.681818,3.3959803581237793,10.578947,13.61,66.8437,21.4577,International - Quadrilateral +,99.9647,6.5
WOS:000598486000001,10.1002/agr.21679,MEDLINE:33362340,Food consumption behavior during the COVID-19 pandemic,"Chenarides, Lauren; Grebitus, Carola; Lusk, Jayson L.; Printezis, Iryna",AGRIBUSINESS,1203 Economics and Management of Agriculture and Forestry; 0832 Food Science and Engineering; 0202 Applied Economics,Article,37,1,44-81,2020,227,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000598486000001,17.654545,7.012092590332031,8.053149,12.86,32.3726,28.1877,Domestic - Multiple,99.8519,2.057
WOS:000598723100007,10.1016/j.foodpol.2020.101847,n/a,"Viewpoint: Regulating meat consumption to improve health, the environment and animal welfare","Bonnet, Celine; Bouamra-Mechemache, Zohra; Requillart, Vincent; Treich, Nicolas",FOOD POLICY,1203 Economics and Management of Agriculture and Forestry; 0832 Food Science and Engineering; 1004 Public Health and Preventive Medicine,Article,97,n/a,n/a,2020,210,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000598723100007,29.04902,7.012092590332031,8.053149,7.23,29.9483,26.0768,Domestic - Multiple,99.8273,4.552
WOS:000706792400001,10.1016/j.foodpol.2021.102163,n/a,Viewpoint: Rigorous monitoring is necessary to guide food system transformation in the countdown to the 2030 global goals*,"Fanzo, Jessica; Haddad, Lawrence; Schneider, Kate R.; Bene, Christophe; Covic, Namukolo M.; Guarin, Alejandro; Herforth, Anna W.; Herrero, Mario; Sumaila, U. Rashid; Aburto, Nancy J.; Amuyunzu-Nyamongo, Mary; Barquera, Simon; Battersby, Jane; Beal, Ty; Molina, Paulina Bizzotto; Brusset, Emery; Cafiero, Carlo; Campeau, Christine; Caron, Patrick; Cattaneo, Andrea; Conforti, Piero; Davis, Claire; DeClerck, Fabrice A. J.; Elouafi, Ismahane; Fabi, Carola; Gephart, Jessica A.; Golden, Christopher D.; Hendriks, Sheryl L.; Huang, Jikun; Laar, Amos; Lal, Rattan; Lidder, Preetmoninder; Loken, Brent; Marshall, Quinn; Masuda, Yuta J.; McLaren, Rebecca; Neufeld, Lynnette M.; Nordhagen, Stella; Remans, Roseline; Resnick, Danielle; Silverberg, Marissa; Cullen, Maximo Torero; Tubiello, Francesco N.; Vivero-Pol, Jose-Luis; Wei, Shijin; Moncayo, Jose Rosero",FOOD POLICY,1203 Economics and Management of Agriculture and Forestry; 0832 Food Science and Engineering; 1004 Public Health and Preventive Medicine,Article,104,n/a,n/a,2021,196,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000706792400001,31.024242,5.805348873138428,13.4,6.32,33.762,14.6269,International - Quadrilateral +,99.9724,6.08
