Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000542433900001,10.1080/10350330.2020.1766199,n/a,"Discursive shifts and the normalisation of racism: imaginaries of immigration, moral panics and the discourse of contemporary right-wing populism","Krzyzanowski, Michal",SOCIAL SEMIOTICS,1301 Art Theory; 0503 Journalism and Communication,Article,30,4,503-527,2020,164,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000542433900001,9.349398,3.668192148208618,3.0760667,17.54,44.7087,53.3148,Domestic - Single,99.9542,1.32
WOS:000600667400007,10.1016/j.culher.2020.05.008,n/a,Review of built heritage modelling: Integration of HBIM and other information techniques,"Yang, Xiucheng; Grussenmeyer, Pierre; Koehl, Mathieu; Macher, Helene; Murtiyoso, Arnadi; Landes, Tania",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Review,46,n/a,350-360,2020,155,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000600667400007,37.833333,18.404254913330078,52.88889,4.1,8.422,2.9307,Domestic - Multiple,97.8723,2.955
WOS:000756018000001,10.1016/j.culher.2020.09.005,n/a,Machine learning techniques for structural health monitoring of heritage buildings: A state-of-the-art review and case studies,"Mishra, Mayank",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Review,47,n/a,227-245,2021,150,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000756018000001,31.533333,15.028571128845215,16.411764,4.76,9.981,9.1398,Domestic - Single,97.1429,3.229
WOS:000509216900009,10.1037/aca0000196,n/a,Understanding the Confounding Effect of Fluency in Divergent Thinking Scores: Revisiting Average Scores to Quantify Artifactual Correlation,"Forthmann, Boris; Szardenings, Carsten; Holling, Heinz",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Article,14,1,94-112,2020,114,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509216900009,24.911765,3.668192148208618,7.131805,4.58,31.078,15.9847,Domestic - Multiple,99.9085,4.349
WOS:000527143700004,="10.1177/1470412920906259",n/a,Feeling good about feeling bad: virtuous virtual reality and the automation of racial empathy,"Nakamura, Lisa",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Article,19,1,47-64,2020,112,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527143700004,11.52,3.668192148208618,3.0760667,9.72,30.5328,36.4101,Domestic - Single,99.8627,0.4
WOS:000547429900001,10.1016/j.culher.2019.12.004,n/a,3D reconstruction and validation of historical background for immersive VR applications and games: The case study of the Forum of Augustus in Rome,"Ferdani, Daniele; Fanini, Bruno; Piccioli, Maria Claudia; Carboni, Fabiana; Vigliarolo, Paolo",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,43,n/a,129-143,2020,106,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000547429900001,15.888889,3.668192148208618,7.131805,6.67,28.8971,14.863,Domestic - Multiple,99.8169,2.955
WOS:000728155300013,10.1037/aca0000319,n/a,Measuring Divergent Thinking Originality With Human Raters and Text-Mining Models: A Psychometric Comparison of Methods,"Dumas, Denis; Organisciak, Peter; Doherty, Michael",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Article,15,4,645-663,2021,105,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000728155300013,12.959016,2.7879981994628906,5.8033333,8.1,37.6614,18.0931,Domestic - Multiple,99.9562,6.395
WOS:000529339900005,10.1037/aca0000205,n/a,The Vienna Art Interest and Art Knowledge Questionnaire (VAIAK): A Unified and Validated Measure of Art Interest and Art Knowledge,"Specker, Eva; Forster, Michael; Brinkmann, Hanna; Boddy, Jane; Pelowski, Matthew; Rosenberg, Raphael; Leder, Helmut",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Article,14,2,172-185,2020,101,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000529339900005,24.911765,3.668192148208618,3.0760667,4.05,27.534,32.8341,Domestic - Single,99.7712,4.349
WOS:000937488200001,10.1080/14626268.2023.2174557,n/a,Using artificial intelligence in craft education: crafting with text-to-image generative models,"Vartiainen, Henriikka; Tedre, Matti",DIGITAL CREATIVITY,1301 Art Theory,Article,34,1,1-21,2023,96,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000937488200001,7.888889,1.137982964515686,0.97399527,12.17,84.3598,98.5631,Domestic - Single,99.9498,1.3
WOS:000509216900003,10.1037/aca0000244,n/a,Testing Conditions and Creative Performance: Meta-Analyses of the Impact of Time Limits and Instructions,"Said-Metwaly, Sameh; Fernandez-Castilla, Belen; Kyndt, Eva; Van Den Noortgate, Wim",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Review,14,1,15-38,2020,95,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509216900003,65.0,18.404254913330078,52.88889,1.46,5.1618,1.7962,Domestic - Multiple,95.7447,4.349
