Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000686117000001,10.1038/s41586-021-03819-2,MEDLINE:34265844,Highly accurate protein structure prediction with AlphaFold,"Jumper, John; Evans, Richard; Pritzel, Alexander; Green, Tim; Figurnov, Michael; Ronneberger, Olaf; Tunyasuvunakool, Kathryn; Bates, Russ; Zidek, Augustin; Potapenko, Anna; Bridgland, Alex; Meyer, Clemens; Kohl, Simon A. A.; Ballard, Andrew J.; Cowie, Andrew; Romera-Paredes, Bernardino; Nikolov, Stanislav; Jain, Rishub; Adler, Jonas; Back, Trevor; Petersen, Stig; Reiman, David; Clancy, Ellen; Zielinski, Michal; Steinegger, Martin; Pacholska, Michalina; Berghammer, Tamas; Bodenstein, Sebastian; Silver, David; Vinyals, Oriol; Senior, Andrew W.; Kavukcuoglu, Koray; Kohli, Pushmeet; Hassabis, Demis",NATURE,1400 Cross-field,Article,596,7873,583-+,2021,23823,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000686117000001,212.12109,23.760536193847656,29.273632,112.31,1002.6289,813.804,International - Bilateral,99.9987,69.504
WOS:000576060200003,10.1038/s41586-020-2308-7,n/a,"The mutational constraint spectrum quantified from variation in 141,456 humans","Karczewski, Konrad J.; Francioli, Laurent C.; Tiao, Grace; Cummings, Beryl B.; Alfoldi, Jessica; Wang, Qingbo; Collins, Ryan L.; Laricchia, Kristen M.; Ganna, Andrea; Birnbaum, Daniel P.; Gauthier, Laura D.; Brand, Harrison; Solomonson, Matthew; Watts, Nicholas A.; Rhodes, Daniel; Singer-Berk, Moriel; England, Eleina M.; Seaby, Eleanor G.; Kosmicki, Jack A.; Walters, Raymond K.; Tashman, Katherine; Farjoun, Yossi; Banks, Eric; Poterba, Timothy; Wang, Arcturus; Seed, Cotton; Whiffin, Nicola; Chong, Jessica X.; Samocha, Kaitlin E.; Pierce-Hoffman, Emma; Zappala, Zachary; O'Donnell-Luria, Anne H.; Minikel, Eric Vallabh; Weisburd, Ben; Lek, Monkol; Ware, James S.; Vittal, Christopher; Armean, Irina M.; Bergelson, Louis; Cibulskis, Kristian; Connolly, Kristen M.; Covarrubias, Miguel; Donnelly, Stacey; Ferriera, Steven; Gabriel, Stacey; Gentry, Jeff; Gupta, Namrata; Jeandet, Thibault; Kaplan, Diane; Llanwarne, Christopher; Munshi, Ruchi; Novod, Sam; Petrillo, Nikelle; Roazen, David; Ruano-Rubio, Valentin; Saltzman, Andrea; Schleicher, Molly; Soto, Jose; Tibbetts, Kathleen; Tolonen, Charlotte; Wade, Gordon; Talkowski, Michael E.; Neale, Benjamin M.; Daly, Mark J.; MacArthur, Daniel G.",NATURE,1400 Cross-field,Article,581,7809,434-+,2020,5100,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000576060200003,277.07567,29.82299041748047,73.754814,18.41,171.009,69.148,International - Quadrilateral +,99.9977,49.962
WOS:000621232800007,10.1038/s41467-021-21246-9,MEDLINE:33597522,Inference and analysis of cell-cell communication using CellChat,"Jin, Suoqin; Guerrero-Juarez, Christian F.; Zhang, Lihua; Chang, Ivan; Ramos, Raul; Kuan, Chen-Hsiang; Myung, Peggy; Plikus, Maksim V.; Nie, Qing",NATURE COMMUNICATIONS,1400 Cross-field,Article,12,1,n/a,2021,3885,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000621232800007,63.192683,23.760536193847656,29.273632,61.48,163.5064,132.7133,International - Bilateral,99.9973,17.694
WOS:000523251600029,10.1126/science.abb2762,MEDLINE:32132184,Structural basis for the recognition of SARS-CoV-2 by full-length human ACE2,"Yan, Renhong; Zhang, Yuanyuan; Li, Yaning; Xia, Lu; Guo, Yingying; Zhou, Qiang",SCIENCE,1400 Cross-field,Article,367,6485,1444-+,2020,3575,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000523251600029,269.091153,29.82299041748047,26.75508,13.29,119.874,133.6195,Domestic - Multiple,99.9954,47.728
WOS:001243899900001,10.1038/s41586-024-07487-w,MEDLINE:38718835,Accurate structure prediction of biomolecular interactions with AlphaFold 3,"Abramson, Josh; Adler, Jonas; Dunger, Jack; Evans, Richard; Green, Tim; Pritzel, Alexander; Ronneberger, Olaf; Willmore, Lindsay; Ballard, Andrew J.; Bambrick, Joshua; Bodenstein, Sebastian W.; Evans, David A.; Hung, Chia-Chun; O'Neill, Michael; Reiman, David; Tunyasuvunakool, Kathryn; Wu, Zachary; Zemgulyte, Akvile; Arvaniti, Eirini; Beattie, Charles; Bertolli, Ottavia; Bridgland, Alex; Cherepanov, Alexey; Congreve, Miles; Cowen-Rivers, Alexander I.; Cowie, Andrew; Figurnov, Michael; Fuchs, Fabian B.; Gladman, Hannah; Jain, Rishub; Khan, Yousuf A.; Low, Caroline M. R.; Perlin, Kuba; Potapenko, Anna; Savy, Pascal; Singh, Sukhdeep; Stecula, Adrian; Thillaisundaram, Ashok; Tong, Catherine; Yakneen, Sergei; Zhong, Ellen D.; Zielinski, Michal; Zidek, Augustin; Bapst, Victor; Kohli, Pushmeet; Jaderberg, Max; Hassabis, Demis; Jumper, John M.",NATURE,1400 Cross-field,Article,630,8016,n/a,2024,3482,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001243899900001,33.174481,4.115107536315918,5.059916,104.96,846.1504,688.1537,International - Bilateral,99.999,48.5
WOS:000686562400029,10.1126/science.abj8754,MEDLINE:34282049,Accurate prediction of protein structures and interactions using a three-track neural network,"Baek, Minkyung; DiMaio, Frank; Anishchenko, Ivan; Dauparas, Justas; Ovchinnikov, Sergey; Lee, Gyu Rie; Wang, Jue; Cong, Qian; Kinch, Lisa N.; Schaeffer, R. Dustin; Millan, Claudia; Park, Hahnbeom; Adams, Carson; Glassman, Caleb R.; DeGiovanni, Andy; Pereira, Jose H.; Rodrigues, Andria V.; van Dijk, Alberdina A.; Ebrecht, Ana C.; Opperman, Diederik J.; Sagmeister, Theo; Buhlheller, Christoph; Pavkov-Keller, Tea; Rathinaswamy, Manoj K.; Dalwadi, Udit; Yip, Calvin K.; Burke, John E.; Garcia, K. Christopher; Grishin, Nick V.; Adams, Paul D.; Read, Randy J.; Baker, David",SCIENCE,1400 Cross-field,Article,373,6557,871-+,2021,3244,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000686562400029,157.884097,23.760536193847656,49.044056,20.55,136.5289,66.1446,International - Quadrilateral +,99.996,63.832
WOS:000524313800003,10.1038/s41597-020-0453-3,MEDLINE:32246091,Version 4 of the CRU TS monthly high-resolution gridded multivariate climate dataset,"Harris, Ian; Osborn, Timothy J.; Jones, Phil; Lister, David",SCIENTIFIC DATA,1400 Cross-field,Data Paper,7,1,n/a,2020,3038,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524313800003,62.896277,15.2853422164917,15.8180275,48.3,198.7525,192.0593,Domestic - Multiple,99.9349,6.444
WOS:000770386600033,10.1126/science.abf0529,MEDLINE:35298263,Copper induces cell death by targeting lipoylated TCA cycle proteins,"Tsvetkov, Peter; Coy, Shannon; Petrova, Boryana; Dreishpoon, Margaret; Verma, Ana; Abdusamad, Mai; Rossen, Jordan; Joesch-Cohen, Lena; Humeidi, Ranad; Spangler, Ryan D.; Eaton, John K.; Frenkel, Evgeni; Kocak, Mustafa; Corsello, Steven M.; Lutsenko, Svetlana; Kanarek, Naama; Santagata, Sandro; Golub, Todd R.",SCIENCE,1400 Cross-field,Article,375,6586,1254-+,2022,2735,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000770386600033,115.275148,16.13417625427246,14.363731,23.73,169.5159,190.4101,Domestic - Multiple,99.9986,56.9
WOS:000569840300041,10.1126/science.aaz1776,MEDLINE:32913098,The GTEx Consortium atlas of genetic regulatory effects across human tissues,"Aguet, Francois; Barbeira, Alvaro N.; Bonazzola, Rodrigo; Brown, Andrew; Castel, Stephane E.; Jo, Brian; Kasela, Silva; Kim-Hellmuth, Sarah; Liang, Yanyu; Parsana, Princy; Flynn, Elise; Fresard, Laure; Gamazon, Eric R.; Hamel, Andrew R.; He, Yuan; Hormozdiari, Farhad; Mohammadi, Pejman; Munoz-Aguirre, Manuel; Ardlie, Kristin G.; Battle, Alexis; Brown, Christopher D.; Cox, Nancy; Dermitzakis, Emmanouil T.; Engelhardt, Barbara E.; Garrido-Martin, Diego; Gay, Nicole R.; Getz, Gad; Guigo, Roderic; Handsaker, Robert E.; Hoffman, Paul J.; Im, Hae Kyung; Kashin, Seva; Kwong, Alan; Lappalainen, Tuuli; Li, Xiao; MacArthur, Daniel G.; Montgomery, Stephen B.; Rouhana, John M.; Anand, Shankara; Gabriel, Stacey; Graubert, Aaron; Hadley, Kane; Huang, Katherine H.; Meier, Samuel R.; Nedzel, Jared L.; Balliu, Brunilda; Conrad, Don; Cotter, Daniel J.; Das, Sayantan; de Goede, Olivia M.; Eskin, Eleazar; Eulalio, Tiffany Y.; Ferraro, Nicole M.; Hou, Lei; Kellis, Manolis; Li, Xin; Mangul, Serghei; Nachun, Daniel C.; Nguyen, Duyen Y.; Nobel, Andrew B.; Park, YoSon; Reverter, Ferran; Sabatti, Chiara; Saha, Ashis; Segre, Ayellet, V; Stephens, Matthew; Strober, Benjamin J.; Teran, Nicole A.; Todres, Ellen; Vinuela, Ana; Wang, Gao; Wen, Xiaoquan; Wright, Fred; Wucher, Valentin; Zou, Yuxin; Ferreira, Pedro G.; Li, Gen; Mele, Marta; Yeger-Lotem, Esti; Barcus, Mary E.; Bradbury, Debra; Krubit, Tanya; McLean, Jeffrey A.; Qi, Liqun; Robinson, Karna; Roche, Nancy, V; Smith, Anna M.; Tabor, David E.; Undale, Anita; Bridge, Jason; Brigham, Lori E.; Foster, Barbara A.; Gillard, Bryan M.; Hasz, Richard; Hunter, Marcus; Johns, Christopher; Johnson, Mark; Karasik, Ellen; Kopen, Gene; Leinweber, William F.; McDonald, Alisa; Moser, Michael T.; Myer, Kevin; Ramsey, Kimberley D.; Roe, Brian; Shad, Saboor; Thomas, Jeffrey A.; Walters, Gary; Washington, Michael; Wheeler, Joseph; Jewell, Scott D.; Rohrer, Daniel C.; Valley, Dana R.; Davis, David A.; Mash, Deborah C.; Branton, Philip A.; Sobin, Leslie; Barker, Laura K.; Gardiner, Heather M.; Mosavel, Maghboeba; Siminoff, Laura A.; Flicek, Paul; Haeussler, Maximilian; Juettemann, Thomas; Kent, W. James; Lee, Christopher M.; Powell, Conner C.; Rosenbloom, Kate R.; Ruffier, Magali; Sheppard, Dan; Taylor, Kieron; Trevanion, Stephen J.; Zerbino, Daniel R.; Abell, Nathan S.; Akey, Joshua; Chen, Lin; Demanelis, Kathryn; Doherty, Jennifer A.; Feinberg, Andrew P.; Hansen, Kasper D.; Hickey, Peter F.; Jasmine, Farzana; Jiang, Lihua; Kaul, Rajinder; Kibriya, Muhammad G.; Li, Jin Billy; Li, Qin; Lin, Shin; Linder, Sandra E.; Oliva, Meritxell; Park, Yongjin; Pierce, Brandon L.; Rizzardi, Lindsay F.; Skol, Andrew D.; Smith, Kevin S.; Snyder, Michael; Stamatoyannopoulos, John; Tang, Hua; Wang, Meng; Carithers, Latarsha J.; Guan, Ping; Koester, Susan E.; Little, A. Roger; Moore, Helen M.; Nierras, Concepcion R.; Rao, Abhi K.; Vaught, Jimmie B.; Volpi, Simona",SCIENCE,1400 Cross-field,Article,369,6509,1318-1330,2020,2676,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000569840300041,269.091153,29.82299041748047,73.754814,9.94,89.7294,36.2824,International - Quadrilateral +,99.9931,47.728
WOS:000530819400002,10.1038/s41586-020-2179-y,MEDLINE:32225175,Structural basis of receptor recognition by SARS-CoV-2,"Shang, Jian; Ye, Gang; Shi, Ke; Wan, Yushun; Luo, Chuming; Aihara, Hideki; Geng, Qibin; Auerbach, Ashley; Li, Fang",NATURE,1400 Cross-field,Article,581,7807,221-+,2020,2591,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000530819400002,277.07567,29.82299041748047,18.879427,9.35,86.8793,137.2393,Domestic - Single,99.9907,49.962
