入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000859168600002,10.4324/9781003223320-2,n/a,The financialization of the American economy,"Mettenheim, Kurt; Butzbach, Olivier","FINANCIALIZATION OF THE ECONOMY, BUSINESS, AND HOUSEHOLD INEQUALITY IN THE UNITED STATES",0830 Environmental Science and Engineering; 0303 Sociology; 1202 Business Administration; 1204 Public Administration; 0101 Philosophy; 0705 Geography; 0302 Political Science; 0833 Urban and Rural Planning; 0503 Journalism and Communication; 0304 Ethnology,Article,n/a,n/a,13-54,2022,1129,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000859168600002,11.87,1.7413485050201416,0.0,95.11,648.3481,0.0,n/a,99.9838,n/a
WOS:000783998800019,n/a,n/a,Social cognitive theory,"Martin, Jeffrey J.; Guerrero, Michelle D.",ROUTLEDGE HANDBOOK OF ADAPTED PHYSICAL EDUCATION,0101 Philosophy; 0603 World History; 0302 Political Science; 0301 Law; 1303 Drama Film and Television; 0304 Ethnology; 0503 Journalism and Communication; 0401 Education; 0701 Mathematics; 0705 Geography; 0303 Sociology; 0833 Urban and Rural Planning; 0403 Physical Education and Sport Science; 0814 Civil Engineering; 1011 Nursing; 1204 Public Administration; 0402 Psychology; 0820 Oil and Natural Gas Engineering; 1201 Management Science and Engineering; 0830 Environmental Science and Engineering; 1202 Business Administration; 0714 Statistics; 0836 Biotechnology and Bioengineering; 1001 Basic Medicine; 0710 Biology; 1004 Public Health and Preventive Medicine; 1002 Clinical Medicine,Article,n/a,n/a,280-295,2020,523,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000783998800019,3.000924,3.2320258617401123,4.4871793,174.28,161.818,116.5543,International - Bilateral,99.9899,n/a
WOS:000505276000003,10.1111/nana.12522,n/a,Populism and nationalism,"Brubaker, Rogers",NATIONS AND NATIONALISM,0603 World History; 0304 Ethnology; 0302 Political Science; 0303 Sociology,Article,26,1,44-66,2020,233,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505276000003,14.053333,3.2320258617401123,3.215121,16.58,72.091,72.4701,Domestic - Single,99.9798,1.433
WOS:000598189400001,10.1080/01419870.2020.1851739,n/a,Anti-Asian discrimination and the Asian-white mental health gap during COVID-19,"Wu, Cary; Qian, Yue; Wilkes, Rima",ETHNIC AND RACIAL STUDIES,0304 Ethnology; 0303 Sociology,Article,44,5,819-835,2020,231,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000598189400001,14.584337,3.2320258617401123,5.147734,15.84,71.4722,44.8741,Domestic - Multiple,99.9698,3.211
WOS:000643757500006,10.1080/13557858.2018.1514453,MEDLINE:30165756,"Racism, racial discrimination, and trauma: a systematic review of the social science literature","Kirkinis, Katherine; Pieterse, Alex L.; Martin, Christina; Agiliga, Alex; Brownell, Amanda",ETHNICITY & HEALTH,1004 Public Health and Preventive Medicine; 0304 Ethnology,Review,26,3,392-412,2021,215,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000643757500006,49.833333,10.828571319580078,12.255814,4.31,19.8549,17.5427,Domestic - Single,98.5714,2.732
WOS:000749704200005,10.1017/nps.2020.35,n/a,Global Nationalism in Times of the COVID-19 Pandemic,"Bieber, Florian",NATIONALITIES PAPERS-THE JOURNAL OF NATIONALISM AND ETHNICITY,0603 World History; 0302 Political Science; 0304 Ethnology; 0705 Geography,Article,50,1,13-25,2022,187,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000749704200005,5.991379,1.7413485050201416,1.7435216,31.21,107.388,107.2542,Domestic - Single,99.9675,1.2
WOS:000526423600004,10.1080/13557858.2018.1439896,MEDLINE:29447448,Gendered racism and the sexual and reproductive health of Black and Latina Women,"Rosenthal, Lisa; Lobel, Marci",ETHNICITY & HEALTH,0304 Ethnology; 1004 Public Health and Preventive Medicine,Article,25,3,367-392,2020,160,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526423600004,15.931298,3.2320258617401123,5.147734,10.04,49.5046,31.0816,Domestic - Multiple,99.9597,2.772
WOS:000604651000001,10.1080/01419870.2020.1851382,n/a,Racism and nationalism during and beyond the COVID-19 pandemic,"Elias, Amanuel; Ben, Jehonathan; Mansouri, Fethi; Paradies, Yin",ETHNIC AND RACIAL STUDIES,0304 Ethnology; 0303 Sociology,Article,44,5,783-793,2020,158,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000604651000001,14.584337,3.2320258617401123,3.215121,10.83,48.8857,49.1428,Domestic - Single,99.9496,3.211
WOS:000581731700001,="10.1177/2332649220949473",n/a,Where Platform Capitalism and Racial Capitalism Meet: The Sociology of Race and Racism in the Digital Society,"McMillan Cottom, Tressie",SOCIOLOGY OF RACE AND ETHNICITY,0304 Ethnology; 0303 Sociology,Article,6,4,441-449,2020,156,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000581731700001,20.938776,3.2320258617401123,3.215121,7.45,48.2669,48.5207,Domestic - Single,99.9395,2.973
WOS:000705289700037,10.1093/jrs/feaa012,n/a,Refugee-Integration-Opportunity Structures: Shifting the Focus From Refugees to Context,"Phillimore, Jenny",JOURNAL OF REFUGEE STUDIES,0304 Ethnology; 0303 Sociology,Article,34,2,1946-1966,2021,147,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000705289700037,9.406015,2.630748987197876,2.497239,15.63,55.8776,58.865,Domestic - Single,99.9869,2.966
