入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:001207690601035,n/a,n/a,Language Models are Few-Shot Learners,"Brown, Tom B.; Mann, Benjamin; Ryder, Nick; Subbiah, Melanie; Kaplan, Jared; Dhariwal, Prafulla; Neelakantan, Arvind; Shyam, Pranav; Sastry, Girish; Askell, Amanda; Agarwal, Sandhini; Herbert-Voss, Ariel; Krueger, Gretchen; Henighan, Tom; Child, Rewon; Ramesh, Aditya; Ziegler, Daniel M.; Wu, Jeffrey; Winter, Clemens; Hesse, Christopher; Chen, Mark; Sigler, Eric; Litwin, Mateusz; Gray, Scott; Chess, Benjamin; Clark, Jack; Berner, Christopher; McCandlish, Sam; Radford, Alec; Sutskever, Ilya; Amodei, Dario","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 33, NEURIPS 2020",0812 Computer Science and Technology; 1001 Basic Medicine; 0402 Psychology,Proceedings Paper,33,n/a,n/a,2020,14542,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001207690601035,35.714844,4.008923053741455,4.888143,407.17,3627.4081,2974.9539,Domestic - Multiple,99.9973,n/a
WOS:001213811609007,n/a,n/a,Training language models to follow instructions with human feedback,"Ouyang, Long; Wu, Jeff; Jiang, Xu; Almeida, Diogo; Wainwright, Carroll L.; Mishkin, Pamela; Zhang, Chong; Agarwal, Sandhini; Slama, Katarina; Ray, Alex; Schulman, John; Hilton, Jacob; Kelton, Fraser; Miller, Luke; Simens, Maddie; Askell, Amanda; Welinder, Peter; Christiano, Paul",ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 35 (NEURIPS 2022),1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,n/a,2022,4103,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001213811609007,10.254442,3.699140787124634,4.0788283,400.12,1109.1765,1005.9261,Domestic - Multiple,99.9971,n/a
WOS:000922928406057,n/a,n/a,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers,"Xie, Enze; Wang, Wenhai; Yu, Zhiding; Anandkumar, Anima; Alvarez, Jose M.; Luo, Ping",ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 34 (NEURIPS 2021),1001 Basic Medicine; 0812 Computer Science and Technology; 0402 Psychology,Proceedings Paper,34,n/a,n/a,2021,3877,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000922928406057,20.667952,4.196503162384033,7.3354716,187.59,923.8644,528.5277,International - Bilateral,99.9966,n/a
WOS:000901616407049,n/a,n/a,Diffusion Models Beat GANs on Image Synthesis,"Dhariwal, Prafulla; Nichol, Alex",ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 34 (NEURIPS 2021),0812 Computer Science and Technology; 1001 Basic Medicine; 0402 Psychology,Proceedings Paper,34,n/a,n/a,2021,3421,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000901616407049,20.667952,4.196503162384033,4.4018645,165.52,815.2025,777.1707,Domestic - Multiple,99.9931,n/a
WOS:000529739500001,10.1038/s41562-020-0884-z,MEDLINE:32355299,Using social and behavioural science to support COVID-19 pandemic response,"Van Bavel, Jay J.; Baicker, Katherine; Boggio, Paulo S.; Capraro, Valerio; Cichocka, Aleksandra; Cikara, Mina; Crockett, Molly J.; Crum, Alia J.; Douglas, Karen M.; Druckman, James N.; Drury, John; Dube, Oeindrila; Ellemers, Naomi; Finkel, Eli J.; Fowler, James H.; Gelfand, Michele; Han, Shihui; Haslam, S. Alexander; Jetten, Jolanda; Kitayama, Shinobu; Mobbs, Dean; Napper, Lucy E.; Packer, Dominic J.; Pennycook, Gordon; Peters, Ellen; Petty, Richard E.; Rand, David G.; Reicher, Stephen D.; Schnall, Simone; Shariff, Azim; Skitka, Linda J.; Smith, Sandra Susan; Sunstein, Cass R.; Tabri, Nassim; Tucker, Joshua A.; van der Linden, Sander; van Lange, Paul; Weeden, Kim A.; Wohl, Michael J. A.; Zaki, Jamil; Zion, Sean R.; Willer, Robb",NATURE HUMAN BEHAVIOUR,0402 Psychology; 1001 Basic Medicine,Article,4,5,460-471,2020,3231,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000529739500001,120.092857,15.255196571350098,33.996864,26.9,211.7967,95.0382,International - Quadrilateral +,99.9986,13.663
WOS:000558494700001,10.1080/14780887.2020.1769238,n/a,One size fits all? What counts as quality practice in (reflexive) thematic analysis?,"Braun, Virginia; Clarke, Victoria",QUALITATIVE RESEARCH IN PSYCHOLOGY,0402 Psychology,Article,18,3,328-352,2020,3211,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000558494700001,80.363636,15.255196571350098,18.603436,39.96,210.4857,172.6025,International - Bilateral,99.9971,2.288
WOS:001202259101051,n/a,n/a,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"Wei, Jason; Wang, Xuezhi; Schuurmans, Dale; Bosma, Maarten; Ichter, Brian; Xia, Fei; Chi, Ed H.; Le, Quoc V.; Zhou, Denny","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 35, NEURIPS 2022",1001 Basic Medicine; 0812 Computer Science and Technology; 0402 Psychology,Proceedings Paper,n/a,n/a,n/a,2022,3041,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001202259101051,10.254442,3.699140787124634,2.5708644,296.55,822.0828,1182.8706,Domestic - Single,99.9942,n/a
WOS:000626474500006,10.1038/s41562-021-01079-8,MEDLINE:33686204,A global panel database of pandemic policies (Oxford COVID-19 Government Response Tracker),"Hale, Thomas; Angrist, Noam; Goldszmidt, Rafael; Kira, Beatriz; Petherick, Anna; Phillips, Toby; Webster, Samuel; Cameron-Blake, Emily; Hallas, Laura; Majumdar, Saptarshi; Tatlow, Helen",NATURE HUMAN BEHAVIOUR,0402 Psychology; 1001 Basic Medicine,Article,5,4,529-+,2021,2836,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000626474500006,109.213115,11.236043930053711,13.251423,25.97,252.402,214.0148,International - Bilateral,99.9986,24.252
WOS:001207696406002,n/a,n/a,Supervised Contrastive Learning,"Khosla, Prannay; Teterwak, Piotr; Wang, Chen; Sarna, Aaron; Tian, Yonglong; Isola, Phillip; Maschinot, Aaron; Liu, Ce; Krishnan, Dilip","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 33, NEURIPS 2020",1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology,Proceedings Paper,33,n/a,n/a,2020,2645,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001207696406002,35.714844,4.008923053741455,4.888143,74.06,659.7782,541.1053,Domestic - Multiple,99.9946,n/a
WOS:000521887400001,10.1007/s11469-020-00270-8,MEDLINE:32226353,The Fear of COVID-19 Scale: Development and Initial Validation,"Ahorsu, Daniel Kwasi; Lin, Chung-Ying; Imani, Vida; Saffari, Mohsen; Griffiths, Mark D.; Pakpour, Amir H.",INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,0402 Psychology; 1004 Public Health and Preventive Medicine; 1002 Clinical Medicine,Article,20,3,1537-1545,2020,2458,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000521887400001,43.826255,15.255196571350098,33.996864,56.09,161.1254,72.3008,International - Quadrilateral +,99.9957,3.836
WOS:000552133600011,10.1016/j.cedpsych.2020.101860,n/a,"Intrinsic and extrinsic motivation from a self-determination theory perspective: Definitions, theory, practices, and future directions","Ryan, Richard M.; Deci, Edward L.",CONTEMPORARY EDUCATIONAL PSYCHOLOGY,0402 Psychology,Article,61,n/a,n/a,2020,2384,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000552133600011,90.454545,15.255196571350098,18.603436,26.36,156.2746,128.1484,International - Bilateral,99.9942,4.277
WOS:001207696407010,n/a,n/a,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,"Baevski, Alexei; Zhou, Henry; Mohamed, Abdelrahman; Auli, Michael","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 33, NEURIPS 2020",1001 Basic Medicine; 0812 Computer Science and Technology; 0402 Psychology,Proceedings Paper,33,n/a,n/a,2020,2383,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001207696407010,35.714844,4.008923053741455,2.7210987,66.72,594.424,875.7492,Domestic - Single,99.992,n/a
WOS:001207690607001,n/a,n/a,Unsupervised Learning of Visual Features by Contrasting Cluster Assignments,"Caron, Mathilde; Misra, Ishan; Mairal, Julien; Goyal, Priya; Bojanowski, Piotr; Joulin, Armand","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 33, NEURIPS 2020",1001 Basic Medicine; 0812 Computer Science and Technology; 0402 Psychology,Proceedings Paper,33,n/a,n/a,2020,2009,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001207690607001,35.714844,4.008923053741455,5.8360157,56.25,501.1321,344.2417,International - Bilateral,99.9893,n/a
WOS:000648816500001,10.1038/s41562-021-01122-8,MEDLINE:33972767,A global database of COVID-19 vaccinations,"Mathieu, Edouard; Ritchie, Hannah; Ortiz-Ospina, Esteban; Roser, Max; Hasell, Joe; Appel, Cameron; Giattino, Charlie; Rodes-Guirao, Lucas",NATURE HUMAN BEHAVIOUR,0402 Psychology; 1001 Basic Medicine,Article,5,7,947-953,2021,1998,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000648816500001,109.213115,11.236043930053711,11.051378,18.29,177.8206,180.7919,Domestic - Multiple,99.9973,24.252
WOS:001207690604072,n/a,n/a,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Lewis, Patrick; Perez, Ethan; Piktus, Aleksandra; Petroni, Fabio; Karpukhin, Vladimir; Goyal, Naman; Kuttler, Heinrich; Lewis, Mike; Yih, Wen-tau; Rocktaschel, Tim; Riedel, Sebastian; Kiela, Douwe","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 33, NEURIPS 2020",1001 Basic Medicine; 0812 Computer Science and Technology; 0402 Psychology,Proceedings Paper,33,n/a,n/a,2020,1892,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001207690604072,35.714844,4.008923053741455,5.8360157,52.98,471.9472,324.1938,International - Bilateral,99.9866,n/a
