入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000540897900016,n/a,n/a,Billionaire Wilderness: The Ultra-Wealthy and the Remaking of the American West,"Farrell, J",BILLIONAIRE WILDERNESS: THE ULTRA-WEALTHY AND THE REMAKING OF THE AMERICAN WEST,0502 Foreign Language and Literature; 1004 Public Health and Preventive Medicine; 0401 Education; 0301 Law; 0101 Philosophy; 0503 Journalism and Communication; 0303 Sociology; 0830 Environmental Science and Engineering; 0705 Geography; 0603 World History; 0302 Political Science,Book,n/a,n/a,1-376,2020,76,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540897900016,33.25,3.294642925262451,0.0,2.29,23.0678,0.0,n/a,99.7768,n/a
WOS:000680276500008,="10.1017/9781108757119",n/a,Constituent Power: A History,"Rubinelli, L",CONSTITUENT POWER: A HISTORY,0502 Foreign Language and Literature; 0101 Philosophy; 0301 Law; 0303 Sociology; 0603 World History; 0302 Political Science,Book,n/a,n/a,1-255,2020,71,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000680276500008,23.125,3.294642925262451,0.0,3.07,21.5501,0.0,n/a,99.5536,n/a
WOS:001126160900057,10.6018/analesff.572441,n/a,The political ethos on Twitter: four French and Spanish cases,"Rodriguez, Maria Loreto Canton; Villanueva, Antonia Sanchez",ANALES DE FILOLOGIA FRANCESA,0502 Foreign Language and Literature,Article,n/a,31,771-786,2023,66,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001126160900057,1.079365,0.17107820510864258,0.18013504,61.15,385.7885,366.3918,Domestic - Single,99.9851,0.1
WOS:000529445200012,n/a,n/a,Inside the Critics' Circle: Book Reviewing in Uncertain Times,"Chong, PK",INSIDE THE CRITICS' CIRCLE: BOOK REVIEWING IN UNCERTAIN TIMES,0502 Foreign Language and Literature; 1004 Public Health and Preventive Medicine; 0503 Journalism and Communication; 0101 Philosophy; 0705 Geography; 0830 Environmental Science and Engineering; 0303 Sociology; 0401 Education; 0301 Law; 0603 World History; 0302 Political Science,Book,n/a,n/a,1-178,2020,57,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000529445200012,33.25,3.294642925262451,0.0,1.71,17.3008,0.0,n/a,99.3304,n/a
WOS:001289871200008,10.2979/RAL.2009.40.4.89,n/a,The African Oceans-Tracing the Sea as Memory of Slavery in South African Literature and Culture,"Baderoon, Gabeba",RESEARCH IN AFRICAN LITERATURES,0502 Foreign Language and Literature,Article,54,3,n/a,2024,48,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001289871200008,2.365854,0.054054055362939835,0.06428388,20.29,888.0,746.688,Domestic - Single,99.9825,0.3
WOS:000618499400001,10.1177/2336825X20984340,n/a,Belarus' new political nation? 2020 anti-authoritarian protests as identity building,"Kazharski, Aliaksei",NEW PERSPECTIVES,0502 Foreign Language and Literature; 0603 World History; 1303 Drama Film and Television; 0101 Philosophy; 0302 Political Science; 0303 Sociology; 0705 Geography; 1204 Public Administration,Article,29,1,69-79,2021,36,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000618499400001,4.892857,0.40401220321655273,0.814433,7.36,89.1062,44.2025,International - Bilateral,99.9873,n/a
WOS:000533603200001,10.1353/arq.2020.0009,n/a,Introduction: Autotheory Theory,"Wiegman, Robyn",ARIZONA QUARTERLY,0502 Foreign Language and Literature,Editorial Material,76,1,1-14,2020,35,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000533603200001,35.0,0.28625473380088806,0.33639145,1.0,122.2687,104.0455,Domestic - Single,99.8739,n/a
WOS:000835187900007,10.1007/978-3-030-35154-0,n/a,Forest and the EcoGothic: The Deep Dark Woods in the Popular Imagination,"Parker, E",FOREST AND THE ECOGOTHIC: THE DEEP DARK WOODS IN THE POPULAR IMAGINATION,0502 Foreign Language and Literature; 1303 Drama Film and Television; 1202 Business Administration; 0303 Sociology; 0603 World History,Book,n/a,n/a,1-308,2020,35,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000835187900007,35.0,3.294642925262451,0.0,1.0,10.6233,0.0,n/a,99.1071,n/a
WOS:000797900900001,n/a,n/a,Global health humanities and the rise of creative public health INTRODUCTION,"Crawford, Paul",ROUTLEDGE COMPANION TO HEALTH HUMANITIES,0502 Foreign Language and Literature; 0303 Sociology; 0603 World History,Book Chapter,n/a,n/a,1-7,2020,33,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000797900900001,18.0,0.3556059002876282,0.36875,1.83,92.7994,89.4915,Domestic - Single,99.8868,n/a
WOS:000661630500011,="10.7765/9781526140470",n/a,"Catholic Nuns and Sisters in a Secular Age: Britain, 1945-90","Mangion, CM","CATHOLIC NUNS AND SISTERS IN A SECULAR AGE: BRITAIN, 1945-90",0502 Foreign Language and Literature; 0101 Philosophy; 0303 Sociology; 0301 Law; 0603 World History; 1202 Business Administration; 0833 Urban and Rural Planning; 0304 Ethnology; 0302 Political Science,Book,n/a,n/a,1-327,2020,32,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000661630500011,14.5,3.294642925262451,0.0,2.21,9.7127,0.0,n/a,98.8839,n/a
