入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000705896500010,="10.1117/12.2588672",n/a,Diagnosing COVID-19 Pneumonia from X-Ray and CT Images using Deep Learning and Transfer Learning Algorithms,"Maghdid, Halgurd S.; Asaad, Aras T.; Ghafoor, Kayhan Zrar; Sadiq, Ali Safaa; Mirjalili, Seyedali; Khan, Muhammad Khurram",MULTIMODAL IMAGE EXPLOITATION AND LEARNING 2021,0820 Oil and Natural Gas Engineering; 0817 Chemical Engineering and Technology; 0806 Metallurgical Engineering; 0801 Mechanics; 0832 Food Science and Engineering; 0828 Agricultural Engineering; 1007 Pharmaceutical Science; 0819 Mining Engineering; 0815 Hydraulic Engineering; 0824 Naval Architecture and Ocean Engineering; 0713 Ecology; 0807 Power Engineering and Engineering Thermophysics; 0827 Nuclear Science and Technology; 0903 Agricultural Resource and Environment Sciences; 0905 Animal Science; 1400 Cross-field; 0704 Astronomy; 1003 Stomatology; 0822 Light Industry Technology and Engineering; 0802 Mechanical Engineering; 0601 Archaeology; 0830 Environmental Science and Engineering; 0709 Geology; 0906 Veterinary Medicine; 0706 Atmospheric Science; 0707 Marine Science; 0907 Forestry; 0901 Crop Science; 1201 Management Science and Engineering; 0810 Information and Communication Engineering; 0401 Education; 0814 Civil Engineering; 0805 Materials Science and Engineering; 0811 Control Science and Engineering; 0836 Biotechnology and Bioengineering; 0823 Transportation Engineering; 0833 Urban and Rural Planning; 0825 Aerospace Science and Technology; 1002 Clinical Medicine; 0703 Chemistry; 0804 Instrumentation Science and Technology; 1202 Business Administration; 0831 Biomedical Engineering; 0705 Geography; 0813 Architecture; 1204 Public Administration; 1004 Public Health and Preventive Medicine; 1010 Medical Technology; 1205 Library and Information Science & Archive Management; 0708 Geophysics; 0301 Law; 1009 Special Medicine; 0714 Statistics; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,11734,n/a,n/a,2021,225,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000705896500010,1.112331,1.120164155960083,6.6862745,202.28,200.8634,33.651,International - Quadrilateral +,99.9902,n/a
WOS:000600667400007,10.1016/j.culher.2020.05.008,n/a,Review of built heritage modelling: Integration of HBIM and other information techniques,"Yang, Xiucheng; Grussenmeyer, Pierre; Koehl, Mathieu; Macher, Helene; Murtiyoso, Arnadi; Landes, Tania",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Review,46,n/a,350-360,2020,155,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000600667400007,37.833333,12.885416984558105,16.727272,4.1,12.0291,9.2663,Domestic - Multiple,98.9583,2.955
WOS:000589893200001,="10.1117/12.2561610",n/a,Machine Learning for Structural Health Monitoring: Challenges and Opportunities,"Yuan, Fuh-Gwo; Zargar, Sakib Ashraf; Chen, Qiuyi; Wang, Shaohan","SENSORS AND SMART STRUCTURES TECHNOLOGIES FOR CIVIL, MECHANICAL, AND AEROSPACE SYSTEMS 2020",0806 Metallurgical Engineering; 0801 Mechanics; 0832 Food Science and Engineering; 0706 Atmospheric Science; 0827 Nuclear Science and Technology; 0819 Mining Engineering; 1007 Pharmaceutical Science; 0807 Power Engineering and Engineering Thermophysics; 1400 Cross-field; 0713 Ecology; 0707 Marine Science; 1003 Stomatology; 0901 Crop Science; 0907 Forestry; 0903 Agricultural Resource and Environment Sciences; 0905 Animal Science; 0828 Agricultural Engineering; 0815 Hydraulic Engineering; 0601 Archaeology; 0822 Light Industry Technology and Engineering; 0817 Chemical Engineering and Technology; 0704 Astronomy; 0824 Naval Architecture and Ocean Engineering; 0709 Geology; 0906 Veterinary Medicine; 0805 Materials Science and Engineering; 0703 Chemistry; 0830 Environmental Science and Engineering; 0708 Geophysics; 0820 Oil and Natural Gas Engineering; 0825 Aerospace Science and Technology; 0705 Geography; 0814 Civil Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1201 Management Science and Engineering; 0813 Architecture; 1004 Public Health and Preventive Medicine; 0401 Education; 0833 Urban and Rural Planning; 1202 Business Administration; 0823 Transportation Engineering; 0804 Instrumentation Science and Technology; 0802 Mechanical Engineering; 0301 Law; 1204 Public Administration; 1205 Library and Information Science & Archive Management; 0831 Biomedical Engineering; 0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 0714 Statistics; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0702 Physics; 0701 Mathematics; 0835 Software Engineering; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,11379,n/a,n/a,2020,152,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000589893200001,1.523506,1.6179404258728027,1.4367914,99.77,93.9466,105.7913,Domestic - Single,99.9938,n/a
WOS:000756018000001,10.1016/j.culher.2020.09.005,n/a,Machine learning techniques for structural health monitoring of heritage buildings: A state-of-the-art review and case studies,"Mishra, Mayank",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Review,47,n/a,227-245,2021,150,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000756018000001,31.533333,14.373737335205078,19.742857,4.76,10.4357,7.5977,Domestic - Single,98.9899,3.229
WOS:000537932200003,10.1038/s41586-020-2343-4,MEDLINE:32494009,Monumental architecture at Aguada Fenix and the rise of Maya civilization,"Inomata, Takeshi; Triadan, Daniela; Vazquez Lopez, Veronica A.; Fernandez-Diaz, Juan Carlos; Omori, Takayuki; Mendez Bauer, Maria Belen; Garcia Hernandez, Melina; Beach, Timothy; Cagnato, Clarissa; Aoyama, Kazuo; Nasu, Hiroo",NATURE,0601 Archaeology,Article,582,7813,530-+,2020,148,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537932200003,277.07567,4.267679691314697,14.352632,0.53,34.6793,10.3117,International - Quadrilateral +,99.9878,49.962
WOS:000646359100112,10.1088/1757-899X/971/3/032011,n/a,A review of carbon fiber materials in automotive industry,"Ahmad, H.; Markina, A. A.; Porotnikov, M., V; Ahmad, F.",INTERNATIONAL CONFERENCE ON MODERN TRENDS IN MANUFACTURING TECHNOLOGIES AND EQUIPMENT (ICMTMTE) 2020,0818 Geological Resources and Geological Engineering; 0832 Food Science and Engineering; 0819 Mining Engineering; 1007 Pharmaceutical Science; 0801 Mechanics; 0806 Metallurgical Engineering; 0827 Nuclear Science and Technology; 0828 Agricultural Engineering; 0807 Power Engineering and Engineering Thermophysics; 0817 Chemical Engineering and Technology; 1400 Cross-field; 0601 Archaeology; 0824 Naval Architecture and Ocean Engineering; 0822 Light Industry Technology and Engineering; 0830 Environmental Science and Engineering; 0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering; 0403 Physical Education and Sport Science; 0703 Chemistry; 0825 Aerospace Science and Technology; 0814 Civil Engineering; 0836 Biotechnology and Bioengineering; 1201 Management Science and Engineering; 0813 Architecture; 0821 Textile Science and Engineering; 0401 Education; 0833 Urban and Rural Planning; 1202 Business Administration; 0823 Transportation Engineering; 0802 Mechanical Engineering; 0804 Instrumentation Science and Technology; 0831 Biomedical Engineering; 0810 Information and Communication Engineering; 0811 Control Science and Engineering; 0812 Computer Science and Technology; 0702 Physics; 0701 Mathematics; 0835 Software Engineering; 0816 Surveying and Mapping,Proceedings Paper,971,n/a,n/a,2020,138,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000646359100112,1.793724,1.6179404258728027,2.2703016,76.93,85.2936,60.7849,International - Bilateral,99.9875,n/a
WOS:000878070100002,10.1002/9781119507444.ch1,n/a,Large Igneous Province Record Through Time and Implications for Secular Environmental Changes and Geological Time-Scale Boundaries,"Ernst, Richard E.; Bond, David P. G.; Zhang, Shuan-Hong; Buchan, Kenneth L.; Grasby, Stephen E.; Youbi, Nasrrddine; El Bilali, Hafida; Bekker, Andrey; Doucet, Luc S.",LARGE IGNEOUS PROVINCES,0601 Archaeology; 0709 Geology; 0827 Nuclear Science and Technology; 0401 Education; 0701 Mathematics; 0705 Geography; 0707 Marine Science; 0303 Sociology; 0818 Geological Resources and Geological Engineering; 0708 Geophysics; 0903 Agricultural Resource and Environment Sciences; 0815 Hydraulic Engineering; 0713 Ecology; 0704 Astronomy; 0706 Atmospheric Science; 0833 Urban and Rural Planning; 0710 Biology; 0702 Physics; 0816 Surveying and Mapping; 1201 Management Science and Engineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering,Article,255,n/a,3-26,2021,128,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000878070100002,8.099448,3.333460807800293,9.480851,15.8,38.3985,13.5009,International - Quadrilateral +,99.9873,n/a
WOS:000672800200093,="10.1117/12.2582338",n/a,DC-UNet: Rethinking the U-Net Architecture with Dual Channel Efficient CNN for Medical Images Segmentation,"Lou, Ange; Guan, Shuyue; Loew, Murray",MEDICAL IMAGING 2021: IMAGE PROCESSING,0801 Mechanics; 0817 Chemical Engineering and Technology; 0806 Metallurgical Engineering; 0832 Food Science and Engineering; 0828 Agricultural Engineering; 1007 Pharmaceutical Science; 0819 Mining Engineering; 0815 Hydraulic Engineering; 0824 Naval Architecture and Ocean Engineering; 0713 Ecology; 0807 Power Engineering and Engineering Thermophysics; 0827 Nuclear Science and Technology; 0903 Agricultural Resource and Environment Sciences; 0905 Animal Science; 1400 Cross-field; 0704 Astronomy; 0709 Geology; 0706 Atmospheric Science; 1003 Stomatology; 0707 Marine Science; 0907 Forestry; 0901 Crop Science; 0822 Light Industry Technology and Engineering; 0601 Archaeology; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering; 0906 Veterinary Medicine; 0805 Materials Science and Engineering; 1201 Management Science and Engineering; 0825 Aerospace Science and Technology; 0814 Civil Engineering; 1002 Clinical Medicine; 0401 Education; 0705 Geography; 0802 Mechanical Engineering; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0703 Chemistry; 0813 Architecture; 0708 Geophysics; 0810 Information and Communication Engineering; 1004 Public Health and Preventive Medicine; 1204 Public Administration; 0823 Transportation Engineering; 0301 Law; 1205 Library and Information Science & Archive Management; 0804 Instrumentation Science and Technology; 0811 Control Science and Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0714 Statistics; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping,Proceedings Paper,11596,n/a,n/a,2021,119,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000672800200093,1.112331,1.120164155960083,0.93250406,106.98,106.2344,127.6134,Domestic - Single,99.9805,n/a
WOS:000780857000144,n/a,n/a,Interpersonal Exchange Model of Sexual Satisfaction Questionnaire,"Lawrance, Kelli-An; Byers, E. Sandra; Cohen, Jacqueline N.","HANDBOOK OF SEXUALITY-RELATED MEASURES, 4TH EDITION",0603 World History; 0601 Archaeology; 0813 Architecture; 1303 Drama Film and Television; 0301 Law; 0101 Philosophy; 0302 Political Science; 0401 Education; 0303 Sociology; 0705 Geography; 1203 Economics and Management of Agriculture and Forestry; 0503 Journalism and Communication; 1204 Public Administration; 0833 Urban and Rural Planning; 0713 Ecology; 1004 Public Health and Preventive Medicine; 0814 Civil Engineering; 1205 Library and Information Science & Archive Management; 1202 Business Administration; 0823 Transportation Engineering; 1201 Management Science and Engineering; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering,Article,n/a,n/a,497-503,2020,110,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000780857000144,1.229412,4.267679691314697,4.9765425,89.47,25.7751,22.1037,Domestic - Multiple,99.9755,n/a
WOS:000547429900001,10.1016/j.culher.2019.12.004,n/a,3D reconstruction and validation of historical background for immersive VR applications and games: The case study of the Forum of Augustus in Rome,"Ferdani, Daniele; Fanini, Bruno; Piccioli, Maria Claudia; Carboni, Fabiana; Vigliarolo, Paolo",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,43,n/a,129-143,2020,106,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000547429900001,15.888889,4.267679691314697,4.9765425,6.67,24.8379,21.2999,Domestic - Multiple,99.9632,2.955
