入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000641162100002,10.1109/TNNLS.2020.2978386,MEDLINE:32217482,A Comprehensive Survey on Graph Neural Networks,"Wu, Zonghan; Pan, Shirui; Chen, Fengwen; Long, Guodong; Zhang, Chengqi; Yu, Philip S.",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0812 Computer Science and Technology; 0711 Systems Science,Article,32,1,4-24,2021,6602,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000641162100002,48.921316,19.036151885986328,23.84963,134.95,346.8138,276.8177,International - Bilateral,99.9961,14.255
WOS:000732303200001,10.1109/TNNLS.2021.3084827,MEDLINE:34111009,"A Survey of Convolutional Neural Networks: Analysis, Applications, and Prospects","Li, Zewen; Liu, Fan; Yang, Wenjie; Peng, Shouheng; Zhou, Jun",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0812 Computer Science and Technology; 0711 Systems Science,Article,33,12,6999-7019,2021,2430,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000732303200001,48.921316,19.036151885986328,23.84963,49.67,127.6518,101.8884,International - Bilateral,99.9922,14.255
WOS:000564291100022,10.1109/TITS.2019.2935152,n/a,T-GCN: A Temporal Graph Convolutional Network for Traffic Prediction,"Zhao, Ling; Song, Yujiao; Zhang, Chao; Liu, Yu; Wang, Pu; Lin, Tao; Deng, Min; Li, Haifeng",IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,0814 Civil Engineering; 0808 Electrical Engineering; 0711 Systems Science; 0809 Electronic Science and Technology; 0823 Transportation Engineering,Article,21,9,3848-3858,2020,1971,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564291100022,51.887828,20.42662811279297,25.928139,37.99,96.4917,76.0178,International - Bilateral,99.9949,6.492
WOS:000611065800001,10.3390/e23010018,MEDLINE:33375658,Explainable AI: A Review of Machine Learning Interpretability Methods,"Linardatos, Pantelis; Papastefanopoulos, Vasilis; Kotsiantis, Sotiris",ENTROPY,0702 Physics; 0711 Systems Science,Review,23,1,n/a,2021,1524,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000611065800001,56.708333,54.725608825683594,59.29524,26.87,27.848,25.7019,Domestic - Single,99.6951,2.738
WOS:000733458000001,10.1109/TNNLS.2021.3070843,MEDLINE:33900922,"A Survey on Knowledge Graphs: Representation, Acquisition, and Applications","Ji, Shaoxiong; Pan, Shirui; Cambria, Erik; Marttinen, Pekka; Yu, Philip S.",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0711 Systems Science; 0812 Computer Science and Technology,Article,33,2,494-514,2021,1470,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000733458000001,48.921316,19.036151885986328,35.786827,30.05,77.2215,41.0766,International - Quadrilateral +,99.9884,14.255
WOS:000732410600001,10.1109/TITS.2021.3054625,n/a,Deep Reinforcement Learning for Autonomous Driving: A Survey,"Kiran, B. Ravi; Sobh, Ibrahim; Talpaert, Victor; Mannion, Patrick; Al Sallab, Ahmad A.; Yogamani, Senthil; Perez, Patrick",IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,0814 Civil Engineering; 0808 Electrical Engineering; 0823 Transportation Engineering; 0809 Electronic Science and Technology; 0711 Systems Science,Article,23,6,4909-4926,2021,1205,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000732410600001,38.204923,19.036151885986328,24.781885,31.54,63.3006,48.6242,International - Trilateral,99.9845,9.551
WOS:000711638200007,10.1109/TNNLS.2020.3027314,MEDLINE:33079674,A Survey on Explainable Artificial Intelligence (XAI): Toward Medical XAI,"Tjoa, Erico; Guan, Cuntai",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0711 Systems Science; 0812 Computer Science and Technology,Article,32,11,4793-4813,2021,1093,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000711638200007,48.921316,19.036151885986328,23.84963,22.34,57.4171,45.8288,International - Bilateral,99.9806,14.255
WOS:000566342500021,10.1109/TNNLS.2019.2944481,MEDLINE:31689214,Robust and Communication-Efficient Federated Learning From Non-i.i.d. Data,"Sattler, Felix; Wiedemann, Simon; Mueller, Klaus-Robert; Samek, Wojciech",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0711 Systems Science; 0812 Computer Science and Technology,Article,31,9,3400-3413,2020,1075,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000566342500021,55.986871,20.42662811279297,25.928139,19.2,52.6274,41.4607,International - Bilateral,99.9898,10.451
WOS:000616310400012,10.1109/TNNLS.2020.2979670,MEDLINE:32324570,A Survey of the Usages of Deep Learning for Natural Language Processing,"Otter, Daniel W.; Medina, Julian R.; Kalita, Jugal K.",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0812 Computer Science and Technology; 0711 Systems Science,Article,32,2,604-624,2021,1055,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000616310400012,48.921316,19.036151885986328,14.809368,21.57,55.4209,71.2387,Domestic - Single,99.9767,14.255
WOS:000710711600004,10.1016/j.jmsy.2021.10.006,n/a,"Industry 4.0 and Industry 5.0-Inception, conception and perception","Xu, Xun; Lu, Yuqian; Vogel-Heuser, Birgit; Wang, Lihui",JOURNAL OF MANUFACTURING SYSTEMS,1201 Management Science and Engineering; 0711 Systems Science,Article,61,n/a,530-535,2021,992,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000710711600004,50.982379,19.036151885986328,24.781885,19.46,52.1114,40.0292,International - Trilateral,99.9729,9.498
