入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000724139600027,10.1007/978-3-030-65965-3_28,n/a,"Interpretable Machine Learning - A Brief History, State-of-the-Art and Challenges","Molnar, Christoph; Casalicchio, Giuseppe; Bischl, Bernd",ECML PKDD 2020 WORKSHOPS,1201 Management Science and Engineering; 0820 Oil and Natural Gas Engineering; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0401 Education; 0830 Environmental Science and Engineering; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0813 Architecture; 0705 Geography; 0303 Sociology; 1204 Public Administration; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1205 Library and Information Science & Archive Management; 0811 Control Science and Engineering; 0503 Journalism and Communication; 1302 Music and Dance; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping; 0809 Electronic Science and Technology,Proceedings Paper,1323,n/a,417-431,2020,1108,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000724139600027,3.026936,2.535153865814209,2.214688,366.05,437.0543,500.2962,Domestic - Single,99.9986,n/a
WOS:000624705200001,10.3390/s21041109,MEDLINE:33562639,A Review on Biosensors and Recent Development of Nanostructured Materials-Enabled Biosensors,"Naresh, Varnakavi; Lee, Nohyun",SENSORS,0703 Chemistry; 0804 Instrumentation Science and Technology,Review,21,4,n/a,2021,996,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000624705200001,47.942056,33.513771057128906,29.813953,20.78,29.7191,33.4072,Domestic - Single,99.9438,3.847
WOS:000611566100037,10.1007/978-3-030-37734-2_37,n/a,Kvasir-SEG: A Segmented Polyp Dataset,"Jha, Debesh; Smedsrud, Pia H.; Riegler, Michael A.; Halvorsen, Pal; de Lange, Thomas; Johansen, Dag; Johansen, Havard D.","MULTIMEDIA MODELING (MMM 2020), PT II",0805 Materials Science and Engineering; 1004 Public Health and Preventive Medicine; 0703 Chemistry; 0708 Geophysics; 1201 Management Science and Engineering; 0401 Education; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 0810 Information and Communication Engineering; 1202 Business Administration; 0712 History of Science and Technology; 0301 Law; 0833 Urban and Rural Planning; 1010 Medical Technology; 0813 Architecture; 0705 Geography; 0831 Biomedical Engineering; 0303 Sociology; 0811 Control Science and Engineering; 1204 Public Administration; 0302 Political Science; 1009 Special Medicine; 1205 Library and Information Science & Archive Management; 0101 Philosophy; 0603 World History; 0714 Statistics; 0503 Journalism and Communication; 1302 Music and Dance; 1001 Basic Medicine; 0702 Physics; 0402 Psychology; 0835 Software Engineering; 0812 Computer Science and Technology; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,11962,n/a,451-462,2020,955,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000611566100037,5.166721,2.535153865814209,2.3096735,184.84,376.703,413.4784,Domestic - Multiple,99.9971,n/a
WOS:000904116000001,10.1007/978-3-031-20047-2_1,n/a,ByteTrack: Multi-object Tracking by Associating Every Detection Box,"Zhang, Yifu; Sun, Peize; Jiang, Yi; Yu, Dongdong; Weng, Fucheng; Yuan, Zehuan; Luo, Ping; Liu, Wenyu; Wang, Xinggang","COMPUTER VISION, ECCV 2022, PT XXII",0814 Civil Engineering; 0805 Materials Science and Engineering; 0804 Instrumentation Science and Technology; 0833 Urban and Rural Planning; 0836 Biotechnology and Bioengineering; 1002 Clinical Medicine; 0705 Geography; 0301 Law; 0825 Aerospace Science and Technology; 0810 Information and Communication Engineering; 0813 Architecture; 0811 Control Science and Engineering; 0703 Chemistry; 0708 Geophysics; 0303 Sociology; 1201 Management Science and Engineering; 0831 Biomedical Engineering; 0401 Education; 1302 Music and Dance; 0823 Transportation Engineering; 0302 Political Science; 0712 History of Science and Technology; 1202 Business Administration; 0101 Philosophy; 1205 Library and Information Science & Archive Management; 0603 World History; 1204 Public Administration; 1010 Medical Technology; 1009 Special Medicine; 1004 Public Health and Preventive Medicine; 0503 Journalism and Communication; 0714 Statistics; 0835 Software Engineering; 0702 Physics; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,13682,n/a,1-21,2022,898,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000904116000001,5.407521,3.1179065704345703,3.3088841,166.07,288.0138,271.3906,Domestic - Multiple,99.9972,n/a
WOS:000712019600002,10.1007/978-3-030-87193-2_2,n/a,TransFuse: Fusing Transformers and CNNs for Medical Image Segmentation,"Zhang, Yundong; Liu, Huiye; Hu, Qiang","MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2021, PT I",0811 Control Science and Engineering; 0810 Information and Communication Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0804 Instrumentation Science and Technology; 0823 Transportation Engineering; 0814 Civil Engineering; 0805 Materials Science and Engineering; 1202 Business Administration; 0836 Biotechnology and Bioengineering; 1002 Clinical Medicine; 0833 Urban and Rural Planning; 0825 Aerospace Science and Technology; 0705 Geography; 0703 Chemistry; 1204 Public Administration; 1010 Medical Technology; 1004 Public Health and Preventive Medicine; 1205 Library and Information Science & Archive Management; 0708 Geophysics; 0813 Architecture; 1009 Special Medicine; 0303 Sociology; 0301 Law; 0712 History of Science and Technology; 0503 Journalism and Communication; 0302 Political Science; 1302 Music and Dance; 0101 Philosophy; 0603 World History; 1001 Basic Medicine; 0402 Psychology; 0702 Physics; 0835 Software Engineering; 0714 Statistics; 0812 Computer Science and Technology; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping,Proceedings Paper,12901,n/a,14-24,2021,839,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000712019600002,4.748663,2.7585866451263428,4.3051357,176.68,304.1413,194.8835,International - Bilateral,99.9974,n/a
WOS:001250139804219,10.1109/IGARSS47720.2021.9553499,n/a,Global land use / land cover with Sentinel 2 and deep learning,"Karra, Krishna; Kontgis, Caitlin; Statman-Weil, Zoe; Mazzariello, Joseph C.; Mathis, Mark; Brumby, Steven P.",2021 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS,0830 Environmental Science and Engineering; 0804 Instrumentation Science and Technology; 0709 Geology; 0706 Atmospheric Science; 0707 Marine Science; 0907 Forestry; 0705 Geography; 0901 Crop Science; 0708 Geophysics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,4704-4707,2021,832,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001250139804219,1.380864,2.7585866451263428,2.205916,602.52,301.6037,377.1676,Domestic - Single,99.9948,n/a
WOS:000878434800022,10.1007/978-3-031-08999-2_22,n/a,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in MRI Images,"Hatamizadeh, Ali; Nath, Vishwesh; Tang, Yucheng; Yang, Dong; Roth, Holger R.; Xu, Daguang","BRAINLESION: GLIOMA, MULTIPLE SCLEROSIS, STROKE AND TRAUMATIC BRAIN INJURIES, BRAINLES 2021, PT I",0810 Information and Communication Engineering; 0814 Civil Engineering; 0811 Control Science and Engineering; 0805 Materials Science and Engineering; 0804 Instrumentation Science and Technology; 0833 Urban and Rural Planning; 0836 Biotechnology and Bioengineering; 0705 Geography; 0301 Law; 1002 Clinical Medicine; 0825 Aerospace Science and Technology; 0813 Architecture; 1201 Management Science and Engineering; 0703 Chemistry; 0708 Geophysics; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 0303 Sociology; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 1010 Medical Technology; 1204 Public Administration; 1302 Music and Dance; 0302 Political Science; 1009 Special Medicine; 0712 History of Science and Technology; 1004 Public Health and Preventive Medicine; 0101 Philosophy; 0603 World History; 0714 Statistics; 0503 Journalism and Communication; 1001 Basic Medicine; 0812 Computer Science and Technology; 0402 Psychology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,12962,n/a,272-284,2022,801,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000878434800022,5.407521,3.1179065704345703,3.3088841,148.13,256.9031,242.0756,Domestic - Multiple,99.9944,n/a
WOS:000521164300008,10.1109/TIM.2019.2915404,n/a,An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features,"He, Yu; Song, Kechen; Meng, Qinggang; Yan, Yunhui",IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0804 Instrumentation Science and Technology; 0809 Electronic Science and Technology; 0808 Electrical Engineering,Article,69,4,1493-1504,2020,790,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000521164300008,29.661376,16.12346839904785,18.573414,26.63,48.9969,42.5339,International - Bilateral,99.9969,4.016
WOS:000903572500041,10.1007/978-3-031-19827-4_41,n/a,Visual Prompt Tuning,"Jia, Menglin; Tang, Luming; Chen, Bor-Chun; Cardie, Claire; Belongie, Serge; Hariharan, Bharath; Lim, Ser-Nam","COMPUTER VISION - ECCV 2022, PT XXXIII",0810 Information and Communication Engineering; 0811 Control Science and Engineering; 0814 Civil Engineering; 0805 Materials Science and Engineering; 0804 Instrumentation Science and Technology; 0833 Urban and Rural Planning; 1201 Management Science and Engineering; 0836 Biotechnology and Bioengineering; 0705 Geography; 0301 Law; 1002 Clinical Medicine; 0831 Biomedical Engineering; 0401 Education; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 0813 Architecture; 0703 Chemistry; 0708 Geophysics; 1202 Business Administration; 0303 Sociology; 1205 Library and Information Science & Archive Management; 1010 Medical Technology; 1204 Public Administration; 1009 Special Medicine; 1004 Public Health and Preventive Medicine; 1302 Music and Dance; 0302 Political Science; 0712 History of Science and Technology; 0714 Statistics; 0101 Philosophy; 0603 World History; 0503 Journalism and Communication; 1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,13693,n/a,709-727,2022,756,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000903572500041,5.407521,3.1179065704345703,4.3222876,139.81,242.4704,174.9074,International - Bilateral,99.9916,n/a
WOS:000712019600011,10.1007/978-3-030-87193-2_11,n/a,TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,"Wang, Wenxuan; Chen, Chen; Ding, Meng; Yu, Hong; Zha, Sen; Li, Jiangyun","MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2021, PT I",0811 Control Science and Engineering; 0810 Information and Communication Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 0814 Civil Engineering; 0805 Materials Science and Engineering; 1202 Business Administration; 0836 Biotechnology and Bioengineering; 0833 Urban and Rural Planning; 0825 Aerospace Science and Technology; 1002 Clinical Medicine; 0703 Chemistry; 1204 Public Administration; 1004 Public Health and Preventive Medicine; 1010 Medical Technology; 1205 Library and Information Science & Archive Management; 0813 Architecture; 1009 Special Medicine; 0804 Instrumentation Science and Technology; 0301 Law; 0303 Sociology; 0705 Geography; 0708 Geophysics; 0712 History of Science and Technology; 0503 Journalism and Communication; 0302 Political Science; 1302 Music and Dance; 0101 Philosophy; 0603 World History; 1001 Basic Medicine; 0402 Psychology; 0702 Physics; 0835 Software Engineering; 0714 Statistics; 0812 Computer Science and Technology; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping,Proceedings Paper,12901,n/a,109-119,2021,749,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000712019600011,4.748663,2.7585866451263428,4.3051357,157.73,271.5159,173.9783,International - Bilateral,99.9922,n/a
