入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:001207690601035,n/a,n/a,Language Models are Few-Shot Learners,"Brown, Tom B.; Mann, Benjamin; Ryder, Nick; Subbiah, Melanie; Kaplan, Jared; Dhariwal, Prafulla; Neelakantan, Arvind; Shyam, Pranav; Sastry, Girish; Askell, Amanda; Agarwal, Sandhini; Herbert-Voss, Ariel; Krueger, Gretchen; Henighan, Tom; Child, Rewon; Ramesh, Aditya; Ziegler, Daniel M.; Wu, Jeffrey; Winter, Clemens; Hesse, Christopher; Chen, Mark; Sigler, Eric; Litwin, Mateusz; Gray, Scott; Chess, Benjamin; Clark, Jack; Berner, Christopher; McCandlish, Sam; Radford, Alec; Sutskever, Ilya; Amodei, Dario","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 33, NEURIPS 2020",0812 Computer Science and Technology; 1001 Basic Medicine; 0402 Psychology,Proceedings Paper,33,n/a,n/a,2020,14542,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001207690601035,35.714844,6.1015496253967285,6.431702,407.17,2383.329,2260.9878,Domestic - Multiple,99.9993,n/a
WOS:000571285200009,10.1038/s41586-020-2649-2,MEDLINE:32939066,Array programming with NumPy,"Harris, Charles R.; Millman, K. Jarrod; van der Walt, Stefan J.; Gommers, Ralf; Virtanen, Pauli; Cournapeau, David; Wieser, Eric; Taylor, Julian; Berg, Sebastian; Smith, Nathaniel J.; Kern, Robert; Picus, Matti; Hoyer, Stephan; van Kerkwijk, Marten H.; Brett, Matthew; Haldane, Allan; del Rio, Jaime Fernandez; Wiebe, Mark; Peterson, Pearu; Gerard-Marchant, Pierre; Sheppard, Kevin; Reddy, Tyler; Weckesser, Warren; Abbasi, Hameer; Gohlke, Christoph; Oliphant, Travis E.",NATURE,0812 Computer Science and Technology,Review,585,7825,357-362,2020,14209,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000571285200009,1265.4,65.57683563232422,246.01163,11.23,216.6771,57.7574,International - Quadrilateral +,99.961,49.962
WOS:000768182704084,n/a,n/a,Learning Transferable Visual Models From Natural Language Supervision,"Radford, Alec; Kim, Jong Wook; Hallacy, Chris; Ramesh, Aditya; Goh, Gabriel; Agarwal, Sandhini; Sastry, Girish; Askell, Amanda; Mishkin, Pamela; Clark, Jack; Krueger, Gretchen; Sutskever, Ilya","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,n/a,2021,13448,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182704084,20.515497,6.201290130615234,6.8344917,655.5,2168.581,1967.6664,Domestic - Multiple,99.999,n/a
WOS:000585011100041,="10.1145/3422622",n/a,Generative Adversarial Networks,"Goodfellow, Ian; Pouget-Abadie, Jean; Mirza, Mehdi; Xu, Bing; Warde-Farley, David; Ozair, Sherjil; Courville, Aaron; Bengio, Yoshua",COMMUNICATIONS OF THE ACM,0812 Computer Science and Technology; 0835 Software Engineering,Article,63,11,139-144,2020,10753,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000585011100041,177.422535,20.98295021057129,25.778133,60.61,512.4637,417.1365,International - Bilateral,99.9991,4.654
WOS:000508386100011,10.1109/TPAMI.2018.2844175,n/a,Mask R-CNN,"He, Kaiming; Gkioxari, Georgia; Dollar, Piotr; Girshick, Ross",IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0812 Computer Science and Technology,Article,42,2,386-397,2020,9865,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508386100011,130.088889,20.98295021057129,17.145641,75.83,470.1436,575.3649,Domestic - Single,99.9981,16.389
WOS:000511807100003,10.1007/s11263-019-01228-7,n/a,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,"Selvaraju, Ramprasaath R.; Cogswell, Michael; Das, Abhishek; Vedantam, Ramakrishna; Parikh, Devi; Batra, Dhruv",INTERNATIONAL JOURNAL OF COMPUTER VISION,0812 Computer Science and Technology,Article,128,2,336-359,2020,8009,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511807100003,134.88535,20.98295021057129,18.976257,59.38,381.6908,422.0537,Domestic - Multiple,99.9972,7.41
WOS:000558791600001,n/a,n/a,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Raffel, Colin; Shazeer, Noam; Roberts, Adam; Lee, Katherine; Narang, Sharan; Matena, Michael; Zhou, Yanqi; Li, Wei; Liu, Peter J.",JOURNAL OF MACHINE LEARNING RESEARCH,0808 Electrical Engineering; 0812 Computer Science and Technology; 0811 Control Science and Engineering,Article,21,n/a,n/a,2020,7900,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000558791600001,59.65873,20.98295021057129,17.145641,132.42,376.4962,460.7585,Domestic - Single,99.9962,3.654
WOS:000870759103073,10.1109/CVPR52688.2022.01042,n/a,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Robin; Blattmann, Andreas; Lorenz, Dominik; Esser, Patrick; Ommer, Bjoern",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10674-10685,2022,6786,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759103073,62.704008,4.670600891113281,6.7239504,108.22,1452.918,1009.2281,International - Bilateral,99.999,n/a
WOS:000720461800009,10.1016/j.cpc.2021.108171,n/a,"LAMMPS-a flexible simulation tool for particle-based materials modeling at the atomic, meso, and continuum scales","Thompson, Aidan P.; Aktulga, H. Metin; Berger, Richard; Bolintineanu, Dan S.; Brown, W. Michael; Crozier, Paul S.; Veld, Pieter J. in 't; Kohlmeyer, Axel; Moore, Stan G.; Nguyen, Trung Dac; Shan, Ray; Stevens, Mark J.; Tranchida, Julien; Trott, Christian; Plimpton, Steven J.",COMPUTER PHYSICS COMMUNICATIONS,0702 Physics; 0812 Computer Science and Technology,Article,271,n/a,n/a,2021,6616,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000720461800009,44.43309,17.18885612487793,21.485897,148.9,384.9005,307.9229,International - Bilateral,99.9991,4.717
WOS:000641162100002,10.1109/TNNLS.2020.2978386,MEDLINE:32217482,A Comprehensive Survey on Graph Neural Networks,"Wu, Zonghan; Pan, Shirui; Chen, Fengwen; Long, Guodong; Zhang, Chengqi; Yu, Philip S.",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0812 Computer Science and Technology; 0711 Systems Science,Article,32,1,4-24,2021,6602,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000641162100002,48.921316,17.18885612487793,21.485897,134.95,384.0861,307.2713,International - Bilateral,99.9982,14.255
WOS:000683178501065,n/a,n/a,A Simple Framework for Contrastive Learning of Visual Representations,"Chen, Ting; Kornblith, Simon; Norouzi, Mohammad; Hinton, Geoffrey","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 119",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,119,n/a,n/a,2020,6509,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000683178501065,21.933997,6.1015496253967285,4.6931806,296.75,1066.7782,1386.9059,Domestic - Single,99.9986,n/a
WOS:001058542607079,10.1109/CVPR52729.2023.00721,n/a,YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,"Wang, Chien-Yao; Bochkovskiy, Alexey; Liao, Hong-Yuan Mark","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR",0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0816 Surveying and Mapping; 0710 Biology,Proceedings Paper,n/a,n/a,7464-7475,2023,6202,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001058542607079,30.232173,2.711573600769043,2.1598387,205.15,2287.2328,2871.5107,Domestic - Single,99.9987,n/a
WOS:001309199902060,10.1109/CVPR42600.2020.00975,n/a,Momentum Contrast for Unsupervised Visual Representation Learning,"He, Kaiming; Fan, Haoqi; Wu, Yuxin; Xie, Saining; Girshick, Ross",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,9726-9735,2020,5693,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199902060,134.471311,6.1015496253967285,4.6931806,42.34,933.0417,1213.0366,Domestic - Single,99.9978,n/a
WOS:001309199904099,10.1109/CVPR42600.2020.01155,n/a,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,"Wang, Qilong; Wu, Banggu; Zhu, Pengfei; Li, Peihua; Zuo, Wangmeng; Hu, Qinghua",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11531-11539,2020,4605,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904099,134.471311,6.1015496253967285,6.431702,34.25,754.7263,715.9847,Domestic - Multiple,99.9971,n/a
WOS:000516799200007,10.1016/j.inffus.2019.12.012,n/a,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI","Barredo Arrieta, Alejandro; Diaz-Rodriguez, Natalia; Del Ser, Javier; Bennetot, Adrien; Tabik, Siham; Barbado, Alberto; Garcia, Salvador; Gil-Lopez, Sergio; Molina, Daniel; Benjamins, Richard; Chatila, Raja; Herrera, Francisco",INFORMATION FUSION,0812 Computer Science and Technology,Article,58,n/a,82-115,2020,4576,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000516799200007,115.411392,20.98295021057129,25.778133,39.65,218.0818,177.5148,International - Bilateral,99.9953,12.975
WOS:000678508900017,10.1016/j.cpc.2021.108033,n/a,VASPKIT: A user-friendly interface facilitating high-throughput computing and analysis using VASP code,"Wang, Vei; Xu, Nan; Liu, Jin-Cheng; Tang, Gang; Geng, Wen-Tong",COMPUTER PHYSICS COMMUNICATIONS,0702 Physics; 0812 Computer Science and Technology,Article,267,n/a,n/a,2021,4524,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000678508900017,44.43309,17.18885612487793,21.485897,101.82,263.1938,210.5567,International - Bilateral,99.9973,4.717
WOS:000768182700033,n/a,n/a,Training data-efficient image transformers & distillation through attention,"Touvron, Hugo; Cord, Matthieu; Douze, Matthijs; Massa, Francisco; Sablayrolles, Alexandre; Jegou, Herve","INTERNATIONAL CONFERENCE ON MACHINE LEARNING, VOL 139",0812 Computer Science and Technology; 0714 Statistics,Proceedings Paper,139,n/a,7358-7367,2021,4360,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000768182700033,20.515497,6.201290130615234,9.348769,212.52,703.0795,466.3716,International - Bilateral,99.998,n/a
WOS:000571254100009,10.1038/s42256-019-0138-9,MEDLINE:32607472,From local explanations to global understanding with explainable AI for trees,"Lundberg, Scott M.; Erion, Gabriel; Chen, Hugh; DeGrave, Alex; Prutkin, Jordan M.; Nair, Bala; Katz, Ronit; Himmelfarb, Jonathan; Bansal, Nisha; Lee, Su-In",NATURE MACHINE INTELLIGENCE,0812 Computer Science and Technology,Article,2,1,56-67,2020,4359,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000571254100009,147.202899,20.98295021057129,18.976257,29.61,207.7401,229.7081,Domestic - Multiple,99.9943,15.508
WOS:000870783001076,10.1109/CVPR52688.2022.01553,n/a,Masked Autoencoders Are Scalable Vision Learners,"He, Kaiming; Chen, Xinlei; Xie, Saining; Li, Yanghao; Dollar, Piotr; Girshick, Ross",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,15979-15988,2022,4130,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870783001076,62.704008,4.670600891113281,3.2018068,65.87,884.2545,1289.8967,Domestic - Single,99.998,n/a
WOS:001309199903065,10.1109/CVPR42600.2020.01079,n/a,EfficientDet: Scalable and Efficient Object Detection,"Tan, Mingxing; Pang, Ruoming; Le, Quoc, V",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10778-10787,2020,4110,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199903065,134.471311,6.1015496253967285,4.6931806,30.56,673.5994,875.7387,Domestic - Single,99.9964,n/a
