入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000519150200001,10.1021/acssuschemeng.9b06635,n/a,Degradation Rates of Plastics in the Environment,"Chamas, Ali; Moon, Hyunjin; Zheng, Jiajia; Qiu, Yang; Tabassum, Tarnuma; Jang, Jun Hee; Abu-Omar, Mandi; Scott, Susannah L.; Suh, Sangwon",ACS SUSTAINABLE CHEMISTRY & ENGINEERING,0817 Chemical Engineering and Technology; 0830 Environmental Science and Engineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering,Article,8,9,3494-3511,2020,1993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519150200001,42.053911,27.068090438842773,23.164936,47.39,73.6291,86.0352,Domestic - Single,99.998,8.198
WOS:000671371100001,10.1038/s41545-021-00127-0,n/a,Removal of heavy metal ions from wastewater: a comprehensive and critical review,"Qasem, Naef A. A.; Mohammed, Ramy H.; Lawal, Dahiru U.",NPJ CLEAN WATER,0830 Environmental Science and Engineering; 0817 Chemical Engineering and Technology; 0815 Hydraulic Engineering,Review,4,1,n/a,2021,1369,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000671371100001,269.166667,65.75425720214844,75.431465,5.09,20.8199,18.1489,International - Bilateral,99.9659,12.19
WOS:000642168300006,10.1016/j.jechem.2020.10.017,n/a,"A review of lithium-ion battery safety concerns: The issues, strategies, and testing standards","Chen, Yuqing; Kang, Yuqiong; Zhao, Yun; Wang, Li; Liu, Jilei; Li, Yanxi; Liang, Zheng; He, Xiangming; Li, Xing; Tavajohi, Naser; Li, Baohua",JOURNAL OF ENERGY CHEMISTRY,0703 Chemistry; 0820 Oil and Natural Gas Engineering; 0817 Chemical Engineering and Technology,Review,59,n/a,83-99,2021,1317,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000642168300006,111.719424,65.75425720214844,88.77,11.79,20.0291,14.8361,International - Trilateral,99.9318,13.599
WOS:000517122800001,10.1039/c9ee02873k,n/a,Current and future role of Haber-Bosch ammonia in a carbon-free energy landscape,"Smith, Collin; Hill, Alfred K.; Torrente-Murciano, Laura",ENERGY & ENVIRONMENTAL SCIENCE,0817 Chemical Engineering and Technology; 0830 Environmental Science and Engineering; 0820 Oil and Natural Gas Engineering; 0703 Chemistry,Article,13,2,331-344,2020,1161,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517122800001,141.692308,27.068090438842773,27.739582,8.19,42.8918,41.8536,Domestic - Multiple,99.996,38.532
WOS:000517122800006,10.1039/c9ee03545a,n/a,Manipulating the ion-transfer kinetics and interface stability for high-performance zinc metal anodes,"Xie, Xuesong; Liang, Shuquan; Gao, Jiawei; Guo, Shan; Guo, Jiabao; Wang, Chao; Xu, Guiyin; Wu, Xianwen; Chen, Gen; Zhou, Jiang",ENERGY & ENVIRONMENTAL SCIENCE,0817 Chemical Engineering and Technology; 0703 Chemistry; 0830 Environmental Science and Engineering; 0820 Oil and Natural Gas Engineering,Article,13,2,503-510,2020,1054,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517122800006,141.692308,27.068090438842773,31.54811,7.44,38.9388,33.4093,International - Bilateral,99.994,38.532
WOS:000613245500004,10.1016/j.cej.2020.127083,n/a,A review of the recent advances on the treatment of industrial wastewaters by Sulfate Radical-based Advanced Oxidation Processes (SR-AOPs),"Giannakis, Stefanos; Lin, Kun-Yi Andrew; Ghanbari, Farshid",CHEMICAL ENGINEERING JOURNAL,0830 Environmental Science and Engineering; 0817 Chemical Engineering and Technology,Review,406,n/a,n/a,2021,1008,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000613245500004,140.966825,65.75425720214844,88.77,7.15,15.3298,11.3552,International - Trilateral,99.8978,16.744
WOS:000579752500077,10.1016/j.cej.2020.126352,n/a,0D to 3D carbon-based networks combined with pseudocapacitive electrode material for high energy density supercapacitor: A review,"Kumar, Sachin; Saeed, Ghuzanfar; Zhu, Ling; Hui, Kwun Nam; Kim, Nam Hoon; Lee, Joong Hee",CHEMICAL ENGINEERING JOURNAL,0830 Environmental Science and Engineering; 0817 Chemical Engineering and Technology,Review,403,n/a,n/a,2021,956,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579752500077,140.966825,65.75425720214844,75.431465,6.78,14.539,12.6738,International - Bilateral,99.8637,16.744
WOS:000571774900005,10.1016/j.cej.2020.126158,n/a,"Reactive species in advanced oxidation processes: Formation, identification and reaction mechanism","Wang, Jianlong; Wang, Shizong",CHEMICAL ENGINEERING JOURNAL,0817 Chemical Engineering and Technology; 0830 Environmental Science and Engineering,Article,401,n/a,n/a,2020,927,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000571774900005,70.677178,27.068090438842773,23.164936,13.12,34.247,40.0174,Domestic - Single,99.992,13.273
WOS:000624643700006,10.1016/j.cej.2020.128392,n/a,Effect of inorganic anions on the performance of advanced oxidation processes for degradation of organic contaminants,"Wang, Jianlong; Wang, Shizong",CHEMICAL ENGINEERING JOURNAL,0817 Chemical Engineering and Technology; 0830 Environmental Science and Engineering,Article,411,n/a,n/a,2021,889,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000624643700006,52.383924,23.264480590820312,20.114063,16.97,38.2128,44.1979,Domestic - Single,99.9983,16.744
WOS:000508857600027,10.1039/c9ee02388g,n/a,Exceptional performance of hierarchical Ni-Fe oxyhydroxide@NiFe alloy nanowire array electrocatalysts for large current density water splitting,"Liang, Caiwu; Zou, Peichao; Nairan, Adeela; Zhang, Yongqi; Liu, Jiaxing; Liu, Kangwei; Hu, Shengyu; Kang, Feiyu; Fan, Hong Jin; Yang, Cheng",ENERGY & ENVIRONMENTAL SCIENCE,0817 Chemical Engineering and Technology; 0703 Chemistry; 0830 Environmental Science and Engineering; 0820 Oil and Natural Gas Engineering,Article,13,1,86-95,2020,867,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508857600027,141.692308,27.068090438842773,31.54811,6.12,32.0303,27.4818,International - Bilateral,99.99,38.532
