入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000562048100004,10.1016/j.ijrmms.2020.104411,n/a,Experimental study on acoustic emission (AE) characteristics and crack classification during rock fracture in several basic lab tests,"Du, Kun; Li, Xuefeng; Tao, Ming; Wang, Shaofeng",INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,0818 Geological Resources and Geological Engineering; 0819 Mining Engineering,Article,133,n/a,n/a,2020,444,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000562048100004,38.982394,18.618587493896484,15.118883,11.39,23.8471,29.3672,Domestic - Single,99.9891,7.135
WOS:000512067600016,10.1007/s10346-019-01274-9,n/a,A deep learning algorithm using a fully connected sparse autoencoder neural network for landslide susceptibility prediction,"Huang, Faming; Zhang, Jing; Zhou, Chuangbing; Wang, Yuhao; Huang, Jinsong; Zhu, Li",LANDSLIDES,0818 Geological Resources and Geological Engineering; 0708 Geophysics,Article,17,1,217-229,2020,330,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000512067600016,35.091633,18.618587493896484,23.103249,9.4,17.7242,14.2837,International - Bilateral,99.9783,6.578
WOS:000591902000007,="10.1177/8755293020919419",n/a,The promise of implementing machine learning in earthquake engineering: A state-of-the-art review,"Xie, Yazhou; Ebad Sichani, Majid; Padgett, Jamie E.; DesRoches, Reginald",EARTHQUAKE SPECTRA,0818 Geological Resources and Geological Engineering; 0814 Civil Engineering,Review,36,4,1769-1801,2020,319,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000591902000007,319.0,29.894737243652344,50.75,1.0,10.6708,6.2857,International - Bilateral,99.1228,3.03
WOS:000520685900003,10.1007/s10518-020-00818-y,n/a,The Italian earthquake catalogue CPTI15,"Rovida, Andrea; Locati, Mario; Camassi, Romano; Lolli, Barbara; Gasperini, Paolo",BULLETIN OF EARTHQUAKE ENGINEERING,0818 Geological Resources and Geological Engineering; 0708 Geophysics,Article,18,7,2953-2984,2020,265,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000520685900003,22.776062,18.618587493896484,18.320082,11.64,14.2331,14.465,Domestic - Multiple,99.9674,3.827
WOS:000515732200001,10.1007/s10346-020-01353-2,n/a,Landslide detection from an open satellite imagery and digital elevation model dataset using attention boosted convolutional neural networks,"Ji, Shunping; Yu, Dawen; Shen, Chaoyong; Li, Weile; Xu, Qiang",LANDSLIDES,0818 Geological Resources and Geological Engineering; 0708 Geophysics,Article,17,6,1337-1352,2020,262,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000515732200001,35.091633,18.618587493896484,18.320082,7.47,14.072,14.3012,Domestic - Multiple,99.9565,6.578
WOS:000699979000021,10.1016/j.jrmge.2021.03.012,n/a,A review of experimental and theoretical research on the deformation and failure behavior of rocks subjected to cyclic loading,"Liu, Yi; Dai, Feng",JOURNAL OF ROCK MECHANICS AND GEOTECHNICAL ENGINEERING,0818 Geological Resources and Geological Engineering,Review,13,5,1203-1230,2021,257,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000699979000021,120.833333,25.056074142456055,26.428572,2.13,10.257,9.7243,Domestic - Single,99.0654,5.915
WOS:000615541900007,10.1016/j.enggeo.2020.105972,n/a,Assessment of landslide susceptibility mapping based on Bayesian hyperparameter optimization: A comparison between logistic regression and random forest,"Sun, Deliang; Xu, Jiahui; Wen, Haijia; Wang, Danzhou",ENGINEERING GEOLOGY,0818 Geological Resources and Geological Engineering; 0708 Geophysics,Article,281,n/a,n/a,2021,253,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615541900007,29.886139,14.915008544921875,14.621878,8.47,16.9628,17.3028,Domestic - Multiple,99.9889,6.902
WOS:000559046300002,10.1016/j.trgeo.2020.100385,n/a,Review on biopolymer-based soil treatment (BPST) technology in geotechnical engineering practices,"Chang, Ilhan; Lee, Minhyeong; An Thi Phuong Tran; Lee, Sojeong; Kwon, Yeong-Man; Im, Jooyoung; Cho, Gye-Chun",TRANSPORTATION GEOTECHNICS,0818 Geological Resources and Geological Engineering; 0814 Civil Engineering,Review,24,n/a,n/a,2020,251,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000559046300002,96.75,29.894737243652344,63.5,2.59,8.3961,3.9528,International - Trilateral,98.2456,3.293
WOS:000692553600003,10.1016/j.compgeo.2021.104272,n/a,Coupled thermo-hydro-mechanical mechanism in view of the soil particle rearrangement of granular thermodynamics,"Bai, Bing; Zhou, Rui; Cai, Guoqing; Hu, Wei; Yang, Guangchang",COMPUTERS AND GEOTECHNICS,0818 Geological Resources and Geological Engineering; 0708 Geophysics; 0812 Computer Science and Technology,Article,137,n/a,n/a,2021,225,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000692553600003,21.260474,14.915008544921875,17.231848,10.58,15.0855,13.0572,International - Bilateral,99.9779,5.218
WOS:000615526300018,10.1016/j.enggeo.2020.105932,n/a,Experimental investigation on mechanical behavior and particle crushing of calcareous sand retrieved from South China Sea,"Wu, Yang; Li, Neng; Wang, Xinzhi; Cui, Jie; Chen, Yulong; Wu, Yihang; Yamamoto, Haruyuki",ENGINEERING GEOLOGY,0818 Geological Resources and Geological Engineering; 0708 Geophysics,Article,280,n/a,n/a,2021,224,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615526300018,29.886139,14.915008544921875,17.231848,7.5,15.0184,12.9992,International - Bilateral,99.9668,6.902
