入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000501394400027,10.1016/j.radphyschem.2019.108496,n/a,Phy-X / PSD: Development of a user friendly online software for calculation of parameters relevant to radiation shielding and dosimetry,"Sakar, Erdem; Ozpolat, Ozgur Firat; Alim, Bunyamin; Sayyed, M. I.; Kurudirek, Murat",RADIATION PHYSICS AND CHEMISTRY,0703 Chemistry; 0702 Physics; 0827 Nuclear Science and Technology,Article,166,n/a,n/a,2020,1452,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000501394400027,12.918338,9.533093452453613,11.350697,112.4,152.3115,127.9217,International - Bilateral,99.991,2.858
WOS:000534341800002,10.1097/HP.0000000000001210,MEDLINE:32167495,Guidelines for Limiting Exposure to Electromagnetic Fields (100 kHz to 300 GHz),n/a,HEALTH PHYSICS,0830 Environmental Science and Engineering; 0827 Nuclear Science and Technology; 0837 Safety Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 1004 Public Health and Preventive Medicine,Article,118,5,483-524,2020,1134,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534341800002,17.720721,9.533093452453613,0.0,63.99,118.954,0.0,n/a,99.982,1.316
WOS:000523954300002,10.1002/er.4930,n/a,"Hydrogen from solar energy, a clean energy carrier from a sustainable source of energy","Hosseini, Seyed Ehsan; Wahid, Mazlan Abdul",INTERNATIONAL JOURNAL OF ENERGY RESEARCH,0827 Nuclear Science and Technology; 0820 Oil and Natural Gas Engineering,Review,44,6,4110-4131,2020,426,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000523954300002,58.824742,33.041934967041016,48.4717,7.24,12.8927,8.7886,International - Bilateral,99.6774,5.164
WOS:000554820200024,10.1016/j.pnucene.2020.103425,n/a,Reducing CO2 emissions in OECD countries: Do renewable and nuclear energy matter?,"Saidi, Kais; Omri, Anis",PROGRESS IN NUCLEAR ENERGY,0827 Nuclear Science and Technology,Article,126,n/a,n/a,2020,334,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000554820200024,13.178683,9.533093452453613,11.350697,25.34,35.0358,29.4255,International - Bilateral,99.973,2.256
WOS:000799170200004,10.1016/j.pnucene.2022.104249,n/a,Do renewable and nuclear energy enhance environmental quality in France? A new EKC approach with the load capacity factor,"Pata, Ugur Korkut; Samour, Ahmed",PROGRESS IN NUCLEAR ENERGY,0827 Nuclear Science and Technology,Article,149,n/a,n/a,2022,268,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000799170200004,10.09593,6.101900577545166,5.60133,26.55,43.9207,47.8458,Domestic - Multiple,99.9894,2.7
WOS:000570206900004,10.1002/er.5557,n/a,Sustainability of the four generations of biofuels - A review,"Mat Aron, Nurul Syahirah; Khoo, Kuan Shiong; Chew, Kit Wayne; Show, Pau Loke; Chen, Wei-Hsin; Nguyen, The Hong Phong",INTERNATIONAL JOURNAL OF ENERGY RESEARCH,0827 Nuclear Science and Technology; 0820 Oil and Natural Gas Engineering,Article,44,12,9266-9282,2020,260,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000570206900004,18.613288,9.533093452453613,12.630953,13.97,27.2734,20.5844,International - Trilateral,99.964,5.164
WOS:000604855200011,10.1007/s10967-020-07521-x,n/a,<SUP>243</SUP>Am certified reference material for mass spectrometry,"Jakopic, Rozle; Fankhauser, Adelheid; Aregbe, Yetunde; Richter, Stephan; Crozet, Marielle; Maillard, Christophe; Rivier, Cedric; Roudil, Daniele; Marouli, Maria; Tzika, Faidra; Altzitzoglou, Timotheos; Pomme, Stefaan",JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,0827 Nuclear Science and Technology; 0703 Chemistry,Article,327,1,495-504,2021,259,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000604855200011,6.588235,8.135523796081543,11.212599,39.31,31.8357,23.099,International - Trilateral,99.9904,1.754
WOS:000525864600001,10.1016/j.pnucene.2020.103317,n/a,Comparative review of hydrogen production technologies for nuclear hybrid energy systems,"Pinsky, Roxanne; Sabharwall, Piyush; Hartvigsen, Jeremy; O'Brien, James",PROGRESS IN NUCLEAR ENERGY,0827 Nuclear Science and Technology,Review,123,n/a,n/a,2020,247,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000525864600001,35.181818,33.041934967041016,30.5,7.02,7.4753,8.0984,Domestic - Multiple,99.3548,2.256
WOS:000730608200001,10.1002/er.7545,n/a,A comprehensive review on the state of charge estimation for lithium-ion battery based on neural network,"Cui, Zhenhua; Wang, Licheng; Li, Qiang; Wang, Kai",INTERNATIONAL JOURNAL OF ENERGY RESEARCH,0827 Nuclear Science and Technology; 0820 Oil and Natural Gas Engineering,Review,46,5,5423-5440,2021,236,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000730608200001,35.926471,22.877717971801758,22.152672,6.57,10.3157,10.6533,Domestic - Multiple,99.7283,4.672
WOS:000657154800001,10.1002/er.6891,n/a,"Numerical investigation of a new combined energy system includes parabolic dish solar collector, Stirling engine and thermoelectric device","Mehrpooya, Mehdi; Ghadimi, Noradin; Marefati, Mohammad; Ghorbanian, Sohrab Ali",INTERNATIONAL JOURNAL OF ENERGY RESEARCH,0827 Nuclear Science and Technology; 0820 Oil and Natural Gas Engineering,Article,45,11,16436-16455,2021,233,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000657154800001,14.638104,8.135523796081543,7.7810597,15.92,28.6398,29.9445,Domestic - Multiple,99.9808,4.672
