入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000655572600001,10.1016/j.biortech.2021.125235,MEDLINE:33957458,Pretreatment of lignocellulosic biomass: A review on recent advances,"Mankar, Akshay R.; Pandey, Ashish; Modak, Arindam; Pant, K. K.",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,334,n/a,n/a,2021,595,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000655572600001,85.617391,77.32191467285156,72.521736,6.95,7.6951,8.2044,Domestic - Single,99.6575,11.889
WOS:000516839600005,10.1016/j.biortech.2020.122886,MEDLINE:32046940,Bioremediation of heavy metals using microalgae: Recent advances and mechanisms,"Leong, Yoong Kit; Chang, Jo-Shu",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0828 Agricultural Engineering; 0820 Oil and Natural Gas Engineering,Review,303,n/a,n/a,2020,540,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000516839600005,142.957143,117.1449966430664,102.77612,3.78,4.6097,5.2541,Domestic - Multiple,99.5,9.642
WOS:000509985900054,10.1016/j.biortech.2019.122724,MEDLINE:31926792,"Recent developments in pretreatment technologies on lignocellulosic biomass: Effect of key parameters, technological improvements, and challenges","Bhatia, Shashi Kant; Jagtap, Sujit Sadashiv; Bedekar, Ashwini Ashok; Bhatia, Ravi Kant; Patel, Anil Kumar; Pant, Deepak; Banu, J. Rajesh; Rao, Christopher V.; Kim, Yun-Gon; Yang, Yung-Hun",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0828 Agricultural Engineering; 0820 Oil and Natural Gas Engineering,Review,300,n/a,n/a,2020,508,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509985900054,142.957143,117.1449966430664,132.73334,3.55,4.3365,3.8272,International - Trilateral,99.0,9.642
WOS:000508117300009,10.1016/j.biortech.2019.122585,MEDLINE:31901305,Biorefineries in circular bioeconomy: A comprehensive review,"Ubando, Aristotle T.; Felix, Charles B.; Chen, Wei-Hsin",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,299,n/a,n/a,2020,502,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508117300009,142.957143,117.1449966430664,135.73586,3.51,4.2853,3.6984,International - Bilateral,98.5,9.642
WOS:000509989500059,10.1016/j.biortech.2020.122784,MEDLINE:31980318,The critical role of lignin in lignocellulosic biomass conversion and recent pretreatment strategies: A comprehensive review,"Yoo, Chang Geun; Meng, Xianzhi; Pu, Yunqiao; Ragauskas, Arthur J.",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,301,n/a,n/a,2020,501,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509989500059,142.957143,117.1449966430664,102.77612,3.5,4.2768,4.8747,Domestic - Multiple,98.0,9.642
WOS:000593734700007,10.1016/j.biortech.2020.124175,MEDLINE:33022437,Techno-economic assessment of various hydrogen production methods - A review,"Kannah, R. Yukesh; Kavitha, S.; Preethi; Karthikeyan, O. Parthiba; Kumar, Gopalakrishnan; Dai-Viet, N. Vo.; Banu, J. Rajesh",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0828 Agricultural Engineering; 0820 Oil and Natural Gas Engineering,Review,319,n/a,n/a,2021,437,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000593734700007,85.617391,77.32191467285156,116.63636,5.1,5.6517,3.7467,International - Quadrilateral +,99.3151,11.889
WOS:000543899700016,10.1016/j.biortech.2020.123614,MEDLINE:32517889,A critical review of the production and advanced utilization of biochar via selective pyrolysis of lignocellulosic biomass,"Li, Yunchao; Xing, Bo; Ding, Yan; Han, Xinhong; Wang, Shurong",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,312,n/a,n/a,2020,415,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000543899700016,142.957143,117.1449966430664,107.77551,2.9,3.5426,3.8506,Domestic - Single,97.5,9.642
WOS:000732999000002,10.1016/j.biortech.2021.126195,MEDLINE:34710596,Recent advances in lignocellulosic biomass for biofuels and value-added bioproducts-A critical review,"Ashokkumar, Veeramuthu; Venkatkarthick, Radhakrishnan; Jayashree, Shanmugam; Chuetor, Santi; Dharmaraj, Selvakumar; Kumar, Gopalakrishnan; Chen, Wei-Hsin; Ngamcharussrivichai, Chawalit",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0828 Agricultural Engineering; 0820 Oil and Natural Gas Engineering,Review,344,n/a,n/a,2021,392,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000732999000002,85.617391,77.32191467285156,116.63636,4.58,5.0697,3.3609,International - Quadrilateral +,98.9726,11.889
WOS:000559022800019,10.1016/j.biortech.2020.123728,MEDLINE:32665105,Microbial degradation of dyes: An overview,"Varjani, Sunita; Rakholiya, Parita; Ng, How Yong; You, Siming; Teixeira, Jose A.",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,314,n/a,n/a,2020,389,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000559022800019,142.957143,117.1449966430664,137.93333,2.72,3.3207,2.8202,International - Quadrilateral +,97.0,9.642
WOS:000518852900043,10.1016/j.biortech.2020.122848,MEDLINE:32113832,Lignocellulosic biomass: Acid and alkaline pretreatments and their effects on biomass recalcitrance - Conventional processing and recent advances,"Woiciechowski, Adenise Lorenci; Dalmas Neto, Carlos Jose; de Souza Vandenberghe, Luciana Porto; de Carvalho Neto, Dao Pedro; Novak Sydney, Alessandra Cristine; Junior Letti, Luiz Alberto; Karp, Susan Grace; Zevallos Torres, Luis Alberto; Soccol, Carlos Ricardo",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,304,n/a,n/a,2020,377,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000518852900043,142.957143,117.1449966430664,102.77612,2.64,3.2182,3.6682,Domestic - Multiple,96.5,9.642
WOS:000543899700015,10.1016/j.biortech.2020.123613,MEDLINE:32513509,Ball milling as a mechanochemical technology for fabrication of novel biochar nanomaterials,"Kumar, Manish; Xiong, Xinni; Wan, Zhonghao; Sun, Yuqing; Tsang, Daniel C. W.; Gupta, Juhi; Gao, Bin; Cao, Xinde; Tang, Jingchun; Ok, Yong Sik",BIORESOURCE TECHNOLOGY,0828 Agricultural Engineering; 0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering,Article,312,n/a,n/a,2020,373,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000543899700015,44.079365,26.21958351135254,40.2125,8.46,14.226,9.2757,International - Quadrilateral +,99.9774,9.642
WOS:000505201600047,10.1016/j.biortech.2019.122286,MEDLINE:31690478,Nitrogen containing functional groups of biochar: An overview,"Leng, Lijian; Xu, Siyu; Liu, Renfeng; Yu, Ting; Zhuo, Ximeng; Leng, Songqi; Xiong, Qin; Huang, Huajun",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,298,n/a,n/a,2020,365,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505201600047,142.957143,117.1449966430664,102.77612,2.55,3.1158,3.5514,Domestic - Multiple,96.0,9.642
WOS:000499718900008,10.1016/j.biortech.2019.122223,MEDLINE:31623921,Bio-based fertilizers: A practical approach towards circular economy,"Chojnacka, Katarzyna; Moustakas, Konstantinos; Witek-Krowiak, Anna",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,295,n/a,n/a,2020,352,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000499718900008,142.957143,117.1449966430664,135.73586,2.46,3.0048,2.5933,International - Bilateral,95.5,9.642
WOS:000674920300008,10.19103/AS.2019.0061.10,n/a,The DSSAT crop modeling ecosystem,"Hoogenboom, Gerrit; Porter, Cheryl H.; Boote, Kenneth J.; Shelia, Vakhtang; Wilkens, Paul W.; Singh, Upendra; White, Jeffrey W.; Asseng, Senthold; Lizaso, Jon I.; Moreno, L. Patricia; Pavan, Willingthon; Ogoshi, Richard; Hunt, L. Anthony; Tsuji, Gordon Y.; Jones, James W.",ADVANCES IN CROP MODELLING FOR A SUSTAINABLE AGRICULTURE,0901 Crop Science; 0905 Animal Science; 0828 Agricultural Engineering; 1203 Economics and Management of Agriculture and Forestry; 0902 Horticulture; 0903 Agricultural Resource and Environment Sciences; 0815 Hydraulic Engineering; 0811 Control Science and Engineering; 0703 Chemistry; 0820 Oil and Natural Gas Engineering; 0830 Environmental Science and Engineering; 1202 Business Administration; 0710 Biology,Article,75,n/a,173-216,2020,351,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000674920300008,3.467456,26.21958351135254,40.2125,101.23,13.3869,8.7286,International - Quadrilateral +,99.9548,n/a
WOS:000505201600033,10.1016/j.biortech.2019.122468,MEDLINE:31839494,Magnetic biochar for environmental remediation: A review,"Yi, Yunqiang; Huang, Zhexi; Lu, Baizhou; Xian, Jingyi; Tsang, Eric Pokeung; Cheng, Wen; Fang, Jianzhang; Fang, Zhanqiang",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,298,n/a,n/a,2020,345,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505201600033,142.957143,117.1449966430664,102.77612,2.41,2.9451,3.3568,Domestic - Multiple,95.0,9.642
WOS:000509989500048,10.1016/j.biortech.2020.122778,MEDLINE:31983580,Resource recovery and circular economy from organic solid waste using aerobic and anaerobic digestion technologies,"Wainaina, Steven; Awasthi, Mukesh Kumar; Sarsaiya, Surendra; Chen, Hongyu; Singh, Ekta; Kumar, Aman; Ravindran, B.; Awasthi, Sanjeev Kumar; Liu, Tao; Duan, Yumin; Kumar, Sunil; Zhang, Zengqiang; Taherzadeh, Mohammad J.",BIORESOURCE TECHNOLOGY,0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,301,n/a,n/a,2020,342,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509989500048,142.957143,117.1449966430664,137.93333,2.39,2.9195,2.4795,International - Quadrilateral +,94.5,9.642
