入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000536737600001,10.1007/s11676-020-01155-1,n/a,A commentary review on the use of normalized difference vegetation index (NDVI) in the era of popular remote sensing,"Huang, Sha; Tang, Lina; Hupy, Joseph P.; Wang, Yang; Shao, Guofan",JOURNAL OF FORESTRY RESEARCH,0907 Forestry; 0829 Forestry Engineering,Review,32,1,1-6,2020,833,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000536737600001,122.75,50.88481521606445,56.272728,6.79,16.3703,14.8029,International - Bilateral,99.4764,2.149
WOS:000612264200001,10.1007/s10570-020-03674-w,n/a,Cellulose and its derivatives: towards biomedical applications,"Seddiqi, Hadi; Oliaei, Erfan; Honarkar, Hengameh; Jin, Jianfeng; Geonzon, Lester C.; Bacabac, Rommel G.; Klein-Nulend, Jenneke",CELLULOSE,0703 Chemistry; 0805 Materials Science and Engineering; 0829 Forestry Engineering; 0821 Textile Science and Engineering; 0822 Light Industry Technology and Engineering,Review,28,4,1893-1931,2021,661,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000612264200001,71.657895,38.32028579711914,235.33333,9.22,17.2493,2.8088,International - Quadrilateral +,99.6441,6.123
WOS:000588851100001,10.1007/s11676-020-01249-w,MEDLINE:33204057,Impacts of COVID-19 pandemic on urban park visitation: a global analysis,"Geng, Dehui (Christina); Innes, John; Wu, Wanli; Wang, Guangyu",JOURNAL OF FORESTRY RESEARCH,0829 Forestry Engineering; 0907 Forestry,Article,32,2,553-567,2020,359,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000588851100001,11.938005,14.695464134216309,14.483481,30.07,24.4293,24.7869,Domestic - Single,99.9772,2.149
WOS:000720243800001,10.1007/s10570-021-04325-4,n/a,Cellulose and the role of hydrogen bonds: not in charge of everything,"Wohlert, Malin; Benselfelt, Tobias; Wagberg, Lars; Furo, Istvan; Berglund, Lars A.; Wohlert, Jakob",CELLULOSE,0829 Forestry Engineering; 0821 Textile Science and Engineering; 0703 Chemistry; 0805 Materials Science and Engineering; 0822 Light Industry Technology and Engineering,Review,29,1,1-23,2021,345,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000720243800001,71.657895,38.32028579711914,37.40698,4.81,9.0031,9.2229,Domestic - Multiple,99.2883,6.123
WOS:000605339200005,10.1016/j.biombioe.2020.105920,n/a,"Biomass-to-hydrogen: A review of main routes production, processes evaluation and techno-economical assessment","Lepage, Thibaut; Kammoun, Maroua; Schmetz, Quentin; Richel, Aurore",BIOMASS & BIOENERGY,0836 Biotechnology and Bioengineering; 0829 Forestry Engineering; 0828 Agricultural Engineering; 0820 Oil and Natural Gas Engineering,Review,144,n/a,n/a,2021,331,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000605339200005,74.111111,38.32028579711914,37.50505,4.47,8.6377,8.8255,Domestic - Single,98.9324,5.774
WOS:000610495100002,10.1007/s00226-020-01258-2,n/a,"Chemical functional groups of extractives, cellulose and lignin extracted from native Leucaena leucocephala bark","Md Salim, Rafidah; Asik, Jahimin; Sarjadi, Mohd Sani",WOOD SCIENCE AND TECHNOLOGY,0907 Forestry; 0829 Forestry Engineering; 0822 Light Industry Technology and Engineering; 0805 Materials Science and Engineering,Article,55,2,295-313,2021,309,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000610495100002,14.585106,11.597572326660156,11.345506,21.19,26.6435,27.2355,Domestic - Multiple,99.9771,2.898
WOS:000517497400002,10.1016/j.biombioe.2020.105479,n/a,A review on hydrothermal carbonization of biomass and plastic wastes to energy products,"Shen, Yafei",BIOMASS & BIOENERGY,0829 Forestry Engineering; 0836 Biotechnology and Bioengineering; 0820 Oil and Natural Gas Engineering; 0828 Agricultural Engineering,Review,134,n/a,n/a,2020,302,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517497400002,97.5,50.88481521606445,54.017242,3.1,5.935,5.5908,Domestic - Single,98.9529,5.061
WOS:000531770300002,10.1007/s10570-020-03172-z,n/a,Increment in evolution of cellulose crystallinity analysis,"French, Alfred D.",CELLULOSE,0703 Chemistry; 0805 Materials Science and Engineering; 0822 Light Industry Technology and Engineering; 0829 Forestry Engineering; 0821 Textile Science and Engineering,Editorial Material,27,10,5445-5448,2020,287,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531770300002,97.0,5.744185924530029,0.0,2.96,49.9636,0.0,n/a,98.8372,5.044
WOS:000559160700001,10.1007/s13399-020-00938-0,n/a,"Mechanical, thermal and fatigue behaviour of surface-treated novelCaryota urensfibre-reinforced epoxy composite","Prakash, V. R. Arun; Xavier, J. Francis; Ramesh, G.; Maridurai, T.; Kumar, K. Siva; Raj, R. Blessing Sam",BIOMASS CONVERSION AND BIOREFINERY,0829 Forestry Engineering; 0817 Chemical Engineering and Technology; 0820 Oil and Natural Gas Engineering,Article,12,12,5451-5461,2020,249,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000559160700001,18.315091,14.695464134216309,14.05549,13.6,16.944,17.7155,Domestic - Multiple,99.9544,4.987
WOS:000788444100001,10.1007/s11676-022-01475-4,n/a,A review of the effects of forest fire on soil properties,"Agbeshie, Alex Amerh; Abugre, Simon; Atta-Darkwa, Thomas; Awuah, Richard",JOURNAL OF FORESTRY RESEARCH,0829 Forestry Engineering; 0907 Forestry,Review,33,5,1419-1441,2022,235,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000788444100001,98.333333,22.085186004638672,24.482353,2.39,10.6406,9.5988,Domestic - Single,99.6296,3.0
