入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000585011100041,="10.1145/3422622",n/a,Generative Adversarial Networks,"Goodfellow, Ian; Pouget-Abadie, Jean; Mirza, Mehdi; Xu, Bing; Warde-Farley, David; Ozair, Sherjil; Courville, Aaron; Bengio, Yoshua",COMMUNICATIONS OF THE ACM,0812 Computer Science and Technology; 0835 Software Engineering,Article,63,11,139-144,2020,10753,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000585011100041,177.422535,15.358884811401367,21.630398,60.61,700.1159,497.1245,International - Bilateral,99.9925,4.654
WOS:000870759103073,10.1109/CVPR52688.2022.01042,n/a,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Robin; Blattmann, Andreas; Lorenz, Dominik; Esser, Patrick; Ommer, Bjoern",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10674-10685,2022,6786,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759103073,62.704008,5.484434604644775,8.559777,108.22,1237.3199,792.7777,International - Bilateral,99.9982,n/a
WOS:001058542607079,10.1109/CVPR52729.2023.00721,n/a,YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,"Wang, Chien-Yao; Bochkovskiy, Alexey; Liao, Hong-Yuan Mark","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR",0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0816 Surveying and Mapping; 0710 Biology,Proceedings Paper,n/a,n/a,7464-7475,2023,6202,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001058542607079,30.232173,3.046391248703003,2.1790848,205.15,2035.8514,2846.149,Domestic - Single,99.9974,n/a
WOS:001309199902060,10.1109/CVPR42600.2020.00975,n/a,Momentum Contrast for Unsupervised Visual Representation Learning,"He, Kaiming; Fan, Haoqi; Wu, Yuxin; Xie, Saining; Girshick, Ross",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,9726-9735,2020,5693,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199902060,134.471311,6.228111743927002,4.525515,42.34,914.0812,1257.9784,Domestic - Single,99.9987,n/a
WOS:001309199904099,10.1109/CVPR42600.2020.01155,n/a,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,"Wang, Qilong; Wu, Banggu; Zhu, Pengfei; Li, Peihua; Zuo, Wangmeng; Hu, Qinghua",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11531-11539,2020,4605,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904099,134.471311,6.228111743927002,6.405997,34.25,739.3894,718.8577,Domestic - Multiple,99.9974,n/a
WOS:000870783001076,10.1109/CVPR52688.2022.01553,n/a,Masked Autoencoders Are Scalable Vision Learners,"He, Kaiming; Chen, Xinlei; Xie, Saining; Li, Yanghao; Dollar, Piotr; Girshick, Ross",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,15979-15988,2022,4130,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870783001076,62.704008,5.484434604644775,3.386465,65.87,753.0402,1219.5608,Domestic - Single,99.9964,n/a
WOS:001309199903065,10.1109/CVPR42600.2020.01079,n/a,EfficientDet: Scalable and Efficient Object Detection,"Tan, Mingxing; Pang, Ruoming; Le, Quoc, V",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,10778-10787,2020,4110,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199903065,134.471311,6.228111743927002,4.525515,30.56,659.9111,908.1839,Domestic - Single,99.9961,n/a
WOS:000731456200022,n/a,n/a,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,"Mildenhall, Ben; Srinivasan, Pratul P.; Tancik, Matthew; Barron, Jonathan T.; Ramamoorthi, Ravi; Ng, Ren",COMMUNICATIONS OF THE ACM,0812 Computer Science and Technology; 0835 Software Engineering,Article,65,1,99-106,2022,3976,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000731456200022,56.768293,9.18248462677002,9.128031,70.04,432.9983,435.5813,Domestic - Multiple,99.9937,22.7
WOS:000870759105006,10.1109/CVPR52688.2022.01167,n/a,A ConvNet for the 2020s,"Liu, Zhuang; Mao, Hanzi; Wu, Chao-Yuan; Feichtenhofer, Christoph; Darrell, Trevor; Xie, Saining",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11966-11976,2022,3944,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000870759105006,62.704008,5.484434604644775,6.1794395,62.9,719.1261,638.2456,Domestic - Multiple,99.9946,n/a
WOS:000742075003090,10.1109/CVPR46437.2021.01350,n/a,Coordinate Attention for Efficient Mobile Network Design,"Hou, Qibin; Zhou, Daquan; Feng, Jiashi","2021 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR 2021",0702 Physics; 0835 Software Engineering; 0816 Surveying and Mapping; 0710 Biology; 0701 Mathematics; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,13708-13717,2021,3744,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000742075003090,89.320675,6.380697727203369,6.611527,41.92,586.7697,566.2837,Domestic - Multiple,99.9979,n/a
WOS:001309199904047,10.1109/CVPR42600.2020.01164,n/a,nuScenes: A multimodal dataset for autonomous driving,"Caesar, Holger; Bankiti, Varun; Lang, Alex H.; Vora, Sourabh; Liong, Venice Erin; Xu, Qiang; Krishnan, Anush; Pan, Yu; Baldan, Giancarlo; Beijbom, Oscar",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,11618-11628,2020,3646,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199904047,134.471311,6.228111743927002,4.525515,27.11,585.4102,805.6542,Domestic - Single,99.9948,n/a
WOS:000620679501082,10.1109/CVPR42600.2020.00165,n/a,GhostNet: More Features from Cheap Operations,"Han, Kai; Wang, Yunhe; Tian, Qi; Guo, Jianyuan; Xu, Chunjing; Xu, Chang",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,1577-1586,2020,2975,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000620679501082,134.471311,6.228111743927002,10.505708,22.12,477.6729,283.1794,International - Bilateral,99.9934,n/a
WOS:000583128600001,10.1007/s11042-020-10139-6,MEDLINE:33162782,"A review on genetic algorithm: past, present, and future","Katoch, Sourabh; Chauhan, Sumit Singh; Kumar, Vijay",MULTIMEDIA TOOLS AND APPLICATIONS,0812 Computer Science and Technology; 0809 Electronic Science and Technology; 0835 Software Engineering,Review,80,5,8091-8126,2020,2619,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000583128600001,158.130435,59.91534423828125,71.20408,16.56,43.7117,36.7816,Domestic - Single,99.7355,2.757
WOS:000739917307010,10.1109/CVPR46437.2021.00681,n/a,Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers,"Zheng, Sixiao; Lu, Jiachen; Zhao, Hengshuang; Zhu, Xiatian; Luo, Zekun; Wang, Yabiao; Fu, Yanwei; Feng, Jianfeng; Xiang, Tao; Torr, Philip H. S.; Zhang, Li","2021 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR 2021",0702 Physics; 0835 Software Engineering; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,6877-6886,2021,2570,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000739917307010,89.320675,6.380697727203369,11.974983,28.77,402.7773,214.6141,International - Trilateral,99.9958,n/a
WOS:000742075005095,10.1109/CVPR46437.2021.01549,n/a,Exploring Simple Siamese Representation Learning,"Chen, Xinlei; He, Kaiming","2021 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, CVPR 2021",0702 Physics; 0835 Software Engineering; 0812 Computer Science and Technology; 0816 Surveying and Mapping; 0710 Biology; 0701 Mathematics,Proceedings Paper,n/a,n/a,15745-15753,2021,2563,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000742075005095,89.320675,6.380697727203369,4.300704,28.69,401.6802,595.9489,Domestic - Single,99.9936,n/a
WOS:001309199900075,10.1109/CVPR42600.2020.00813,n/a,Analyzing and Improving the Image Quality of StyleGAN,"Karras, Tero; Laine, Samuli; Aittala, Miika; Hellsten, Janne; Lehtinen, Jaakko; Aila, Timo",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2020),0702 Physics; 0835 Software Engineering; 0812 Computer Science and Technology; 0710 Biology; 0701 Mathematics; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,8107-8116,2020,2223,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001309199900075,134.471311,6.228111743927002,10.505708,16.53,356.93,211.5993,International - Bilateral,99.9921,n/a
WOS:000615970401059,10.1109/icassp40776.2020.9053405,n/a,UNET 3+: A FULL-SCALE CONNECTED UNET FOR MEDICAL IMAGE SEGMENTATION,"Huang, Huimin; Lin, Lanfen; Tong, Ruofeng; Hu, Hongjie; Zhang, Qiaowei; Iwamoto, Yutaro; Han, Xianhua; Chen, Yen-Wei; Wu, Jian","2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,1055-1059,2020,1991,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615970401059,15.522837,6.228111743927002,10.505708,128.26,319.6796,189.516,International - Bilateral,99.9908,n/a
WOS:000867754205095,10.1109/CVPR52688.2022.00564,n/a,Restormer: Efficient Transformer for High-Resolution Image Restoration,"Zamir, Syed Waqas; Arora, Aditya; Khan, Salman; Hayat, Munawar; Khan, Fahad Shahbaz; Yang, Ming-Hsuan",2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022),0812 Computer Science and Technology; 0835 Software Engineering; 0702 Physics; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,5718-5729,2022,1910,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000867754205095,62.704008,5.484434604644775,11.966767,30.46,348.2583,159.6087,International - Quadrilateral +,99.9928,n/a
WOS:000620679502071,10.1109/CVPR42600.2020.00252,n/a,Scalability in Perception for Autonomous Driving: Waymo Open Dataset,"Sun, Pei; Kretzschmar, Henrik; Dotiwalla, Xerxes; Chouard, Aurelien; Patnaik, Vijaysai; Tsui, Paul; Guo, James; Zhou, Yin; Chai, Yuning; Caine, Benjamin; Vasudevan, Vijay; Han, Wei; Ngiam, Jiquan; Zhao, Hang; Timofeev, Aleksei; Ettinger, Scott; Krivokon, Maxim; Gao, Amy; Joshi, Aditya; Zhang, Yu; Shlens, Jonathon; Chen, Zhifeng; Anguelov, Dragomir",2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0702 Physics; 0835 Software Engineering; 0816 Surveying and Mapping; 0701 Mathematics; 0710 Biology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,2443-2451,2020,1834,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000620679502071,134.471311,6.228111743927002,6.405997,13.64,294.4713,286.2942,Domestic - Multiple,99.9895,n/a
