入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000598984300001,10.1038/s41573-020-0090-8,MEDLINE:33277608,Engineering precision nanoparticles for drug delivery,"Mitchell, Michael J.; Billingsley, Margaret M.; Haley, Rebecca M.; Wechsler, Marissa E.; Peppas, Nicholas A.; Langer, Robert",NATURE REVIEWS DRUG DISCOVERY,1007 Pharmaceutical Science; 0836 Biotechnology and Bioengineering,Review,20,2,101-124,2020,4905,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000598984300001,500.205128,48.3819465637207,50.567894,9.81,101.3808,96.9983,Domestic - Multiple,99.977,84.694
WOS:000537041400002,10.1038/s41587-020-0548-6,MEDLINE:32483366,PICRUSt2 for prediction of metagenome functions,"Douglas, Gavin M.; Maffei, Vincent J.; Zaneveld, Jesse R.; Yurgel, Svetlana N.; Brown, James R.; Taylor, Christopher M.; Huttenhower, Curtis; Langille, Morgan G. I.",NATURE BIOTECHNOLOGY,0836 Biotechnology and Bioengineering,Letter,38,6,685-688,2020,3963,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537041400002,238.564103,62.432037353515625,104.43137,16.61,63.477,37.9484,International - Bilateral,99.5146,54.908
WOS:000513168400005,10.1186/s12864-019-6413-7,MEDLINE:31898477,The advantages of the Matthews correlation coefficient (MCC) over F1 score and accuracy in binary classification evaluation,"Chicco, Davide; Jurman, Giuseppe",BMC GENOMICS,0836 Biotechnology and Bioengineering; 1001 Basic Medicine; 0710 Biology,Article,21,1,n/a,2020,3242,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000513168400005,23.593103,17.9849910736084,21.737738,137.41,180.2614,149.1416,International - Bilateral,99.9973,3.969
WOS:000538696800040,10.1093/bioinformatics/btz848,MEDLINE:31730192,GTDB-Tk: a toolkit to classify genomes with the Genome Taxonomy Database,"Chaumeil, Pierre-Alain; Mussig, Aaron J.; Hugenholtz, Philip; Parks, Donovan H.",BIOINFORMATICS,0836 Biotechnology and Bioengineering; 0714 Statistics; 0812 Computer Science and Technology; 0710 Biology,Article,36,6,1925-1927,2020,3149,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000538696800040,32.180887,17.9849910736084,15.067188,97.85,175.0904,208.9972,Domestic - Single,99.9946,6.937
WOS:000518528800035,10.1093/bioinformatics/btz682,MEDLINE:31501885,BioBERT: a pre-trained biomedical language representation model for biomedical text mining,"Lee, Jinhyuk; Yoon, Wonjin; Kim, Sungdong; Kim, Donghyeon; Kim, Sunkyu; So, Chan Ho; Kang, Jaewoo",BIOINFORMATICS,0836 Biotechnology and Bioengineering; 0710 Biology; 0812 Computer Science and Technology; 0714 Statistics,Article,36,4,1234-1240,2020,3054,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000518528800035,32.180887,17.9849910736084,17.94202,94.9,169.8083,170.2149,Domestic - Multiple,99.9919,6.937
WOS:000612711300001,10.1038/s41573-020-00114-z,MEDLINE:33510482,Natural products in drug discovery: advances and opportunities,"Atanasov, Atanas G.; Zotchev, Sergey B.; Dirsch, Verena M.; Supuran, Claudiu T.",NATURE REVIEWS DRUG DISCOVERY,1007 Pharmaceutical Science; 0836 Biotechnology and Bioengineering,Review,20,3,200-216,2021,3047,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000612711300001,530.8,35.5088005065918,81.31285,5.74,85.8097,37.4726,International - Quadrilateral +,99.9788,112.288
WOS:000534871500002,10.1038/s41587-020-0546-8,MEDLINE:32444850,Visualizing and interpreting cancer genomics data via the Xena platform,"Goldman, Mary J.; Craft, Brian; Hastie, Mim; Repecka, Kristupas; McDade, Fran; Kamath, Akhil; Banerjee, Ayan; Luo, Yunhai; Rogers, Dave; Brooks, Angela N.; Zhu, Jingchun; Haussler, David",NATURE BIOTECHNOLOGY,0836 Biotechnology and Bioengineering,Letter,38,6,675-678,2020,2663,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534871500002,238.564103,62.432037353515625,191.4375,11.16,42.6544,13.9105,International - Trilateral,99.0291,54.908
WOS:000537473400053,10.1093/bioinformatics/btz931,MEDLINE:31882993,ShinyGO: a graphical gene-set enrichment tool for animals and plants,"Ge, Steven Xijin; Jung, Dongmin; Yao, Runan",BIOINFORMATICS,0710 Biology; 0812 Computer Science and Technology; 0836 Biotechnology and Bioengineering; 0714 Statistics,Data Paper,36,8,2628-2629,2020,2591,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537473400053,201.571429,178.0625,528.2,12.85,14.5511,4.9053,International - Bilateral,93.75,6.937
WOS:000572293100001,10.1186/s13059-020-02154-5,MEDLINE:32912315,GetOrganelle: a fast and versatile toolkit for accurate de novo assembly of organelle genomes,"Jin, Jian-Jun; Yu, Wen-Bin; Yang, Jun-Bo; Song, Yu; dePamphilis, Claude W.; Yi, Ting-Shuang; Li, De-Zhu",GENOME BIOLOGY,1001 Basic Medicine; 0836 Biotechnology and Bioengineering; 0710 Biology,Article,21,1,n/a,2020,2390,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000572293100001,71.89272,17.9849910736084,24.842337,33.24,132.8886,96.2067,International - Trilateral,99.9893,13.583
WOS:000551368000018,10.1038/s41587-020-0513-4,MEDLINE:32300245,CRISPR-Cas12-based detection of SARS-CoV-2,"Broughton, James P.; Deng, Xianding; Yu, Guixia; Fasching, Clare L.; Servellita, Venice; Singh, Jasmeet; Miao, Xin; Streithorst, Jessica A.; Granados, Andrea; Sotomayor-Gonzalez, Alicia; Zorn, Kelsey; Gopez, Allan; Hsu, Elaine; Gu, Wei; Miller, Steve; Pan, Chao-Yang; Guevara, Hugo; Wadford, Debra A.; Chen, Janice S.; Chiu, Charles Y.",NATURE BIOTECHNOLOGY,0836 Biotechnology and Bioengineering,Article,38,7,870-+,2020,1876,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551368000018,222.02,17.9849910736084,17.94202,8.45,104.3092,104.559,Domestic - Multiple,99.9866,54.908
