入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000662222300002,10.5194/soil-7-217-2021,n/a,SoilGrids 2.0: producing soil information for the globe with quantified spatial uncertainty,"Poggio, Laura; de Sousa, Luis M.; Batjes, Niels H.; Heuvelink, Gerard B. M.; Kempen, Bas; Ribeiro, Eloi; Rossiter, David",SOIL,0903 Agricultural Resource and Environment Sciences,Article,7,1,217-240,2021,988,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000662222300002,35.755556,16.79759407043457,13.347773,27.63,58.8179,74.0198,Domestic - Single,99.9855,6.373
WOS:000640189100026,10.1016/j.soilbio.2021.108189,n/a,Plant- or microbial-derived? A review on the molecular composition of stabilized soil organic matter,"Angst, Gerrit; Mueller, Kevin E.; Nierop, Klaas G. J.; Simpson, Myrna J.",SOIL BIOLOGY & BIOCHEMISTRY,0903 Agricultural Resource and Environment Sciences,Review,156,n/a,n/a,2021,629,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000640189100026,113.3,44.20454406738281,112.3,5.55,14.2293,5.6011,International - Quadrilateral +,99.5455,8.546
WOS:000998518600002,10.1007/978-3-030-46622-0_1,n/a,Milestones,"Brito, Richard; Cardoso, Vitor; Pani, Paolo","SUPERRADIANCE, 2 EDITION",0802 Mechanical Engineering; 0807 Power Engineering and Engineering Thermophysics; 0804 Instrumentation Science and Technology; 0815 Hydraulic Engineering; 0709 Geology; 0701 Mathematics; 0903 Agricultural Resource and Environment Sciences; 0801 Mechanics; 0708 Geophysics; 0702 Physics; 0811 Control Science and Engineering; 0805 Materials Science and Engineering; 0703 Chemistry; 0402 Psychology; 0820 Oil and Natural Gas Engineering; 0714 Statistics; 0704 Astronomy; 0810 Information and Communication Engineering; 0812 Computer Science and Technology; 1001 Basic Medicine; 0710 Biology,Article,971,n/a,1-12,2020,589,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000998518600002,8.438095,19.807273864746094,22.87118,69.8,29.7366,25.7529,International - Bilateral,99.9851,n/a
WOS:000700588700001,10.1016/j.soilbio.2021.108422,n/a,Microbial necromass as the source of soil organic carbon in global ecosystems,"Wang, Baorong; An, Shaoshan; Liang, Chao; Liu, Yang; Kuzyakov, Yakov",SOIL BIOLOGY & BIOCHEMISTRY,0903 Agricultural Resource and Environment Sciences,Article,162,n/a,n/a,2021,505,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000700588700001,42.311688,16.79759407043457,21.953192,11.94,30.0638,23.0035,International - Trilateral,99.971,8.546
WOS:000511594900001,10.1007/s11104-019-04374-6,n/a,Arsenic and cadmium accumulation in rice and mitigation strategies,"Zhao, Fang-Jie; Wang, Peng",PLANT AND SOIL,0901 Crop Science; 0903 Agricultural Resource and Environment Sciences,Review,446,1-2,1-21,2020,423,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511594900001,91.6875,59.301368713378906,73.04225,4.61,7.1331,5.7912,Domestic - Single,99.5434,4.192
WOS:000555290900001,10.1111/ejss.13010,n/a,Climate change impacts on soil salinity in agricultural areas,"Corwin, Dennis L.",EUROPEAN JOURNAL OF SOIL SCIENCE,0903 Agricultural Resource and Environment Sciences,Review,72,2,842-862,2020,420,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555290900001,60.416667,59.301368713378906,73.04225,6.95,7.0825,5.7501,Domestic - Single,99.0868,4.949
WOS:000640189100034,10.1016/j.soilbio.2021.108211,n/a,The microplastisphere: Biodegradable microplastics addition alters soil microbial community structure and function,"Zhou, Jie; Gui, Heng; Banfield, Callum C.; Wen, Yuan; Zang, Huadong; Dippold, Michaela A.; Charlton, Adam; Jones, Davey L.",SOIL BIOLOGY & BIOCHEMISTRY,0903 Agricultural Resource and Environment Sciences,Article,156,n/a,n/a,2021,400,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000640189100034,42.311688,16.79759407043457,26.204445,9.45,23.8129,15.2646,International - Quadrilateral +,99.9565,8.546
WOS:000510804700039,10.1016/j.geoderma.2019.114055,n/a,Does biochar improve soil water retention? A systematic review and meta-analysis,"Razzaghi, Fatemeh; Obour, Peter Bilson; Arthur, Emmanuel",GEODERMA,0903 Agricultural Resource and Environment Sciences,Review,361,n/a,n/a,2020,385,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510804700039,102.666667,59.301368713378906,71.70588,3.75,6.4923,5.3692,International - Trilateral,98.6301,6.114
WOS:000513986700015,10.1016/j.soilbio.2019.107686,n/a,Rare microbial taxa as the major drivers of ecosystem multifunctionality in long-term fertilized soils,"Chen, Qing-Lin; Ding, Jing; Zhu, Dong; Hu, Hang-Wei; Delgado-Baquerizo, Manuel; Ma, Yi-Bing; He, Ji-Zheng; Zhu, Yong-Guan",SOIL BIOLOGY & BIOCHEMISTRY,0903 Agricultural Resource and Environment Sciences,Article,141,n/a,n/a,2020,379,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000513986700015,49.75,19.807273864746094,27.495935,7.62,19.1344,13.7839,International - Trilateral,99.9702,7.609
WOS:000531077700016,10.1016/j.catena.2020.104580,n/a,"Comparisons of heuristic, general statistical and machine learning models for landslide susceptibility prediction and mapping","Huang, Faming; Cao, Zhongshan; Guo, Jianfei; Jiang, Shui-Hua; Li, Shu; Guo, Zizheng",CATENA,0903 Agricultural Resource and Environment Sciences; 0815 Hydraulic Engineering; 0708 Geophysics,Article,191,n/a,n/a,2020,352,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531077700016,33.727092,19.807273864746094,19.522137,10.44,17.7712,18.0308,Domestic - Multiple,99.9553,5.198
