入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000507471600023,10.1146/annurev-ento-011019-025151,MEDLINE:31610138,Insect Declines in the Anthropocene,"Wagner, David L.","ANNUAL REVIEW OF ENTOMOLOGY, VOL 65",0904 Plant Protection; 0710 Biology,Review,65,n/a,457-480,2020,874,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507471600023,168.478261,40.07143020629883,39.972828,5.19,21.8111,21.8649,Domestic - Single,99.807,n/a
WOS:000653979300001,10.3390/insects12050440,MEDLINE:34066138,The Impact of Climate Change on Agricultural Insect Pests,"Skendzic, Sandra; Zovko, Monika; Zivkovic, Ivana Pajac; Lesic, Vinko; Lemic, Darija",INSECTS,0710 Biology; 0904 Plant Protection,Review,12,5,n/a,2021,673,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000653979300001,39.617021,28.352060317993164,26.19553,16.99,23.7373,25.6914,Domestic - Multiple,99.8127,3.141
WOS:000507471600015,10.1146/annurev-ento-011019-025224,MEDLINE:31610134,"Mechanisms, Applications, and Challenges of Insect RNA Interference","Zhu, Kun Yan; Palli, Subba Reddy","ANNUAL REVIEW OF ENTOMOLOGY, VOL 65",0904 Plant Protection; 0710 Biology,Review,65,n/a,293-311,2020,452,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507471600015,168.478261,40.07143020629883,37.56209,2.68,11.2799,12.0334,Domestic - Multiple,99.6139,n/a
WOS:000703697400002,10.1007/978-981-15-3449-2_1,MEDLINE:32445090,Epigenetics in Health and Disease,"Zhang, Lian; Lu, Qianjin; Chang, Christopher",EPIGENETICS IN ALLERGY AND AUTOIMMUNITY,1202 Business Administration; 0830 Environmental Science and Engineering; 0401 Education; 0402 Psychology; 1004 Public Health and Preventive Medicine; 0710 Biology; 1001 Basic Medicine; 1002 Clinical Medicine; 0812 Computer Science and Technology; 0701 Mathematics; 0703 Chemistry; 0702 Physics; 0713 Ecology; 0836 Biotechnology and Bioengineering; 0831 Biomedical Engineering; 1007 Pharmaceutical Science; 0805 Materials Science and Engineering; 1010 Medical Technology; 0804 Instrumentation Science and Technology; 0814 Civil Engineering; 1009 Special Medicine; 0832 Food Science and Engineering; 0901 Crop Science; 0905 Animal Science; 1003 Stomatology; 0906 Veterinary Medicine; 0403 Physical Education and Sport Science; 1400 Cross-field; 0908 Fisheries; 0904 Plant Protection,Book Chapter,1253,n/a,3-55,2020,445,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000703697400002,7.564103,7.192770957946777,19.913044,58.83,61.8677,22.3472,International - Bilateral,98.7952,n/a
WOS:000555305400002,10.1007/978-3-030-33128-3_1,MEDLINE:32030660,Deep Learning in Medical Image Analysis,"Chan, Heang-Ping; Samala, Ravi K.; Hadjiiski, Lubomir M.; Zhou, Chuan",DEEP LEARNING IN MEDICAL IMAGE ANALYSIS: CHALLENGES AND APPLICATIONS,0906 Veterinary Medicine; 0901 Crop Science; 0905 Animal Science; 0904 Plant Protection; 0832 Food Science and Engineering; 0908 Fisheries; 0804 Instrumentation Science and Technology; 0701 Mathematics; 0401 Education; 1003 Stomatology; 0403 Physical Education and Sport Science; 1007 Pharmaceutical Science; 0814 Civil Engineering; 0831 Biomedical Engineering; 0702 Physics; 0402 Psychology; 0703 Chemistry; 0805 Materials Science and Engineering; 0713 Ecology; 0836 Biotechnology and Bioengineering; 0830 Environmental Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 1202 Business Administration; 1001 Basic Medicine; 0710 Biology; 0812 Computer Science and Technology; 1002 Clinical Medicine; 1004 Public Health and Preventive Medicine; 1400 Cross-field,Article,1213,n/a,3-21,2020,445,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555305400002,17.952763,13.842398643493652,13.484233,24.79,32.1476,33.0015,Domestic - Single,99.9893,n/a
WOS:000531551400001,10.1127/entomologia/2020/0936,n/a,"Age-Stage, two-sex life table: an introduction to theory, data analysis, and application","Chi, Hsin; You, Minsheng; Atlihan, Remzi; Smith, Cecil L.; Kavousi, Aurang; Ozgokce, Mehmet Salih; Guncan, Ali; Tuan, Shu-Jen; Fu, Jian-Wei; Xu, Yong-Yu; Zheng, Fang-Qiang; Ye, Bao-Hua; Chu, Dong; Yu, Yi; Gharekhani, Gholamhossein; Saska, Pavel; Gotoh, Tetsuo; Ines Schneider, Marcela; Bussaman, Prapassorn; Gokce, Ayhan; Liu, Tong-Xian",ENTOMOLOGIA GENERALIS,0904 Plant Protection; 0710 Biology,Review,40,2,103-124,2020,395,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531551400001,213.5,40.07143020629883,58.130436,1.85,9.8574,6.7951,International - Quadrilateral +,99.4209,5.625
WOS:000507471600012,10.1146/annurev-ento-011019-025010,MEDLINE:31594414,Botanical Insecticides in the Twenty-First Century-Fulfilling Their Promise?,"Isman, Murray B.","ANNUAL REVIEW OF ENTOMOLOGY, VOL 65",0904 Plant Protection; 0710 Biology,Review,65,n/a,233-249,2020,375,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507471600012,168.478261,40.07143020629883,39.972828,2.23,9.3583,9.3814,Domestic - Single,99.2278,n/a
WOS:000554918800003,10.1007/978-981-15-3266-5_3,MEDLINE:32185706,"Roles of PD-1/PD-L1 Pathway: Signaling, Cancer, and Beyond","Ai, Luoyan; Xu, Antao; Xu, Jie",REGULATION OF CANCER IMMUNE CHECKPOINTS: MOLECULAR AND CELLULAR MECHANISMS AND THERAPY,0906 Veterinary Medicine; 0905 Animal Science; 0901 Crop Science; 0904 Plant Protection; 0832 Food Science and Engineering; 0401 Education; 0701 Mathematics; 0804 Instrumentation Science and Technology; 0908 Fisheries; 1003 Stomatology; 0403 Physical Education and Sport Science; 0814 Civil Engineering; 1007 Pharmaceutical Science; 0402 Psychology; 0713 Ecology; 0831 Biomedical Engineering; 0702 Physics; 0836 Biotechnology and Bioengineering; 0703 Chemistry; 0805 Materials Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1202 Business Administration; 0710 Biology; 0812 Computer Science and Technology; 1002 Clinical Medicine; 1001 Basic Medicine; 1004 Public Health and Preventive Medicine; 1400 Cross-field,Article,1248,n/a,33-59,2020,370,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000554918800003,17.952763,13.842398643493652,13.06354,20.61,26.7295,28.3231,Domestic - Multiple,99.9786,n/a
WOS:000595857500001,10.1007/978-981-15-8104-5_1,MEDLINE:33155134,Overview of Histone Modification,"Zhang, Yanjun; Sun, Zhongxing; Jia, Junqi; Du, Tianjiao; Zhang, Nachuan; Tang, Yin; Fang, Yuan; Fang, Dong",HISTONE MUTATIONS AND CANCER,0401 Education; 0901 Crop Science; 0904 Plant Protection; 0906 Veterinary Medicine; 0905 Animal Science; 1003 Stomatology; 0908 Fisheries; 0701 Mathematics; 0403 Physical Education and Sport Science; 0832 Food Science and Engineering; 0814 Civil Engineering; 1007 Pharmaceutical Science; 1010 Medical Technology; 1009 Special Medicine; 0804 Instrumentation Science and Technology; 0713 Ecology; 0402 Psychology; 0702 Physics; 1004 Public Health and Preventive Medicine; 0831 Biomedical Engineering; 0805 Materials Science and Engineering; 0836 Biotechnology and Bioengineering; 0703 Chemistry; 0830 Environmental Science and Engineering; 1001 Basic Medicine; 0710 Biology; 1202 Business Administration; 1002 Clinical Medicine; 0812 Computer Science and Technology; 1400 Cross-field,Article,1283,n/a,1-16,2021,309,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000595857500001,9.133274,9.72710132598877,9.617637,33.83,31.7669,32.1285,Domestic - Single,99.9896,n/a
WOS:000685389800001,10.1007/s11101-021-09773-1,MEDLINE:34421444,A review of alpha-glucosidase inhibitors from plants as potential candidates for the treatment of type-2 diabetes,"Dirir, Amina M.; Daou, Marianne; Yousef, Ahmed F.; Yousef, Lina F.",PHYTOCHEMISTRY REVIEWS,0904 Plant Protection,Review,21,4,1049-1079,2021,302,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000685389800001,42.8125,28.352060317993164,24.348684,7.05,10.6518,12.4031,Domestic - Single,99.6255,7.741
