Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000536737600001,10.1007/s11676-020-01155-1,n/a,A commentary review on the use of normalized difference vegetation index (NDVI) in the era of popular remote sensing,"Huang, Sha; Tang, Lina; Hupy, Joseph P.; Wang, Yang; Shao, Guofan",JOURNAL OF FORESTRY RESEARCH,0907 Forestry; 0829 Forestry Engineering,Review,32,1,1-6,2020,833,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000536737600001,122.75,41.4301872253418,49.339287,6.79,20.1061,16.8831,International - Bilateral,99.6226,2.149
WOS:001250139804219,10.1109/IGARSS47720.2021.9553499,n/a,Global land use / land cover with Sentinel 2 and deep learning,"Karra, Krishna; Kontgis, Caitlin; Statman-Weil, Zoe; Mazzariello, Joseph C.; Mathis, Mark; Brumby, Steven P.",2021 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS,0830 Environmental Science and Engineering; 0804 Instrumentation Science and Technology; 0709 Geology; 0706 Atmospheric Science; 0707 Marine Science; 0907 Forestry; 0705 Geography; 0901 Crop Science; 0708 Geophysics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,4704-4707,2021,832,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001250139804219,1.380864,1.1884440183639526,1.1456298,602.52,700.075,726.2381,Domestic - Single,99.9936,n/a
WOS:000920916600052,10.1109/IGARSS46834.2022.9883686,n/a,A TRANSFORMER-BASED SIAMESE NETWORK FOR CHANGE DETECTION,"Bandara, Wele Gedara Chaminda; Patel, Vishal M.",2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),0706 Atmospheric Science; 0709 Geology; 0907 Forestry; 0707 Marine Science; 0901 Crop Science; 0830 Environmental Science and Engineering; 0804 Instrumentation Science and Technology; 0705 Geography; 0708 Geophysics; 0812 Computer Science and Technology; 0816 Surveying and Mapping,Proceedings Paper,n/a,n/a,207-210,2022,492,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000920916600052,2.009302,1.1470685005187988,1.0076425,244.86,428.9195,488.2684,Domestic - Single,99.9918,n/a
WOS:000530639700023,10.1016/j.foreco.2020.118127,n/a,Tamm Review: Influence of forest management activities on soil organic carbon stocks: A knowledge synthesis,"Mayer, Mathias; Prescott, Cindy E.; Abaker, Wafa E. A.; Augusto, Laurent; Cecillon, Lauric; Ferreira, Gabriel W. D.; James, Jason; Jandl, Robert; Katzensteiner, Klaus; Laclau, Jean-Paul; Laganiere, Jerome; Nouvellon, Yann; Pare, David; Stanturf, John A.; Vanguelova, Elena, I; Vesterdal, Lars",FOREST ECOLOGY AND MANAGEMENT,0907 Forestry,Review,466,n/a,n/a,2020,458,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000530639700023,61.740741,41.4301872253418,67.388885,7.42,11.0547,6.7964,International - Quadrilateral +,99.2453,3.558
WOS:000524972100007,10.1016/j.ufug.2020.126630,n/a,Critical review on the cooling effect of urban blue-green space: A threshold-size perspective,"Yu, Zhaowu; Yang, Gaoyuan; Zuo, Shudi; Jorgensen, Gertrud; Koga, Motoya; Vejre, Henrik",URBAN FORESTRY & URBAN GREENING,0833 Urban and Rural Planning; 0907 Forestry; 0830 Environmental Science and Engineering; 0909 Grassland Science,Review,49,n/a,n/a,2020,455,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524972100007,90.785714,41.4301872253418,63.192307,5.01,10.9823,7.2002,International - Trilateral,98.8679,4.539
WOS:000599512600004,10.1016/j.ufug.2020.126888,MEDLINE:33100944,Effects of the COVID-19 pandemic on the use and perceptions of urban green space: An international exploratory study,"Ugolini, Francesca; Massetti, Luciano; Calaza-Martinez, Pedro; Carinanos, Paloma; Dobbs, Cynnamon; Ostoic, Silvija Krajter; Marin, Ana Marija; Pearlmutter, David; Saaroni, Hadas; Sauliene, Ingrida; Simoneti, Maja; Verlic, Andrej; Vuletic, Dijana; Sanesi, Giovanni",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0833 Urban and Rural Planning; 0909 Grassland Science; 0830 Environmental Science and Engineering,Article,56,n/a,n/a,2020,421,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000599512600004,31.347015,12.95725154876709,26.661596,13.43,32.4915,15.7905,International - Quadrilateral +,99.9879,4.539
WOS:000511933400001,10.1186/s42408-019-0062-8,n/a,"Changing wildfire, changing forests: the effects of climate change on fire regimes and vegetation in the Pacific Northwest, USA","Halofsky, Jessica E.; Peterson, David L.; Harvey, Brian J.",FIRE ECOLOGY,0713 Ecology; 0907 Forestry,Review,16,1,n/a,2020,404,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511933400001,226.5,41.4301872253418,35.963856,1.78,9.7513,11.2335,Domestic - Multiple,98.4906,2.738
WOS:000588851100001,10.1007/s11676-020-01249-w,MEDLINE:33204057,Impacts of COVID-19 pandemic on urban park visitation: a global analysis,"Geng, Dehui (Christina); Innes, John; Wu, Wanli; Wang, Guangyu",JOURNAL OF FORESTRY RESEARCH,0829 Forestry Engineering; 0907 Forestry,Article,32,2,553-567,2020,359,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000588851100001,11.938005,12.95725154876709,10.118905,30.07,27.7065,35.4781,Domestic - Single,99.9758,2.149
WOS:000641972100007,10.1016/j.ufug.2021.127105,n/a,Linking public urban green spaces and human well-being: A systematic review,"Reyes-Riveros, Rosa; Altamirano, Adison; De la Barrera, Francisco; Rozas-Vasquez, Daniel; Vieli, Lorena; Meli, Paula",URBAN FORESTRY & URBAN GREENING,0907 Forestry; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering; 0909 Grassland Science,Review,61,n/a,n/a,2021,322,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000641972100007,67.0,26.501529693603516,25.460785,4.81,12.1502,12.6469,Domestic - Multiple,99.6942,5.766
WOS:000610495100002,10.1007/s00226-020-01258-2,n/a,"Chemical functional groups of extractives, cellulose and lignin extracted from native Leucaena leucocephala bark","Md Salim, Rafidah; Asik, Jahimin; Sarjadi, Mohd Sani",WOOD SCIENCE AND TECHNOLOGY,0907 Forestry; 0829 Forestry Engineering; 0822 Light Industry Technology and Engineering; 0805 Materials Science and Engineering,Article,55,2,295-313,2021,309,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000610495100002,14.585106,10.74213695526123,9.915588,21.19,28.7652,31.1631,Domestic - Multiple,99.9884,2.898
