Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000531069200009,10.1111/raq.12344,n/a,"Antibiotic use in aquaculture, policies and regulation, health and environmental risks: a review of the top 15 major producers","Lulijwa, Ronald; Rupia, Emmanuel Joseph; Alfaro, Andrea C.",REVIEWS IN AQUACULTURE,0908 Fisheries,Review,12,2,640-663,2020,487,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531069200009,62.460526,40.506526947021484,76.27273,7.8,12.0228,6.385,International - Trilateral,99.7389,10.592
WOS:000703697400002,10.1007/978-981-15-3449-2_1,MEDLINE:32445090,Epigenetics in Health and Disease,"Zhang, Lian; Lu, Qianjin; Chang, Christopher",EPIGENETICS IN ALLERGY AND AUTOIMMUNITY,1202 Business Administration; 0830 Environmental Science and Engineering; 0401 Education; 0402 Psychology; 1004 Public Health and Preventive Medicine; 0710 Biology; 1001 Basic Medicine; 1002 Clinical Medicine; 0812 Computer Science and Technology; 0701 Mathematics; 0703 Chemistry; 0702 Physics; 0713 Ecology; 0836 Biotechnology and Bioengineering; 0831 Biomedical Engineering; 1007 Pharmaceutical Science; 0805 Materials Science and Engineering; 1010 Medical Technology; 0804 Instrumentation Science and Technology; 0814 Civil Engineering; 1009 Special Medicine; 0832 Food Science and Engineering; 0901 Crop Science; 0905 Animal Science; 1003 Stomatology; 0906 Veterinary Medicine; 0403 Physical Education and Sport Science; 1400 Cross-field; 0908 Fisheries; 0904 Plant Protection,Book Chapter,1253,n/a,3-55,2020,445,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000703697400002,7.564103,4.482758522033691,15.931034,58.83,99.2692,27.9329,International - Bilateral,99.3104,n/a
WOS:000555305400002,10.1007/978-3-030-33128-3_1,MEDLINE:32030660,Deep Learning in Medical Image Analysis,"Chan, Heang-Ping; Samala, Ravi K.; Hadjiiski, Lubomir M.; Zhou, Chuan",DEEP LEARNING IN MEDICAL IMAGE ANALYSIS: CHALLENGES AND APPLICATIONS,0906 Veterinary Medicine; 0901 Crop Science; 0905 Animal Science; 0904 Plant Protection; 0832 Food Science and Engineering; 0908 Fisheries; 0804 Instrumentation Science and Technology; 0701 Mathematics; 0401 Education; 1003 Stomatology; 0403 Physical Education and Sport Science; 1007 Pharmaceutical Science; 0814 Civil Engineering; 0831 Biomedical Engineering; 0702 Physics; 0402 Psychology; 0703 Chemistry; 0805 Materials Science and Engineering; 0713 Ecology; 0836 Biotechnology and Bioengineering; 0830 Environmental Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 1202 Business Administration; 1001 Basic Medicine; 0710 Biology; 0812 Computer Science and Technology; 1002 Clinical Medicine; 1004 Public Health and Preventive Medicine; 1400 Cross-field,Article,1213,n/a,3-21,2020,445,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555305400002,17.952763,14.411154747009277,13.03518,24.79,30.8789,34.1384,Domestic - Single,99.9888,n/a
WOS:000542482600002,10.1111/jwas.12714,n/a,Achieving sustainable aquaculture: Historical and current perspectives and future needs and challenges,"Boyd, Claude E.; D'Abramo, Louis R.; Glencross, Brent D.; Huyben, David C.; Juarez, Lorenzo M.; Lockwood, George S.; McNevin, Aaron A.; Tacon, Albert G. J.; Teletchea, Fabrice; Tomasso, Joseph R., Jr.; Tucker, Craig S.; Valenti, Wagner C.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,0908 Fisheries,Review,51,3,578-633,2020,423,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000542482600002,134.5,40.506526947021484,54.707317,3.14,10.4428,7.7321,International - Quadrilateral +,99.4778,2.512
WOS:000559674600001,10.1111/raq.12492,n/a,Nutritional immunity of fish intestines: important insights for sustainable aquaculture,"Dawood, Mahmoud A. O.",REVIEWS IN AQUACULTURE,0908 Fisheries,Article,13,1,642-663,2020,415,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000559674600001,64.5,14.411154747009277,16.571428,6.43,28.7971,25.0431,International - Bilateral,99.9777,10.592
WOS:000579170100001,10.1111/faf.12516,n/a,"""Two-Eyed Seeing"": An Indigenous framework to transform fisheries research and management","Reid, Andrea J.; Eckert, Lauren E.; Lane, John-Francis; Young, Nathan; Hinch, Scott G.; Darimont, Chris T.; Cooke, Steven J.; Ban, Natalie C.; Marshall, Albert",FISH AND FISHERIES,0908 Fisheries,Article,22,2,243-261,2020,396,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579170100001,36.21519,14.411154747009277,13.495753,10.93,27.4787,29.3426,Domestic - Multiple,99.9665,7.218
WOS:000691775600004,10.1016/j.fsi.2021.07.007,MEDLINE:34274422,The functionality of probiotics in aquaculture: An overview,"El-Saadony, Mohamed T.; Alagawany, Mahmoud; Patra, Amlan K.; Kar, Indrajit; Tiwari, Ruchi; Dawood, Mahmoud A. O.; Dhama, Kuldeep; Abdel-Latif, Hany M. R.",FISH & SHELLFISH IMMUNOLOGY,0906 Veterinary Medicine; 0908 Fisheries; 1001 Basic Medicine; 0710 Biology,Article,117,n/a,36-52,2021,381,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000691775600004,18.487374,10.504091262817383,11.9925,20.61,36.2716,31.7699,International - Bilateral,99.9886,4.622
WOS:000554918800003,10.1007/978-981-15-3266-5_3,MEDLINE:32185706,"Roles of PD-1/PD-L1 Pathway: Signaling, Cancer, and Beyond","Ai, Luoyan; Xu, Antao; Xu, Jie",REGULATION OF CANCER IMMUNE CHECKPOINTS: MOLECULAR AND CELLULAR MECHANISMS AND THERAPY,0906 Veterinary Medicine; 0905 Animal Science; 0901 Crop Science; 0904 Plant Protection; 0832 Food Science and Engineering; 0401 Education; 0701 Mathematics; 0804 Instrumentation Science and Technology; 0908 Fisheries; 1003 Stomatology; 0403 Physical Education and Sport Science; 0814 Civil Engineering; 1007 Pharmaceutical Science; 0402 Psychology; 0713 Ecology; 0831 Biomedical Engineering; 0702 Physics; 0836 Biotechnology and Bioengineering; 0703 Chemistry; 0805 Materials Science and Engineering; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1202 Business Administration; 0710 Biology; 0812 Computer Science and Technology; 1002 Clinical Medicine; 1001 Basic Medicine; 1004 Public Health and Preventive Medicine; 1400 Cross-field,Article,1248,n/a,33-59,2020,370,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000554918800003,17.952763,14.411154747009277,13.495753,20.61,25.6746,27.416,Domestic - Multiple,99.9554,n/a
WOS:000588735000001,10.1111/jfb.14599,MEDLINE:33111333,Temperature increase and its effects on fish stress physiology in the context of global warming,"Alfonso, Sebastien; Gesto, Manuel; Sadoul, Bastien",JOURNAL OF FISH BIOLOGY,0908 Fisheries; 0710 Biology,Review,98,6,1496-1508,2020,345,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000588735000001,64.428571,40.506526947021484,76.27273,5.35,8.5171,4.5232,International - Trilateral,99.2167,2.051
WOS:000553393600001,10.1080/23308249.2020.1795616,n/a,"Oxidative Stress and Antioxidant Defense in Fish: The Implications of Probiotic, Prebiotic, and Synbiotics","Hoseinifar, Seyed Hossein; Yousefi, Samira; Van Doan, Hien; Ashouri, Ghasem; Gioacchini, Giorgia; Maradonna, Francesca; Carnevali, Oliana",REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,0908 Fisheries,Review,29,2,198-217,2020,336,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000553393600001,55.2,40.506526947021484,76.27273,6.09,8.295,4.4052,International - Trilateral,98.9556,5.893
WOS:000595857500001,10.1007/978-981-15-8104-5_1,MEDLINE:33155134,Overview of Histone Modification,"Zhang, Yanjun; Sun, Zhongxing; Jia, Junqi; Du, Tianjiao; Zhang, Nachuan; Tang, Yin; Fang, Yuan; Fang, Dong",HISTONE MUTATIONS AND CANCER,0401 Education; 0901 Crop Science; 0904 Plant Protection; 0906 Veterinary Medicine; 0905 Animal Science; 1003 Stomatology; 0908 Fisheries; 0701 Mathematics; 0403 Physical Education and Sport Science; 0832 Food Science and Engineering; 0814 Civil Engineering; 1007 Pharmaceutical Science; 1010 Medical Technology; 1009 Special Medicine; 0804 Instrumentation Science and Technology; 0713 Ecology; 0402 Psychology; 0702 Physics; 1004 Public Health and Preventive Medicine; 0831 Biomedical Engineering; 0805 Materials Science and Engineering; 0836 Biotechnology and Bioengineering; 0703 Chemistry; 0830 Environmental Science and Engineering; 1001 Basic Medicine; 0710 Biology; 1202 Business Administration; 1002 Clinical Medicine; 0812 Computer Science and Technology; 1400 Cross-field,Article,1283,n/a,1-16,2021,309,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000595857500001,9.133274,10.504091262817383,9.395411,33.83,29.4171,32.8884,Domestic - Single,99.9773,n/a
WOS:000509974400001,10.1111/raq.12416,n/a,Gut microbiota metagenomics in aquaculture: factors influencing gut microbiome and its physiological role in fish,"Yukgehnaish, Kumarasan; Kumar, Praveen; Sivachandran, Parimannan; Marimuthu, Kasi; Arshad, Aziz; Paray, Bilal Ahmad; Arockiaraj, Jesu",REVIEWS IN AQUACULTURE,0908 Fisheries,Article,12,3,1903-1927,2020,293,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509974400001,64.5,14.411154747009277,25.805,4.54,20.3315,11.3544,International - Quadrilateral +,99.9442,10.592
WOS:000548205700001,10.1111/raq.12301,n/a,A global review of the ecosystem services provided by bivalve aquaculture,"Olivier, Andrew van der Schatte; Jones, Laurence; Le Vay, Lewis; Christie, Michael; Wilson, James; Malham, Shelagh K.",REVIEWS IN AQUACULTURE,0908 Fisheries,Review,12,1,3-25,2020,278,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000548205700001,62.460526,40.506526947021484,31.817308,4.45,6.8631,8.7374,Domestic - Multiple,98.6945,10.592
