Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:001207690601035,n/a,n/a,Language Models are Few-Shot Learners,"Brown, Tom B.; Mann, Benjamin; Ryder, Nick; Subbiah, Melanie; Kaplan, Jared; Dhariwal, Prafulla; Neelakantan, Arvind; Shyam, Pranav; Sastry, Girish; Askell, Amanda; Agarwal, Sandhini; Herbert-Voss, Ariel; Krueger, Gretchen; Henighan, Tom; Child, Rewon; Ramesh, Aditya; Ziegler, Daniel M.; Wu, Jeffrey; Winter, Clemens; Hesse, Christopher; Chen, Mark; Sigler, Eric; Litwin, Mateusz; Gray, Scott; Chess, Benjamin; Clark, Jack; Berner, Christopher; McCandlish, Sam; Radford, Alec; Sutskever, Ilya; Amodei, Dario","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 33, NEURIPS 2020",0812 Computer Science and Technology; 1001 Basic Medicine; 0402 Psychology,Proceedings Paper,33,n/a,n/a,2020,14542,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001207690601035,35.714844,3.4453561305999756,3.8540442,407.17,4220.7538,3773.1794,Domestic - Multiple,99.9982,n/a
WOS:000671060500025,10.1093/molbev/msab120,MEDLINE:33892491,MEGA11 Molecular Evolutionary Genetics Analysis Version 11,"Tamura, Koichiro; Stecher, Glen; Kumar, Sudhir",MOLECULAR BIOLOGY AND EVOLUTION,0710 Biology; 1001 Basic Medicine,Article,38,7,3022-3027,2021,12494,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000671060500025,53.176087,14.812976837158203,21.394352,234.96,843.4496,583.9859,International - Trilateral,99.9995,8.8
WOS:000526184900011,10.1016/j.cell.2020.02.052,MEDLINE:32142651,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor,"Hoffmann, Markus; Kleine-Weber, Hannah; Schroeder, Simon; Krueger, Nadine; Herrler, Tanja; Erichsen, Sandra; Schiergens, Tobias S.; Herrler, Georg; Wu, Nai-Huei; Nitsche, Andreas; Mueller, Marcel A.; Drosten, Christian; Poehlmann, Stefan",CELL,1001 Basic Medicine; 0710 Biology,Article,181,2,271-+,2020,10989,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526184900011,324.408719,20.340620040893555,29.971226,33.87,540.249,366.6517,International - Trilateral,99.9995,41.584
WOS:000537426600023,10.1093/molbev/msaa015,MEDLINE:32011700,IQ-TREE 2: New Models and Efficient Methods for Phylogenetic Inference in the Genomic Era,"Minh, Bui Quang; Schmidt, Heiko A.; Chernomor, Olga; Schrempf, Dominik; Woodhams, Michael D.; von Haeseler, Arndt; Lanfear, Robert",MOLECULAR BIOLOGY AND EVOLUTION,1001 Basic Medicine; 0710 Biology,Article,37,5,1530-1534,2020,8518,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537426600023,72.152727,20.340620040893555,29.971226,118.06,418.768,284.2059,International - Trilateral,99.999,16.24
WOS:000665547300020,10.1016/j.cell.2021.04.048,MEDLINE:34062119,Integrated analysis of multimodal single-cell data,"Hao, Yuhan; Hao, Stephanie; Andersen-Nissen, Erica; Mauck, William M. I. I. I. I. I. I.; Zheng, Shiwei; Butler, Andrew; Lee, Maddie J.; Wilk, Aaron J.; Darby, Charlotte; Zager, Michael; Hoffman, Paul; Stoeckius, Marlon; Papalexi, Efthymia; Mimitou, Eleni P.; Jain, Jaison; Srivastava, Avi; Stuart, Tim; Fleming, Lamar M.; Yeung, Bertrand; Rogers, Angela J.; McElrath, Juliana M.; Blish, Catherine A.; Gottardo, Raphael; Smibert, Peter; Satija, Rahul",CELL,0710 Biology; 1001 Basic Medicine,Article,184,13,3573-+,2021,7504,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000665547300020,184.191617,14.812976837158203,16.725378,40.74,506.5828,448.6595,International - Bilateral,99.999,66.85
WOS:000817903300026,n/a,n/a,"Climate change 2022: Impacts, adaptation and vulnerability","Suter, Glenn",INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,0830 Environmental Science and Engineering; 1001 Basic Medicine,Book Review,18,4,1117-1118,2022,6612,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000817903300026,183.666667,31.89622688293457,0.0,36.0,207.2972,0.0,n/a,99.5283,3.1
WOS:000526184900012,10.1016/j.cell.2020.02.058,n/a,"Structure, Function, and Antigenicity of the SARS-CoV-2 Spike Glycoprotein","Walls, Alexandra C.; Park, Young-Jun; Tortorici, M. Alejandra; Wall, Abigail; McGuire, Andrew T.; Veesler, David",CELL,1001 Basic Medicine; 0710 Biology,Article,181,2,281-+,2020,6392,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526184900012,324.408719,20.340620040893555,23.734728,19.7,314.248,269.31,International - Bilateral,99.9985,41.584
WOS:000611418800002,10.1038/s41580-020-00324-8,MEDLINE:33495651,"Ferroptosis: mechanisms, biology and role in disease","Jiang, Xuejun; Stockwell, Brent R.; Conrad, Marcus",NATURE REVIEWS MOLECULAR CELL BIOLOGY,0710 Biology; 1001 Basic Medicine,Review,22,4,266-282,2021,4471,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000611418800002,406.977778,32.43564987182617,37.978737,10.99,137.8422,117.7238,International - Trilateral,99.9973,113.915
WOS:000511096100001,10.1038/s41422-020-0282-0,MEDLINE:32020029,Remdesivir and chloroquine effectively inhibit the recently emerged novel coronavirus (2019-nCoV) in vitro,"Wang, Manli; Cao, Ruiyuan; Zhang, Leike; Yang, Xinglou; Liu, Jia; Xu, Mingyue; Shi, Zhengli; Hu, Zhihong; Zhong, Wu; Xiao, Gengfu",CELL RESEARCH,1001 Basic Medicine; 0710 Biology,Letter,30,3,269-271,2020,4218,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511096100001,135.8,12.231860160827637,13.745151,31.06,344.8372,306.8719,Domestic - Multiple,99.9861,25.617
WOS:001213811609007,n/a,n/a,Training language models to follow instructions with human feedback,"Ouyang, Long; Wu, Jeff; Jiang, Xu; Almeida, Diogo; Wainwright, Carroll L.; Mishkin, Pamela; Zhang, Chong; Agarwal, Sandhini; Slama, Katarina; Ray, Alex; Schulman, John; Hilton, Jacob; Kelton, Fraser; Miller, Luke; Simens, Maddie; Askell, Amanda; Welinder, Peter; Christiano, Paul",ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 35 (NEURIPS 2022),1001 Basic Medicine; 0402 Psychology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,n/a,2022,4103,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001213811609007,10.254442,3.473634719848633,3.7281477,400.12,1181.1835,1100.5465,Domestic - Multiple,99.9975,n/a
