Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000516545000001,10.1038/s41368-020-0074-x,n/a,High expression of ACE2 receptor of 2019-nCoV on the epithelial cells of oral mucosa,"Xu, Hao; Zhong, Liang; Deng, Jiaxin; Peng, Jiakuan; Dan, Hongxia; Zeng, Xin; Li, Taiwen; Chen, Qianming",INTERNATIONAL JOURNAL OF ORAL SCIENCE,1003 Stomatology,Article,12,1,n/a,2020,1793,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000516545000001,95.115385,11.55329704284668,11.178629,18.85,155.1938,160.3953,Domestic - Multiple,99.9944,6.344
WOS:000518214500001,10.1038/s41368-020-0075-9,MEDLINE:32127517,Transmission routes of 2019-nCoV and controls in dental practice,"Peng, Xian; Xu, Xin; Li, Yuqing; Cheng, Lei; Zhou, Xuedong; Ren, Biao",INTERNATIONAL JOURNAL OF ORAL SCIENCE,1003 Stomatology,Review,12,1,n/a,2020,1183,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000518214500001,207.166667,28.571134567260742,23.63293,5.71,41.4054,50.0573,Domestic - Single,99.9485,6.344
WOS:000552425700001,10.1111/jcpe.13290,MEDLINE:32383274,Treatment of stage I-III periodontitis-The EFP S3 level clinical practice guideline,"Sanz, Mariano; Herrera, David; Kebschull, Moritz; Chapple, Iain; Jepsen, Soren; Beglundh, Tord; Sculean, Anton; Tonetti, Maurizio S.",JOURNAL OF CLINICAL PERIODONTOLOGY,1003 Stomatology,Article,47,n/a,4-60,2020,1012,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000552425700001,37.852941,11.55329704284668,26.026087,26.74,87.594,38.8841,International - Quadrilateral +,99.9887,8.728
WOS:000510495600001,10.1111/jcpe.13189,n/a,Periodontitis and cardiovascular diseases: Consensus report,"Sanz, Mariano; Marco del Castillo, Alvaro; Jepsen, Soren; Gonzalez-Juanatey, Jose R.; D'Aiuto, Francesco; Bouchard, Philippe; Chapple, Iain; Dietrich, Thomas; Gotsman, Israel; Graziani, Filippo; Herrera, David; Loos, Bruno; Madianos, Phoebus; Michel, Jean-Baptiste; Perel, Pablo; Pieske, Burkert; Shapira, Lior; Shechter, Michael; Tonetti, Maurizio; Vlachopoulos, Charalambos; Wimmer, Gernot",JOURNAL OF CLINICAL PERIODONTOLOGY,1003 Stomatology,Article,47,3,268-288,2020,993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510495600001,37.852941,11.55329704284668,26.026087,26.23,85.9495,38.154,International - Quadrilateral +,99.9831,8.728
WOS:000523821200001,="10.1177/0022034520914246",MEDLINE:32162995,Coronavirus Disease 2019 (COVID-19): Emerging and Future Challenges for Dental and Oral Medicine,"Meng, L.; Hua, F.; Bian, Z.",JOURNAL OF DENTAL RESEARCH,1003 Stomatology,Article,99,5,481-487,2020,959,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000523821200001,39.728814,11.55329704284668,10.091751,24.14,83.0066,95.0281,Domestic - Single,99.9775,6.116
WOS:000517709800001,="10.1177/0022034520908533",MEDLINE:32122215,"Global, Regional, and National Levels and Trends in Burden of Oral Conditions from 1990 to 2017: A Systematic Analysis for the Global Burden of Disease 2017 Study","Bernabe, E.; Marcenes, W.; Hernandez, C. R.; Bailey, J.; Abreu, L. G.; Alipour, V; Amini, S.; Arabloo, J.; Arefi, Z.; Arora, A.; Ayanore, M. A.; Baernighausen, T. W.; Chan, T. H.; Bijani, A.; Cho, D. Y.; Chu, D. T.; Crowe, C. S.; Demoz, G. T.; Demsie, D. G.; Forooshani, Z. S. Dibaji; Du, M.; El Tantawi, M.; Fischer, F.; Folayan, M. O.; Futran, N. D.; Geramo, Y. C. D.; Haj-Mirzaian, A.; Hariyani, N.; Hasanzadeh, A.; Hassanipour, S.; Hay, S., I; Hole, M. K.; Hostiuc, S.; Ilic, M. D.; James, S. L.; Kalhor, R.; Kemmer, L.; Keramati, M.; Khader, Y. S.; Kisa, S.; Kisa, A.; Koyanagi, A.; Lalloo, R.; Le Nguyen, Q.; London, S. D.; Manohar, N. D.; Massenburg, B. B.; Mathur, M. R.; Meles, H. G.; Mestrovic, T.; Mohammadian-Hafshejani, A.; Mohammadpourhodki, R.; Mokdad, A. H.; Morrison, S. D.; Nazari, J.; Nguyen, T. H.; Nguyen, C. T.; Nixon, M. R.; Olagunju, T. O.; Pakshir, K.; Pathak, M.; Rabiee, N.; Rafiei, A.; Ramezanzadeh, K.; Rios-Blancas, M. J.; Roro, E. M.; Sabour, S.; Samy, A. M.; Sawhney, M.; Schwendicke, F.; Shaahmadi, F.; Shaikh, M. A.; Stein, C.; Tovani-Palone, M. R.; Tran, B. X.; Unnikrishnan, B.; Vu, G. T.; Vukovic, A.; Warouw, T. S. S.; Zaidi, Z.; Zhang, Z. J.; Kassebaum, N. J.",JOURNAL OF DENTAL RESEARCH,1003 Stomatology,Review,99,4,362-373,2020,892,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000517709800001,91.705882,28.571134567260742,81.08064,9.73,31.2203,11.0014,International - Quadrilateral +,99.8969,6.116
WOS:000594503100001,10.1111/odi.13704,MEDLINE:33128420,"Oral potentially malignant disorders: A consensus report from an international seminar on nomenclature and classification, convened by the WHO Collaborating Centre for Oral Cancer","Warnakulasuriya, Saman; Kujan, Omar; Aguirre-Urizar, Jose M.; Bagan, Jose, V; Angel Gonzalez-Moles, Miguel; Kerr, Alexander R.; Lodi, Giovanni; Mello, Fernanda Weber; Monteiro, Luis; Ogden, Graham R.; Sloan, Philip; Johnson, Newell W.",ORAL DISEASES,1003 Stomatology,Review,27,8,1862-1880,2020,641,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000594503100001,37.236111,28.571134567260742,81.08064,17.21,22.4352,7.9057,International - Quadrilateral +,99.8454,3.511
WOS:000595630100001,10.1111/idj.12630,n/a,Current concepts in the management of periodontitis,"Kwon, TaeHyun; Lamster, Ira B.; Levin, Liran",INTERNATIONAL DENTAL JOURNAL,1003 Stomatology,Review,71,6,462-476,2020,572,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000595630100001,72.666667,28.571134567260742,36.644188,7.87,20.0202,15.6096,International - Bilateral,99.7938,2.512
WOS:000793464400015,10.1016/j.joms.2022.02.008,MEDLINE:35300956,American Association of Oral and Maxillofacial Surgeons' Position Paper on Medication-Related Osteonecrosis of the Jaws-2022 Update,"Ruggiero, Salvatore L.; Dodson, Thomas B.; Aghaloo, Tara; Carlson, Eric R.; Ward, Brent B.; Kademani, Deepak",JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,1003 Stomatology,Article,80,5,920-943,2022,533,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000793464400015,7.872727,5.990482330322266,5.86286,67.7,88.9745,90.9113,Domestic - Multiple,99.9922,1.9
WOS:000527892000001,="10.1177/0022034520915714",MEDLINE:32315260,Artificial Intelligence in Dentistry: Chances and Challenges,"Schwendicke, F.; Samek, W.; Krois, J.",JOURNAL OF DENTAL RESEARCH,1003 Stomatology,Article,99,7,769-774,2020,498,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527892000001,39.728814,11.55329704284668,11.178629,12.53,43.1046,44.5493,Domestic - Multiple,99.9719,6.116
