Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000511499000001,10.1007/s11418-019-01364-x,MEDLINE:31588965,Carotenoids as natural functional pigments,"Maoka, Takashi",JOURNAL OF NATURAL MEDICINES,1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1005 Chinese Medicine,Review,74,1,1-16,2020,607,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511499000001,108.714286,31.580839157104492,35.9375,5.58,19.2205,16.8904,Domestic - Single,99.4012,2.343
WOS:000511750900012,10.1007/s11655-019-3064-0,MEDLINE:30941682,"Network Pharmacology in Research of Chinese Medicine Formula: Methodology, Application and Prospective","Luo, Ting-ting; Lu, Yuan; Yan, Shi-kai; Xiao, Xue; Rong, Xiang-Lu; Guo, Jiao",CHINESE JOURNAL OF INTEGRATIVE MEDICINE,1002 Clinical Medicine; 1005 Chinese Medicine,Review,26,1,72-80,2020,506,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511750900012,45.62069,31.580839157104492,25.15294,11.09,16.0224,20.1169,Domestic - Multiple,98.8024,1.978
WOS:000613940000001,10.1016/S1875-5364(21)60001-8,MEDLINE:33516447,"TCM network pharmacology: A new trend towards combining computational, experimental and clinical approaches",Wang Xin; Wang Zi-Yi; Zheng Jia-Hui; Li Shao,CHINESE JOURNAL OF NATURAL MEDICINES,1008 Chinese Materia Medica; 1007 Pharmaceutical Science; 1002 Clinical Medicine; 1005 Chinese Medicine,Review,19,1,1-11,2021,439,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000613940000001,49.714286,20.614906311035156,23.651516,8.83,21.2953,18.5612,Domestic - Single,99.3789,3.887
WOS:000516262000001,10.1007/s11655-020-3192-6,MEDLINE:32065348,"Can Chinese Medicine Be Used for Prevention of Corona Virus Disease 2019 (COVID-19)? A Review of Historical Classics, Research Evidence and Current Prevention Programs","Luo Hui; Tang Qiao-ling; Shang Ya-xi; Liang Shi-bing; Yang Ming; Robinson, Nicola; Liu Jian-ping",CHINESE JOURNAL OF INTEGRATIVE MEDICINE,1002 Clinical Medicine; 1005 Chinese Medicine,Review,26,4,243-250,2020,379,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000516262000001,45.62069,31.580839157104492,48.125,8.31,12.0009,7.8753,International - Bilateral,98.2036,1.978
WOS:000519993900006,10.1016/j.joim.2020.02.005,MEDLINE:32113846,In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus,"Zhang, Deng-hai; Wu, Kun-lun; Zhang, Xue; Deng, Sheng-qiong; Peng, Bin",JOURNAL OF INTEGRATIVE MEDICINE-JIM,1005 Chinese Medicine; 1002 Clinical Medicine,Article,18,2,152-158,2020,331,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000519993900006,21.288889,12.503226280212402,14.029787,15.55,26.4732,23.5927,Domestic - Single,99.871,3.034
WOS:000531883000013,10.1142/S0192415X20500378,MEDLINE:32164424,"COVID-19: An Update on the Epidemiological, Clinical, Preventive and Therapeutic Evidence and Guidelines of Integrative Chinese-Western Medicine for the Management of 2019 Novel Coronavirus Disease","Chan, Kam Wa; Wong, Vivian Taam; Tang, Sydney Chi Wai",AMERICAN JOURNAL OF CHINESE MEDICINE,1005 Chinese Medicine; 1002 Clinical Medicine,Article,48,3,737-762,2020,240,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531883000013,29.04878,12.503226280212402,14.029787,8.26,19.195,17.1065,Domestic - Single,99.7419,4.667
WOS:001019459500001,10.1016/S1875-5364(23)60429-7,MEDLINE:37245871,Network pharmacology approaches for research of Traditional Chinese Medicines,"Li, Xiang; Liu, Ziqi; Liao, Jie; Chen, Qian; Lu, Xiaoyan; Fan, Xiaohui",CHINESE JOURNAL OF NATURAL MEDICINES,1008 Chinese Materia Medica; 1007 Pharmaceutical Science; 1002 Clinical Medicine; 1005 Chinese Medicine,Review,21,5,323-332,2023,195,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001019459500001,29.3,9.550898551940918,9.768421,6.66,20.4169,19.9623,Domestic - Multiple,99.4012,4.0
WOS:000599931200005,10.1142/S0192415X20500780,MEDLINE:33202152,Positive Role of Chinese Herbal Medicine in Cancer Immune Regulation,"Wang, Sumei; Long, Shunqin; Deng, Zhiyin; Wu, Wanyin",AMERICAN JOURNAL OF CHINESE MEDICINE,1005 Chinese Medicine; 1002 Clinical Medicine,Article,48,7,1577-1592,2020,182,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000599931200005,29.04878,12.503226280212402,14.029787,6.27,14.5562,12.9724,Domestic - Single,99.6129,4.667
WOS:000803040500001,10.19852/j.cnki.jtcm.20220408.003,MEDLINE:35610020,Integration strategy of network pharmacology in Traditional Chinese Medicine: a narrative review,"Jiashuo, Wu; Fangqing, Zhang; Zhuangzhuang, Li; Weiyi, Jin; Yue, Shi",JOURNAL OF TRADITIONAL CHINESE MEDICINE,1005 Chinese Medicine; 1002 Clinical Medicine,Review,42,3,479-486,2022,166,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000803040500001,15.055556,13.570621490478516,13.877551,11.03,12.2323,11.9618,Domestic - Multiple,99.435,2.6
WOS:000759593400002,10.1186/s13020-022-00571-1,MEDLINE:35193642,Tea and tea drinking: China's outstanding contributions to the mankind,"Pan, Si-Yuan; Nie, Qu; Tai, Hai-Chuan; Song, Xue-Lan; Tong, Yu-Fan; Zhang, Long-Jian-Feng; Wu, Xue-Wei; Lin, Zhao-Heng; Zhang, Yong-Yu; Ye, Du-Yun; Zhang, Yi; Wang, Xiao-Yan; Zhu, Pei-Li; Chu, Zhu-Sheng; Yu, Zhi-Ling; Liang, Chun",CHINESE MEDICINE,1002 Clinical Medicine; 1007 Pharmaceutical Science; 1008 Chinese Materia Medica; 1005 Chinese Medicine,Review,17,1,n/a,2022,165,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000759593400002,27.939394,13.570621490478516,13.877551,5.91,12.1586,11.8897,Domestic - Multiple,98.8701,4.9
