Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000598984300001,10.1038/s41573-020-0090-8,MEDLINE:33277608,Engineering precision nanoparticles for drug delivery,"Mitchell, Michael J.; Billingsley, Margaret M.; Haley, Rebecca M.; Wechsler, Marissa E.; Peppas, Nicholas A.; Langer, Robert",NATURE REVIEWS DRUG DISCOVERY,1007 Pharmaceutical Science; 0836 Biotechnology and Bioengineering,Review,20,2,101-124,2020,4905,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000598984300001,500.205128,39.329124450683594,37.57532,9.81,124.7167,130.5378,Domestic - Multiple,99.9929,84.694
WOS:000526306000025,10.1021/acs.jnatprod.9b01285,MEDLINE:32162523,Natural Products as Sources of New Drugs over the Nearly Four Decades from 01/1981 to 09/2019,"Newman, David J.; Cragg, Gordon M.",JOURNAL OF NATURAL PRODUCTS,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Review,83,3,770-803,2020,4242,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000526306000025,499.333333,39.329124450683594,35.09536,8.5,107.859,120.8707,Domestic - Single,99.9859,4.05
WOS:000688241800015,10.1021/acs.jcim.1c00203,MEDLINE:34278794,"AutoDock Vina 1.2.0: New Docking Methods, Expanded Force Field, and Python Bindings","Eberhardt, Jerome; Santos-Martins, Diogo; Tillack, Andreas F.; Forli, Stefano",JOURNAL OF CHEMICAL INFORMATION AND MODELING,0703 Chemistry; 1007 Pharmaceutical Science; 0812 Computer Science and Technology,Article,61,8,3891-3898,2021,3451,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000688241800015,27.118959,11.896702766418457,10.782112,127.25,290.0804,320.0672,Domestic - Single,99.9986,6.162
WOS:000552613500015,10.1016/j.ijantimicag.2020.105949,n/a,"Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial (Retracted article. See vol. 65, 2025)","Gautret, Philippe; Lagier, Jean-Christophe; Parola, Philippe; Van Thuan Hoang; Meddeb, Line; Mailhe, Morgane; Doudier, Barbara; Courjon, Johan; Giordanengo, Valerie; Vieira, Vera Esteves; Dupont, Herve Tissot; Honore, Stephane; Colson, Philippe; Chabriere, Eric; La Scola, Bernard; Rolain, Jean-Marc; Brouqui, Philippe; Raoult, Didier",INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,0710 Biology; 1007 Pharmaceutical Science; 1004 Public Health and Preventive Medicine,Retracted Publication,56,1,n/a,2020,3190,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000552613500015,3190.0,26.77305030822754,130.27586,1.0,119.1497,24.4865,International - Bilateral,99.6454,5.283
WOS:000612711300001,10.1038/s41573-020-00114-z,MEDLINE:33510482,Natural products in drug discovery: advances and opportunities,"Atanasov, Atanas G.; Zotchev, Sergey B.; Dirsch, Verena M.; Supuran, Claudiu T.",NATURE REVIEWS DRUG DISCOVERY,1007 Pharmaceutical Science; 0836 Biotechnology and Bioengineering,Review,20,3,200-216,2021,3047,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000612711300001,530.8,28.997608184814453,47.60635,5.74,105.0776,64.0041,International - Quadrilateral +,99.994,112.288
WOS:000518855500030,10.1016/j.ijantimicag.2020.105924,MEDLINE:32081636,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,"Lai, Chih-Cheng; Shih, Tzu-Ping; Ko, Wen-Chien; Tang, Hung-Jen; Hsueh, Po-Ren",INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,1007 Pharmaceutical Science; 1004 Public Health and Preventive Medicine; 0710 Biology,Article,55,3,n/a,2020,2830,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000518855500030,51.901961,15.418242454528809,15.237883,54.53,183.5488,185.7213,Domestic - Multiple,99.9985,5.283
WOS:000593526100010,10.1093/jac/dkaa345,MEDLINE:32780112,ResFinder 4.0 for predictions of phenotypes from genotypes,"Bortolaia, Valeria; Kaas, Rolf S.; Ruppe, Etienne; Roberts, Marilyn C.; Schwarz, Stefan; Cattoir, Vincent; Philippon, Alain; Allesoe, Rosa L.; Rebelo, Ana Rita; Florensa, Alfred Ferrer; Fagelhauer, Linda; Chakraborty, Trinad; Neumann, Bernd; Werner, Guido; Bender, Jennifer K.; Stingl, Kerstin; Minh Nguyen; Coppens, Jasmine; Xavier, Basil Britto; Malhotra-Kumar, Surbhi; Westh, Henrik; Pinholt, Mette; Anjum, Muna F.; Duggett, Nicholas A.; Kempf, Isabelle; Nykasenoja, Suvi; Olkkola, Satu; Wieczorek, Kinga; Amaro, Ana; Clemente, Lurdes; Mossong, Joel; Losch, Serge; Ragimbeau, Catherine; Lund, Ole; Aarestrup, Frank M.",JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,1007 Pharmaceutical Science; 1004 Public Health and Preventive Medicine; 0710 Biology,Article,75,12,3491-3500,2020,1993,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000593526100010,25.21968,15.418242454528809,26.23871,79.03,129.2625,75.9565,International - Quadrilateral +,99.997,5.79
WOS:000668428700001,10.1038/s41573-021-00233-1,MEDLINE:34194012,Targeting oxidative stress in disease: promise and limitations of antioxidant therapy,"Forman, Henry Jay; Zhang, Hongqiao",NATURE REVIEWS DRUG DISCOVERY,1007 Pharmaceutical Science; 0836 Biotechnology and Bioengineering,Review,20,9,689-709,2021,1772,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000668428700001,530.8,28.997608184814453,26.812569,3.34,61.1085,66.0884,Domestic - Multiple,99.988,112.288
WOS:000743850000001,10.1038/s41573-021-00371-6,MEDLINE:35042991,PROTAC targeted protein degraders: the past is prologue,"Bekes, Miklos; Langley, David R.; Crews, Craig M.",NATURE REVIEWS DRUG DISCOVERY,1007 Pharmaceutical Science; 0836 Biotechnology and Bioengineering,Review,21,3,181-200,2022,1736,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000743850000001,291.586207,20.422372817993164,19.10191,5.95,85.0048,90.881,Domestic - Multiple,99.9932,120.1
WOS:000564734500001,10.3390/antiox9080681,MEDLINE:32751256,Reactive Oxygen Species and Antioxidant Defense in Plants under Abiotic Stress: Revisiting the Crucial Role of a Universal Defense Regulator,"Hasanuzzaman, Mirza; Bhuyan, M. H. M. Borhannuddin; Zulfiqar, Faisal; Raza, Ali; Mohsin, Sayed Mohammad; Al Mahmud, Jubayer; Fujita, Masayuki; Fotopoulos, Vasileios",ANTIOXIDANTS,1007 Pharmaceutical Science; 0832 Food Science and Engineering; 0710 Biology,Review,9,8,n/a,2020,1675,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564734500001,74.838415,39.329124450683594,63.273724,22.38,42.5893,26.4723,International - Quadrilateral +,99.9788,6.313
WOS:000532679600005,10.1016/j.ejphar.2020.173090,MEDLINE:32234529,Macrophage M1/M2 polarization,Chen Yunna; Hu Mengru; Wang Lei; Chen Weidong,EUROPEAN JOURNAL OF PHARMACOLOGY,1007 Pharmaceutical Science; 1008 Chinese Materia Medica,Review,877,n/a,n/a,2020,1534,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532679600005,63.823529,39.329124450683594,37.57532,24.04,39.0042,40.8247,Domestic - Multiple,99.9718,4.432
