Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000551892700003,10.1148/radiol.2020200642,MEDLINE:32101510,Correlation of Chest CT and RT-PCR Testing for Coronavirus Disease 2019 (COVID-19) in China: A Report of 1014 Cases,"Ai, Tao; Yang, Zhenlu; Hou, Hongyan; Zhan, Chenao; Chen, Chong; Lv, Wenzhi; Tao, Qian; Sun, Ziyong; Xia, Liming",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,296,2,E32-E40,2020,2808,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551892700003,122.746212,16.013446807861328,19.71944,22.88,175.3526,142.3976,International - Bilateral,99.9971,11.105
WOS:000544923000007,10.1109/TMI.2019.2959609,MEDLINE:31841402,UNet plus plus : Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation,"Zhou, Zongwei; Siddiquee, Md Mahfuzur Rahman; Tajbakhsh, Nima; Liang, Jianming",IEEE TRANSACTIONS ON MEDICAL IMAGING,0803 Optical Engineering; 0809 Electronic Science and Technology; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0812 Computer Science and Technology,Article,39,6,1856-1867,2020,2501,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000544923000007,61.541237,16.013446807861328,15.613042,40.64,156.1812,160.1866,Domestic - Multiple,99.9943,10.048
WOS:000528209000019,10.1148/radiol.2020191145,MEDLINE:32154773,The Image Biomarker Standardization Initiative: Standardized Quantitative Radiomics for High-Throughput Image-based Phenotyping,"Zwanenburg, Alex; Vallieres, Martin; Abdalah, Mahmoud A.; Aerts, Hugo J. W. L.; Andrearczyk, Vincent; Apte, Aditya; Ashrafinia, Saeed; Bakas, Spyridon; Beukinga, Roeloff; Boellaard, Ronald; Bogowicz, Marta; Boldrini, Luca; Buvat, Irene; Cook, Gary J. R.; Davatzikos, Christos; Depeursinge, Adrien; Desseroit, Marie-Charlotte; Dinapoli, Nicola; Cuong Viet Dinh; Echegaray, Sebastian; El Naqa, Issam; Fedorov, Andriy Y.; Gatta, Roberto; Gillies, Robert J.; Goh, Vicky; Goetz, Michael; Guckenberger, Matthias; Ha, Sung Min; Hatt, Mathieu; Isensee, Fabian; Lambin, Philippe; Leger, Stefan; Leijenaar, Ralph T. H.; Lenkowicz, Jacopo; Lippert, Fiona; Losnegard, Are; Maier-Hein, Klaus H.; Morin, Olivier; Mueller, Henning; Napel, Sandy; Nioche, Christophe; Orlhac, Fanny; Pati, Sarthak; Pfaehler, Elisabeth A. G.; Rahmim, Arman; Rao, Arvind U. K.; Scherer, Jonas; Siddique, Muhammad Musib; Sijtsema, Nanna M.; Fernandez, Jairo Socarras; Spezi, Emiliano; Steenbakkers, Roel J. H. M.; Tanadini-Lang, Stephanie; Thorwarth, Daniela; Troost, Esther G. C.; Upadhaya, Taman; Valentini, Vincenzo; van Dijk, Lisanne V.; van Griethuysen, Joost; van Velden, Floris H. P.; Whybra, Philip; Richter, Christian; Loeck, Steffen",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,295,2,328-338,2020,2363,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000528209000019,122.746212,16.013446807861328,39.239822,19.25,147.5635,60.2194,International - Quadrilateral +,99.9914,11.105
WOS:000615970401059,10.1109/icassp40776.2020.9053405,n/a,UNET 3+: A FULL-SCALE CONNECTED UNET FOR MEDICAL IMAGE SEGMENTATION,"Huang, Huimin; Lin, Lanfen; Tong, Ruofeng; Hu, Hongjie; Zhang, Qiaowei; Iwamoto, Yutaro; Han, Xianhua; Chen, Yen-Wei; Wu, Jian","2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 1009 Special Medicine; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0812 Computer Science and Technology,Proceedings Paper,n/a,n/a,1055-1059,2020,1991,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000615970401059,15.522837,3.2829771041870117,4.921488,128.26,606.4617,404.5524,International - Bilateral,99.9979,n/a
WOS:000551892700015,10.1148/radiol.2020200432,MEDLINE:32073353,Sensitivity of Chest CT for COVID-19: Comparison to RT-PCR,"Fang, Yicheng; Zhang, Huangqi; Xie, Jicheng; Lin, Minjie; Ying, Lingjun; Pang, Peipei; Ji, Wenbin",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,296,2,E115-E117,2020,1979,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551892700015,122.746212,16.013446807861328,15.613042,16.12,123.5836,126.753,Domestic - Multiple,99.9886,11.105
WOS:000534606800040,10.1148/radiol.2020200370,MEDLINE:32053470,Time Course of Lung Changes a Chest CT during Recovery from Coronavirus Disease 2019 (COVID-19 ),"Pan, Feng; Ye, Tianhe; Sun, Peng; Gui, Shan; Liang, Bo; Li, Lingli; Zheng, Dandan; Wang, Jiazheng; Hesketh, Richard L.; Yang, Lian; Zheng, Chuansheng",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,295,3,715-721,2020,1592,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534606800040,122.746212,16.013446807861328,19.71944,12.97,99.4164,80.7325,International - Bilateral,99.9857,11.105
WOS:000540770200001,10.1016/j.trsl.2020.04.007,MEDLINE:32299776,Complement associated microvascular injury and thrombosis in the pathogenesis of severe COVID-19 infection: A report of five cases,"Magro, Cynthia; Mulvey, J. Justin; Berlin, David; Nuovo, Gerard; Salvatore, Steven; Harp, Joanna; Baxter-Stoltzfus, Amelia; Laurence, Jeffrey",TRANSLATIONAL RESEARCH,1001 Basic Medicine; 1010 Medical Technology,Article,220,n/a,1-13,2020,1578,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540770200001,61.153846,16.013446807861328,15.613042,25.8,98.5422,101.0693,Domestic - Multiple,99.9828,7.012
WOS:000551892700004,10.1148/radiol.2020200343,MEDLINE:32049601,Chest CT for Typical Coronavirus Disease 2019 (COVID-19) Pneumonia: Relationship to Negative RT-PCR Testing,"Xie, Xingzhi; Zhong, Zheng; Zhao, Wei; Zheng, Chao; Wang, Fei; Liu, Jun",RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,296,2,E41-E45,2020,1348,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000551892700004,122.746212,16.013446807861328,15.613042,10.98,84.1793,86.3381,Domestic - Multiple,99.98,11.105
WOS:000507798400006,10.1007/s00330-019-06574-1,n/a,Wave-CAIPI susceptibility-weighted imaging achieves diagnostic performance comparable to conventional susceptibility-weighted imaging in half the scan time,"Chung, Mi Sun; Lee, Eun Jung; Kim, Sujin; Kim, Seon-Ok; Byun, Jun Soo",EUROPEAN RADIOLOGY,1010 Medical Technology; 1009 Special Medicine,Article,30,4,2182-2190,2020,1281,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507798400006,30.636544,16.013446807861328,15.613042,41.81,79.9953,82.0468,Domestic - Multiple,99.9771,5.315
WOS:000540382600002,10.1515/cclm-2020-0369,MEDLINE:32286245,"Hematologic, biochemical and immune biomarker abnormalities associated with severe illness and mortality in coronavirus disease 2019 (COVID-19): a meta-analysis","Henry, Brandon Michael; de Oliveira, Maria Helena Santos; Benoit, Stefanie; Plebani, Mario; Lippi, Giuseppe",CLINICAL CHEMISTRY AND LABORATORY MEDICINE,1010 Medical Technology,Review,58,7,1021-1028,2020,1263,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000540382600002,80.034483,27.497844696044922,53.720497,15.78,45.9309,23.5106,International - Trilateral,99.9713,3.694
