Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000532023900001,10.1080/0142159X.2020.1755030,MEDLINE:32356468,Thematic analysis of qualitative data: AMEE Guide No. 131,"Kiger, Michelle E.; Varpio, Lara",MEDICAL TEACHER,0401 Education; 1204 Public Administration,Article,42,8,846-854,2020,1846,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532023900001,30.478022,12.414401054382324,13.608291,60.57,148.6983,135.6526,Domestic - Multiple,99.9971,3.65
WOS:000652678700019,10.1016/j.jclinepi.2021.03.001,MEDLINE:33789819,The PRISMA 2020 statement: An updated guideline for reporting systematic reviews,"Page, Matthew J.; McKenzie, Joanne E.; Bossuyt, Patrick M.; Boutron, Isabelle; Hoffmann, Tammy C.; Mulrow, Cynthia D.; Shamseer, Larissa; Tetzlaff, Jennifer M.; Akl, Elie A.; Brennan, Sue E.; Chou, Roger; Glanville, Julie; Grimshaw, Jeremy M.; Hrobjartsson, Asbjorn; Lalu, Manoj M.; Li, Tianjing; Loder, Elizabeth W.; Mayo-Wilson, Evan; McDonald, Steve; McGuinness, Luke A.; Stewart, Lesley A.; Thomas, James; Tricco, Andrea C.; Welch, Vivian A.; Whiting, Penny; Moher, David",JOURNAL OF CLINICAL EPIDEMIOLOGY,1004 Public Health and Preventive Medicine; 1204 Public Administration,Article,134,n/a,178-189,2021,1654,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000652678700019,34.460465,9.122387886047363,20.145473,48.0,181.3122,82.1028,International - Quadrilateral +,99.9972,7.407
WOS:000511507000001,10.1038/s41746-020-0221-y,n/a,"An overview of clinical decision support systems: benefits, risks, and strategies for success","Sutton, Reed T.; Pincock, David; Baumgart, Daniel C.; Sadowski, Daniel C.; Fedorak, Richard N.; Kroeker, Karen, I",NPJ DIGITAL MEDICINE,1204 Public Administration,Review,3,1,n/a,2020,1377,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000511507000001,221.0625,32.54160690307617,32.787,6.23,42.3151,41.9984,Domestic - Multiple,99.9635,11.653
WOS:000570339500001,10.1038/s41746-020-00323-1,n/a,The future of digital health with federated learning,"Rieke, Nicola; Hancox, Jonny; Li, Wenqi; Milletari, Fausto; Roth, Holger R.; Albarqouni, Shadi; Bakas, Spyridon; Galtier, Mathieu N.; Landman, Bennett A.; Maier-Hein, Klaus; Ourselin, Sebastien; Sheller, Micah; Summers, Ronald M.; Trask, Andrew; Xu, Daguang; Baust, Maximilian; Cardoso, M. Jorge",NPJ DIGITAL MEDICINE,1204 Public Administration,Article,3,1,n/a,2020,1222,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000570339500001,81.060345,12.414401054382324,25.436893,15.08,98.4341,48.0405,International - Quadrilateral +,99.9943,11.653
WOS:000523872700001,10.1177/1357633X20916567,MEDLINE:32196391,Telehealth for global emergencies: Implications for coronavirus disease 2019 (COVID-19),"Smith, Anthony C.; Thomas, Emma; Snoswell, Centaine L.; Haydon, Helen; Mehrotra, Ateev; Clemensen, Jane; Caffery, Liam J.",JOURNAL OF TELEMEDICINE AND TELECARE,1204 Public Administration,Article,26,5,309-313,2020,1163,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000523872700001,28.679104,12.414401054382324,17.631844,40.55,93.6815,65.9602,International - Trilateral,99.9914,6.184
WOS:000859168600002,10.4324/9781003223320-2,n/a,The financialization of the American economy,"Mettenheim, Kurt; Butzbach, Olivier","FINANCIALIZATION OF THE ECONOMY, BUSINESS, AND HOUSEHOLD INEQUALITY IN THE UNITED STATES",0830 Environmental Science and Engineering; 0303 Sociology; 1202 Business Administration; 1204 Public Administration; 0101 Philosophy; 0705 Geography; 0302 Political Science; 0833 Urban and Rural Planning; 0503 Journalism and Communication; 0304 Ethnology,Article,n/a,n/a,13-54,2022,1129,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000859168600002,11.87,6.106152534484863,0.0,95.11,184.8955,0.0,n/a,99.9968,n/a
WOS:000724139600027,10.1007/978-3-030-65965-3_28,n/a,"Interpretable Machine Learning - A Brief History, State-of-the-Art and Challenges","Molnar, Christoph; Casalicchio, Giuseppe; Bischl, Bernd",ECML PKDD 2020 WORKSHOPS,1201 Management Science and Engineering; 0820 Oil and Natural Gas Engineering; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0401 Education; 0830 Environmental Science and Engineering; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0813 Architecture; 0705 Geography; 0303 Sociology; 1204 Public Administration; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1205 Library and Information Science & Archive Management; 0811 Control Science and Engineering; 0503 Journalism and Communication; 1302 Music and Dance; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping; 0809 Electronic Science and Technology,Proceedings Paper,1323,n/a,417-431,2020,1108,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000724139600027,3.026936,2.75939679145813,2.3489335,366.05,401.537,471.7034,Domestic - Single,99.9976,n/a
WOS:000678771200007,="10.2196/27633",MEDLINE:34309564,Web-Based Survival Analysis Tool Tailored for Medical Research (KMplot): Development and Implementation,"Lanczky, Andras; Gyorffy, Balazs",JOURNAL OF MEDICAL INTERNET RESEARCH,1001 Basic Medicine; 1204 Public Administration,Article,23,7,n/a,2021,1106,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000678771200007,21.388996,9.122387886047363,9.482492,51.71,121.2402,116.636,Domestic - Multiple,99.9944,7.077
WOS:000765802100138,10.1016/j.procs.2022.01.135,n/a,A Review of Yolo Algorithm Developments,"Jiang, Peiyuan; Ergu, Daji; Liu, Fangyao; Cai, Ying; Ma, Bo",8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19,0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 0820 Oil and Natural Gas Engineering; 1204 Public Administration; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0802 Mechanical Engineering; 0503 Journalism and Communication; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,199,n/a,1066-1073,2022,1098,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000765802100138,11.117347,3.2295689582824707,2.2907562,98.76,339.9835,479.3177,Domestic - Single,99.9969,n/a
WOS:000642356500001,10.1007/s11606-021-06737-1,MEDLINE:33886027,A Consensus-Based Checklist for Reporting of Survey Studies (CROSS),"Sharma, Akash; Minh Duc, Nguyen Tran; Luu Lam Thang, Tai; Nam, Nguyen Hai; Ng, Sze Jia; Abbas, Kirellos Said; Huy, Nguyen Tien; Marusic, Ana; Paul, Christine L.; Kwok, Janette; Karbwang, Juntra; de Waure, Chiara; Drummond, Frances J.; Kizawa, Yoshiyuki; Taal, Erik; Vermeulen, Joeri; Lee, Gillian H. M.; Gyedu, Adam; To, Kien Gia; Verra, Martin L.; Jacqz-Aigrain, Evelyne M.; Leclercq, Wouter K. G.; Salminen, Simo T.; Sherbourne, Cathy Donald; Mintzes, Barbara; Lozano, Sergi; Tran, Ulrich S.; Matsui, Mitsuaki; Karamouzian, Mohammad",JOURNAL OF GENERAL INTERNAL MEDICINE,1204 Public Administration,Article,36,10,3179-3187,2021,1096,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000642356500001,16.595794,9.122387886047363,20.145473,66.04,120.144,54.4043,International - Quadrilateral +,99.9916,6.473
